Pref	Name
Aciri1_iso	Acidomyces_richmondensis_BFW_Aciri1_iso
Agabi_varbisH97_2	Agaricus_bisporus_var_bisporus_H97
Acap	Ajellomyces_capsulatus_NAm1
Amamu1	Amanita_muscaria_Koide
Amath1	Amanita_thiersii_Skay4041
Amore1	Amorphotheca_resinae_ATCC_22711
Antav1	Anthostoma_avocetta_NRRL_3190
Antlo1	Antonospora_locustae_HM_2013
Apimo1	Apiospora_montagnei_NRRL_25634
Aplpr1	Aplosporella_prunicola_CBS_121_167
Armme1_1	Armillaria_mellea_DSM_3731
Aoli	Arthrobotrys_oligospora_ATCC_24927
Aben	Arthroderma_benhamiae_CBS_112371
Ascim1	Ascobolus_immersus_RN42
Ascsa1	Ascocoryne_sarcoides_NRRL_50072
Agos	Ashbya_gossypii_FDAG1
Afum	Aspergillus_fumigatus_Af293
Aspni7	Aspergillus_niger_ATCC_1015
Atrsp2	Atractiellales_sp_PMI_95
Aulhe2	Aulographum_hederae_CBS_113979
Aurpu_var_pul1	Aureobasidium_pullulans_var_pullulans_EXF_150
Aurde3_1	Auricularia_subglabra_TFB10046_SS_5
Aurvu1	Auriscalpium_vulgare_FP105234_Sp
Bacci1	Backusella_circina_FSU_941
Batde5	Batrachochytrium_dendrobatidis_JAM81
Bauco1	Baudoinia_compniacensis_UAMH_10762
Beaba1	Beauveria_bassiana_ARSEF_2860
Bjead1_1	Bjerkandera_adusta
Blugr1	Blumeria_graminis_fsp_hordei_DH14
Boled1	Boletus_edulis_BED1
Botbo1	Botryobasidium_botryosum_FD_172_SS1
Botdo1	Botryosphaeria_dothidea_CBS_115476
Bcin	Botrytis_cinerea_B05_10
Cadsp1	Cadophora_sp_DSE1049
Calco1	Calocera_cornea_HHB12733
Calb	Candida_albicans_SC5314
Ccor	Capronia_coronata_CBS_617_96
Catan1	Catenaria_anguillulae_PL171
Cenge3	Cenococcum_geophilum_1_58
Cglo	Chaetomium_globosum_CBS_148_51
Chalo1	Chalara_longipes_BDJ
Chove1	Choiromyces_venosus_120613_1
Cpur	Claviceps_purpurea_20_1
Clapy1	Clavicorona_pyxidata_HHB10654
Clus	Clavispora_lusitaniae_ATCC_42720
ClaPMI390	Clavulina_sp_PMI_390
Cimm	Coccidioides_immitis_RS
Chet	Cochliobolus_heterostrophus_C5
Coere1	Coemansia_reversa_NRRL_1564
Cgra	Colletotrichum_graminicola_M1_001
Conco1	Conidiobolus_coronatus_NRRL_28638
Conpu1	Coniophora_puteana_RWD_64_598_SS2
Ccin	Coprinopsis_cinerea_okayama7_130
Cormi1	Cordyceps_militaris_CM01
Corgl3	Cortinarius_glaucopus_AT_2004_276
Crypa2	Cryphonectria_parasitica_EP155
Cneo	Cryptococcus_neoformans_var_neoformans_JEC21
Cucbe1	Cucurbitaria_berberidis_CBS_394_84
Cybja1	Cyberlindnera_jadinii_NRRL_Y_1542
Cylto1	Cylindrobasidium_torrendii_FP15055_ss_10
Ceur	Cyphellophora_europaea_CBS_101466
Dsp.	Dacryopinax_sp_DJM_731_SS1
DalEC12_1	Daldinia_eschscholzii_EC12
Dhan	Debaryomyces_hansenii_CBS_767
Dekbr2	Dekkera_bruxellensis_CBS_2499
Denbi1	Dendrothele_bispora_CBS_962_96
Dsqu	Dichomitus_squalens_LYAD_421_SS1
Didex1	Didymella_exigua_CBS_183_55
Dsep	Dothistroma_septosporum_NZE10
Enccu1	Encephalitozoon_cuniculi_GB_M1
Enche1	Encephalitozoon_hellem_ATCC_50504
Encin1	Encephalitozoon_intestinalis_ATCC_50506
Encro1	Encephalitozoon_romaleae_SJ_2008
Entbi1	Enterocytozoon_bieneusi_H348
Elat	Eutypa_lata_UCREL1
Exigl1	Exidia_glandulosa_HHB12029
Exova1	Exobasidium_vaccinii_MPITM
Eder	Exophiala_dermatitidis_NIH_UT8656
Frad	Fibroporia_radiculosa_TFFH_294
Fibsp1	Fibulorhizoctonia_sp_CBS_109695
Fishe1	Fistulina_hepatica_ATCC_64428
Fmed	Fomitiporia_mediterranea_MF3_22
Fpin	Fomitopsis_pinicola_FP_58527_SS1
Ffuj	Fusarium_fujikuroi_IMI58289
Fgra	Fusarium_graminearum_PH_1
Gmar	Galerina_marginata_CBS_339_88
Gansp1	Ganoderma_sp_10597_SS1
Gloz	Glarea_lozoyensis_74030
Gloci1	Glomerella_cingulata_23
Ganpr1	Gonapodya_prolifera_JEL478
Gcla	Grosmannia_clavigera_kw1407
Gymci1_1	Gymnascella_citrina_NRRL_5970_1
Gymlu1	Gymnopus_luxurians
Hebcy2	Hebeloma_cylindrosporum_h7
Hetan2	Heterobasidion_annosum_TC_32_1
Hwer	Hortaea_werneckii_v2_M0
Hydpi2	Hydnomerulius_pinastri
Hypsu1	Hypholoma_sublateritium
Hyspu1	Hysterium_pulicare_CBS_123377
Jaaar1	Jaapia_argillacea_MUCL_33604
Karrh1	Karstenula_rhodostoma_CBS_690_94
Kafr	Kazachstania_africana_CBS_2517
Klac	Kluyveromyces_lactis_NRRL_Y_1140
Kpas	Komagataella_pastoris_GS115
Lacam1	Laccaria_amethystina_LaAM_08_1
Lbic	Laccaria_bicolor_S238N_H82
Lenfl1	Lentithecium_fluviatile_CBS_122367
Leppa1	Lepidopterella_palustris
Lmac	Leptosphaeria_maculans_JN3
Leumo1	Leucogyrophana_mollusca_KUC20120723A_06
Lcor	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Lelo	Lodderomyces_elongisporus_NRRL_YB_4239
Lopma1	Lophiostoma_macrostomum_CBS_122681
Macfu1	Macrolepiota_fuliginosa
Mory	Magnaporthe_oryzae_70_15
Mglo	Malassezia_globosa
Mbru	Marssonina_brunnea_fsp_multigermtubi_MB_m1
Mellp1	Melampsora_laricis_populina_98AG31
Melsp1	Melanconium_sp_NRRL_54901
Melpu1	Melanomma_pulvis_pyrius_CBS_109_77
