SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spoli1|Spoli1_203860	Spoli1|Spoli1_72253	0.629899	3.871976	0.162682	839.376142	174.623858	0.862248	3.564679	1143
Spoli1|Spoli1_184179	Spoli1|Spoli1_179181	0.374931	3.741157	0.100218	768.326400	146.673600	1.522640	2.743601	1110
Spoli1|Spoli1_162804	Spoli1|Spoli1_166010	0.505355	3.897846	0.129650	1274.247516	180.752484	1.139943	2.780399	2355
Spoli1|Spoli1_596	Spoli1|Spoli1_179480	0.611955	3.571327	0.171352	774.047348	116.952652	0.962853	3.001206	1119
Spoli1|Spoli1_154804	Spoli1|Spoli1_8864	0.271086	2.325322	0.116580	181.792519	22.207481	0.845052	1.484130	1782
Spoli1|Spoli1_154288	Spoli1|Spoli1_11872	0.367445	3.217636	0.114197	689.020277	72.979723	2.106638	1.921258	1812
Spoli1|Spoli1_203867	Spoli1|Spoli1_186017	0.450314	99.000000	0.004549	867.745147	98.254853	0.686088	31.422323	1272
Spoli1|Spoli1_745	Spoli1|Spoli1_8607	0.418186	3.214076	0.130111	434.365842	72.634158	1.323130	2.456197	1779
Spoli1|Spoli1_195181	Spoli1|Spoli1_180719	0.728237	3.857356	0.188792	1043.747165	171.252835	1.670757	3.507848	2334
Spoli1|Spoli1_1027	Spoli1|Spoli1_210098	0.312431	4.022283	0.077675	1232.626443	213.373557	1.370131	2.579584	1485
Spoli1|Spoli1_205878	Spoli1|Spoli1_175244	0.632426	4.077926	0.155085	1054.194046	229.805954	0.988417	3.747270	1497
Spoli1|Spoli1_222059	Spoli1|Spoli1_201884	0.441213	3.171379	0.139123	375.385398	68.614602	1.199260	2.589377	453
Spoli1|Spoli1_1334	Spoli1|Spoli1_200833	0.440764	3.888795	0.113342	1042.415954	178.584046	1.235037	2.835223	1308
Spoli1|Spoli1_195203	Spoli1|Spoli1_195204	0.655164	3.919270	0.167165	675.009864	185.990136	1.489883	4.080792	921
Spoli1|Spoli1_1533	Spoli1|Spoli1_1537	0.386721	2.426617	0.159366	701.719952	165.280048	1.730446	2.326786	1044
Spoli1|Spoli1_222065	Spoli1|Spoli1_180353	0.429042	4.138097	0.103681	1742.997556	249.002444	1.599888	2.678036	2334
Spoli1|Spoli1_184224	Spoli1|Spoli1_190777	0.583823	2.037789	0.286498	633.131268	167.868732	1.001918	2.665610	903
Spoli1|Spoli1_1585	Spoli1|Spoli1_90591	0.756164	2.112310	0.357980	958.038036	271.961964	1.312405	3.168054	1341
