SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Svas|SVAS_09120-R0	Svas|SVAS_04165-R0	0.051026	0.096403	0.529301	421.193080	187.806920	38.578066	0.195060	2385
Svas|SVAS_09119-R0	Svas|SVAS_09404-R0	0.061828	0.141542	0.436817	607.449107	205.550893	2.512063	0.245947	1182
Svas|SVAS_08912-R0	Svas|SVAS_01030-R0	0.437818	4.228337	0.103544	937.160520	280.839480	1.298389	3.935442	1992
Svas|SVAS_08915-R0	Svas|SVAS_08767-R0	0.580933	1.724468	0.336877	886.881669	289.118331	2.250865	2.586210	2841
Svas|SVAS_08913-R0	Svas|SVAS_03689-R0	0.011816	0.038406	0.307673	256.159513	106.840487	3.849763	0.058927	1146
Svas|SVAS_08822-R0	Svas|SVAS_04964-R0	0.815331	4.638308	0.175782	1572.873291	485.126709	1.277310	5.149532	3348
Svas|SVAS_08821-R0	Svas|SVAS_08145-R0	0.214776	0.877623	0.244725	945.946615	317.053385	3.396759	1.143517	1509
Svas|SVAS_09346-R0	Svas|SVAS_02495-R0	0.068746	0.107425	0.639943	1736.513107	555.486893	1.952358	0.234361	2463
Svas|SVAS_09389-R0	Svas|SVAS_08604-R0	0.046242	0.052737	0.876830	406.636642	196.363358	30.674324	0.145071	3678
Svas|SVAS_08076-R0	Svas|SVAS_06471-R0	0.012583	0.020723	0.607210	641.287393	294.712607	7.923854	0.045439	2136
Svas|SVAS_08071-R0	Svas|SVAS_02408-R0	0.187385	3.198043	0.058594	2467.253582	787.746418	1.830094	2.747994	3282
Svas|SVAS_08072-R0	Svas|SVAS_02406-R0	0.141743	3.505053	0.040440	1336.335851	463.664149	1.605515	3.024307	1908
Svas|SVAS_08073-R0	Svas|SVAS_05800-R0	0.525835	2.020190	0.260290	1084.479785	385.520215	1.566254	2.753229	1590
Svas|SVAS_08074-R0	Svas|SVAS_06580-R0	0.530743	4.642433	0.114324	1516.197231	487.802769	1.597391	4.594765	2574
Svas|SVAS_06924-R0	Svas|SVAS_00278-R0	0.144957	2.102290	0.068952	1303.347450	373.652550	1.188473	1.743213	1878
Svas|SVAS_06919-R0	Svas|SVAS_03463-R0	0.886111	4.393606	0.201682	1104.927232	350.072768	1.206180	5.190041	1752
Svas|SVAS_06927-R0	Svas|SVAS_08790-R0	0.207094	0.875117	0.236647	537.761564	200.238436	3.566079	1.165036	1167
Svas|SVAS_06922-R0	Svas|SVAS_07504-R0	0.700259	1.750072	0.400132	715.455654	193.544346	1.067113	2.771357	1107
Svas|SVAS_06920-R0	Svas|SVAS_02083-R0	0.543260	4.593932	0.118256	1474.744259	457.255741	1.122469	4.505856	2328
Svas|SVAS_06930-R0	Svas|SVAS_03524-R0	0.248070	4.394117	0.056455	1029.688746	350.311254	1.386774	3.901616	2544
Svas|SVAS_06918-R0	Svas|SVAS_09261-R0	0.051451	0.062093	0.828609	594.769508	194.230492	3.172792	0.162213	1068
Svas|SVAS_06925-R0	Svas|SVAS_00279-R0	0.269986	4.050318	0.066658	684.499630	221.500370	1.657463	3.582624	942
Svas|SVAS_06921-R0	Svas|SVAS_06405-R0	0.290807	3.405063	0.085404	317.301290	93.698710	1.451047	3.002362	852
Svas|SVAS_09458-R0	Svas|SVAS_09437-R0	0.000000	0.000000	99.000000	304.634848	124.365152	4.600000	0.000000	429
