SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Aben|ARB_03800	Aben|ARB_06326	0.835794	4.593038	0.181970	1382.289341	456.710659	1.232326	5.306687	2577
Aben|ARB_00006	Aben|ARB_05201	0.778376	4.399934	0.176906	1227.960903	353.039097	1.175934	4.761222	1905
Aben|ARB_00010	Aben|ARB_00417	0.292538	3.909806	0.074822	812.342026	183.657974	0.905122	2.878640	1359
Aben|ARB_00011	Aben|ARB_06311	0.902928	1.653445	0.546089	762.972101	242.027899	1.745663	3.251010	1305
Aben|ARB_00016	Aben|ARB_07441	0.441538	4.673570	0.094476	1690.519886	508.480114	1.248535	4.260364	2388
Aben|ARB_00025	Aben|ARB_07642	0.850036	3.772001	0.225354	651.168620	152.831380	0.727292	4.216406	1665
Aben|ARB_00035	Aben|ARB_03253	0.709437	4.359248	0.162743	1141.602311	334.397689	1.160725	4.608978	1809
Aben|ARB_00038	Aben|ARB_00382	0.576629	1.855084	0.310837	524.246265	198.753735	1.811852	2.784234	1188
Aben|ARB_00039	Aben|ARB_04978	0.504616	3.406176	0.148147	248.836669	105.163331	1.955661	4.099761	1563
Aben|ARB_00048	Aben|ARB_05915	0.802048	2.846316	0.281785	996.534115	386.465885	1.122524	4.119897	1905
Aben|ARB_00069	Aben|ARB_04342	0.703345	4.201782	0.167392	1459.044070	469.955930	1.198697	4.666974	2181
Aben|ARB_00080	Aben|ARB_02436	1.078800	1.718771	0.627658	1212.163179	413.836821	1.480995	3.725041	1917
Aben|ARB_00082	Aben|ARB_05917	0.542082	4.251595	0.127501	925.315417	289.684583	1.062246	4.279552	1587
Aben|ARB_00083	Aben|ARB_01345	0.764389	4.264075	0.179263	1256.454702	294.545298	1.347490	4.287009	2250
Aben|ARB_00090	Aben|ARB_00027	0.763964	5.088567	0.150133	2964.736279	884.263721	1.235247	5.272476	5982
Aben|ARB_00092	Aben|ARB_07014	0.810175	4.493523	0.180298	1190.040200	399.959800	1.203734	5.210130	1707
Aben|ARB_00094	Aben|ARB_00164	0.864839	2.176813	0.397296	2353.901281	862.098719	1.272307	3.649602	4149
Aben|ARB_00097	Aben|ARB_07914	0.931998	2.379940	0.391606	912.998545	284.001455	1.428956	3.826613	1821
Aben|ARB_00098	Aben|ARB_04986	0.768689	4.148959	0.185273	809.365078	252.634922	1.474127	4.718423	1317
Aben|ARB_00099	Aben|ARB_00100	0.504822	3.575127	0.141204	383.453240	117.546760	1.132889	3.675571	867
Aben|ARB_00107	Aben|ARB_07590	0.716957	1.819881	0.393958	468.542519	149.457481	2.679149	2.951067	744
Aben|ARB_00109	Aben|ARB_02522	0.706576	4.417241	0.159959	1177.719498	361.280502	1.172024	4.732967	3333
Aben|ARB_00113	Aben|ARB_05951	0.523494	4.178655	0.125278	970.161507	262.838493	1.268608	3.907992	1638
Aben|ARB_00114	Aben|ARB_00818	0.593413	3.957712	0.149938	632.228340	195.771660	1.134018	4.166596	945
Aben|ARB_00117	Aben|ARB_01122	0.837351	4.347385	0.192610	1294.506339	418.493661	1.341684	5.084605	2661
Aben|ARB_00118	Aben|ARB_00802	0.885583	4.091742	0.216432	752.921645	234.078355	1.267082	4.937880	1698
Aben|ARB_00119	Aben|ARB_06695	0.675755	4.157091	0.162555	953.610921	255.389079	0.940442	4.233456	2217
Aben|ARB_00120	Aben|ARB_03858	0.808353	4.203474	0.192306	808.318062	271.681938	1.681767	4.987261	1650
Aben|ARB_00127	Aben|ARB_00380	0.511467	1.769953	0.288972	598.893905	214.106095	1.927735	2.528679	870
Aben|ARB_00128	Aben|ARB_02086	0.907638	2.073961	0.437635	572.640914	204.359086	1.832753	3.643179	1146
Aben|ARB_00129	Aben|ARB_00115	0.740603	3.167753	0.233794	491.844946	147.155054	1.507141	3.898651	1623
Aben|ARB_00131	Aben|ARB_07953	0.429160	2.536881	0.169168	1507.718806	538.281194	1.589710	2.951039	2580
Aben|ARB_00132	Aben|ARB_04454	0.639495	3.068094	0.208434	669.561465	245.438535	1.525909	3.872818	1005
Aben|ARB_00145	Aben|ARB_02691	0.394268	3.697397	0.106634	825.788690	275.211310	2.014164	3.659804	1524
Aben|ARB_00146	Aben|ARB_05104	0.846350	4.285872	0.197474	1157.768627	303.231373	1.334395	4.680675	1818
Aben|ARB_00157	Aben|ARB_03753	0.587290	1.925788	0.304961	1352.291516	501.708484	1.521930	2.848498	1938
Aben|ARB_00163	Aben|ARB_00933	0.472109	2.497064	0.189066	1191.729015	392.270985	1.253599	2.920741	1647
Aben|ARB_00167	Aben|ARB_05882	0.291486	4.225821	0.068977	953.101257	279.898743	1.379982	3.553813	1551
Aben|ARB_03755	Aben|ARB_00749	0.726992	4.192210	0.173415	776.367911	267.632089	1.092961	4.845928	1302
Aben|ARB_03758	Aben|ARB_01491	0.827375	4.196078	0.197178	990.984179	269.015821	1.569318	4.639825	2157
Aben|ARB_02464	Aben|ARB_05759	0.809399	4.420327	0.183108	1164.229660	362.770340	1.126553	5.001750	1683
Aben|ARB_02467	Aben|ARB_05288	0.539081	2.677245	0.201357	970.452248	370.547752	1.411427	3.389709	1458
Aben|ARB_02469	Aben|ARB_00915	0.824068	2.775268	0.296933	1908.326710	629.673290	1.349995	3.924472	3060
Aben|ARB_02478	Aben|ARB_07056	0.740087	2.027723	0.364984	1076.716505	369.283495	1.473793	3.206781	1782
Aben|ARB_02479	Aben|ARB_07366	0.759645	4.620978	0.164391	1556.954178	474.045822	1.228820	4.982701	2244
Aben|ARB_02481	Aben|ARB_04635	0.911062	4.857883	0.187543	2133.866922	650.133078	0.950579	5.498228	3684
Aben|ARB_02486	Aben|ARB_03565	0.499415	4.819869	0.103616	1997.997545	618.002455	1.452971	4.560230	3867
Aben|ARB_02514	Aben|ARB_03481	0.661352	2.361926	0.280006	735.696547	227.303453	0.907071	3.188251	1272
Aben|ARB_02520	Aben|ARB_04800	0.717352	4.519017	0.158741	1293.210888	413.789112	1.364412	4.916709	1812
Aben|ARB_02524	Aben|ARB_04995	0.507106	4.387297	0.115585	1278.859466	347.140534	1.071652	4.006505	1674
Aben|ARB_02529	Aben|ARB_04723	0.968132	4.960454	0.195170	2638.586417	745.413583	1.150317	5.542633	4506
Aben|ARB_02531	Aben|ARB_02351	0.447100	2.734397	0.163509	659.547726	234.452274	1.402891	3.140836	1227
