SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Efes|EfM3.025910.mRNA-1	Efes|EfM3.025910.mRNA-2	0.000000	0.000000	99.000000	626.822981	303.177019	4.600000	0.000000	1260
Efes|EfM3.000370.mRNA-1	Efes|EfM3.000370.mRNA-2	0.062457	0.072103	0.866218	931.949750	352.050250	1.451775	0.195305	1416
Efes|EfM3.031290.mRNA-1	Efes|EfM3.063460.mRNA-1	0.462598	4.517659	0.102398	1284.959831	413.040169	1.662894	4.346986	2790
Efes|EfM3.031300.mRNA-1	Efes|EfM3.038210.mRNA-1	0.444515	4.027419	0.110372	1381.160458	214.839542	1.407418	2.780442	1728
Efes|EfM3.031320.mRNA-1	Efes|EfM3.031320.mRNA-2	0.033080	0.052803	0.626482	540.919373	167.080627	0.550310	0.113204	993
Efes|EfM3.031330.mRNA-2	Efes|EfM3.031330.mRNA-1	0.000000	0.000000	99.000000	1053.915095	305.084905	4.600000	0.000000	1392
Efes|EfM3.031350.mRNA-1	Efes|EfM3.031360.mRNA-1	0.000000	0.000000	99.000000	386.618592	111.381408	4.600000	0.000000	729
Efes|EfM3.031370.mRNA-1	Efes|EfM3.070600.mRNA-1	0.452983	4.683506	0.096719	1614.738420	515.261580	1.460960	4.429126	2181
Efes|EfM3.031390.mRNA-1	Efes|EfM3.038600.mRNA-1	0.412843	4.352028	0.094862	1558.806088	331.193912	1.113355	3.309377	2001
Efes|EfM3.000320.mRNA-1	Efes|EfM3.000320.mRNA-2	0.000000	0.000000	99.000000	1045.539518	424.460482	4.600000	0.000000	1551
Efes|EfM3.000290.mRNA-1	Efes|EfM3.009995.mRNA-1	1.049311	1.959186	0.535585	1082.427892	438.572108	1.310227	3.935007	1746
Efes|EfM3.000270.mRNA-1	Efes|EfM3.067740.mRNA-1	0.651468	3.918559	0.166252	768.186088	185.813912	0.738091	3.863431	1053
Efes|EfM3.031470.mRNA-1	Efes|EfM3.066180.mRNA-1	0.464252	3.342898	0.138877	396.754524	86.245476	1.144438	2.934807	546
Efes|EfM3.031500.mRNA-1	Efes|EfM3.031500.mRNA-2	0.019365	0.000000	99.000000	366.376082	158.623918	4.600000	0.040541	567
Efes|EfM3.031500.mRNA-3	Efes|EfM3.031500.mRNA-4	0.000000	0.000000	99.000000	526.127618	202.872382	4.600000	0.000000	825
Efes|EfM3.031520.mRNA-1	Efes|EfM3.036980.mRNA-1	0.583574	4.331245	0.134736	888.403320	299.596680	1.315011	4.586050	1929
Efes|EfM3.031530.mRNA-1	Efes|EfM3.005990.mRNA-1	0.874298	4.382748	0.199486	1103.958607	345.041393	1.312882	5.129232	1629
Efes|EfM3.031550.mRNA-1	Efes|EfM3.045910.mRNA-1	0.352030	3.595198	0.097917	539.265032	120.734968	1.724740	2.835925	1182
Efes|EfM3.003680.mRNA-1	Efes|EfM3.023600.mRNA-1	1.001007	4.343499	0.230461	1151.550917	327.449083	1.095868	5.223095	1773
Efes|EfM3.003660.mRNA-1	Efes|EfM3.073780.mRNA-1	0.712856	3.334307	0.213794	1726.397876	496.602124	1.479057	3.895407	2871
Efes|EfM3.003640.mRNA-1	Efes|EfM3.022530.mRNA-1	0.381006	3.908653	0.097478	614.624142	183.375858	1.341507	3.574918	810
Efes|EfM3.003540.mRNA-1	Efes|EfM3.081670.mRNA-1	0.801342	2.382691	0.336318	667.495490	238.504510	2.019972	3.652897	1191
Efes|EfM3.002670.mRNA-1	Efes|EfM3.066150.mRNA-1	0.711308	1.625208	0.437672	1159.474119	364.525881	2.058429	2.789713	2742
Efes|EfM3.000210.mRNA-1	Efes|EfM3.057180.mRNA-1	0.741635	4.078663	0.181833	759.968404	230.031596	1.406408	4.551033	1752
Efes|EfM3.000200.mRNA-1	Efes|EfM3.000200.mRNA-2	0.257363	0.529481	0.486066	363.872877	116.127123	1.038041	0.969590	717
Efes|EfM3.000190.mRNA-1	Efes|EfM3.002050.mRNA-1	0.775661	4.804936	0.161430	2028.180594	605.819406	1.108650	5.107181	4812
Efes|EfM3.000150.mRNA-1	Efes|EfM3.020410.mRNA-1	0.867592	3.151472	0.275297	1084.207112	364.792888	1.185605	4.327709	1869
Efes|EfM3.043360.mRNA-1	Efes|EfM3.024350.mRNA-1	0.705270	2.541164	0.277538	951.879914	371.120086	2.147268	3.660793	1401
Efes|EfM3.043340.mRNA-1	Efes|EfM3.053780.mRNA-1	0.295080	1.815337	0.162548	1041.954001	353.045999	2.160117	2.039477	1437
Efes|EfM3.043310.mRNA-1	Efes|EfM3.054940.mRNA-1	0.664525	2.232831	0.297615	433.939397	151.060603	1.916684	3.208494	1791
Efes|EfM3.043300.mRNA-1	Efes|EfM3.043300.mRNA-2	0.016418	0.019652	0.835465	1129.188753	343.811247	2.165251	0.051519	1506
Efes|EfM3.043150.mRNA-1	Efes|EfM3.053480.mRNA-1	0.679728	2.307563	0.294565	582.556006	161.443994	1.032762	3.098878	984
Efes|EfM3.043130.mRNA-1	Efes|EfM3.034530.mRNA-1	0.350410	4.123181	0.084985	1153.900694	244.099306	1.290312	3.027476	1434
Efes|EfM3.043110.mRNA-1	Efes|EfM3.069880.mRNA-1	0.867162	4.389182	0.197568	1091.986038	348.013962	1.296333	5.155053	1944
Efes|EfM3.043090.mRNA-1	Efes|EfM3.059380.partial-1.mRNA-1	0.459161	3.613874	0.127055	632.220848	123.779152	1.230824	2.927038	819
Efes|EfM3.043080.mRNA-1	Efes|EfM3.036190.mRNA-1	0.304952	4.158471	0.073333	851.140468	255.859532	1.705780	3.586833	1182
Efes|EfM3.043050.mRNA-1	Efes|EfM3.080480.mRNA-1	0.455411	3.626207	0.125589	453.168633	125.831367	1.346793	3.433516	651
Efes|EfM3.038140.mRNA-1	Efes|EfM3.074080.mRNA-1	0.688020	3.984784	0.172662	838.032714	202.967286	1.227801	3.992402	1215
Efes|EfM3.038160.mRNA-1	Efes|EfM3.038160.mRNA-2	0.000000	0.000000	99.000000	1408.679741	604.320259	4.600000	0.000000	2097
Efes|EfM3.038170.mRNA-1	Efes|EfM3.007540.mRNA-1	0.379393	2.152590	0.176250	929.547122	327.452878	1.948842	2.523951	1614
Efes|EfM3.038220.mRNA-1	Efes|EfM3.038220_+_contig_241.match-1	0.000000	0.000000	99.000000	744.006004	95.993996	4.600000	0.000000	840
Efes|EfM3.038260.mRNA-1	Efes|EfM3.009410.mRNA-1	0.855127	2.159223	0.396035	1931.913337	651.086663	1.567299	3.551536	3213
