SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spapa3|Spapa3_63860	Spapa3|Spapa3_65737	0.045643	0.101817	0.448281	1154.132464	327.867536	1.700588	0.174211	1572
Spapa3|Spapa3_131476	Spapa3|Spapa3_137089	0.332579	2.211169	0.150408	998.376047	291.623953	2.285897	2.271787	1332
Spapa3|Spapa3_57675	Spapa3|Spapa3_60164	0.492442	0.281190	1.751278	1156.367435	478.632565	1.957702	1.291800	1923
Spapa3|Spapa3_57685	Spapa3|Spapa3_63076	0.671098	1.201784	0.558418	1020.923632	314.076368	1.500204	2.387847	2892
Spapa3|Spapa3_144914	Spapa3|Spapa3_54663	0.472715	5.144012	0.091896	3772.887907	952.112093	1.437308	4.242017	5139
Spapa3|Spapa3_133099	Spapa3|Spapa3_144298	0.510513	2.594305	0.196782	239.334940	63.665060	1.344259	2.845053	348
Spapa3|Spapa3_144982	Spapa3|Spapa3_151807	0.068249	1.030030	0.066259	1476.648083	347.351917	1.037897	0.754215	3759
Spapa3|Spapa3_53104	Spapa3|Spapa3_133715	0.121569	1.543867	0.078743	3233.671416	864.328584	1.843856	1.264657	4143
Spapa3|Spapa3_57726	Spapa3|Spapa3_69102	0.027849	0.040779	0.682909	2390.214269	672.785731	1.607030	0.092066	3498
Spapa3|Spapa3_53113	Spapa3|Spapa3_70306	0.600716	2.058707	0.291793	2715.135218	668.864782	1.123458	2.666685	3840
Spapa3|Spapa3_57734	Spapa3|Spapa3_144825	0.321212	3.644137	0.088145	477.124160	128.875840	1.483159	3.083659	798
Spapa3|Spapa3_57752	Spapa3|Spapa3_131185	0.000000	0.000000	99.000000	1202.103832	441.896168	4.600000	0.000000	2688
Spapa3|Spapa3_57763	Spapa3|Spapa3_62538	0.733193	0.993290	0.738146	927.422912	341.577088	1.563660	2.409609	2520
Spapa3|Spapa3_63949	Spapa3|Spapa3_149368	0.884928	4.426209	0.199929	1533.373732	365.626268	1.151803	4.700259	3753
Spapa3|Spapa3_57782	Spapa3|Spapa3_64803	0.445665	1.080967	0.412284	397.801877	127.198123	2.049371	1.798762	1350
Spapa3|Spapa3_130974	Spapa3|Spapa3_158847	0.861857	3.082510	0.279596	1287.203410	278.796590	1.244630	3.771608	1836
Spapa3|Spapa3_57813	Spapa3|Spapa3_60202	0.225108	1.525608	0.147553	895.895912	253.104088	1.871087	1.534754	1380
