SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Elat|UCREL1_1295	Elat|UCREL1_1398	0.674917	4.045718	0.166823	1192.853949	220.146051	1.047770	3.600268	1632
Elat|UCREL1_1297	Elat|UCREL1_6610	0.630556	4.298534	0.146691	1101.605712	308.394288	0.965981	4.298443	1647
Elat|UCREL1_1298	Elat|UCREL1_2558	0.538146	4.280121	0.125731	1055.084950	300.915050	1.412650	4.105625	1479
Elat|UCREL1_1301	Elat|UCREL1_9005	0.488705	2.419210	0.202010	605.667437	201.332563	1.485021	2.910998	1317
Elat|UCREL1_1303	Elat|UCREL1_11075	0.476512	2.260785	0.210773	759.084116	260.915884	1.931757	2.798786	1077
Elat|UCREL1_1306	Elat|UCREL1_9052	0.858170	4.525994	0.189609	1661.343791	417.656209	1.310598	4.785029	4491
Elat|UCREL1_10224	Elat|UCREL1_5307	0.616209	4.611251	0.133632	644.922858	192.077142	1.087288	4.599008	909
Elat|UCREL1_8420	Elat|UCREL1_836	0.711661	4.496163	0.158282	1308.629971	401.370029	1.482889	4.799871	1896
Elat|UCREL1_8422	Elat|UCREL1_4386	0.669393	3.935400	0.170095	886.966607	190.033393	1.306858	3.737011	1197
Elat|UCREL1_8423	Elat|UCREL1_9457	0.555990	3.876541	0.143424	589.310062	175.689938	1.109077	3.955763	1260
Elat|UCREL1_8425	Elat|UCREL1_7762	0.382700	4.045166	0.094607	1010.016097	219.983903	1.802371	3.113183	1269
Elat|UCREL1_8429	Elat|UCREL1_11693	0.473317	3.717325	0.127327	826.913970	142.086030	1.262147	2.846973	1071
Elat|UCREL1_8430	Elat|UCREL1_6607	0.610472	3.933087	0.155214	653.551672	189.448328	1.369352	4.071500	1260
Elat|UCREL1_8431	Elat|UCREL1_2987	0.564641	4.022776	0.140361	698.486168	213.513832	1.261061	4.122737	1470
Elat|UCREL1_8432	Elat|UCREL1_1601	0.719120	2.414177	0.297874	1308.463465	449.536535	1.222923	3.457684	1956
Elat|UCREL1_8436	Elat|UCREL1_3111	0.324817	3.241582	0.100203	455.652576	75.347424	1.384696	2.216095	837
Elat|UCREL1_8441	Elat|UCREL1_6529	0.712387	3.650039	0.195172	650.105953	129.894047	1.445395	3.604791	846
Elat|UCREL1_8442	Elat|UCREL1_5286	0.687328	2.029470	0.338674	879.980006	293.019994	1.597073	3.067800	1680
Elat|UCREL1_8452	Elat|UCREL1_10343	0.290699	3.745894	0.077605	581.397162	147.602838	1.558770	2.970848	756
Elat|UCREL1_2012	Elat|UCREL1_2034	0.769824	4.259810	0.180718	1003.124725	292.875275	1.152173	4.675514	1797
Elat|UCREL1_2013	Elat|UCREL1_6278	0.523841	4.144734	0.126387	930.784183	251.215817	1.166837	3.880218	1275
Elat|UCREL1_2019	Elat|UCREL1_6470	0.650782	4.046346	0.160832	1093.669535	220.330465	1.332373	3.660443	2019
Elat|UCREL1_4717	Elat|UCREL1_4259	0.621036	4.151950	0.149577	1198.355747	253.644253	1.023168	3.713513	1572
Elat|UCREL1_4719	Elat|UCREL1_7492	0.747918	3.617713	0.206738	412.585607	124.414393	1.718649	4.238413	609
Elat|UCREL1_4720	Elat|UCREL1_6537	0.789295	4.310520	0.183109	1123.637509	313.362491	1.342300	4.671475	2466
Elat|UCREL1_4721	Elat|UCREL1_6536	0.883010	3.022596	0.292136	608.191221	201.808779	1.325786	4.248242	957
Elat|UCREL1_4723	Elat|UCREL1_5308	0.362978	3.846903	0.094356	809.117358	168.882642	1.280779	2.893764	1035
Elat|UCREL1_4725	Elat|UCREL1_392	0.560257	3.187400	0.175772	1778.988303	546.011697	1.324513	3.531675	2769
Elat|UCREL1_4727	Elat|UCREL1_8400	0.623438	1.873020	0.332852	788.866193	258.133807	1.512904	2.794553	1116
Elat|UCREL1_4728	Elat|UCREL1_28	0.665421	4.358959	0.152656	1051.731420	334.268580	1.346726	4.668631	3108
Elat|UCREL1_4729	Elat|UCREL1_8976	0.660751	2.232272	0.295999	1127.290292	399.709708	1.432747	3.216344	1920
Elat|UCREL1_4730	Elat|UCREL1_9683	0.693436	4.450796	0.155800	1356.188986	377.811014	1.525607	4.536314	2031
Elat|UCREL1_8868	Elat|UCREL1_4485	0.587252	4.237574	0.138582	1269.680473	284.319527	1.445343	3.765342	2178
Elat|UCREL1_8871	Elat|UCREL1_6197	0.244744	1.715505	0.142666	734.097441	159.902559	1.439910	1.523421	1014
Elat|UCREL1_8875	Elat|UCREL1_1049	0.499555	3.680358	0.135735	434.747366	135.252634	1.664246	3.762939	1221
Elat|UCREL1_8877	Elat|UCREL1_589	0.500089	3.587840	0.139384	597.443835	119.556165	1.209720	3.044868	1251
Elat|UCREL1_8878	Elat|UCREL1_2559	0.704840	4.072437	0.173076	812.869775	228.130225	1.531262	4.328500	1140
Elat|UCREL1_8879	Elat|UCREL1_569	0.670142	2.053992	0.326263	897.042479	251.957521	1.685357	2.920796	1614
Elat|UCREL1_8880	Elat|UCREL1_6090	0.321125	3.006208	0.106820	298.948051	55.051949	1.274742	2.216078	357
Elat|UCREL1_8881	Elat|UCREL1_10883	0.553586	4.054379	0.136540	755.296997	222.703003	1.552904	4.052283	1707
Elat|UCREL1_8889	Elat|UCREL1_722	0.522618	4.050230	0.129034	918.525629	221.474371	1.137835	3.623843	2097
Elat|UCREL1_11317	Elat|UCREL1_7758	0.384077	2.825072	0.135953	831.346988	263.653012	1.622653	2.915451	1530
Elat|UCREL1_11318	Elat|UCREL1_7418	0.337981	3.178695	0.106327	805.315972	277.684028	1.762285	3.199043	1092
Elat|UCREL1_11319	Elat|UCREL1_7579	0.328413	4.187573	0.078426	829.017284	265.982716	1.625265	3.797485	1122
Elat|UCREL1_11320	Elat|UCREL1_11111	0.526966	2.053857	0.256574	473.495894	156.504106	2.077432	2.718825	639
Elat|UCREL1_11323	Elat|UCREL1_6168	0.830243	4.454544	0.186381	1264.296047	379.703953	1.213287	5.001973	1890
Elat|UCREL1_11324	Elat|UCREL1_3666	0.595398	3.904727	0.152481	1941.917655	623.082345	1.748131	4.197873	6342
Elat|UCREL1_11325	Elat|UCREL1_10890	0.744702	4.029256	0.184824	595.685809	187.314191	1.757929	4.591362	1692
Elat|UCREL1_2209	Elat|UCREL1_1034	0.737089	4.608826	0.159930	951.402699	278.597301	1.541506	4.842134	2484
Elat|UCREL1_2210	Elat|UCREL1_2511	0.348401	3.587262	0.097122	705.535906	119.464094	1.098595	2.452213	1194
Elat|UCREL1_2212	Elat|UCREL1_3615	0.476834	4.062469	0.117375	716.881850	225.118150	1.303446	4.001176	1584
Elat|UCREL1_2213	Elat|UCREL1_9854	0.289966	2.001383	0.144883	630.458877	233.541123	2.757331	2.257697	1029
Elat|UCREL1_2216	Elat|UCREL1_6163	0.397345	4.240160	0.093710	1301.698567	285.301433	1.091261	3.264551	1752
Elat|UCREL1_2217	Elat|UCREL1_346	0.318948	4.309475	0.074011	1139.074128	312.925872	0.952163	3.536883	1494
Elat|UCREL1_2219	Elat|UCREL1_2856	0.530011	3.486858	0.152002	609.504512	104.495488	1.543801	2.888255	840
Elat|UCREL1_5480	Elat|UCREL1_7382	0.795619	4.194256	0.189693	958.636877	268.363123	1.119973	4.616854	1599
Elat|UCREL1_5482	Elat|UCREL1_9004	0.830669	3.178265	0.261359	650.340133	222.659867	1.445276	4.288280	1098
Elat|UCREL1_5484	Elat|UCREL1_11064	0.582263	4.282126	0.135975	1255.279348	301.720652	1.032640	3.897705	2952
Elat|UCREL1_6469	Elat|UCREL1_11467	0.594273	4.070302	0.146002	750.518292	227.481708	1.179736	4.208381	1302
Elat|UCREL1_9196	Elat|UCREL1_3023	0.513160	3.987021	0.128708	729.426210	203.573790	1.495096	3.813395	975
Elat|UCREL1_9201	Elat|UCREL1_699	0.817928	2.713146	0.301469	1151.187775	435.812225	1.670810	4.015144	1776
Elat|UCREL1_9205	Elat|UCREL1_4743	0.459149	3.959828	0.115952	646.675224	196.324776	2.138659	3.823248	870
Elat|UCREL1_9212	Elat|UCREL1_3633	0.648340	4.287042	0.151232	1169.295294	303.704706	1.503346	4.195714	1932
Elat|UCREL1_9213	Elat|UCREL1_5200	0.616172	2.021012	0.304883	678.638591	227.361409	1.685387	2.906152	2625
