SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Sfla|SFLA_07835-R0	Sfla|SFLA_07363-R0	1.018514	2.806267	0.362943	739.367458	265.632542	1.647392	4.473111	1293
Sfla|SFLA_07833-R0	Sfla|SFLA_02463-R0	0.547968	2.346771	0.233498	1667.393879	582.606121	1.380732	3.041228	2757
Sfla|SFLA_08748-R0	Sfla|SFLA_04051-R0	0.502805	4.287011	0.117286	908.307992	303.692008	1.400606	4.353050	1275
Sfla|SFLA_03631-R0	Sfla|SFLA_03287-R0	0.855426	4.465155	0.191578	1159.885787	385.114213	1.573509	5.265613	1662
Sfla|SFLA_03622-R0	Sfla|SFLA_05997-R0	0.251473	0.305688	0.822648	330.186689	122.813311	21.593012	0.798515	753
Sfla|SFLA_03625-R0	Sfla|SFLA_03491-R0	0.871974	3.986798	0.218715	3725.823735	1302.176265	1.352407	5.036000	9612
Sfla|SFLA_03630-R0	Sfla|SFLA_06093-R0	0.830175	2.745333	0.302395	715.691441	232.308559	1.081366	3.898461	1056
Sfla|SFLA_03642-R0	Sfla|SFLA_08215-R0	0.836518	4.233018	0.197617	932.402303	282.597697	0.978883	4.879538	3999
Sfla|SFLA_03636-R0	Sfla|SFLA_01514-R0	1.009584	2.409276	0.419040	847.227008	322.772992	1.708781	4.187170	1437
Sfla|SFLA_03632-R0	Sfla|SFLA_05957-R0	0.901648	3.753202	0.240234	462.951790	149.048210	1.236341	4.788371	855
Sfla|SFLA_03634-R0	Sfla|SFLA_02003-R0	0.538905	2.521798	0.213699	624.347908	233.652092	1.633204	3.236670	993
Sfla|SFLA_03626-R0	Sfla|SFLA_03977-R0	0.782205	1.784390	0.438360	1131.046387	404.953613	1.299706	3.139268	1569
Sfla|SFLA_03624-R0	Sfla|SFLA_00954-R0	0.891937	1.645045	0.542196	604.888626	232.111374	1.289792	3.302353	1122
Sfla|SFLA_03628-R0	Sfla|SFLA_00720-R0	0.786797	4.526995	0.173801	1240.785800	418.214200	1.371791	5.188971	1926
Sfla|SFLA_03635-R0	Sfla|SFLA_05386-R0	0.834313	4.435831	0.188085	1129.652488	370.347512	1.364268	5.170566	1560
Sfla|SFLA_03637-R0	Sfla|SFLA_00512-R0	0.792126	1.653604	0.479030	746.488381	252.511619	1.600342	3.029631	1077
Sfla|SFLA_03621-R0	Sfla|SFLA_07011-R0	0.614764	5.158355	0.119178	3082.504753	970.495247	1.408497	5.108194	7056
Sfla|SFLA_03644-R0	Sfla|SFLA_01302-R0	0.874628	4.474980	0.195448	1523.308244	486.691756	1.522975	5.239199	2610
Sfla|SFLA_07214-R0	Sfla|SFLA_08181-R0	0.693545	2.605490	0.266186	1386.356534	479.643466	1.397848	3.554996	2208
Sfla|SFLA_07218-R0	Sfla|SFLA_03677-R0	0.945229	1.993533	0.474148	679.345662	256.654338	1.076373	3.698033	1083
Sfla|SFLA_07217-R0	Sfla|SFLA_09129-R0	0.886743	2.630612	0.337086	2110.168561	646.831439	1.472462	3.887639	4209
Sfla|SFLA_07222-R0	Sfla|SFLA_05953-R0	0.419198	3.996077	0.104902	597.953425	206.046575	1.564070	4.007607	813
Sfla|SFLA_08092-R0	Sfla|SFLA_07328-R0	0.866595	3.057474	0.283435	728.122253	267.877747	1.269575	4.367519	1446
