SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spore1|Spore1_3	Spore1|Spore1_2833	0.387468	2.637104	0.146929	952.192203	247.807797	1.050848	2.556097	1422
Spore1|Spore1_6	Spore1|Spore1_5706	0.558363	3.849867	0.145034	889.448528	169.551472	1.124504	3.256051	1404
Spore1|Spore1_12	Spore1|Spore1_4727	0.695916	4.018682	0.173170	1026.648458	212.351542	1.127625	3.796210	1632
Spore1|Spore1_18	Spore1|Spore1_3962	0.673087	4.520069	0.148911	1937.630235	414.369765	1.272095	4.052517	2778
Spore1|Spore1_20	Spore1|Spore1_4599	0.645357	3.561584	0.181199	688.556867	115.443133	1.567893	3.192259	1119
Spore1|Spore1_23	Spore1|Spore1_2233	0.670729	3.050463	0.219878	679.038230	172.961770	1.563552	3.461494	1002
Spore1|Spore1_25	Spore1|Spore1_2777	0.648620	4.224932	0.153522	1325.432744	279.567256	1.295808	3.814683	1716
Spore1|Spore1_31	Spore1|Spore1_5335	0.604686	4.165511	0.145165	1238.727636	258.272364	1.498229	3.657069	1785
Spore1|Spore1_36	Spore1|Spore1_5683	0.653274	4.260967	0.153316	1206.672516	293.327484	1.258540	4.076294	1704
Spore1|Spore1_41	Spore1|Spore1_863	0.359791	4.298295	0.083706	1284.704018	308.295982	1.240476	3.366049	2190
Spore1|Spore1_50	Spore1|Spore1_4865	0.562498	4.154220	0.135404	1284.586758	254.413242	1.227004	3.468744	2064
Spore1|Spore1_59	Spore1|Spore1_3477	0.784179	4.096725	0.191416	934.361278	235.638722	0.935902	4.353984	1437
Spore1|Spore1_60	Spore1|Spore1_160	0.619492	3.625448	0.170873	867.295885	125.704115	1.139655	3.000051	1278
Spore1|Spore1_72	Spore1|Spore1_6241	0.732255	4.189278	0.174793	1218.412020	266.587980	1.507131	4.058585	1527
Spore1|Spore1_75	Spore1|Spore1_437	0.692340	4.055209	0.170728	1298.050439	222.949561	1.391362	3.555816	1593
Spore1|Spore1_77	Spore1|Spore1_2829	0.678005	4.324266	0.156791	1276.841379	319.158621	1.356428	4.221488	1854
Spore1|Spore1_90	Spore1|Spore1_4758	0.719317	4.093078	0.175740	1166.504232	234.495768	1.173505	3.852024	1647
Spore1|Spore1_95	Spore1|Spore1_954	0.607825	4.366905	0.139189	1375.170772	337.829228	1.232531	4.047517	1896
Spore1|Spore1_112	Spore1|Spore1_5449	0.616242	3.676379	0.167622	672.463100	134.536900	0.949182	3.379215	972
Spore1|Spore1_113	Spore1|Spore1_1133	0.692586	3.522794	0.196601	523.375762	109.624238	1.593892	3.548182	711
Spore1|Spore1_114	Spore1|Spore1_5878	0.467223	4.210693	0.110961	1351.690585	274.309415	1.042968	3.296262	1875
Spore1|Spore1_117	Spore1|Spore1_6098	0.577948	3.776877	0.153023	797.171856	153.828144	2.216318	3.286164	1494
Spore1|Spore1_126	Spore1|Spore1_4156	0.378899	99.000000	0.003827	821.230331	84.769669	1.070861	28.819074	1059
Spore1|Spore1_128	Spore1|Spore1_2323	0.177970	0.508832	0.349763	978.856994	353.143006	3.467420	0.797067	1962
Spore1|Spore1_131	Spore1|Spore1_3485	0.699784	4.196717	0.166746	1401.754895	269.245105	1.309900	3.789714	2340
Spore1|Spore1_134	Spore1|Spore1_2880	0.619186	3.876582	0.159725	859.300418	175.699582	1.139633	3.516466	1143
Spore1|Spore1_141	Spore1|Spore1_759	0.705603	3.813698	0.185018	867.431332	161.568668	1.694022	3.580864	1101
Spore1|Spore1_142	Spore1|Spore1_2580	0.402546	3.924388	0.102575	997.736426	187.263574	1.345951	2.877290	1332
Spore1|Spore1_143	Spore1|Spore1_6457	0.758876	4.126980	0.183882	1248.661155	245.338845	1.826866	3.935920	1701
Spore1|Spore1_150	Spore1|Spore1_2338	0.388890	3.858890	0.100778	1241.396464	171.603536	1.247446	2.430925	1842
Spore1|Spore1_156	Spore1|Spore1_3210	0.716783	4.075231	0.175888	1280.018609	228.981391	1.158677	3.679220	2226
Spore1|Spore1_163	Spore1|Spore1_6642	0.459937	2.723357	0.168886	737.064342	198.935658	1.072587	2.822999	1053
Spore1|Spore1_179	Spore1|Spore1_180	0.018727	0.033503	0.558968	1130.933083	369.066917	1.423532	0.067089	1983
Spore1|Spore1_186	Spore1|Spore1_1534	0.692099	4.410964	0.156904	1564.730712	358.269288	1.264630	4.154853	2373
Spore1|Spore1_190	Spore1|Spore1_5443	0.509701	99.000000	0.005148	831.107372	143.892628	1.221356	45.135343	1179
Spore1|Spore1_191	Spore1|Spore1_5371	0.566726	3.881725	0.145999	810.091386	176.908614	0.939685	3.482707	1527
Spore1|Spore1_205	Spore1|Spore1_1703	0.645617	4.153555	0.155437	1386.812074	254.187926	1.590299	3.566970	2025
Spore1|Spore1_211	Spore1|Spore1_5545	0.733592	4.298154	0.170676	1650.761935	308.238065	1.346748	3.883370	3576
Spore1|Spore1_212	Spore1|Spore1_3162	0.776376	3.667709	0.211679	701.009351	132.990649	1.503821	3.712295	1059
Spore1|Spore1_228	Spore1|Spore1_3999	0.410494	3.565981	0.115114	597.877934	116.122066	1.367270	2.771070	861
Spore1|Spore1_234	Spore1|Spore1_4848	0.552687	4.063105	0.136026	1448.690997	225.309003	2.160346	3.075496	1854
Spore1|Spore1_236	Spore1|Spore1_4592	0.477350	4.666532	0.102292	2511.268715	503.731285	1.519444	3.531773	3663
Spore1|Spore1_249	Spore1|Spore1_5742	0.678563	3.937771	0.172322	1309.364885	190.635115	1.235951	3.278327	1731
Spore1|Spore1_251	Spore1|Spore1_1685	0.562712	3.810799	0.147663	862.054575	160.945425	1.441391	3.221171	1158
Spore1|Spore1_256	Spore1|Spore1_776	0.598588	2.340019	0.255805	486.456492	125.543508	2.139824	2.867456	783
Spore1|Spore1_257	Spore1|Spore1_1746	0.843010	4.266820	0.197573	1039.374526	295.625474	1.276888	4.803559	1593
Spore1|Spore1_259	Spore1|Spore1_5810	0.617335	3.980502	0.155090	974.188023	201.811977	1.634506	3.583452	1479
Spore1|Spore1_265	Spore1|Spore1_3056	0.738029	2.279504	0.323767	2196.437319	686.562681	1.277295	3.315356	4608
Spore1|Spore1_273	Spore1|Spore1_1817	0.466306	99.000000	0.004710	1217.706126	171.293874	1.162565	37.852952	1650
Spore1|Spore1_283	Spore1|Spore1_4508	0.656832	3.829739	0.171508	740.938384	165.061616	1.509537	3.704686	1065
Spore1|Spore1_288	Spore1|Spore1_1078	0.723027	4.501533	0.160618	1878.745618	404.254382	0.866866	4.176278	2832
Spore1|Spore1_302	Spore1|Spore1_642	0.590614	3.384286	0.174517	793.037641	226.962359	0.860299	3.636719	1497
Spore1|Spore1_312	Spore1|Spore1_615	0.378508	99.000000	0.003823	999.779517	125.220483	0.933102	34.067340	1491
Spore1|Spore1_320	Spore1|Spore1_981	0.662721	5.158902	0.128462	4728.797008	971.202992	1.328050	4.286428	6822
Spore1|Spore1_323	Spore1|Spore1_4941	0.598711	4.288458	0.139610	1744.721448	304.278552	1.192534	3.439926	2271
Spore1|Spore1_333	Spore1|Spore1_836	0.275029	3.375196	0.081485	482.959301	90.040699	1.557194	2.286559	579
Spore1|Spore1_347	Spore1|Spore1_911	0.532067	3.892906	0.136676	888.434200	179.565800	1.976710	3.291403	1371
Spore1|Spore1_351	Spore1|Spore1_3217	0.519476	4.122949	0.125996	1360.976265	244.023735	0.977371	3.202040	3468
Spore1|Spore1_367	Spore1|Spore1_2926	0.530425	3.840848	0.138101	828.475400	167.524600	1.167920	3.261688	2259
Spore1|Spore1_376	Spore1|Spore1_3805	0.458053	3.252892	0.140814	424.507736	76.492264	1.062518	2.654300	534
Spore1|Spore1_383	Spore1|Spore1_2085	0.623443	2.884001	0.216173	1281.650722	359.349278	1.411977	3.355393	1773
Spore1|Spore1_390	Spore1|Spore1_2211	0.696496	3.861688	0.180360	1333.755061	172.244939	1.400183	3.175520	1875
Spore1|Spore1_398	Spore1|Spore1_33	0.601292	3.924720	0.153206	931.653357	187.346643	1.454954	3.473133	1968
Spore1|Spore1_406	Spore1|Spore1_4487	0.655344	4.524702	0.144837	2208.062584	416.937416	1.385900	3.809781	3399
Spore1|Spore1_408	Spore1|Spore1_4765	0.673890	3.859839	0.174590	926.179208	171.820792	0.951539	3.517332	1347
Spore1|Spore1_416	Spore1|Spore1_4332	0.605242	4.690864	0.129026	2728.658465	520.341535	1.205029	3.778717	3978
Spore1|Spore1_422	Spore1|Spore1_2627	0.259971	3.328926	0.078095	458.346355	84.653645	1.209991	2.215263	546
Spore1|Spore1_428	Spore1|Spore1_3772	0.699140	4.395396	0.159062	1404.090534	350.909466	1.367403	4.314601	1959
Spore1|Spore1_439	Spore1|Spore1_2678	0.668872	4.526441	0.147770	2381.094916	417.905084	1.283951	3.734481	5310
Spore1|Spore1_440	Spore1|Spore1_5586	0.624154	3.675401	0.169819	720.638359	134.361641	1.301501	3.310955	1026
Spore1|Spore1_441	Spore1|Spore1_3019	0.535482	3.024941	0.177022	381.555645	56.444355	1.646677	2.568883	519
Spore1|Spore1_447	Spore1|Spore1_1249	0.427785	3.600601	0.118809	769.392237	121.607763	1.080577	2.582476	1002
Spore1|Spore1_449	Spore1|Spore1_5274	0.504751	3.843980	0.131309	977.774326	168.225674	1.428569	2.984787	1449
Spore1|Spore1_450	Spore1|Spore1_2273	0.479098	3.668612	0.130594	733.849077	133.150923	1.147292	2.906798	1281
Spore1|Spore1_455	Spore1|Spore1_3375	0.615140	99.000000	0.006214	871.732235	127.267765	1.681224	39.446684	1239
Spore1|Spore1_456	Spore1|Spore1_5391	0.627301	99.000000	0.006336	380.295786	81.704214	0.906880	54.073228	537
Spore1|Spore1_459	Spore1|Spore1_1969	0.267446	1.948958	0.137225	815.719594	123.280406	1.053706	1.464630	1074
Spore1|Spore1_464	Spore1|Spore1_1187	0.537358	4.496876	0.119496	1779.248008	401.751992	1.100183	3.800169	4230
Spore1|Spore1_465	Spore1|Spore1_6294	0.326768	3.586413	0.091113	915.671023	119.328977	1.080092	2.107754	1365
Spore1|Spore1_474	Spore1|Spore1_3767	0.548750	4.152251	0.132157	1312.253656	253.746344	1.578547	3.397927	4278
Spore1|Spore1_493	Spore1|Spore1_1290	0.585407	4.583433	0.127722	1826.100967	450.899033	1.295498	4.131326	2583
Spore1|Spore1_496	Spore1|Spore1_1740	0.733781	4.381153	0.167486	3761.642176	1041.357824	1.291990	4.573747	5913
Spore1|Spore1_502	Spore1|Spore1_4913	0.435382	3.781254	0.115142	814.271407	154.728593	0.912752	2.908939	1065
Spore1|Spore1_509	Spore1|Spore1_520	0.397103	4.504834	0.088150	2302.962590	406.037410	0.997132	3.038366	3042
Spore1|Spore1_515	Spore1|Spore1_4344	0.392770	2.159679	0.181865	315.189430	71.810570	1.055835	2.161896	426
Spore1|Spore1_530	Spore1|Spore1_650	0.461277	4.072010	0.113280	1436.999812	228.000188	1.151182	2.867161	2313
Spore1|Spore1_539	Spore1|Spore1_5393	0.734230	4.037686	0.181844	1099.198967	217.801033	1.317667	3.841634	1686
Spore1|Spore1_546	Spore1|Spore1_3953	0.475879	4.086433	0.116453	1591.572889	232.427111	1.187545	2.807885	4317
Spore1|Spore1_555	Spore1|Spore1_4512	0.757195	3.979131	0.190291	977.556661	201.443339	1.090443	3.923079	1440
Spore1|Spore1_567	Spore1|Spore1_3323	0.506970	3.129626	0.161990	451.100842	64.899158	1.172039	2.510491	579
Spore1|Spore1_595	Spore1|Spore1_5524	0.451391	3.924223	0.115027	1054.777645	187.222355	1.133346	2.924684	1317
Spore1|Spore1_608	Spore1|Spore1_4517	0.628485	3.731299	0.168436	797.241702	144.758298	1.455536	3.315894	1251
Spore1|Spore1_634	Spore1|Spore1_4143	0.590292	3.952672	0.149340	1353.539486	194.460514	1.450945	3.038026	1704
Spore1|Spore1_643	Spore1|Spore1_1619	0.400498	3.729351	0.107391	1091.617273	144.382727	1.163996	2.368068	1326
Spore1|Spore1_645	Spore1|Spore1_5653	0.655525	4.457938	0.147047	1883.573929	381.426071	1.287798	3.887553	3219
Spore1|Spore1_658	Spore1|Spore1_6061	0.527496	4.142941	0.127324	1678.384296	250.615704	1.057868	2.991644	2460
Spore1|Spore1_671	Spore1|Spore1_2857	0.490640	3.962495	0.123821	1053.975910	197.024090	0.869057	3.112302	1446
