SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
ThoPMI491_1|ThoPMI491_1_630877	ThoPMI491_1|ThoPMI491_1_616615	0.606036	3.886355	0.155939	553.995961	178.004039	1.502684	4.211181	1017
ThoPMI491_1|ThoPMI491_1_851816	ThoPMI491_1|ThoPMI491_1_891322	0.282206	4.270027	0.066090	1239.107710	296.892290	1.518315	3.159027	1635
ThoPMI491_1|ThoPMI491_1_851812	ThoPMI491_1|ThoPMI491_1_715055	0.399938	99.000000	0.004040	665.473965	138.526035	0.647440	52.165020	1146
ThoPMI491_1|ThoPMI491_1_757392	ThoPMI491_1|ThoPMI491_1_688451	0.439873	4.007479	0.109763	648.796820	209.203180	1.519265	3.929251	927
ThoPMI491_1|ThoPMI491_1_631070	ThoPMI491_1|ThoPMI491_1_723797	0.657474	1.837705	0.357769	841.955728	307.044272	1.593238	2.918591	1239
ThoPMI491_1|ThoPMI491_1_628419	ThoPMI491_1|ThoPMI491_1_238937	0.295784	3.470415	0.085230	425.770494	102.229506	1.461710	2.731334	3255
ThoPMI491_1|ThoPMI491_1_628959	ThoPMI491_1|ThoPMI491_1_824851	0.278728	4.930093	0.056536	2272.159055	715.840945	1.847964	4.179195	3792
ThoPMI491_1|ThoPMI491_1_835463	ThoPMI491_1|ThoPMI491_1_861072	0.710832	3.783501	0.187877	513.807177	155.192823	1.161523	4.270866	786
ThoPMI491_1|ThoPMI491_1_740557	ThoPMI491_1|ThoPMI491_1_836322	0.541868	4.501969	0.120362	1368.510916	404.489084	1.116191	4.335955	1812
ThoPMI491_1|ThoPMI491_1_8371	ThoPMI491_1|ThoPMI491_1_745773	0.670960	4.168260	0.160969	769.779198	259.220802	1.285236	4.655949	1293
ThoPMI491_1|ThoPMI491_1_740554	ThoPMI491_1|ThoPMI491_1_875189	0.342311	3.228079	0.106042	423.997070	74.002930	1.029474	2.313412	507
ThoPMI491_1|ThoPMI491_1_851782	ThoPMI491_1|ThoPMI491_1_316533	0.588518	4.599475	0.127953	1576.352245	460.647755	1.233649	4.486670	2409
ThoPMI491_1|ThoPMI491_1_790202	ThoPMI491_1|ThoPMI491_1_654025	0.521248	4.292619	0.121429	1425.028465	305.971535	1.448219	3.563626	1839
ThoPMI491_1|ThoPMI491_1_776249	ThoPMI491_1|ThoPMI491_1_740363	0.430529	2.205388	0.195217	597.308374	191.691626	1.410992	2.585222	1032
ThoPMI491_1|ThoPMI491_1_815230	ThoPMI491_1|ThoPMI491_1_810011	0.496029	1.274076	0.389325	990.942232	386.057768	2.722685	2.142491	1545
ThoPMI491_1|ThoPMI491_1_589290	ThoPMI491_1|ThoPMI491_1_853933	0.458115	5.043183	0.090838	3097.657387	832.342613	1.149600	4.287586	5499
ThoPMI491_1|ThoPMI491_1_851756	ThoPMI491_1|ThoPMI491_1_853927	0.586729	2.789643	0.210324	1659.428730	605.571270	1.142079	3.527102	2475
ThoPMI491_1|ThoPMI491_1_740548	ThoPMI491_1|ThoPMI491_1_832962	0.604788	1.906609	0.317206	673.237764	232.762236	1.661582	2.817723	942
ThoPMI491_1|ThoPMI491_1_851747	ThoPMI491_1|ThoPMI491_1_521180	0.243927	1.717798	0.142000	664.452595	220.547405	1.974008	1.833674	894
ThoPMI491_1|ThoPMI491_1_851744	ThoPMI491_1|ThoPMI491_1_838961	1.086010	1.946683	0.557877	3067.053646	1096.946354	1.454500	3.938225	5394
ThoPMI491_1|ThoPMI491_1_835452	ThoPMI491_1|ThoPMI491_1_508262	1.013670	4.478473	0.226343	1188.986336	392.013664	1.254906	5.618334	1743
ThoPMI491_1|ThoPMI491_1_708119	ThoPMI491_1|ThoPMI491_1_783588	0.305660	2.666854	0.114614	1219.861871	421.138129	1.319253	2.734875	1902
ThoPMI491_1|ThoPMI491_1_8238	ThoPMI491_1|ThoPMI491_1_783587	0.831596	4.524743	0.183789	1191.039855	416.960145	1.395566	5.367727	1914
ThoPMI491_1|ThoPMI491_1_851731	ThoPMI491_1|ThoPMI491_1_885195	0.496438	3.867158	0.128373	585.494332	173.505668	1.000122	3.800930	795
ThoPMI491_1|ThoPMI491_1_776240	ThoPMI491_1|ThoPMI491_1_734091	0.711205	2.243330	0.317031	716.481515	231.518485	1.525269	3.256131	1104
ThoPMI491_1|ThoPMI491_1_851725	ThoPMI491_1|ThoPMI491_1_814916	0.834800	4.632674	0.180198	1141.996872	376.003128	1.354467	5.326559	1608
ThoPMI491_1|ThoPMI491_1_740544	ThoPMI491_1|ThoPMI491_1_736538	0.178470	2.934326	0.060822	1235.977400	279.022600	2.046144	2.058076	1524
