SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Scer|YAL005C	Scer|YLL024C	0.008245	0.138214	0.059655	1524.487102	392.512898	0.942054	0.104570	1926
Scer|YAL007C	Scer|YOR016C	0.232904	3.202839	0.072718	463.690415	157.309585	2.230530	2.955714	645
Scer|YAL012W	Scer|YGL184C	0.778483	4.204426	0.185158	879.972980	272.027020	1.124324	4.762399	1425
Scer|YAL015C	Scer|YOL043C	0.575030	4.119697	0.139581	876.032204	242.967796	1.117205	4.034045	1218
Scer|YAL017W	Scer|YOL045W	0.334558	4.938500	0.067745	2546.090384	723.909616	1.660387	4.061324	4101
Scer|YAL019W	Scer|YFR038W	0.751771	4.630233	0.162361	1809.068345	479.931655	1.293558	4.694889	3663
Scer|YAL023C	Scer|YOR321W	0.266809	2.084580	0.127992	1685.439449	558.560551	1.782384	2.157828	2292
Scer|YAL026C	Scer|YMR162C	0.657264	4.951984	0.132727	3033.957860	737.042140	1.127803	4.490003	5262
Scer|YAL029C	Scer|YOR326W	0.432235	5.167327	0.083648	3394.824665	982.175335	1.594727	4.484293	4758
Scer|YAL030W	Scer|YOR327C	0.189914	3.345483	0.056767	258.456730	86.543270	1.877645	2.944467	351
Scer|YAL034C	Scer|YOR338W	0.553643	1.979247	0.279724	794.930361	270.069639	2.211126	2.745472	1263
Scer|YAL036C	Scer|YGR173W	0.429926	2.340935	0.183656	845.648539	252.351461	1.355845	2.607389	1113
Scer|YAL038W	Scer|YOR347C	0.205972	3.732927	0.055177	1122.732798	377.267202	1.555008	3.279126	1518
Scer|YAL051W	Scer|YOR363C	0.565398	2.330044	0.242656	2207.427597	705.572403	2.190700	2.978466	3216
Scer|YAL053W	Scer|YOR365C	0.500064	2.520513	0.198398	1504.847578	526.152422	1.851076	3.070450	2427
Scer|YAL054C	Scer|YLR153C	0.375089	2.716029	0.138102	1551.286830	458.713170	1.315516	2.727984	2178
Scer|YAL056W	Scer|YOR371C	0.607331	4.708686	0.128981	1954.145667	532.854333	1.660955	4.458210	2844
Scer|YAL060W	Scer|YAL061W	0.451174	4.206524	0.107256	873.210975	272.789025	1.352865	4.035245	1251
Scer|YAL062W	Scer|YOR375C	0.087506	1.987744	0.044023	1020.909361	341.090639	1.636231	1.690169	1371
Scer|YAL063C	Scer|YAR050W	0.036897	0.084859	0.434807	2515.525543	1387.474457	4.046941	0.161841	4674
Scer|YAL064C-A	Scer|YHR213W	0.087358	0.497774	0.175497	279.184203	98.815797	2.586535	0.583944	594
Scer|YAL067C	Scer|YGR065C	0.601470	4.361489	0.137905	1401.601878	335.398122	1.150870	3.982481	1821
Scer|YAL067W-A	Scer|YIL174W	0.070881	0.102684	0.690283	156.236331	68.763669	4.726731	0.241800	225
Scer|YAL068C	Scer|YGL261C	0.000000	0.123030	0.000010	260.672720	99.327280	2.450602	0.101835	360
Scer|YAL068W-A	Scer|YJR162C	0.054906	0.124436	0.441239	189.456331	62.543669	2.436333	0.216488	348
Scer|YAR002C-A	Scer|YGL002W	0.322043	3.734883	0.086226	502.548373	145.451627	1.689849	3.264292	657
Scer|YAR009C	Scer|YPR137C-B	0.022699	0.092032	0.246644	2867.016930	720.983070	1.230426	0.109893	5265
Scer|YAR010C	Scer|YPR137C-A	0.000000	0.000000	99.000000	942.637792	377.362208	4.600000	0.000000	1320
Scer|YAR019C	Scer|YHR102W	1.060281	4.138640	0.256191	2141.164644	678.835356	1.614933	5.403927	3342
Scer|YAR020C	Scer|YFL020C	0.000000	0.139318	0.000010	109.944230	55.055770	4.600000	0.139459	366
Scer|YAR023C	Scer|YAR027W	0.626221	3.041878	0.205866	401.371922	129.628078	2.577122	3.647798	711
Scer|YAR029W	Scer|YAR031W	0.356677	0.902501	0.395209	173.560155	48.439845	2.532228	1.427322	894
Scer|YAR033W	Scer|YGL051W	0.019565	0.029070	0.673040	543.759550	158.240450	1.333324	0.065124	702
Scer|YAR035W	Scer|YER024W	0.815161	4.566189	0.178521	1488.349488	440.650512	1.148769	5.016077	2901
Scer|YAR042W	Scer|YDL019C	0.377711	4.994187	0.075630	2718.294291	779.705709	1.452354	4.220176	3915
Scer|YAR060C	Scer|YHR212C	0.000000	0.000000	99.000000	246.271196	86.728804	4.600000	0.000000	333
Scer|YAR064W	Scer|YHR213W-B	0.009314	0.000000	99.000000	216.242778	80.757222	4.600000	0.020344	297
Scer|YAR066W	Scer|YHR214W	0.000000	0.005306	0.000010	419.320607	189.679393	4.600000	0.004957	609
Scer|YAR068W	Scer|YHR214W-A	0.003478	0.000000	99.000000	288.159101	194.840899	4.600000	0.006226	483
Scer|YAR069C	Scer|YHR214C-D	0.000000	0.000000	99.000000	209.766928	81.233072	4.600000	0.000000	291
Scer|YAR070C	Scer|YHR214C-E	0.017436	0.000000	99.000000	232.130917	64.869083	1.054821	0.040884	297
Scer|YAR071W	Scer|YHR215W	0.001869	0.006094	0.306671	1071.494631	329.505369	1.882541	0.008588	1401
Scer|YAR073W	Scer|YHR216W	0.056142	0.144277	0.389128	921.642718	287.357282	1.530398	0.231270	1569
Scer|YBL002W	Scer|YDR224C	0.030461	0.576529	0.052835	284.897984	108.102016	1.920164	0.542001	393
Scer|YBL003C	Scer|YDR225W	0.006867	0.263808	0.026030	292.585151	103.414849	4.600000	0.221901	396
Scer|YBL005W	Scer|YGL013C	0.683385	4.821546	0.141736	2269.614116	619.385884	1.416633	4.711753	3243
Scer|YBL005W-A	Scer|YMR046C	0.004217	0.013706	0.307665	951.766776	368.233224	5.443521	0.020592	1320
Scer|YBL005W-B	Scer|YMR045C	0.003245	0.012322	0.263388	3707.840192	1557.159808	17.616513	0.017789	5265
Scer|YBL009W	Scer|YGL021W	0.665375	4.536460	0.146673	1469.474572	423.525428	1.496381	4.594387	2415
Scer|YBL011W	Scer|YKR067W	0.664995	2.003951	0.331842	1621.592894	499.407106	1.399191	2.940791	2385
Scer|YBL016W	Scer|YGR040W	0.410673	4.159878	0.098722	790.660159	256.339841	1.909128	3.985803	1116
Scer|YBL017C	Scer|YJL222W	0.213509	1.695603	0.125919	3510.651721	1136.348279	3.273851	1.727792	4737
Scer|YBL023C	Scer|YBR202W	0.781938	4.629747	0.168894	1800.378922	479.621078	1.290658	4.774091	2859
Scer|YBL027W	Scer|YBR084C-A	0.000000	0.325646	0.000010	426.654704	140.345296	2.251673	0.241814	567
Scer|YBL030C	Scer|YBR085W	0.063165	3.195799	0.019765	712.953928	208.046072	1.195315	2.312401	954
Scer|YBL039C	Scer|YJR103W	0.151354	3.771221	0.040134	1306.125625	421.874375	1.894559	3.105329	1743
Scer|YBL042C	Scer|YIR028W	0.451153	4.560124	0.098934	1404.898560	437.101440	1.274722	4.278602	1980
Scer|YBL045C	Scer|YLR163C	0.881499	3.142711	0.280490	1016.397940	318.602060	1.340965	4.263434	1422
Scer|YBL054W	Scer|YER088C	0.777652	2.982322	0.260754	1158.987742	368.012258	1.278920	3.926955	2058
Scer|YBL056W	Scer|YER089C	0.302566	4.310728	0.070189	1030.550771	313.449229	1.732566	3.712063	1452
Scer|YBL063W	Scer|YEL061C	0.714274	4.701336	0.151930	2148.342035	527.657965	1.166186	4.501348	3657
Scer|YBL064C	Scer|YML028W	0.789408	1.542862	0.511652	433.227187	151.772813	1.990817	2.954655	786
Scer|YBL067C	Scer|YER098W	0.467476	4.485566	0.104218	1743.261238	395.738762	1.287900	3.632601	2364
Scer|YBL068W	Scer|YER099C	0.063306	3.434172	0.018434	733.738748	220.261252	2.127987	2.524733	978
Scer|YBL068W-A	Scer|YBL069W	0.000000	0.000000	99.000000	164.236056	69.763944	4.600000	0.000000	1287
Scer|YBL072C	Scer|YER102W	0.000000	0.094181	0.000010	473.297815	126.702185	1.223726	0.059665	600
Scer|YBL075C	Scer|YER103W	0.069224	4.577794	0.015122	1475.477912	447.522088	1.618056	3.355386	1950
Scer|YBL076C	Scer|YPL040C	0.901734	4.746515	0.189978	2133.579989	560.420011	1.287236	5.104636	3528
Scer|YBL079W	Scer|YER105C	0.533199	5.142950	0.103676	3207.235135	950.764865	1.886267	4.761782	4521
Scer|YBL085W	Scer|YER114C	0.579706	4.753198	0.121961	2119.564209	565.435791	1.065788	4.375812	3375
Scer|YBL087C	Scer|YER117W	0.000000	0.376852	0.000010	316.362468	94.637532	1.190738	0.260323	411
Scer|YBL088C	Scer|YBR136W	1.041675	2.684758	0.387996	5218.522589	1483.477411	1.578339	4.216108	8763
Scer|YBL089W	Scer|YER119C	0.421823	2.994619	0.140860	944.290461	363.709539	1.828461	3.411685	1413
Scer|YBL091C-A	Scer|YER120W	0.629269	2.178241	0.288889	366.408683	140.591317	2.202417	3.176400	750
Scer|YBL099W	Scer|YBR127C	1.068694	2.240620	0.476963	1137.674783	350.325217	1.685833	4.033814	1698
Scer|YBL100W-A	Scer|YGR161W-A	0.005310	0.030435	0.174478	945.191533	368.808467	6.447017	0.037087	1314
Scer|YBL100W-B	Scer|YLR410W-B	0.005534	0.025242	0.219226	3811.262970	1498.737030	9.479093	0.033289	5310
Scer|YBL101C	Scer|YPR030W	0.636110	4.890819	0.130062	2386.680258	679.319742	1.384753	4.736419	3648
Scer|YBL106C	Scer|YPR032W	0.367958	4.920166	0.074786	2275.571529	706.428471	2.316353	4.339095	3147
Scer|YBL107W-A	Scer|YER138W-A	0.012857	0.000000	99.000000	78.551204	23.448796	4.600000	0.029704	102
Scer|YBL108C-A	Scer|YGR294W	0.000000	0.000000	99.000000	91.708135	34.291865	4.600000	0.000000	360
Scer|YBL108W	Scer|YIR040C	0.170937	0.318347	0.536953	228.098553	71.901447	1.923312	0.618802	333
Scer|YBL111C	Scer|YML133C	0.012936	0.026488	0.488371	1442.917957	558.082043	3.246153	0.050147	4122
Scer|YBL112C	Scer|YHR218W-A	0.000000	0.000000	99.000000	225.975100	89.024900	4.600000	0.000000	315
Scer|YBL113C	Scer|YJL225C	0.044895	0.080293	0.559146	1562.451496	582.548504	2.439489	0.163526	5505
Scer|YBL113W-A	Scer|YER190C-B	0.003057	0.006600	0.463165	327.810776	152.189224	4.600000	0.012540	480
Scer|YBR001C	Scer|YDR001C	0.159724	4.629510	0.034501	1764.530779	479.469221	1.856175	3.344312	2349
Scer|YBR002C	Scer|YMR101C	0.722368	2.012566	0.358929	649.239456	199.760544	2.355654	3.077812	1038
Scer|YBR005W	Scer|YDR003W	0.487422	3.690321	0.132081	489.938729	137.061271	1.129541	3.562714	642
Scer|YBR006W	Scer|YER073W	0.740732	2.316078	0.319822	1136.174609	339.825391	1.272899	3.310291	1575
Scer|YBR008C	Scer|YLL028W	0.818888	2.212487	0.370121	1215.639955	395.360045	1.402071	3.482685	1791
Scer|YBR009C	Scer|YNL030W	0.000000	0.132449	0.000010	240.629334	68.370666	1.268062	0.087919	309
Scer|YBR010W	Scer|YNL031C	0.000000	0.304859	0.000010	296.885397	111.114603	3.115649	0.249076	408
Scer|YBR011C	Scer|YMR267W	0.479795	3.879099	0.123687	645.709623	176.290377	1.327660	3.626482	969
Scer|YBR012W-A	Scer|YOR142W-A	0.001058	0.000000	99.000000	946.150883	373.849117	4.600000	0.002274	1320
Scer|YBR012W-B	Scer|YGR161C-D	0.006354	0.021442	0.296347	3794.258121	1470.741879	7.415863	0.031706	5268
Scer|YBR014C	Scer|YDL010W	0.637864	3.690118	0.172857	468.975843	137.024157	1.943461	3.984050	696
Scer|YBR015C	Scer|YJL186W	0.622243	2.650370	0.234776	1261.049292	397.950708	1.842876	3.326212	1890
Scer|YBR020W	Scer|YDR009W	0.182405	4.492004	0.040607	1160.849294	399.150706	2.793534	3.855252	1584
Scer|YBR024W	Scer|YBR037C	0.341174	3.893759	0.087621	696.229938	179.770062	0.968646	3.210675	912
Scer|YBR025C	Scer|YHL014C	0.500047	4.120903	0.121344	914.641103	243.358897	1.255702	3.782958	1239
Scer|YBR028C	Scer|YOL100W	0.713850	4.269396	0.167202	1173.357536	296.642464	1.169464	4.294051	3348
Scer|YBR031W	Scer|YDR012W	0.001261	0.035362	0.035652	793.864164	292.135836	2.324766	0.031302	1086
Scer|YBR038W	Scer|YNL192W	0.621904	4.775031	0.130241	2141.861440	582.138560	1.512950	4.528373	3558
Scer|YBR042C	Scer|YDR018C	0.541267	4.157618	0.130187	878.431402	255.568598	1.545605	4.068844	1245
Scer|YBR043C	Scer|YBR180W	0.879975	2.627518	0.334907	1269.657250	395.342750	1.844442	3.884751	2118
Scer|YBR044C	Scer|YLR259C	1.081696	1.775922	0.609090	1182.636469	389.363531	2.005402	3.760940	1860
Scer|YBR048W	Scer|YDR025W	0.000000	0.170169	0.000010	323.118894	144.881106	8.513521	0.158040	468
Scer|YBR049C	Scer|YDR026C	0.517027	4.340261	0.119123	1359.961956	326.038044	1.399153	3.769086	2454
Scer|YBR052C	Scer|YDR032C	0.402965	1.906229	0.211394	443.120125	150.879875	1.716265	2.354410	630
Scer|YBR054W	Scer|YDR033W	0.233380	1.149587	0.203012	755.868883	201.131117	1.248302	1.277815	1035
Scer|YBR059C	Scer|YIL095W	0.793269	4.612288	0.171990	1952.415055	468.584945	1.148412	4.597322	3333
Scer|YBR061C	Scer|YCL054W	0.626703	3.905712	0.160458	717.341824	182.658176	1.427890	3.876570	2553
Scer|YBR066C	Scer|YDR043C	0.522042	99.000000	0.005273	481.697973	106.302027	0.872350	54.976364	765
Scer|YBR068C	Scer|YDR046C	0.197631	4.530638	0.043621	1379.749582	420.250418	1.296185	3.627806	1839
Scer|YBR069C	Scer|YCL025C	0.451901	4.547523	0.099373	1373.181263	429.818737	1.356572	4.284780	1953
Scer|YBR073W	Scer|YJR035W	0.782582	4.675692	0.167372	2076.078623	509.921377	1.110398	4.650739	3543
Scer|YBR078W	Scer|YDR055W	0.347515	1.299899	0.267340	956.075063	330.924937	1.560031	1.777202	1332
Scer|YBR082C	Scer|YDR059C	0.041062	3.551563	0.011562	325.627500	118.372500	2.469596	2.930935	444
Scer|YBR084W	Scer|YGR204W	0.235254	2.622131	0.089719	2133.940837	680.059163	1.313934	2.436272	2949
Scer|YBR089C-A	Scer|YPR052C	0.098736	2.723056	0.036259	208.007843	70.992157	1.815094	2.299500	297
Scer|YBR092C	Scer|YBR093C	0.072027	0.615471	0.117027	1099.960427	301.039573	1.430168	0.566398	1401
Scer|YBR104W	Scer|YPR058W	0.246341	1.893598	0.130092	678.384516	236.615484	2.612768	2.016946	993
Scer|YBR109C	Scer|YOR257W	0.683467	3.373611	0.202592	351.149480	89.850520	1.494808	3.694692	483
Scer|YBR114W	Scer|YLR032W	0.749300	4.654040	0.161000	1742.589308	495.410692	1.604554	4.840996	3639
Scer|YBR117C	Scer|YPR074C	0.214352	2.408699	0.088991	1567.634040	472.365960	1.145306	2.167372	2043
Scer|YBR118W	Scer|YPR080W	0.000000	0.005137	0.000010	983.320538	390.679462	4.600000	0.004382	1374
Scer|YBR121C	Scer|YPR081C	0.316490	2.755212	0.114869	1408.246566	436.753434	2.253531	2.681372	2010
Scer|YBR126C	Scer|YML100W	0.701929	2.057809	0.341105	1104.124440	353.875560	1.731152	3.093057	3321
Scer|YBR132C	Scer|YOR348C	0.837697	2.838795	0.295089	1303.621350	442.378650	1.529921	4.034127	1923
Scer|YBR139W	Scer|YMR297W	0.443316	4.346242	0.102000	1147.351440	328.648560	1.412226	3.937043	1644
Scer|YBR140C	Scer|YOL081W	0.480455	5.721890	0.083968	6960.622846	2057.377154	1.685416	5.028727	9495
Scer|YBR145W	Scer|YMR303C	0.157552	1.471781	0.107048	785.703010	258.296990	1.749366	1.448119	1053
