SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Naifl1|Naifl1_210518	Naifl1|Naifl1_228773	0.014738	0.079580	0.185202	479.686868	159.313132	1.342548	0.092713	654
Naifl1|Naifl1_295404	Naifl1|Naifl1_306662	0.067341	0.151112	0.445633	170.976352	66.023648	3.291355	0.272034	1650
Naifl1|Naifl1_295405	Naifl1|Naifl1_299129	0.103465	0.164451	0.629152	557.049851	225.950149	2.316151	0.363190	1119
Naifl1|Naifl1_295406	Naifl1|Naifl1_282205	0.282863	1.442518	0.196090	533.506389	150.493611	1.556445	1.614030	3381
Naifl1|Naifl1_329531	Naifl1|Naifl1_336192	0.370668	0.575102	0.644526	1245.014910	443.985090	1.501546	1.273223	3093
Naifl1|Naifl1_210617	Naifl1|Naifl1_314757	0.095733	1.524310	0.062804	554.811298	198.188702	1.995342	1.415198	1872
Naifl1|Naifl1_198399	Naifl1|Naifl1_196346	0.176321	1.844461	0.095595	398.892185	174.107815	2.261922	2.049572	612
Naifl1|Naifl1_203074	Naifl1|Naifl1_324505	0.000000	0.000000	99.000000	517.721476	229.278524	4.600000	0.000000	891
Naifl1|Naifl1_329539	Naifl1|Naifl1_17449	0.689894	2.411628	0.286070	1261.074871	454.925129	1.217373	3.439017	2013
Naifl1|Naifl1_308401	Naifl1|Naifl1_212829	0.493901	3.987128	0.123874	843.397351	203.602649	0.899359	3.519611	1089
Naifl1|Naifl1_329543	Naifl1|Naifl1_264022	0.574336	4.536343	0.126608	1292.540480	423.459520	1.411581	4.656137	2061
Naifl1|Naifl1_254515	Naifl1|Naifl1_269091	0.526353	4.558013	0.115479	1571.127109	435.872891	0.955770	4.205803	2352
Naifl1|Naifl1_308405	Naifl1|Naifl1_277500	0.916442	2.136577	0.428930	1533.521584	497.478416	1.499261	3.645916	2418
Naifl1|Naifl1_272247	Naifl1|Naifl1_291616	0.301671	0.539243	0.559435	305.242669	120.757331	2.602062	1.107045	429
Naifl1|Naifl1_402	Naifl1|Naifl1_308417	0.531476	1.902915	0.279296	451.329125	175.670875	1.482832	2.747164	1818
Naifl1|Naifl1_254547	Naifl1|Naifl1_269586	0.010596	0.034157	0.310221	285.124212	89.875788	1.880035	0.048729	399
Naifl1|Naifl1_210469	Naifl1|Naifl1_262858	0.166207	0.424100	0.391906	1020.954417	383.045583	2.164254	0.709701	1620
Naifl1|Naifl1_288049	Naifl1|Naifl1_332733	0.617366	4.526155	0.136400	1175.254160	417.745840	1.494963	4.927202	2118
Naifl1|Naifl1_230603	Naifl1|Naifl1_255664	0.812432	1.573007	0.516483	624.155350	236.844650	1.879441	3.064956	1083
Naifl1|Naifl1_242463	Naifl1|Naifl1_222112	0.427401	4.772204	0.089560	2027.051589	579.948411	1.284661	4.181814	2949
Naifl1|Naifl1_295453	Naifl1|Naifl1_333756	0.571859	4.483587	0.127545	1201.303864	394.696136	1.163810	4.617728	2055
Naifl1|Naifl1_308438	Naifl1|Naifl1_272276	0.136802	0.236062	0.579518	456.943327	140.056673	1.589184	0.480265	1161
Naifl1|Naifl1_285726	Naifl1|Naifl1_267679	0.554838	3.100433	0.178955	291.578480	62.421520	1.162195	3.011122	387
Naifl1|Naifl1_254627	Naifl1|Naifl1_257469	0.580736	4.659587	0.124633	1501.911718	499.088282	1.437575	4.794243	2565
Naifl1|Naifl1_210694	Naifl1|Naifl1_234051	0.696448	4.760975	0.146283	1609.670315	571.329685	1.506838	5.283546	3018
Naifl1|Naifl1_1236	Naifl1|Naifl1_233265	0.556196	4.440207	0.125264	1109.485666	372.514334	1.236617	4.597434	1884
Naifl1|Naifl1_283164	Naifl1|Naifl1_330916	0.059293	0.127991	0.463256	1134.469281	383.530719	2.105277	0.229950	1815
Naifl1|Naifl1_272307	Naifl1|Naifl1_282164	0.716527	4.367620	0.164054	1035.848756	338.151244	0.874111	4.845262	2292
Naifl1|Naifl1_254648	Naifl1|Naifl1_261576	0.134698	0.214570	0.627759	138.385122	38.614878	1.494791	0.456370	210
Naifl1|Naifl1_254649	Naifl1|Naifl1_258599	0.052732	0.051258	1.028757	118.633296	40.366704	5.475574	0.157074	159
Naifl1|Naifl1_1501	Naifl1|Naifl1_1522	0.037502	0.375816	0.099789	383.412462	135.587538	7.950069	0.377658	1662
