SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Wilmi1|Wilmi1_617894	Wilmi1|Wilmi1_284599	0.803571	2.365373	0.339723	1831.590350	673.409650	1.412740	3.670273	3141
Wilmi1|Wilmi1_639586	Wilmi1|Wilmi1_658319	0.803024	2.259321	0.355427	1738.920707	580.079293	1.459220	3.501916	2922
Wilmi1|Wilmi1_131095	Wilmi1|Wilmi1_640358	0.646137	4.352393	0.148455	1054.644663	331.355337	1.222539	4.596609	1710
Wilmi1|Wilmi1_617882	Wilmi1|Wilmi1_516291	0.539246	3.452601	0.156185	356.170027	99.829973	0.985985	3.531160	579
Wilmi1|Wilmi1_617881	Wilmi1|Wilmi1_654312	0.769017	3.256763	0.236129	1646.042388	534.957612	1.555943	4.137641	2874
Wilmi1|Wilmi1_580759	Wilmi1|Wilmi1_597083	0.920696	2.647913	0.347706	734.174343	240.825657	1.190575	4.041960	1116
Wilmi1|Wilmi1_541359	Wilmi1|Wilmi1_545246	0.813391	2.054226	0.395960	822.734942	272.265058	1.042595	3.365751	1374
Wilmi1|Wilmi1_617840	Wilmi1|Wilmi1_652139	0.579610	4.482377	0.129309	1363.940298	394.059702	1.053582	4.363273	2493
Wilmi1|Wilmi1_597365	Wilmi1|Wilmi1_654990	0.498152	2.226937	0.223694	617.149246	204.850754	1.739184	2.786948	945
Wilmi1|Wilmi1_653860	Wilmi1|Wilmi1_622899	0.743793	4.166313	0.178525	929.451391	258.548609	0.994017	4.465943	1380
Wilmi1|Wilmi1_597344	Wilmi1|Wilmi1_622834	0.479474	1.662430	0.288418	841.558269	337.441731	1.306232	2.454143	1287
Wilmi1|Wilmi1_659648	Wilmi1|Wilmi1_617794	0.809825	3.130352	0.258701	741.132258	302.867742	1.759614	4.449053	1299
Wilmi1|Wilmi1_639512	Wilmi1|Wilmi1_645475	0.778289	2.135197	0.364504	768.759572	272.240428	1.256494	3.399435	1200
Wilmi1|Wilmi1_128613	Wilmi1|Wilmi1_597012	0.569089	4.351751	0.130772	1000.928385	331.071615	0.882878	4.527834	1548
Wilmi1|Wilmi1_128604	Wilmi1|Wilmi1_540703	0.873508	2.339275	0.373410	632.592098	246.407902	1.973133	3.853208	1170
Wilmi1|Wilmi1_617762	Wilmi1|Wilmi1_650789	0.558914	1.439630	0.388234	259.696756	103.303244	1.781667	2.428648	1986
Wilmi1|Wilmi1_639486	Wilmi1|Wilmi1_536885	0.636289	1.796957	0.354093	868.897871	295.102129	1.227532	2.791640	1398
