SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Chet|COCHEDRAFT_1199258	Chet|COCHEDRAFT_1199151	0.515682	3.254364	0.158459	415.357529	76.642471	1.172414	2.826921	999
Chet|COCHEDRAFT_1188702	Chet|COCHEDRAFT_1130889	0.599439	2.160423	0.277464	1178.681853	447.318147	1.470134	3.086614	1896
Chet|COCHEDRAFT_33774	Chet|COCHEDRAFT_1155311	0.754978	4.626354	0.163191	1550.543702	477.456298	0.880821	4.999273	2325
Chet|COCHEDRAFT_1199107	Chet|COCHEDRAFT_1138025	0.578808	4.354186	0.132931	1248.851949	332.148051	1.140652	4.115902	1908
Chet|COCHEDRAFT_1229175	Chet|COCHEDRAFT_1186124	0.494959	2.781594	0.177941	588.603510	179.396490	1.412664	3.087276	1026
Chet|COCHEDRAFT_1119995	Chet|COCHEDRAFT_1223262	0.408543	2.493301	0.163856	1238.861873	405.138127	1.702973	2.766896	1728
Chet|COCHEDRAFT_1199114	Chet|COCHEDRAFT_1194691	0.426897	4.363496	0.097834	1370.703115	336.296885	1.318527	3.607344	1797
Chet|COCHEDRAFT_77993	Chet|COCHEDRAFT_1187126	0.366077	3.201730	0.114337	1135.891607	349.108393	1.372626	3.098130	1533
Chet|COCHEDRAFT_77923	Chet|COCHEDRAFT_96776	0.533080	1.564003	0.340843	1194.894930	404.105070	1.928874	2.380856	1731
Chet|COCHEDRAFT_1188785	Chet|COCHEDRAFT_1126453	0.515968	4.357373	0.118413	1376.437312	333.562688	1.395790	3.795886	1821
Chet|COCHEDRAFT_1208124	Chet|COCHEDRAFT_1184603	0.417034	4.361158	0.095625	1314.749745	335.250255	0.992203	3.655227	1716
Chet|COCHEDRAFT_1119960	Chet|COCHEDRAFT_1221272	0.678861	1.795452	0.378100	780.441078	260.558922	1.962921	2.875019	1182
Chet|COCHEDRAFT_1119901	Chet|COCHEDRAFT_1023889	0.850871	1.705584	0.498874	434.819775	156.180225	2.536835	3.230223	1032
Chet|COCHEDRAFT_1208131	Chet|COCHEDRAFT_1221157	0.779528	3.729874	0.208996	527.516463	144.483537	1.138362	4.241604	825
Chet|COCHEDRAFT_1188810	Chet|COCHEDRAFT_1182516	0.766091	3.875963	0.197652	625.445313	175.554687	0.882433	4.343039	906
Chet|COCHEDRAFT_1188822	Chet|COCHEDRAFT_1031241	0.754243	2.476022	0.304619	1198.577231	364.422769	1.365185	3.467058	2304
Chet|COCHEDRAFT_1149479	Chet|COCHEDRAFT_1187661	0.753711	4.165200	0.180954	863.834567	258.165433	1.763554	4.616022	1383
