SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Gscr|GST1_012205-RA	Gscr|GST1_011469-RA	0.873833	2.850889	0.306512	5190.118109	1784.881891	1.343487	4.139266	12288
Gscr|GST1_012203-RA	Gscr|GST1_011586-RA	0.950185	2.809679	0.338183	1098.513839	359.486161	1.330589	4.225993	1617
Gscr|GST1_012202-RA	Gscr|GST1_002949-RA	0.405629	3.716761	0.109135	473.020686	141.979314	2.143933	3.510117	828
Gscr|GST1_004729-RA	Gscr|GST1_005291-RA	0.503046	4.208092	0.119542	899.640019	273.359981	0.967310	4.099447	1365
Gscr|GST1_004697-RA	Gscr|GST1_012248-RA	0.925228	3.035884	0.304764	992.557473	324.442527	1.175690	4.335562	1563
Gscr|GST1_004700-RA	Gscr|GST1_009811-RA	0.322271	4.168919	0.077303	877.551409	259.448591	0.877644	3.600078	1179
Gscr|GST1_004699-RA	Gscr|GST1_011772-RA	0.743823	2.316959	0.321034	544.370717	184.629283	1.233358	3.426725	924
Gscr|GST1_004718-RA	Gscr|GST1_002102-RA	0.875361	3.364829	0.260150	839.274415	324.725585	1.612257	4.709573	1746
Gscr|GST1_004708-RA	Gscr|GST1_012352-RA	0.990990	3.384232	0.292826	872.480205	306.519795	1.834084	4.839576	1356
Gscr|GST1_004728-RA	Gscr|GST1_001217-RA	0.630209	2.402539	0.262309	1412.284770	501.715230	1.791685	3.284365	2547
Gscr|GST1_004693-RA	Gscr|GST1_010608-RA	0.774961	1.746704	0.443671	639.155429	227.844571	1.270846	3.090995	1137
Gscr|GST1_004722-RA	Gscr|GST1_000390-RA	0.628838	4.466741	0.140782	1102.070761	385.929239	1.198144	4.872722	1665
Gscr|GST1_004726-RA	Gscr|GST1_001218-RA	0.419372	4.353130	0.096338	288.360228	101.639772	2.530262	4.333703	2781
Gscr|GST1_012049-RA	Gscr|GST1_012418-RA	0.423725	3.861471	0.109731	472.805024	172.194976	1.367757	4.024489	1104
Gscr|GST1_010463-RA	Gscr|GST1_003920-RA	0.446200	4.121255	0.108268	815.526895	243.473105	0.832321	3.873380	1140
Gscr|GST1_010459-RA	Gscr|GST1_010193-RA	0.756487	1.911849	0.395683	727.376134	232.623866	1.379207	3.109351	3189
Gscr|GST1_010458-RA	Gscr|GST1_010456-RA	0.698958	4.086460	0.171043	697.564516	232.435484	1.791278	4.636796	2001
Gscr|GST1_010457-RA	Gscr|GST1_001354-RA	0.687280	4.051718	0.169627	660.085797	221.914203	1.488925	4.601352	1290
Gscr|GST1_009130-RA	Gscr|GST1_003255-RA	0.967223	2.857216	0.338519	2503.049677	739.950323	1.392858	4.195379	4485
Gscr|GST1_009120-RA	Gscr|GST1_008926-RA	0.904651	4.499463	0.201058	1285.860134	403.139866	1.444191	5.288041	2007
Gscr|GST1_009121-RA	Gscr|GST1_010882-RA	0.697047	4.723290	0.147577	1811.668289	543.331711	1.144775	4.877874	3087
Gscr|GST1_009113-RA	Gscr|GST1_001019-RA	0.513225	3.744385	0.137065	410.693813	147.306187	1.718919	4.098654	876
Gscr|GST1_012996-RA	Gscr|GST1_006531-RA	1.006213	1.962669	0.512676	3580.193712	1270.806288	1.373561	3.770322	6909
Gscr|GST1_011405-RA	Gscr|GST1_004260-RA	0.428112	1.895511	0.225856	1149.249088	362.750912	1.480888	2.340487	1596
Gscr|GST1_011400-RA	Gscr|GST1_001624-RA	1.003416	2.283603	0.439400	1222.072387	406.927613	1.686911	3.969628	2040
Gscr|GST1_011404-RA	Gscr|GST1_009070-RA	0.916267	2.154547	0.425271	1063.667956	373.332044	1.622165	3.713916	1689
Gscr|GST1_011398-RA	Gscr|GST1_005727-RA	0.717510	2.569246	0.279269	667.065665	202.934335	1.367601	3.448325	978
Gscr|GST1_011397-RA	Gscr|GST1_001419-RA	0.712730	3.977031	0.179212	600.119841	200.880159	1.740667	4.594120	1167
Gscr|GST1_011396-RA	Gscr|GST1_003809-RA	0.851667	3.076197	0.276857	5445.939369	1904.060631	1.515158	4.283832	8163
Gscr|GST1_011399-RA	Gscr|GST1_005627-RA	0.636046	3.961905	0.160541	670.130631	196.869369	1.250204	4.173744	1236
Gscr|GST1_011401-RA	Gscr|GST1_005835-RA	0.415939	3.154676	0.131848	606.542626	239.457374	2.434624	3.573386	1029
Gscr|GST1_011395-RA	Gscr|GST1_009263-RA	0.326387	2.092221	0.156000	401.879417	123.120583	1.068399	2.221506	543
Gscr|GST1_010391-RA	Gscr|GST1_011529-RA	0.332945	4.133388	0.080550	757.556212	247.443788	1.537262	3.805988	1374
Gscr|GST1_010405-RA	Gscr|GST1_006784-RA	0.826644	3.347850	0.246918	746.219119	231.780881	1.356965	4.272469	1635
Gscr|GST1_010393-RA	Gscr|GST1_010372-RA	0.704463	4.210802	0.167299	859.650459	274.349541	1.051774	4.658263	2232
Gscr|GST1_010392-RA	Gscr|GST1_000008-RA	0.395257	1.865486	0.211879	357.004462	158.995538	3.583393	2.544840	675
Gscr|GST1_011426-RA	Gscr|GST1_005332-RA	0.338640	3.922913	0.086324	617.104238	186.895762	1.428574	3.515492	819
Gscr|GST1_011423-RA	Gscr|GST1_005310-RA	0.561139	4.155922	0.135022	813.008695	254.991305	0.975806	4.258245	1443
Gscr|GST1_011420-RA	Gscr|GST1_001688-RA	0.912913	4.312841	0.211673	966.666291	314.333709	1.675417	5.241578	1524
Gscr|GST1_006640-RA	Gscr|GST1_011801-RA	1.004186	4.136547	0.242759	1510.955461	508.044539	1.427269	5.377163	2436
Gscr|GST1_006649-RA	Gscr|GST1_002122-RA	0.589578	4.521550	0.130393	1417.811461	415.188539	1.215574	4.440599	4746
Gscr|GST1_006619-RA	Gscr|GST1_011001-RA	0.732858	3.983810	0.183959	667.295962	202.704038	1.049876	4.470923	1005
Gscr|GST1_006636-RA	Gscr|GST1_005528-RA	0.624920	3.276735	0.190714	655.464454	226.535546	1.283808	3.918061	1707
Gscr|GST1_006643-RA	Gscr|GST1_001973-RA	0.443991	3.356296	0.132286	1277.700206	426.299794	1.207696	3.517738	2205
Gscr|GST1_008227-RA	Gscr|GST1_007258-RA	0.670555	2.459590	0.272629	758.251068	270.748932	1.171045	3.423849	1467
Gscr|GST1_008225-RA	Gscr|GST1_003045-RA	0.705900	1.963275	0.359552	916.337402	316.662598	1.433049	3.086468	1461
Gscr|GST1_008221-RA	Gscr|GST1_000502-RA	0.570423	3.745613	0.152291	524.452487	147.547513	1.067141	3.802747	1053
Gscr|GST1_008222-RA	Gscr|GST1_001900-RA	0.115716	2.553496	0.045317	414.061710	131.938290	2.448728	2.114382	546
Gscr|GST1_008217-RA	Gscr|GST1_011191-RA	0.885973	4.303656	0.205865	895.492696	310.507304	0.804043	5.297758	2196
Gscr|GST1_008229-RA	Gscr|GST1_005810-RA	0.681902	2.134644	0.319446	268.666609	103.333391	2.435892	3.256325	1209
Gscr|GST1_009915-RA	Gscr|GST1_010500-RA	0.720708	3.071376	0.234653	1197.587483	398.412517	1.098390	3.922528	2385
Gscr|GST1_009905-RA	Gscr|GST1_007574-RA	0.386094	3.906577	0.098832	660.131057	182.868943	1.279857	3.449340	1170
Gscr|GST1_009910-RA	Gscr|GST1_000467-RA	0.635835	3.486578	0.182367	324.543509	104.456491	1.848079	3.989873	705
Gscr|GST1_009907-RA	Gscr|GST1_009140-RA	0.739935	2.144849	0.344983	482.467886	162.532114	1.608847	3.281869	801
Gscr|GST1_010622-RA	Gscr|GST1_009432-RA	0.482492	4.236342	0.113894	997.147070	283.852930	1.342420	3.942890	1416
Gscr|GST1_010626-RA	Gscr|GST1_007673-RA	1.123913	2.013759	0.558117	1222.383846	442.616154	1.673673	4.081397	2097
Gscr|GST1_012651-RA	Gscr|GST1_000020-RA	0.283241	0.673463	0.420574	715.945486	265.054514	1.966249	1.166024	5943
Gscr|GST1_012649-RA	Gscr|GST1_011053-RA	0.611444	4.508205	0.135629	1251.133515	407.866485	1.689869	4.708397	2151
