SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Uree|UREG_02960	Uree|UREG_05819	0.759234	2.044889	0.371284	592.835946	184.164054	1.512861	3.191877	1128
Uree|UREG_02962	Uree|UREG_01254	0.225758	1.439396	0.156842	541.298129	214.701871	2.457992	1.711285	900
Uree|UREG_02963	Uree|UREG_04271	0.948775	3.800190	0.249665	1190.035056	399.964944	1.422638	4.998148	1752
Uree|UREG_02964	Uree|UREG_03823	0.779699	3.173705	0.245675	2838.249766	938.750234	1.256409	4.124145	4515
Uree|UREG_02966	Uree|UREG_02043	0.785870	3.955893	0.198658	617.702566	195.297434	1.116327	4.642103	1002
Uree|UREG_02967	Uree|UREG_01976	0.949666	1.875506	0.506352	613.257172	244.742828	1.717989	3.641281	1041
Uree|UREG_02971	Uree|UREG_01473	0.553339	2.306438	0.239910	861.619651	299.380349	1.201653	3.016201	1278
Uree|UREG_02972	Uree|UREG_02375	0.966311	4.709070	0.205202	1722.872744	533.127256	1.427517	5.552347	3618
Uree|UREG_02975	Uree|UREG_07894	0.738200	4.422942	0.166903	1240.962797	364.037203	1.564211	4.721859	1833
Uree|UREG_02976	Uree|UREG_03281	0.249679	1.423706	0.175373	879.554219	314.445781	1.628506	1.676594	1197
Uree|UREG_02980	Uree|UREG_06621	0.994263	2.459987	0.404174	1008.016881	347.983119	1.404836	4.111212	1764
Uree|UREG_02982	Uree|UREG_03500	0.753974	2.791252	0.270120	1375.981633	460.018367	1.387443	3.793269	2235
Uree|UREG_02985	Uree|UREG_03793	0.433324	3.407293	0.127176	398.022299	93.977701	0.903046	3.004161	564
Uree|UREG_02991	Uree|UREG_00916	0.847044	2.767734	0.306042	891.751726	299.248274	1.020819	3.988899	1707
Uree|UREG_02994	Uree|UREG_03854	0.312494	1.360546	0.229683	424.375200	160.624800	3.348204	1.800781	750
Uree|UREG_02998	Uree|UREG_01862	0.627299	3.952727	0.158700	600.525232	194.474768	1.609802	4.322320	1131
Uree|UREG_03000	Uree|UREG_04799	0.320669	3.648817	0.087883	1236.575785	386.424215	1.509988	3.339229	1671
Uree|UREG_03003	Uree|UREG_04686	0.415782	4.259823	0.097606	868.119684	292.880316	1.314571	4.156505	1365
Uree|UREG_03014	Uree|UREG_02458	0.399335	3.850446	0.103711	649.317702	169.682298	1.126794	3.343031	1194
Uree|UREG_03016	Uree|UREG_06007	0.475894	3.772626	0.126144	519.041261	152.958739	1.263737	3.678860	1503
Uree|UREG_03020	Uree|UREG_06044	0.369032	4.349417	0.084846	1160.957231	330.042769	1.475898	3.750349	1626
Uree|UREG_03024	Uree|UREG_07662	0.916134	4.438690	0.206397	1107.237989	371.762011	1.468096	5.404695	1662
Uree|UREG_03038	Uree|UREG_02589	0.545192	4.713515	0.115666	1587.703617	536.296383	1.467183	4.793002	4299
Uree|UREG_03039	Uree|UREG_03755	0.810556	4.319351	0.187657	924.926317	317.073683	1.200996	5.118979	1371
Uree|UREG_03042	Uree|UREG_06375	0.410118	4.162685	0.098523	936.698939	257.301061	1.165943	3.656334	1434
Uree|UREG_03043	Uree|UREG_02338	0.761020	1.936699	0.392947	603.023289	203.976711	1.055578	3.174551	891
Uree|UREG_03044	Uree|UREG_03147	0.464351	1.718464	0.270213	1147.912626	382.087374	1.952579	2.332624	1623
Uree|UREG_03045	Uree|UREG_00576	0.453583	3.984454	0.113838	676.121947	202.878053	1.361828	3.805583	1146
Uree|UREG_03050	Uree|UREG_01263	0.821825	3.811936	0.215592	543.810366	161.189634	0.982632	4.516432	807
Uree|UREG_03075	Uree|UREG_01670	0.573455	4.411572	0.129989	1003.263565	343.736435	1.829283	4.658674	1608
Uree|UREG_03082	Uree|UREG_06923	0.265278	2.831895	0.093675	257.688527	69.311473	1.234969	2.427907	996
Uree|UREG_03086	Uree|UREG_03815	0.934412	3.955469	0.236233	5359.020899	1795.979101	1.315765	5.078186	12174
Uree|UREG_03087	Uree|UREG_02712	0.707198	1.887744	0.374626	1170.929928	440.070072	1.571672	3.089049	1725
Uree|UREG_03099	Uree|UREG_03932	0.750027	4.089845	0.183388	759.512893	233.487107	1.274706	4.605985	1374
Uree|UREG_03102	Uree|UREG_00435	0.471085	2.596403	0.181438	629.599402	264.400598	1.798027	3.298945	1176
Uree|UREG_03107	Uree|UREG_05328	1.030770	2.038061	0.505760	698.383122	288.616878	3.484661	3.975961	1140
Uree|UREG_03112	Uree|UREG_00421	0.933319	2.502528	0.372951	1114.041572	373.958428	1.393705	3.983059	2268
Uree|UREG_03117	Uree|UREG_02456	0.809898	4.680807	0.173025	1544.589199	513.410801	1.384694	5.326729	10125
Uree|UREG_03123	Uree|UREG_00382	0.970615	4.214996	0.230277	864.112049	275.887951	1.079357	5.267335	1641
Uree|UREG_03127	Uree|UREG_07656	0.657952	4.028762	0.163314	618.775264	215.224736	1.487131	4.583503	1185
Uree|UREG_03130	Uree|UREG_02498	0.565510	3.887105	0.145484	571.817699	178.182301	1.240036	4.063929	1872
Uree|UREG_03139	Uree|UREG_04432	0.703565	4.064241	0.173111	788.349237	225.650763	1.158261	4.354301	1218
Uree|UREG_03142	Uree|UREG_05019	0.478378	3.898950	0.122694	571.981448	181.018552	1.207687	3.902014	1611
Uree|UREG_03159	Uree|UREG_06260	0.372289	2.839503	0.131111	753.450314	200.549686	1.128210	2.672839	1077
Uree|UREG_03175	Uree|UREG_03527	0.418554	3.964625	0.105572	576.541712	134.458288	1.838087	3.267471	879
Uree|UREG_03179	Uree|UREG_06183	0.765247	2.646615	0.289142	1210.518473	406.481527	1.579591	3.714555	2352
Uree|UREG_03180	Uree|UREG_01517	0.818928	4.665404	0.175532	1642.025757	502.974243	1.242852	5.162629	2430
Uree|UREG_03183	Uree|UREG_01701	0.297499	1.921988	0.154787	492.295813	182.704187	2.712919	2.211612	921
Uree|UREG_03184	Uree|UREG_01648	0.389043	1.493732	0.260451	604.348921	250.651079	2.719549	2.138678	1566
Uree|UREG_03187	Uree|UREG_01796	0.750462	3.954652	0.189767	633.025497	194.974503	1.132691	4.514921	957
Uree|UREG_03201	Uree|UREG_06705	0.695854	3.825358	0.181906	495.899853	164.100147	1.303870	4.421889	849
Uree|UREG_03203	Uree|UREG_00272	0.899775	3.158129	0.284908	827.115223	261.884777	0.946626	4.328606	1236
Uree|UREG_03206	Uree|UREG_00738	0.527116	4.029157	0.130825	741.661973	215.338027	1.280905	3.945370	2799
Uree|UREG_03216	Uree|UREG_03520	0.455309	3.171990	0.143541	1160.979496	360.020504	1.568313	3.295042	1707
Uree|UREG_03219	Uree|UREG_01160	0.308179	3.835902	0.080341	1476.959628	395.040372	1.223834	3.157860	2103
Uree|UREG_03220	Uree|UREG_07854	0.584160	2.094735	0.278870	453.666954	143.333046	1.103098	2.840497	705
Uree|UREG_03221	Uree|UREG_00179	0.733976	4.068108	0.180422	772.182855	226.817145	1.706691	4.472915	3078
Uree|UREG_03222	Uree|UREG_02703	0.496167	4.163354	0.119175	828.469501	257.530499	1.443599	4.097375	1740
Uree|UREG_03224	Uree|UREG_00166	0.467780	3.760442	0.124395	551.506090	150.493910	1.121793	3.520972	2028
Uree|UREG_03233	Uree|UREG_00964	0.740048	4.704856	0.157295	1686.859745	530.140255	1.346241	5.064399	5682
Uree|UREG_03236	Uree|UREG_05576	0.687280	2.813564	0.244274	932.778781	312.221219	1.165787	3.661530	1479
Uree|UREG_03238	Uree|UREG_04914	0.776799	2.577861	0.301335	1246.006500	448.993500	1.300489	3.761663	2652
