SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Umay|um10946	Umay|um02704	0.728149	4.415286	0.164915	1130.659807	360.340193	1.466353	4.857733	1704
Umay|um00005	Umay|um10070	0.772858	3.444088	0.224401	1182.151948	368.848052	1.088190	4.224334	1725
Umay|um00011	Umay|um10207	0.723157	4.486153	0.161198	1208.951440	396.048560	1.110868	4.955132	1725
Umay|um00013	Umay|um05733	0.728494	3.726003	0.195516	621.137278	203.862722	1.565870	4.407592	1017
Umay|um00017	Umay|um10868	0.823464	1.622275	0.507598	633.145193	185.854807	1.823827	3.014213	1107
Umay|um10000	Umay|um06050	0.818067	4.697966	0.174132	1817.708105	525.291895	1.089569	5.063778	2730
Umay|um10002	Umay|um01869	0.816335	2.719277	0.300203	942.093261	296.906739	1.227870	3.817035	1641
Umay|um10006	Umay|um11722	0.629536	4.060837	0.155026	846.371239	224.628761	0.898243	4.047625	1404
Umay|um00025	Umay|um10219	0.463256	4.201756	0.110253	928.939860	271.060140	0.876446	3.923163	1419
Umay|um00034	Umay|um01996	0.633892	4.364541	0.145237	1193.234061	336.765939	1.069144	4.365117	2079
Umay|um10011	Umay|um01432	0.853233	4.238602	0.201301	897.290357	284.709643	1.147045	5.006013	1428
Umay|um00045	Umay|um00131	0.767737	2.688338	0.285580	762.006070	227.993930	1.083912	3.630136	1314
Umay|um00056	Umay|um11954	0.732676	4.353837	0.168283	1117.006136	331.993864	1.510503	4.687061	1539
Umay|um00061	Umay|um05411	0.715268	3.171245	0.225548	1221.449231	365.550769	1.651130	3.842939	1845
Umay|um00072	Umay|um01897	0.819206	4.350567	0.188299	1094.450778	330.549222	1.261957	4.915067	1620
Umay|um00076.2	Umay|um03690	0.687872	2.192541	0.313733	1293.694870	425.305130	1.051322	3.180446	1899
Umay|um00078	Umay|um06509	0.858125	4.057588	0.211487	1639.825590	511.174410	1.538708	4.855384	2391
Umay|um00092	Umay|um10898	0.666046	3.937007	0.169176	619.558925	190.441075	1.020053	4.305269	969
Umay|um10021	Umay|um03873	0.895479	1.400266	0.639506	467.628133	165.371867	1.343949	3.082065	702
Umay|um00096	Umay|um03110	0.694929	4.119345	0.168699	744.146162	242.853838	2.087315	4.612545	1617
Umay|um00102	Umay|um10975.2	0.426417	3.766160	0.113223	772.354270	151.645730	1.005955	2.923596	1071
Umay|um00105	Umay|um05802	0.819553	4.438665	0.184639	1299.250359	371.749641	1.252047	4.874105	2301
Umay|um00108	Umay|um11256	0.715179	4.082398	0.175186	794.819827	231.180173	1.287317	4.421660	1143
Umay|um00115	Umay|um10357	0.482588	1.977888	0.243992	898.856150	286.143850	1.416850	2.530981	1314
Umay|um00123	Umay|um10682	0.464978	4.292198	0.108331	1125.200235	305.799765	0.973566	3.848526	1818
Umay|um10029	Umay|um01165	0.794134	4.271080	0.185933	1208.690785	297.309215	1.078519	4.441621	2196
Umay|um00140	Umay|um00880	0.749297	4.108116	0.182394	798.755184	239.244816	1.056643	4.570376	1635
Umay|um12089	Umay|um00145	0.005961	0.006517	0.914779	1010.632166	462.367834	3.047888	0.018407	2004
Umay|um00154	Umay|um04247	0.920407	2.592664	0.355004	1482.555405	500.444595	1.478013	4.027290	2331
Umay|um12090	Umay|um10865	0.602722	4.031078	0.149519	777.109514	215.890486	1.229709	4.044267	1161
Umay|um00159	Umay|um02226	0.695719	1.878178	0.370422	706.627014	238.372986	1.240976	2.981971	1536
Umay|um00175	Umay|um01121	0.943275	3.190440	0.295657	631.455496	202.544504	1.412308	4.467058	1059
Umay|um00176	Umay|um02595	0.812343	4.544880	0.178738	1533.693091	428.306909	1.155744	4.881482	3588
Umay|um00182	Umay|um11540	0.797199	1.846028	0.431845	1234.047538	397.952462	1.583466	3.158847	2007
Umay|um00196	Umay|um06085	0.414418	3.802146	0.108996	551.900827	159.099173	1.253141	3.517451	894
Umay|um00202	Umay|um01980	0.729150	4.495143	0.162208	1288.175285	400.824715	1.351358	4.868627	1851
