SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Erebi1|Erebi1_469364	Erebi1|Erebi1_440022	0.535661	4.357746	0.122922	1178.271413	333.728587	1.272420	4.137814	1614
Erebi1|Erebi1_388251	Erebi1|Erebi1_122416	0.750788	1.761568	0.426204	931.348758	325.651242	1.082665	3.037952	1338
Erebi1|Erebi1_426089	Erebi1|Erebi1_145341	0.578272	4.142929	0.139581	1114.388196	250.611804	1.019918	3.698212	1494
Erebi1|Erebi1_172	Erebi1|Erebi1_279202	0.286128	2.958963	0.096699	1049.405405	414.594595	1.671990	3.129168	1518
Erebi1|Erebi1_504349	Erebi1|Erebi1_301212	0.020424	0.034271	0.595944	446.883859	150.116141	2.174117	0.071717	981
Erebi1|Erebi1_426102	Erebi1|Erebi1_456431	0.833268	2.145694	0.388344	1007.076690	357.923310	1.537902	3.532217	1530
Erebi1|Erebi1_453460	Erebi1|Erebi1_426124	0.896228	4.669935	0.191914	1776.977808	506.022192	1.077036	5.197986	2901
Erebi1|Erebi1_822	Erebi1|Erebi1_399584	0.017987	0.000000	99.000000	225.156234	92.843766	3.867898	0.038207	324
Erebi1|Erebi1_823	Erebi1|Erebi1_168122	0.789078	4.940914	0.159703	3143.756830	726.243170	1.021783	4.704632	5643
Erebi1|Erebi1_387954	Erebi1|Erebi1_1958	0.232644	99.000000	0.002350	1086.491255	236.508745	0.948978	53.666966	1326
Erebi1|Erebi1_453486	Erebi1|Erebi1_3605	0.856942	3.629112	0.236130	1337.327969	393.672031	1.186693	4.462204	2757
Erebi1|Erebi1_469391	Erebi1|Erebi1_452586	0.681001	4.691327	0.145162	1804.336980	520.663020	1.172777	4.737233	2922
Erebi1|Erebi1_426165	Erebi1|Erebi1_439542	0.795517	4.480050	0.177569	1176.160822	392.839178	1.349213	5.154103	1875
Erebi1|Erebi1_1364	Erebi1|Erebi1_399647	0.611069	2.693798	0.226843	1528.005349	511.994651	1.280250	3.401363	2598
Erebi1|Erebi1_1385	Erebi1|Erebi1_251211	0.559522	2.763866	0.202442	416.028861	144.971139	1.783171	3.387476	990
Erebi1|Erebi1_510227	Erebi1|Erebi1_460539	0.844144	2.363390	0.357175	783.655806	269.344194	1.255317	3.698244	1158
Erebi1|Erebi1_504370	Erebi1|Erebi1_461907	0.471081	3.559065	0.132361	430.943877	115.056123	1.025091	3.365395	2061
Erebi1|Erebi1_453493	Erebi1|Erebi1_478146	0.413352	3.202845	0.129058	790.567222	277.432778	1.318485	3.413924	1305
Erebi1|Erebi1_453499	Erebi1|Erebi1_264840	0.397788	2.369613	0.167870	767.681765	159.318235	2.297454	2.210023	1005
