SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mfar|GNLVRS01_PISO0B00133g	Mfar|GNLVRS01_PISO0N25335g	0.016387	0.055484	0.295340	956.823666	291.176334	2.570824	0.076526	1263
Mfar|GNLVRS01_PISO0B00155g	Mfar|GNLVRS01_PISO0N25313g	0.016593	0.074499	0.222725	1160.204033	414.795967	8.409834	0.095530	1575
Mfar|GNLVRS01_PISO0B00177g	Mfar|GNLVRS01_PISO0N25291g	0.017422	0.128560	0.135515	609.964248	176.035752	2.188352	0.126938	786
Mfar|GNLVRS01_PISO0B00199g	Mfar|GNLVRS01_PISO0A00176g	0.076891	0.317019	0.242545	609.557454	176.442546	2.278666	0.392387	786
Mfar|GNLVRS01_PISO0B00221g	Mfar|GNLVRS01_PISO0A12914g	0.035799	0.034230	1.045822	416.228018	165.771982	10.121417	0.106056	582
Mfar|GNLVRS01_PISO0B00243g	Mfar|GNLVRS01_PISO0A00220g	0.079047	0.397034	0.199092	2339.880920	681.119080	2.869157	0.452222	3087
Mfar|GNLVRS01_PISO0B00265g	Mfar|GNLVRS01_PISO0A00242g	0.066773	0.477783	0.139755	1363.600751	421.399249	2.979274	0.491410	1785
Mfar|GNLVRS01_PISO0B00287g	Mfar|GNLVRS01_PISO0A00264g	0.054913	0.383533	0.143177	1199.649401	405.350599	1.970073	0.413723	1605
Mfar|GNLVRS01_PISO0B00309g	Mfar|GNLVRS01_PISO0A00286g	0.062380	0.371505	0.167912	502.616863	184.383137	3.311959	0.436037	696
Mfar|GNLVRS01_PISO0B00353g	Mfar|GNLVRS01_PISO0A00308g	0.067220	0.398583	0.168647	747.193591	272.806409	2.874961	0.467536	1020
Mfar|GNLVRS01_PISO0B00375g	Mfar|GNLVRS01_PISO0A00330g	0.047313	0.359455	0.131624	709.581129	274.418871	3.716944	0.403091	987
Mfar|GNLVRS01_PISO0B00419g	Mfar|GNLVRS01_PISO0A00352g	0.048998	0.391245	0.125235	1349.499441	363.500559	1.440358	0.364868	1713
Mfar|GNLVRS01_PISO0B00441g	Mfar|GNLVRS01_PISO0A00374g	0.022875	0.252700	0.090522	1199.984067	489.015933	5.335260	0.268248	1701
Mfar|GNLVRS01_PISO0B00463g	Mfar|GNLVRS01_PISO0A00396g	0.049231	0.248455	0.198149	1692.428981	623.571019	3.974014	0.308614	2316
Mfar|GNLVRS01_PISO0B00485g	Mfar|GNLVRS01_PISO0A00418g	0.036898	0.258301	0.142847	2044.614453	826.385547	3.820859	0.301879	2877
Mfar|GNLVRS01_PISO0B00529g	Mfar|GNLVRS01_PISO0A00462g	0.010976	0.203129	0.054033	1102.429655	412.570345	4.265071	0.189910	1572
Mfar|GNLVRS01_PISO0B00551g	Mfar|GNLVRS01_PISO0A00484g	0.010691	0.215362	0.049642	1037.575437	417.424563	5.034527	0.208227	1455
Mfar|GNLVRS01_PISO0B00573g	Mfar|GNLVRS01_PISO0A00506g	0.014016	0.197671	0.070906	865.256945	370.743055	5.434455	0.207312	1236
