SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rhiso1|Rhiso1_165	Rhiso1|Rhiso1_9923	0.040523	0.100678	0.402498	442.841901	178.158099	3.488728	0.173341	1755
Rhiso1|Rhiso1_166	Rhiso1|Rhiso1_14073	0.939019	2.149686	0.436817	1020.605747	356.394253	1.401207	3.757090	2262
Rhiso1|Rhiso1_172	Rhiso1|Rhiso1_8346	0.199086	4.615334	0.043136	1455.508069	470.491931	1.171577	3.833722	2229
Rhiso1|Rhiso1_174	Rhiso1|Rhiso1_10702	0.590007	2.298648	0.256675	591.707700	206.292300	1.292040	3.095131	1518
Rhiso1|Rhiso1_182	Rhiso1|Rhiso1_11515	0.647962	2.095813	0.309170	925.625162	331.374838	1.626280	3.088949	1449
Rhiso1|Rhiso1_187	Rhiso1|Rhiso1_3004	0.763208	1.739844	0.438665	578.411512	210.588488	1.269379	3.071633	834
Rhiso1|Rhiso1_190	Rhiso1|Rhiso1_6978	0.526191	4.762783	0.110480	1779.291018	572.708982	1.306238	4.673386	2457
Rhiso1|Rhiso1_206	Rhiso1|Rhiso1_1718	0.807617	2.819862	0.286403	395.680327	147.319673	2.004153	4.060659	585
Rhiso1|Rhiso1_212	Rhiso1|Rhiso1_214	0.512777	1.913500	0.267978	639.068488	239.931512	1.895218	2.685352	987
Rhiso1|Rhiso1_213	Rhiso1|Rhiso1_234	0.258768	1.856966	0.139350	1069.518651	403.481349	2.374299	2.089629	1503
Rhiso1|Rhiso1_216	Rhiso1|Rhiso1_15256	0.000000	0.030508	0.000010	191.100652	66.899348	4.600000	0.023732	258
Rhiso1|Rhiso1_220	Rhiso1|Rhiso1_5644	0.393313	2.577718	0.152582	576.749581	239.250419	1.216600	3.101335	891
Rhiso1|Rhiso1_221	Rhiso1|Rhiso1_2815	0.408483	5.216556	0.078305	3052.193923	1048.806077	1.271715	4.914356	4410
Rhiso1|Rhiso1_222	Rhiso1|Rhiso1_9241	0.574166	2.571888	0.223247	472.678307	181.321693	1.776324	3.384104	702
Rhiso1|Rhiso1_224	Rhiso1|Rhiso1_10041	0.298954	2.107023	0.141885	977.429234	387.570766	1.934907	2.436982	2016
Rhiso1|Rhiso1_228	Rhiso1|Rhiso1_11408	0.611942	2.034076	0.300845	884.331838	324.668162	1.529273	2.981536	1407
Rhiso1|Rhiso1_235	Rhiso1|Rhiso1_405	0.990420	3.334065	0.297061	2876.377844	990.622156	1.148600	4.772397	5808
Rhiso1|Rhiso1_244	Rhiso1|Rhiso1_865	0.146300	1.977423	0.073985	335.332615	105.667385	0.591168	1.755158	594
Rhiso1|Rhiso1_249	Rhiso1|Rhiso1_5029	0.700343	2.144769	0.326535	1181.818176	420.181824	1.057795	3.237586	2256
Rhiso1|Rhiso1_258	Rhiso1|Rhiso1_7128	0.165294	1.360002	0.121539	710.538588	297.461412	3.594326	1.553559	1014
Rhiso1|Rhiso1_262	Rhiso1|Rhiso1_390	0.394154	3.524597	0.111829	334.111921	109.888079	1.277997	3.506774	945
Rhiso1|Rhiso1_269	Rhiso1|Rhiso1_9840	0.925630	3.093211	0.299246	2052.245408	671.754592	1.226672	4.380506	3906
Rhiso1|Rhiso1_276	Rhiso1|Rhiso1_1534	0.487440	2.370679	0.205612	960.931172	341.068828	1.379369	2.942307	1935
Rhiso1|Rhiso1_279	Rhiso1|Rhiso1_280	0.238389	0.647650	0.368082	363.668347	212.331653	4.571262	1.167766	594
Rhiso1|Rhiso1_281	Rhiso1|Rhiso1_6970	0.682715	3.881082	0.175908	513.242881	176.757119	0.941692	4.506120	963
Rhiso1|Rhiso1_296	Rhiso1|Rhiso1_694	0.549077	4.420507	0.124211	1179.142663	362.857337	1.115670	4.380259	1647
Rhiso1|Rhiso1_305	Rhiso1|Rhiso1_7983	0.434817	3.599837	0.120788	433.515935	121.484065	0.977845	3.382827	591
Rhiso1|Rhiso1_307	Rhiso1|Rhiso1_13103	0.883399	4.146757	0.213034	858.105911	251.894089	1.133674	4.871873	1629
Rhiso1|Rhiso1_320	Rhiso1|Rhiso1_11514	0.200825	2.533698	0.079262	1361.763867	453.236133	1.749473	2.350148	2766
Rhiso1|Rhiso1_326	Rhiso1|Rhiso1_10624	0.372319	2.704189	0.137682	860.562506	306.437494	1.206688	2.953905	1329
Rhiso1|Rhiso1_330	Rhiso1|Rhiso1_2475	0.306604	4.379195	0.070014	1480.589474	343.410526	1.035728	3.220091	1956
Rhiso1|Rhiso1_331	Rhiso1|Rhiso1_8205	0.557480	2.244575	0.248368	2371.484573	865.515427	1.622733	3.025736	3435
Rhiso1|Rhiso1_332	Rhiso1|Rhiso1_5266	0.811683	6.035985	0.134474	2180.442985	699.557015	1.201202	6.242025	4284
Rhiso1|Rhiso1_336	Rhiso1|Rhiso1_15208	0.003568	0.026859	0.132845	561.949267	305.050733	3.300392	0.035288	870
Rhiso1|Rhiso1_347	Rhiso1|Rhiso1_12687	0.454258	4.319678	0.105160	885.787785	317.212215	1.072448	4.420526	3594
Rhiso1|Rhiso1_355	Rhiso1|Rhiso1_10679	0.781554	4.327242	0.180612	999.572570	320.427430	1.071993	4.926788	3207
Rhiso1|Rhiso1_356	Rhiso1|Rhiso1_1912	0.736942	2.207305	0.333865	850.182830	274.817170	1.193215	3.288374	1806
Rhiso1|Rhiso1_364	Rhiso1|Rhiso1_8279	0.424314	3.832518	0.110714	473.325756	165.674244	1.359833	3.923889	843
Rhiso1|Rhiso1_365	Rhiso1|Rhiso1_370	0.858343	2.735515	0.313777	402.473627	122.526373	0.689485	3.889331	726
Rhiso1|Rhiso1_366	Rhiso1|Rhiso1_367	0.133286	0.721636	0.184700	1040.873547	411.126453	3.215812	0.899624	1461
Rhiso1|Rhiso1_371	Rhiso1|Rhiso1_4347	0.746582	2.101716	0.355225	1503.091845	536.908155	1.278429	3.309720	2316
Rhiso1|Rhiso1_379	Rhiso1|Rhiso1_2319	0.420491	4.321455	0.097303	1191.035349	317.964651	1.122164	3.727415	1671
Rhiso1|Rhiso1_380	Rhiso1|Rhiso1_8143	0.198837	5.218512	0.038102	4063.455211	1051.544789	1.398459	3.692354	5379
Rhiso1|Rhiso1_382	Rhiso1|Rhiso1_8561	0.797849	5.043717	0.158187	2614.064163	832.935837	0.961427	5.471472	4665
Rhiso1|Rhiso1_386	Rhiso1|Rhiso1_1121	0.559785	2.324965	0.240771	1100.158177	336.841823	1.061343	2.920664	1620
Rhiso1|Rhiso1_389	Rhiso1|Rhiso1_6666	0.580523	2.073394	0.279987	938.949393	327.050607	1.728704	2.898546	1731
Rhiso1|Rhiso1_391	Rhiso1|Rhiso1_9810	0.228032	2.380423	0.095795	782.458260	270.541740	0.998640	2.343103	1056
Rhiso1|Rhiso1_393	Rhiso1|Rhiso1_1364	0.572768	2.775491	0.206366	486.680602	179.319398	1.489820	3.497542	702
Rhiso1|Rhiso1_400	Rhiso1|Rhiso1_4383	0.954880	1.802916	0.529631	811.119395	286.880605	1.526348	3.529354	1482
Rhiso1|Rhiso1_401	Rhiso1|Rhiso1_7336	0.704618	2.559229	0.275324	394.678327	151.321673	1.438933	3.655847	783
Rhiso1|Rhiso1_404	Rhiso1|Rhiso1_6662	0.563326	2.266355	0.248560	1086.899569	392.100431	1.535192	3.044459	1605
Rhiso1|Rhiso1_408	Rhiso1|Rhiso1_11750	0.778770	2.709068	0.287468	1159.203043	358.796957	1.258440	3.705056	1599
