SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Kcap|KUCA_T00001277001	Kcap|KUCA_T00000086001	0.391179	2.483901	0.157486	825.637304	287.362696	1.402372	2.794481	1158
Kcap|KUCA_T00001278001	Kcap|KUCA_T00003200001	0.647662	4.375658	0.148015	1236.205128	341.794872	1.008727	4.365438	1746
Kcap|KUCA_T00001280001	Kcap|KUCA_T00003619001	0.085352	0.901418	0.094687	779.406439	258.593561	2.073214	0.865968	1038
Kcap|KUCA_T00001281001	Kcap|KUCA_T00003392001	0.622432	4.412534	0.141060	1029.457219	314.542781	1.109792	4.528343	1413
Kcap|KUCA_T00001283001	Kcap|KUCA_T00005519001	0.911269	3.102404	0.293730	893.086939	282.913061	1.286151	4.315185	1698
Kcap|KUCA_T00001294001	Kcap|KUCA_T00002620001	0.731368	3.710647	0.197100	486.173332	140.826668	1.001973	4.201578	1374
Kcap|KUCA_T00001295001	Kcap|KUCA_T00002042001	0.431641	4.118089	0.104816	834.552617	242.447383	1.021586	3.784531	1212
Kcap|KUCA_T00001302001	Kcap|KUCA_T00003551001	0.718612	4.202241	0.171007	908.067989	282.932011	1.282773	4.638532	1617
Kcap|KUCA_T00001304001	Kcap|KUCA_T00004730001	0.527367	0.915552	0.576011	402.384842	143.615158	2.903981	1.888416	1725
Kcap|KUCA_T00001306001	Kcap|KUCA_T00004735001	0.617420	1.972675	0.312986	1033.952111	346.047889	1.558493	2.871788	1476
Kcap|KUCA_T00001309001	Kcap|KUCA_T00005119001	0.654065	3.972336	0.164655	345.059930	98.940070	1.033062	4.180505	498
Kcap|KUCA_T00001312001	Kcap|KUCA_T00004968001	0.937263	4.620345	0.202856	1536.354303	473.645697	1.173446	5.415484	2259
Kcap|KUCA_T00001318001	Kcap|KUCA_T00001656001	0.912249	1.838524	0.496186	1655.168989	531.831011	1.605002	3.412497	2664
Kcap|KUCA_T00001321001	Kcap|KUCA_T00002925001	0.398103	4.394641	0.090588	1038.443600	350.556400	1.004267	4.220252	2112
Kcap|KUCA_T00001325001	Kcap|KUCA_T00001432001	1.008032	2.225328	0.452981	918.191657	287.808343	1.439902	3.895609	1665
Kcap|KUCA_T00001330001	Kcap|KUCA_T00002965001	0.835410	4.206787	0.198586	933.115270	272.884730	1.284787	4.794780	1449
Kcap|KUCA_T00001345001	Kcap|KUCA_T00000307001	0.746952	1.953203	0.382424	2484.214376	746.785624	1.241905	3.077263	4161
Kcap|KUCA_T00001346001	Kcap|KUCA_T00001249001	0.166380	0.892002	0.186525	393.890528	128.109472	2.043147	1.033388	522
Kcap|KUCA_T00001355001	Kcap|KUCA_T00000613001	1.068436	2.072007	0.515653	2415.171259	734.828741	1.191301	3.907644	3441
Kcap|KUCA_T00001356001	Kcap|KUCA_T00004249001	0.826103	2.654402	0.311220	587.744711	219.255289	1.827448	3.968510	879
Kcap|KUCA_T00001361001	Kcap|KUCA_T00001079001	0.949194	3.198469	0.296765	959.596810	294.403190	1.300113	4.431778	1596
Kcap|KUCA_T00001364001	Kcap|KUCA_T00005613001	0.654933	2.677413	0.244614	997.208956	277.791044	1.390225	3.286744	2178
Kcap|KUCA_T00001369001	Kcap|KUCA_T00001836001	0.667596	3.974506	0.167969	717.795041	200.204959	1.132803	4.166381	1056
Kcap|KUCA_T00001370001	Kcap|KUCA_T00003106001	0.667514	4.377762	0.152478	1142.244956	342.755044	1.210678	4.571646	1554
Kcap|KUCA_T00001371001	Kcap|KUCA_T00004008001	0.228792	1.834064	0.124746	860.790512	297.209488	1.956947	1.922392	1176
Kcap|KUCA_T00001374001	Kcap|KUCA_T00002232001	0.741781	2.795130	0.265383	937.959740	274.040260	1.097735	3.618165	1302
Kcap|KUCA_T00001375001	Kcap|KUCA_T00002503001	0.879447	4.672335	0.188224	1664.355889	507.644111	1.277093	5.297786	2661
Kcap|KUCA_T00001376001	Kcap|KUCA_T00004628001	0.723463	3.142379	0.230228	564.256902	173.743098	1.002245	3.878803	804
Kcap|KUCA_T00001382001	Kcap|KUCA_T00003156001	0.810557	2.348521	0.345135	2234.932394	681.067606	1.179947	3.509302	3828
