SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Perma1|Perma1_608311	Perma1|Perma1_341605	0.578497	4.322464	0.133835	926.607292	318.392708	1.076517	4.607906	1785
Perma1|Perma1_690635	Perma1|Perma1_499023	0.837247	2.785698	0.300552	1106.703665	372.296335	1.328027	3.983144	2037
Perma1|Perma1_608298	Perma1|Perma1_599623	0.650880	3.156500	0.206203	525.127995	140.872005	1.302230	3.542603	900
Perma1|Perma1_608296	Perma1|Perma1_570524	0.956233	4.054934	0.235820	851.132202	222.867798	1.809910	4.797751	1227
Perma1|Perma1_579276	Perma1|Perma1_610344	0.959710	2.902165	0.330687	1142.010089	318.989911	1.469596	4.151457	1731
Perma1|Perma1_608294	Perma1|Perma1_614477	0.473408	3.256689	0.145365	253.119522	76.880478	1.292098	3.365498	567
Perma1|Perma1_549495	Perma1|Perma1_587686	0.672658	4.652586	0.144577	1800.549069	494.450931	1.378075	4.590365	2793
Perma1|Perma1_690590	Perma1|Perma1_40803	0.378062	2.528304	0.149532	645.928940	209.071060	1.552098	2.711567	870
Perma1|Perma1_608286	Perma1|Perma1_643125	0.367485	3.147055	0.116771	1377.116328	560.883672	2.676477	3.515790	2160
Perma1|Perma1_621723	Perma1|Perma1_615246	0.607825	2.032947	0.298987	882.080277	305.919723	2.312155	2.924416	1404
Perma1|Perma1_608267	Perma1|Perma1_608469	0.000000	0.000000	99.000000	164.533836	87.466164	4.600000	0.000000	252
Perma1|Perma1_608266	Perma1|Perma1_723232	0.084159	0.231914	0.362889	323.998375	171.001625	3.144384	0.405607	582
Perma1|Perma1_511459	Perma1|Perma1_260079	0.233761	99.000000	0.002361	976.371801	211.628199	0.955826	53.483409	1401
Perma1|Perma1_150833	Perma1|Perma1_614988	0.605162	3.760308	0.160934	515.532876	150.467124	1.165184	3.953980	969
Perma1|Perma1_608248	Perma1|Perma1_611316	0.671297	2.746135	0.244452	4396.511566	1411.488434	1.364425	3.526603	6870
Perma1|Perma1_579189	Perma1|Perma1_637542	0.621076	3.159281	0.196588	829.241599	268.758401	1.648747	3.727063	1146
Perma1|Perma1_511240	Perma1|Perma1_605734	0.819892	1.982348	0.413596	730.432524	262.567476	1.652529	3.381799	1095
Perma1|Perma1_666141	Perma1|Perma1_722892	0.789705	2.766812	0.285420	893.545415	240.454585	1.641214	3.626798	1281
Perma1|Perma1_666140	Perma1|Perma1_515225	0.826315	1.827705	0.452105	1237.724279	421.275721	1.340534	3.241805	1701
Perma1|Perma1_579161	Perma1|Perma1_571836	0.644642	1.935543	0.333055	2071.130871	781.869129	1.374652	2.995247	3048
Perma1|Perma1_549384	Perma1|Perma1_609368	0.504121	3.663323	0.137613	611.962519	252.037481	1.896503	4.277075	1014
Perma1|Perma1_511309	Perma1|Perma1_546586	0.011051	0.062584	0.176582	455.850548	186.149452	3.967241	0.077980	1455
