SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cadsp1|Cadsp1_190	Cadsp1|Cadsp1_619255	0.799133	3.827170	0.208805	648.502939	164.497061	0.998846	4.235418	957
Cadsp1|Cadsp1_507935	Cadsp1|Cadsp1_601931	0.656870	1.579913	0.415764	1264.786465	469.213535	1.413883	2.719926	1860
Cadsp1|Cadsp1_579431	Cadsp1|Cadsp1_471215	0.498329	3.131064	0.159156	1078.637530	370.362470	1.426247	3.513757	1962
Cadsp1|Cadsp1_600936	Cadsp1|Cadsp1_571552	0.685268	3.924854	0.174597	649.619898	187.380102	1.349245	4.231552	1269
Cadsp1|Cadsp1_579433	Cadsp1|Cadsp1_579434	0.833545	4.403758	0.189280	1193.156474	354.843526	1.479559	4.955802	1818
Cadsp1|Cadsp1_475901	Cadsp1|Cadsp1_648436	0.416703	2.614221	0.159399	1005.021589	332.978411	1.425095	2.890750	1752
Cadsp1|Cadsp1_647395	Cadsp1|Cadsp1_568154	0.885313	4.698953	0.188406	1454.015894	525.984106	1.244114	5.695202	2391
Cadsp1|Cadsp1_579439	Cadsp1|Cadsp1_613193	0.807515	4.883914	0.165342	2503.906109	673.093891	1.262208	5.013479	4095
Cadsp1|Cadsp1_600960	Cadsp1|Cadsp1_559985	0.870875	2.440300	0.356872	996.800450	353.199550	1.609769	3.844447	1581
Cadsp1|Cadsp1_523563	Cadsp1|Cadsp1_488746	0.303125	1.985543	0.152666	1052.314559	318.685441	1.560059	2.082596	1503
Cadsp1|Cadsp1_647397	Cadsp1|Cadsp1_446334	0.685239	3.668039	0.186813	424.950872	133.049128	1.533004	4.189367	618
Cadsp1|Cadsp1_444252	Cadsp1|Cadsp1_404819	0.745484	3.254183	0.229085	1121.822163	354.177837	1.044130	4.042398	1656
Cadsp1|Cadsp1_564979	Cadsp1|Cadsp1_658920	0.382898	2.213183	0.173008	1251.825717	392.174283	1.520820	2.458531	1743
Cadsp1|Cadsp1_444259	Cadsp1|Cadsp1_489704	0.393640	3.402736	0.115683	1581.555624	560.444376	1.429598	3.542869	2256
Cadsp1|Cadsp1_564981	Cadsp1|Cadsp1_451858	0.546428	1.772741	0.308239	3127.881478	1246.118522	1.192929	2.687384	5874
Cadsp1|Cadsp1_507951	Cadsp1|Cadsp1_507236	0.396167	1.570360	0.252278	284.305743	87.694257	1.808877	2.018903	1146
Cadsp1|Cadsp1_647407	Cadsp1|Cadsp1_514447	0.790201	1.744100	0.453071	1237.644802	433.355198	1.916970	3.112752	1839
Cadsp1|Cadsp1_585	Cadsp1|Cadsp1_591917	0.965418	2.560154	0.377094	986.437395	327.562605	1.278327	4.088894	1836
Cadsp1|Cadsp1_600988	Cadsp1|Cadsp1_183405	0.747019	4.043432	0.184749	674.524043	219.475957	1.345528	4.668853	1032
Cadsp1|Cadsp1_507960	Cadsp1|Cadsp1_468318	0.528295	2.020421	0.261478	464.245316	162.754684	1.225166	2.746849	837
Cadsp1|Cadsp1_401278	Cadsp1|Cadsp1_564642	0.758124	4.566297	0.166026	1281.286043	440.713957	1.141442	5.198265	1965
Cadsp1|Cadsp1_444287	Cadsp1|Cadsp1_551623	0.680828	3.117476	0.218391	821.976455	264.023545	1.299145	3.819644	1134
Cadsp1|Cadsp1_647433	Cadsp1|Cadsp1_587131	0.782641	1.767881	0.442700	823.338961	268.661039	1.514731	3.075109	1209
Cadsp1|Cadsp1_401519	Cadsp1|Cadsp1_463116	0.522728	2.757125	0.189592	630.598179	191.401821	1.339940	3.129014	843
Cadsp1|Cadsp1_357649	Cadsp1|Cadsp1_515652	0.453112	2.149775	0.210772	1172.260809	393.739191	1.329299	2.639112	1686
Cadsp1|Cadsp1_507983	Cadsp1|Cadsp1_655306	0.758169	2.402469	0.315579	1367.018046	492.981954	1.462762	3.581943	2073
Cadsp1|Cadsp1_565021	Cadsp1|Cadsp1_521974	0.569216	2.864651	0.198704	998.157373	306.842627	1.649131	3.326815	1680
Cadsp1|Cadsp1_543401	Cadsp1|Cadsp1_596468	0.695066	4.002545	0.173656	653.168818	207.831182	1.224387	4.480310	1323
Cadsp1|Cadsp1_475978	Cadsp1|Cadsp1_519160	0.610201	4.170724	0.146306	804.926149	260.073851	1.635935	4.439052	1281
Cadsp1|Cadsp1_507987	Cadsp1|Cadsp1_520243	0.609861	2.046251	0.298038	1102.914074	355.085926	1.203973	2.879052	1791
Cadsp1|Cadsp1_401456	Cadsp1|Cadsp1_413403	0.923251	4.952892	0.186407	2364.064826	737.935174	1.366807	5.645590	3768
Cadsp1|Cadsp1_357063	Cadsp1|Cadsp1_508382	0.804815	4.217370	0.190833	866.237297	276.762703	1.016559	4.893365	1341
Cadsp1|Cadsp1_508008	Cadsp1|Cadsp1_620705	0.973555	1.812205	0.537221	775.705872	247.294128	1.593946	3.528857	1140
Cadsp1|Cadsp1_476005	Cadsp1|Cadsp1_560635	0.779138	4.022427	0.193698	737.585470	213.414530	1.110415	4.520899	1053
Cadsp1|Cadsp1_555314	Cadsp1|Cadsp1_436178	0.318764	3.731286	0.085430	455.244199	144.755801	1.163111	3.426203	822
Cadsp1|Cadsp1_476031	Cadsp1|Cadsp1_630521	0.290834	2.400003	0.121181	656.983019	243.016981	1.921949	2.581047	933
Cadsp1|Cadsp1_565050	Cadsp1|Cadsp1_596144	0.400321	2.011240	0.199042	1289.597571	447.402429	1.867489	2.445746	2154
Cadsp1|Cadsp1_476042	Cadsp1|Cadsp1_366371	0.836778	2.176677	0.384429	532.608925	199.391075	1.984346	3.605268	960
Cadsp1|Cadsp1_2036	Cadsp1|Cadsp1_661692	0.798125	4.176083	0.191118	800.061278	261.938722	1.140435	4.893861	4143
Cadsp1|Cadsp1_543430	Cadsp1|Cadsp1_426298	0.649706	2.120802	0.306349	1111.180047	385.819953	1.461196	3.086549	2049
Cadsp1|Cadsp1_401258	Cadsp1|Cadsp1_657736	0.470547	3.560102	0.132172	970.383946	352.616054	1.417040	3.881997	1389
Cadsp1|Cadsp1_508040	Cadsp1|Cadsp1_517510	0.828013	2.433759	0.340220	719.085427	225.914573	1.535236	3.635663	1104
Cadsp1|Cadsp1_555336	Cadsp1|Cadsp1_200457	0.680885	2.570286	0.264906	940.899779	304.100221	1.364166	3.427155	1617
Cadsp1|Cadsp1_508045	Cadsp1|Cadsp1_565371	0.494776	1.827815	0.270692	863.778806	240.221194	1.193801	2.354501	1248
Cadsp1|Cadsp1_476084	Cadsp1|Cadsp1_425988	0.463932	1.328019	0.349342	673.877390	211.122610	1.813845	2.010198	996
Cadsp1|Cadsp1_476087	Cadsp1|Cadsp1_570524	0.855936	4.393547	0.194817	1140.954822	350.045178	1.313921	5.059404	1788
Cadsp1|Cadsp1_555343	Cadsp1|Cadsp1_445233	0.431594	1.786529	0.241583	251.738752	78.261248	1.654107	2.258773	330
Cadsp1|Cadsp1_543447	Cadsp1|Cadsp1_515211	0.425556	1.683180	0.252828	456.590518	146.409482	1.834409	2.192727	675
Cadsp1|Cadsp1_647509	Cadsp1|Cadsp1_486544	0.962076	1.665781	0.577552	1029.817293	377.182707	1.764196	3.452166	1998
Cadsp1|Cadsp1_401208	Cadsp1|Cadsp1_606486	0.848253	4.651761	0.182351	1843.092428	493.907572	1.326244	4.956288	3039
Cadsp1|Cadsp1_555347	Cadsp1|Cadsp1_455382	0.555452	1.689636	0.328740	1209.921223	464.078777	1.638443	2.609636	2049
Cadsp1|Cadsp1_444457	Cadsp1|Cadsp1_451263	0.244486	4.148177	0.058938	737.628402	252.371598	1.199348	3.718854	1020
Cadsp1|Cadsp1_601145	Cadsp1|Cadsp1_498742	0.449627	4.250295	0.105787	832.817013	289.182987	1.325331	4.287620	1203
Cadsp1|Cadsp1_2794	Cadsp1|Cadsp1_656042	0.272722	4.018813	0.067861	744.611385	212.388615	1.194131	3.312295	978
Cadsp1|Cadsp1_401779	Cadsp1|Cadsp1_530682	0.670953	4.203024	0.159636	823.480892	271.519108	1.483077	4.640325	1152
Cadsp1|Cadsp1_555355	Cadsp1|Cadsp1_445664	0.673670	1.745445	0.385959	542.380979	213.619021	1.335733	2.929549	909
Cadsp1|Cadsp1_647525	Cadsp1|Cadsp1_447379	0.402819	4.241533	0.094970	881.175822	285.824178	1.581704	4.029014	1218
Cadsp1|Cadsp1_647526	Cadsp1|Cadsp1_610290	0.655538	1.798242	0.364544	260.148180	87.851820	0.975722	2.832033	375
Cadsp1|Cadsp1_601186	Cadsp1|Cadsp1_658660	0.727398	2.430477	0.299282	588.214738	218.785262	1.273510	3.567356	906
Cadsp1|Cadsp1_401237	Cadsp1|Cadsp1_430889	0.646611	4.347606	0.148728	1062.752937	329.247063	0.960581	4.566002	1500
