SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Afum|AFUA_4G00100	Afum|AFUA_5G10530	0.647610	4.210066	0.153824	1006.919564	274.080436	1.006653	4.229480	1680
Afum|AFUA_4G00110	Afum|AFUA_3G07960	0.733105	4.120163	0.177931	779.881077	243.118923	1.478330	4.614147	1176
Afum|AFUA_4G00120	Afum|AFUA_1G13350	0.517153	4.459731	0.115961	1267.660627	382.339373	1.244994	4.292191	1755
Afum|AFUA_4G00150	Afum|AFUA_2G10910	0.698592	4.424768	0.157882	1228.075654	364.924346	1.254947	4.656552	1689
Afum|AFUA_4G00160	Afum|AFUA_3G08550	0.811877	3.033271	0.267657	685.177489	235.822511	1.371671	4.141999	1020
Afum|AFUA_4G00180	Afum|AFUA_3G12120	0.361710	4.975117	0.072704	2572.869877	760.130123	1.610804	4.241557	3438
Afum|AFUA_4G00210	Afum|AFUA_4G14560	0.450141	5.367889	0.083858	3963.706966	1283.293034	1.272017	4.958719	5424
Afum|AFUA_4G00220	Afum|AFUA_7G00120	0.499397	4.043812	0.123497	716.412901	219.587099	1.060457	3.992767	999
Afum|AFUA_4G00225	Afum|AFUA_4G09250	0.699933	1.076827	0.649996	348.371729	140.628271	1.747718	2.424963	579
Afum|AFUA_4G00230	Afum|AFUA_5G12470	0.866067	4.063616	0.213127	728.537209	225.462791	1.057000	4.865272	1119
Afum|AFUA_4G00240	Afum|AFUA_5G04260	0.794352	1.761426	0.450971	1099.924712	373.075288	1.513905	3.117867	1896
Afum|AFUA_4G00290	Afum|AFUA_4G04520	0.606520	4.233750	0.143258	926.126502	282.873498	1.344114	4.365583	1344
Afum|AFUA_4G00320	Afum|AFUA_4G00660	0.729741	4.968089	0.146886	2618.959349	753.040651	1.420809	5.028768	4041
Afum|AFUA_4G00340	Afum|AFUA_5G10670	0.287394	4.099228	0.070109	804.573394	236.426606	1.733839	3.459355	1047
Afum|AFUA_4G00370	Afum|AFUA_5G00470	0.516921	1.848570	0.279633	1172.936463	411.063537	1.497403	2.587492	1686
Afum|AFUA_4G00430	Afum|AFUA_7G06580	0.355008	2.795527	0.126991	1316.450232	438.549768	1.698601	2.894577	1977
Afum|AFUA_4G00450	Afum|AFUA_1G16870	0.633896	3.882067	0.163288	588.010751	176.989249	1.307891	4.156163	1389
Afum|AFUA_4G00460	Afum|AFUA_3G02790	0.493623	2.315624	0.213170	1132.213691	394.786309	1.540296	2.894034	1593
Afum|AFUA_4G00470	Afum|AFUA_2G05840	0.316711	3.214011	0.098541	188.372161	72.627839	1.523137	3.368806	1551
Afum|AFUA_4G00490	Afum|AFUA_1G13760	0.953296	2.565223	0.371623	1194.132065	413.867935	1.833577	4.104524	2382
Afum|AFUA_4G00510	Afum|AFUA_7G08600	0.090775	0.197918	0.458648	1110.177232	452.822768	3.771473	0.365447	1623
Afum|AFUA_4G00540	Afum|AFUA_6G11890	0.707716	4.635640	0.152668	1568.595415	483.404585	1.339641	4.899138	2460
Afum|AFUA_4G00550	Afum|AFUA_1G06550	0.598746	4.402303	0.136008	1055.843890	354.156110	1.473463	4.662309	1716
Afum|AFUA_4G00570	Afum|AFUA_4G11780	0.372434	2.184434	0.170495	1073.297263	366.702737	1.649239	2.501605	1530
Afum|AFUA_4G00600	Afum|AFUA_1G11380	0.717940	3.989831	0.179943	836.662248	204.337752	1.500466	4.080538	1173
Afum|AFUA_4G00610	Afum|AFUA_1G11370	0.819468	4.425148	0.185184	1329.890492	365.109508	1.123771	4.788436	1944
Afum|AFUA_4G00620	Afum|AFUA_3G00700	0.421774	2.366317	0.178241	1049.205605	288.794395	1.693660	2.524454	1413
Afum|AFUA_4G00630	Afum|AFUA_5G00400	0.459103	4.243002	0.108202	925.615449	286.384551	1.408355	4.059612	1374
Afum|AFUA_4G00650	Afum|AFUA_1G00750	0.679863	4.240913	0.160310	941.412001	285.587999	1.258947	4.526124	1635
Afum|AFUA_4G00700	Afum|AFUA_4G11710	0.519466	2.051262	0.253242	759.899050	260.100950	1.464851	2.730227	1158
Afum|AFUA_4G00720	Afum|AFUA_5G13740	0.495608	2.044130	0.242454	537.405059	173.594941	1.516546	2.621068	951
Afum|AFUA_4G00730	Afum|AFUA_8G01530	0.416061	3.646054	0.114113	539.794360	129.205640	1.053309	3.119632	711
Afum|AFUA_4G00740	Afum|AFUA_6G09960	0.317174	3.217204	0.098587	637.791203	169.208797	1.388256	2.775726	1236
Afum|AFUA_4G00800	Afum|AFUA_2G14590	0.235554	4.134758	0.056969	1177.103587	247.896413	1.559649	2.741607	1623
Afum|AFUA_4G00830	Afum|AFUA_7G01490	0.643840	4.414471	0.145848	1287.051541	359.948459	1.008251	4.403711	1821
Afum|AFUA_4G00860	Afum|AFUA_6G12180	0.274836	3.060475	0.089802	570.996927	158.003073	1.403401	2.635782	1314
Afum|AFUA_4G00920	Afum|AFUA_3G00980	0.697189	4.269723	0.163287	1026.228224	296.771776	1.321231	4.495710	1617
Afum|AFUA_4G00930	Afum|AFUA_5G05830	0.629059	2.312218	0.272059	880.380248	316.619752	2.495180	3.222819	1989
