SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Agabi_varbisH97_2|Agabi_varbisH97_2_189137	Agabi_varbisH97_2|Agabi_varbisH97_2_222295	0.145496	0.445521	0.326576	171.360521	53.639479	3.114519	0.651065	849
Agabi_varbisH97_2|Agabi_varbisH97_2_175561	Agabi_varbisH97_2|Agabi_varbisH97_2_204060	0.771955	4.913910	0.157096	2431.440423	700.559577	1.325751	5.095259	4044
Agabi_varbisH97_2|Agabi_varbisH97_2_113535	Agabi_varbisH97_2|Agabi_varbisH97_2_178715	0.139489	0.449722	0.310168	1242.802866	518.197134	4.308489	0.692338	1776
Agabi_varbisH97_2|Agabi_varbisH97_2_181818	Agabi_varbisH97_2|Agabi_varbisH97_2_212987	0.228561	2.290008	0.099808	1044.832034	419.167966	3.355638	2.456364	1476
Agabi_varbisH97_2|Agabi_varbisH97_2_189143	Agabi_varbisH97_2|Agabi_varbisH97_2_74007	0.369876	1.919646	0.192679	809.578729	255.421271	1.718757	2.224682	1239
Agabi_varbisH97_2|Agabi_varbisH97_2_181822	Agabi_varbisH97_2|Agabi_varbisH97_2_203777	0.179058	0.387596	0.461971	488.021495	180.978505	2.257107	0.706416	786
Agabi_varbisH97_2|Agabi_varbisH97_2_113547	Agabi_varbisH97_2|Agabi_varbisH97_2_181699	0.370777	0.641405	0.578070	1408.736530	520.263470	1.749866	1.331302	2244
Agabi_varbisH97_2|Agabi_varbisH97_2_60514	Agabi_varbisH97_2|Agabi_varbisH97_2_196313	0.665786	2.090116	0.318540	651.026769	224.973231	1.996279	3.094742	948
Agabi_varbisH97_2|Agabi_varbisH97_2_60662	Agabi_varbisH97_2|Agabi_varbisH97_2_186679	0.156102	1.477576	0.105647	1193.614706	462.385294	3.446151	1.575244	2496
Agabi_varbisH97_2|Agabi_varbisH97_2_189149	Agabi_varbisH97_2|Agabi_varbisH97_2_188875	0.261772	0.723344	0.361891	476.249190	192.750810	2.980087	1.184276	684
Agabi_varbisH97_2|Agabi_varbisH97_2_62224	Agabi_varbisH97_2|Agabi_varbisH97_2_189386	0.299400	2.299931	0.130178	876.662730	317.337270	1.684602	2.493283	1248
Agabi_varbisH97_2|Agabi_varbisH97_2_181830	Agabi_varbisH97_2|Agabi_varbisH97_2_134390	0.366511	1.772648	0.206759	672.422912	263.577088	1.530396	2.287435	996
Agabi_varbisH97_2|Agabi_varbisH97_2_189151	Agabi_varbisH97_2|Agabi_varbisH97_2_189553	0.829418	2.465915	0.336353	1220.067694	405.932306	1.152034	3.713913	1704
Agabi_varbisH97_2|Agabi_varbisH97_2_213259	Agabi_varbisH97_2|Agabi_varbisH97_2_175583	0.045416	0.253110	0.179434	1178.024331	450.975669	3.095877	0.308744	1767
Agabi_varbisH97_2|Agabi_varbisH97_2_175580	Agabi_varbisH97_2|Agabi_varbisH97_2_213426	0.392936	1.451099	0.270785	648.802656	245.197344	2.135766	2.049475	957
Agabi_varbisH97_2|Agabi_varbisH97_2_181840	Agabi_varbisH97_2|Agabi_varbisH97_2_61842	0.355459	1.177308	0.301925	347.073634	129.926366	2.720166	1.737948	933
Agabi_varbisH97_2|Agabi_varbisH97_2_196347	Agabi_varbisH97_2|Agabi_varbisH97_2_198695	0.751749	2.540605	0.295894	1106.477007	369.522993	1.381892	3.598790	1647
Agabi_varbisH97_2|Agabi_varbisH97_2_189168	Agabi_varbisH97_2|Agabi_varbisH97_2_79986	0.939745	4.051309	0.231961	690.206695	221.793305	1.175929	5.089380	1062
Agabi_varbisH97_2|Agabi_varbisH97_2_175594	Agabi_varbisH97_2|Agabi_varbisH97_2_138547	0.899201	4.121879	0.218153	767.324038	243.675962	1.342408	5.027837	1122
Agabi_varbisH97_2|Agabi_varbisH97_2_189173	Agabi_varbisH97_2|Agabi_varbisH97_2_189178	0.035324	0.087368	0.404312	116.498414	48.501586	4.600000	0.151867	165
Agabi_varbisH97_2|Agabi_varbisH97_2_113583	Agabi_varbisH97_2|Agabi_varbisH97_2_175596	0.352685	0.538308	0.655174	611.818234	225.181766	1.812094	1.207873	1455
Agabi_varbisH97_2|Agabi_varbisH97_2_62120	Agabi_varbisH97_2|Agabi_varbisH97_2_153035	0.319740	1.801016	0.177533	1065.854806	416.145194	1.699656	2.207045	1713
Agabi_varbisH97_2|Agabi_varbisH97_2_132587	Agabi_varbisH97_2|Agabi_varbisH97_2_118415	0.176250	3.588390	0.049117	1076.611847	393.388153	1.934714	3.268129	1482
Agabi_varbisH97_2|Agabi_varbisH97_2_113594	Agabi_varbisH97_2|Agabi_varbisH97_2_206331	0.892876	4.601389	0.194045	1407.175525	461.824475	1.212047	5.427716	2835
Agabi_varbisH97_2|Agabi_varbisH97_2_213298	Agabi_varbisH97_2|Agabi_varbisH97_2_180778	0.946589	2.172617	0.435691	636.967088	224.032912	1.800193	3.796806	1005
Agabi_varbisH97_2|Agabi_varbisH97_2_139997	Agabi_varbisH97_2|Agabi_varbisH97_2_136959	0.063552	1.510828	0.042064	309.197828	101.802172	1.554118	1.266099	411
Agabi_varbisH97_2|Agabi_varbisH97_2_196377	Agabi_varbisH97_2|Agabi_varbisH97_2_206802	0.806048	2.899157	0.278029	717.306929	218.693071	1.203206	3.885287	1161
Agabi_varbisH97_2|Agabi_varbisH97_2_62584	Agabi_varbisH97_2|Agabi_varbisH97_2_194243	0.777089	2.242420	0.346540	1182.313870	404.686130	1.613679	3.452248	1848
Agabi_varbisH97_2|Agabi_varbisH97_2_140003	Agabi_varbisH97_2|Agabi_varbisH97_2_113607	0.485652	0.777342	0.624760	1082.124071	429.875929	2.705159	1.705747	1620
Agabi_varbisH97_2|Agabi_varbisH97_2_181873	Agabi_varbisH97_2|Agabi_varbisH97_2_179815	0.813096	4.590979	0.177107	1413.541135	455.458865	1.287387	5.201199	2859
Agabi_varbisH97_2|Agabi_varbisH97_2_196410	Agabi_varbisH97_2|Agabi_varbisH97_2_217734	0.304743	1.660867	0.183484	384.320263	149.679737	2.372931	2.054590	540
Agabi_varbisH97_2|Agabi_varbisH97_2_175624	Agabi_varbisH97_2|Agabi_varbisH97_2_122479	0.871815	2.499628	0.348778	801.850135	278.149865	1.193693	3.873156	1374
Agabi_varbisH97_2|Agabi_varbisH97_2_189220	Agabi_varbisH97_2|Agabi_varbisH97_2_192491	0.717688	2.065518	0.347461	595.673178	202.326822	1.222884	3.178260	930
Agabi_varbisH97_2|Agabi_varbisH97_2_175634	Agabi_varbisH97_2|Agabi_varbisH97_2_175644	0.257376	1.020251	0.252268	669.264402	254.735598	2.166410	1.403075	1140
Agabi_varbisH97_2|Agabi_varbisH97_2_181901	Agabi_varbisH97_2|Agabi_varbisH97_2_113643	0.200245	0.738729	0.271067	210.843280	80.156720	2.867662	1.045716	999
Agabi_varbisH97_2|Agabi_varbisH97_2_189237	Agabi_varbisH97_2|Agabi_varbisH97_2_175693	0.539472	3.674631	0.146810	709.579391	235.420609	1.738325	3.961530	2130
Agabi_varbisH97_2|Agabi_varbisH97_2_175649	Agabi_varbisH97_2|Agabi_varbisH97_2_123107	0.262548	0.643713	0.407865	1459.462201	547.537799	2.791506	1.099605	2520
Agabi_varbisH97_2|Agabi_varbisH97_2_189244	Agabi_varbisH97_2|Agabi_varbisH97_2_138931	0.607674	3.380556	0.179756	356.313498	90.686502	1.044305	3.510692	501
Agabi_varbisH97_2|Agabi_varbisH97_2_196465	Agabi_varbisH97_2|Agabi_varbisH97_2_117230	0.837198	4.890074	0.171203	2159.354370	678.645630	1.403282	5.419063	3504
Agabi_varbisH97_2|Agabi_varbisH97_2_189248	Agabi_varbisH97_2|Agabi_varbisH97_2_63272	0.933170	3.169005	0.294468	800.625978	276.374022	2.245575	4.520755	1806
Agabi_varbisH97_2|Agabi_varbisH97_2_189250	Agabi_varbisH97_2|Agabi_varbisH97_2_117890	0.683903	3.071924	0.222630	374.924539	138.075461	1.745806	3.979938	7335
Agabi_varbisH97_2|Agabi_varbisH97_2_147288	Agabi_varbisH97_2|Agabi_varbisH97_2_145418	0.535142	2.592364	0.206430	1184.294177	381.705823	1.326194	3.109744	1731
Agabi_varbisH97_2|Agabi_varbisH97_2_132659	Agabi_varbisH97_2|Agabi_varbisH97_2_189422	0.675397	3.299365	0.204705	239.618084	81.381916	1.706683	4.021926	507
Agabi_varbisH97_2|Agabi_varbisH97_2_113673	Agabi_varbisH97_2|Agabi_varbisH97_2_120583	0.250065	0.697701	0.358413	761.879495	306.120505	4.111059	1.135113	1314
Agabi_varbisH97_2|Agabi_varbisH97_2_140060	Agabi_varbisH97_2|Agabi_varbisH97_2_144085	0.153650	0.939929	0.163470	1056.409564	344.590436	1.648266	1.041130	1680
Agabi_varbisH97_2|Agabi_varbisH97_2_140061	Agabi_varbisH97_2|Agabi_varbisH97_2_120581	0.351081	0.760964	0.461363	604.246920	262.753080	2.162062	1.425900	1146
Agabi_varbisH97_2|Agabi_varbisH97_2_189260	Agabi_varbisH97_2|Agabi_varbisH97_2_189395	0.631241	2.069012	0.305093	980.367040	360.632960	1.470859	3.053696	1473
Agabi_varbisH97_2|Agabi_varbisH97_2_113689	Agabi_varbisH97_2|Agabi_varbisH97_2_196511	0.228265	0.788670	0.289431	235.199724	64.800276	1.641639	1.047939	1143
Agabi_varbisH97_2|Agabi_varbisH97_2_181939	Agabi_varbisH97_2|Agabi_varbisH97_2_176302	0.409487	4.480199	0.091399	1290.082824	392.917176	1.266117	4.079535	1875
Agabi_varbisH97_2|Agabi_varbisH97_2_175677	Agabi_varbisH97_2|Agabi_varbisH97_2_113698	0.557072	0.890516	0.625561	664.491231	268.508769	1.512508	1.959102	1281
Agabi_varbisH97_2|Agabi_varbisH97_2_196529	Agabi_varbisH97_2|Agabi_varbisH97_2_204188	0.551561	4.417113	0.124869	1084.781252	361.218748	1.369185	4.551591	1626
Agabi_varbisH97_2|Agabi_varbisH97_2_189272	Agabi_varbisH97_2|Agabi_varbisH97_2_216783	0.741333	2.212921	0.335002	484.651035	172.348965	1.646317	3.382113	732
Agabi_varbisH97_2|Agabi_varbisH97_2_213473	Agabi_varbisH97_2|Agabi_varbisH97_2_193226	0.697775	2.809886	0.248328	1135.631999	406.368001	1.525208	3.763158	1629
Agabi_varbisH97_2|Agabi_varbisH97_2_181949	Agabi_varbisH97_2|Agabi_varbisH97_2_180451	0.059465	0.352987	0.168463	1732.467115	640.532885	2.448501	0.416083	2640
Agabi_varbisH97_2|Agabi_varbisH97_2_213484	Agabi_varbisH97_2|Agabi_varbisH97_2_221343	0.623618	5.010206	0.124470	2542.462393	796.537607	1.079326	5.010192	4389
Agabi_varbisH97_2|Agabi_varbisH97_2_175691	Agabi_varbisH97_2|Agabi_varbisH97_2_201886	0.613575	3.883727	0.157986	680.618450	177.381550	0.886510	3.868923	984
Agabi_varbisH97_2|Agabi_varbisH97_2_40608	Agabi_varbisH97_2|Agabi_varbisH97_2_175815	0.175174	0.647402	0.270580	854.553698	408.446302	2.591233	0.983668	1347
Agabi_varbisH97_2|Agabi_varbisH97_2_113718	Agabi_varbisH97_2|Agabi_varbisH97_2_196562	0.048624	0.133814	0.363371	287.506549	111.493451	4.876699	0.217287	2163
Agabi_varbisH97_2|Agabi_varbisH97_2_147333	Agabi_varbisH97_2|Agabi_varbisH97_2_188406	0.847253	4.432473	0.191147	1182.306952	368.693048	1.281859	5.098521	2157
Agabi_varbisH97_2|Agabi_varbisH97_2_113733	Agabi_varbisH97_2|Agabi_varbisH97_2_115056	0.824570	5.035316	0.163757	2833.342841	823.657159	1.446054	5.318838	4563
Agabi_varbisH97_2|Agabi_varbisH97_2_41003	Agabi_varbisH97_2|Agabi_varbisH97_2_223047	0.529719	4.166163	0.127148	773.502891	258.497109	1.631850	4.321744	2139
Agabi_varbisH97_2|Agabi_varbisH97_2_189303	Agabi_varbisH97_2|Agabi_varbisH97_2_182460	0.692351	3.825797	0.180969	684.803801	164.196199	1.092251	3.895073	996
Agabi_varbisH97_2|Agabi_varbisH97_2_189310	Agabi_varbisH97_2|Agabi_varbisH97_2_191933	0.769942	2.616307	0.294286	690.763657	233.236343	1.563003	3.708007	1251
Agabi_varbisH97_2|Agabi_varbisH97_2_181983	Agabi_varbisH97_2|Agabi_varbisH97_2_224084	0.783112	2.265276	0.345703	1885.311481	658.688519	1.530117	3.500616	5166
Agabi_varbisH97_2|Agabi_varbisH97_2_196615	Agabi_varbisH97_2|Agabi_varbisH97_2_196626	0.194466	1.229331	0.158189	764.196692	321.803308	3.572770	1.503352	1098
Agabi_varbisH97_2|Agabi_varbisH97_2_213547	Agabi_varbisH97_2|Agabi_varbisH97_2_193409	0.717517	4.717364	0.152101	1623.944690	539.055310	1.005718	5.143035	3876
Agabi_varbisH97_2|Agabi_varbisH97_2_147363	Agabi_varbisH97_2|Agabi_varbisH97_2_194907	0.696524	3.757495	0.185369	477.096234	149.903766	0.756071	4.285032	690
Agabi_varbisH97_2|Agabi_varbisH97_2_181995	Agabi_varbisH97_2|Agabi_varbisH97_2_150877	0.725607	2.332257	0.311118	955.059035	319.940965	1.212629	3.386310	2250
Agabi_varbisH97_2|Agabi_varbisH97_2_196643	Agabi_varbisH97_2|Agabi_varbisH97_2_187647	0.875555	2.811986	0.311365	1794.165995	587.834005	1.580752	4.060292	3273
Agabi_varbisH97_2|Agabi_varbisH97_2_189329	Agabi_varbisH97_2|Agabi_varbisH97_2_194478	0.445625	4.154125	0.107273	894.619053	254.380947	0.742053	3.799985	1272
Agabi_varbisH97_2|Agabi_varbisH97_2_175731	Agabi_varbisH97_2|Agabi_varbisH97_2_217430	0.810296	4.380485	0.184979	1140.998396	344.001604	1.154593	4.912001	1629
Agabi_varbisH97_2|Agabi_varbisH97_2_196678	Agabi_varbisH97_2|Agabi_varbisH97_2_117146	0.769032	2.880709	0.266959	1139.013212	402.986788	1.828293	3.962695	1617
