SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pdes|GMDG_08635	Pdes|GMDG_02449	0.684551	0.991460	0.690447	255.278664	101.721336	1.232510	2.315999	582
Pdes|GMDG_07428	Pdes|GMDG_04674	0.118926	0.139126	0.854811	408.414712	152.585288	2.601084	0.373261	2622
Pdes|GMDG_07435	Pdes|GMDG_07536	0.393302	1.655151	0.237623	289.446933	121.553067	1.803845	2.299480	2322
Pdes|GMDG_07438	Pdes|GMDG_00474	0.773972	4.665871	0.165879	1869.712362	503.287638	1.228288	4.798205	2778
Pdes|GMDG_07439	Pdes|GMDG_02274	0.796076	4.194357	0.189797	1144.600794	268.399206	1.453902	4.324738	1692
Pdes|GMDG_06021	Pdes|GMDG_05611	0.629665	3.170625	0.198593	546.605062	179.394938	1.680021	3.772612	1239
Pdes|GMDG_06023	Pdes|GMDG_08000	1.022434	3.227463	0.316792	1707.765438	584.234562	1.438762	4.753500	2895
Pdes|GMDG_06024	Pdes|GMDG_08376	0.129976	0.180734	0.719157	1078.507955	487.492045	4.673447	0.437330	2652
Pdes|GMDG_06038	Pdes|GMDG_04216	0.822655	3.908051	0.210503	623.771490	183.228510	1.192339	4.569573	1071
Pdes|GMDG_06049	Pdes|GMDG_01050	0.643937	4.269267	0.150831	1044.408539	296.591461	1.170147	4.337273	3342
Pdes|GMDG_06052	Pdes|GMDG_06149	0.308824	4.033421	0.076566	866.434044	216.565956	0.955695	3.160879	1137
Pdes|GMDG_06055	Pdes|GMDG_03407	0.519104	3.882743	0.133695	808.114948	274.885052	1.482580	4.118569	1281
Pdes|GMDG_06057	Pdes|GMDG_05076	0.158677	0.281282	0.564121	317.380948	90.619052	1.546841	0.557726	876
Pdes|GMDG_08219	Pdes|GMDG_02740	0.343184	4.495627	0.076337	1374.916728	401.083272	1.288784	3.842855	1887
Pdes|GMDG_08220	Pdes|GMDG_04875	0.100586	0.335399	0.299899	162.925220	53.074780	2.999473	0.474850	933
Pdes|GMDG_00570	Pdes|GMDG_05617	0.442033	3.740775	0.118166	501.401189	146.598811	1.095886	3.564949	828
Pdes|GMDG_00572	Pdes|GMDG_02508	0.740622	4.044056	0.183138	791.341330	219.658670	1.146323	4.375065	2532
Pdes|GMDG_00578	Pdes|GMDG_07669	0.615649	3.899060	0.157897	766.954757	181.045243	1.141106	3.728105	1326
Pdes|GMDG_00579	Pdes|GMDG_03972	0.699405	4.237685	0.165044	1215.638358	284.361642	1.501473	4.110518	1632
Pdes|GMDG_00584	Pdes|GMDG_08332	0.677547	4.380485	0.154674	1185.998384	344.001616	1.099105	4.530321	2457
Pdes|GMDG_00586	Pdes|GMDG_04856	0.764603	4.364565	0.175184	1043.223360	336.776640	1.401517	4.929425	1947
Pdes|GMDG_00598	Pdes|GMDG_05305	0.700414	3.947681	0.177424	946.829105	193.170895	1.083396	3.751973	1935
Pdes|GMDG_00601	Pdes|GMDG_01195	0.317924	1.955397	0.162588	457.364827	124.635173	1.982889	2.005765	597
Pdes|GMDG_00609	Pdes|GMDG_00606	0.684948	1.937883	0.353452	423.764826	128.235174	1.236879	2.928053	1761
Pdes|GMDG_00614	Pdes|GMDG_01898	0.013164	0.609485	0.021599	229.999015	79.000985	2.044376	0.496870	309
Pdes|GMDG_00619	Pdes|GMDG_01833	0.809296	2.536147	0.319105	927.305032	242.694968	1.284407	3.502499	1425
Pdes|GMDG_00621	Pdes|GMDG_06090	0.824662	4.447628	0.185416	1309.781382	376.218618	1.147550	4.899302	1989
Pdes|GMDG_00625	Pdes|GMDG_06314	0.901576	4.429208	0.203553	994.772536	328.227464	1.282371	5.330275	1479
Pdes|GMDG_00632	Pdes|GMDG_05459	0.056810	0.121286	0.468395	386.325015	174.674985	7.704306	0.230656	900
Pdes|GMDG_00638	Pdes|GMDG_08671	0.179229	2.874381	0.062354	667.350244	235.649756	3.288827	2.647694	993
Pdes|GMDG_00639	Pdes|GMDG_08222	0.619090	3.626693	0.170704	414.087118	125.912882	1.922426	3.961137	1302
Pdes|GMDG_00641	Pdes|GMDG_05403	0.632522	2.241403	0.282199	927.260491	314.739509	1.508154	3.120702	2169
Pdes|GMDG_00645	Pdes|GMDG_08565	0.015136	0.030583	0.494936	735.412992	233.587008	5.390726	0.056580	1473
Pdes|GMDG_00646	Pdes|GMDG_00548	0.789547	4.357337	0.181199	1238.453311	333.546689	1.225796	4.639681	1917
Pdes|GMDG_06771	Pdes|GMDG_06403	0.070718	0.232369	0.304333	827.809221	330.190779	2.410663	0.350432	1716
Pdes|GMDG_06774	Pdes|GMDG_01826	0.486427	1.518403	0.320354	1583.528190	375.471810	1.300458	2.052661	2067
Pdes|GMDG_06789	Pdes|GMDG_02440	0.823040	4.610473	0.178515	1749.547985	467.452015	1.278253	4.864848	2661
Pdes|GMDG_06790	Pdes|GMDG_04404	0.427346	3.807838	0.112228	850.688819	160.311181	1.153012	2.890140	1131
Pdes|GMDG_06792	Pdes|GMDG_04604	0.472092	3.940597	0.119802	855.645230	191.354770	1.094709	3.318038	1080
Pdes|GMDG_08618	Pdes|GMDG_02943	0.392168	1.443466	0.271685	300.740593	107.259407	2.681037	2.005633	600
Pdes|GMDG_08619	Pdes|GMDG_07900	0.056013	0.974643	0.057470	278.235898	90.764102	5.981683	0.845913	939
