SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Tsti|TSTA_023380	Tsti|TSTA_065880	0.102792	0.236272	0.435058	478.021478	223.978522	12.752443	0.436140	1239
Tsti|TSTA_023400	Tsti|TSTA_054710	0.034423	0.049381	0.697092	346.841107	112.158893	1.456265	0.114235	648
Tsti|TSTA_023410	Tsti|TSTA_126690	0.029316	0.032460	0.903139	382.606062	157.393938	4.600000	0.090696	4614
Tsti|TSTA_023450	Tsti|TSTA_052650	0.022528	0.072571	0.310422	1037.793681	351.206319	7.356646	0.105543	1824
Tsti|TSTA_023460	Tsti|TSTA_062210	0.317509	2.005099	0.158351	560.117966	189.882034	1.965916	2.234299	4152
Tsti|TSTA_023470	Tsti|TSTA_060940	0.010216	0.021995	0.464452	591.331082	230.668918	4.600000	0.040564	1185
Tsti|TSTA_023480	Tsti|TSTA_022780	0.023788	0.018835	1.262980	989.129002	483.870998	41.445482	0.066482	2229
Tsti|TSTA_023490	Tsti|TSTA_111280.1	0.441313	1.864568	0.236684	1356.538267	461.461733	2.305531	2.407730	1947
Tsti|TSTA_023500	Tsti|TSTA_106820	0.112548	0.258478	0.435424	550.169887	211.830113	3.550701	0.459346	765
Tsti|TSTA_023510	Tsti|TSTA_061800	0.024497	0.034918	0.701562	646.976229	310.023771	22.204196	0.083618	1023
Tsti|TSTA_023520	Tsti|TSTA_011320	0.656121	2.780406	0.235980	1202.110695	402.889305	1.394585	3.568086	1845
Tsti|TSTA_023530	Tsti|TSTA_123900	0.481442	2.390943	0.201361	1010.226532	360.773468	1.241224	2.951760	1473
Tsti|TSTA_023540	Tsti|TSTA_117400	0.519650	3.758260	0.138269	455.943212	150.056788	1.271463	3.964768	1884
Tsti|TSTA_023550	Tsti|TSTA_117410	0.643329	3.948133	0.162945	613.712696	193.287304	1.402603	4.304621	834
Tsti|TSTA_023560	Tsti|TSTA_067430	0.777367	4.398385	0.176739	1087.689208	352.310792	1.285104	4.989859	1485
Tsti|TSTA_023580	Tsti|TSTA_059080	0.888328	2.394876	0.370929	894.435086	311.564914	1.441260	3.832616	1953
Tsti|TSTA_023600	Tsti|TSTA_092620	0.301594	0.568299	0.530695	486.648822	170.351178	2.865349	1.112240	1866
Tsti|TSTA_023620	Tsti|TSTA_069320	0.887110	1.754481	0.505625	862.739445	286.260555	1.394613	3.309618	1308
Tsti|TSTA_023630	Tsti|TSTA_096550	0.654118	3.710067	0.176309	495.282345	140.717655	1.053402	3.990778	666
Tsti|TSTA_023640	Tsti|TSTA_085010	0.827292	2.259835	0.366085	1084.580319	388.419681	1.670485	3.615131	1545
Tsti|TSTA_023680	Tsti|TSTA_107020	0.485923	4.602706	0.105573	1472.363915	462.636085	1.198277	4.410594	2007
Tsti|TSTA_023690	Tsti|TSTA_104500	0.747456	4.047427	0.184674	622.351986	220.648014	1.501047	4.833586	1359
Tsti|TSTA_023700	Tsti|TSTA_093280	0.786675	2.055891	0.382644	1013.621877	369.378123	1.452214	3.376989	2193
Tsti|TSTA_023710	Tsti|TSTA_015460	0.386396	2.380684	0.162305	850.320015	355.679985	1.389271	2.923686	1473
Tsti|TSTA_023740	Tsti|TSTA_027980	0.570094	4.079491	0.139746	789.714172	230.285828	1.201319	4.087235	1650
Tsti|TSTA_023750.1	Tsti|TSTA_023750.2	0.010153	0.008268	1.227935	711.375941	344.624059	9.918277	0.028614	1143
Tsti|TSTA_023770	Tsti|TSTA_106460	0.882452	1.831204	0.481897	1169.678895	426.321105	1.791231	3.407643	1710
Tsti|TSTA_023780.1	Tsti|TSTA_023780.2	0.000000	0.000000	99.000000	723.065650	287.934350	4.600000	0.000000	1011
Tsti|TSTA_023790	Tsti|TSTA_022280	0.867379	4.127473	0.210148	768.499913	245.500087	1.154228	4.970045	1257
Tsti|TSTA_023800	Tsti|TSTA_094500	0.644803	2.472355	0.260805	1200.588148	458.411852	1.701209	3.449367	2016
Tsti|TSTA_023850	Tsti|TSTA_106030	0.900322	2.201853	0.408893	1075.638212	379.361788	1.585884	3.719009	6183
Tsti|TSTA_023870	Tsti|TSTA_126860	0.641797	2.691710	0.238435	1523.704247	489.295753	1.545146	3.420196	2322
Tsti|TSTA_023880	Tsti|TSTA_122150	0.466221	4.364314	0.106826	1127.336101	336.663899	1.400746	4.087900	1569
Tsti|TSTA_023890	Tsti|TSTA_106170	0.467904	4.821473	0.097046	1966.674390	619.325610	1.276793	4.531644	3066
Tsti|TSTA_023910	Tsti|TSTA_022180	0.657408	2.071992	0.317283	904.020995	268.979005	1.252721	2.945352	1254
Tsti|TSTA_023920	Tsti|TSTA_066050	0.646124	4.214665	0.153304	918.233976	275.766024	1.147327	4.410941	1230
Tsti|TSTA_023950	Tsti|TSTA_016490	1.041315	2.790237	0.373200	2015.520319	666.479681	1.525038	4.427772	3108
Tsti|TSTA_023960	Tsti|TSTA_102770.1	0.737229	1.776892	0.414898	325.298000	103.702000	1.880560	2.965638	465
Tsti|TSTA_023970	Tsti|TSTA_011150.1	0.520383	4.294981	0.121161	872.063419	306.936581	1.335122	4.509145	1299
Tsti|TSTA_024010	Tsti|TSTA_077320	0.627488	1.516813	0.413688	736.958803	265.041197	1.682357	2.588175	1623
Tsti|TSTA_024020	Tsti|TSTA_094530	0.661393	6.564804	0.100748	742.399191	247.600809	1.469240	6.413539	1176
Tsti|TSTA_024030	Tsti|TSTA_017730	0.906806	2.603383	0.348318	1706.531454	558.468546	1.323745	3.975365	2847
Tsti|TSTA_024070	Tsti|TSTA_050530	0.697222	4.398302	0.158521	1195.728271	352.271729	0.852212	4.618383	1833
Tsti|TSTA_024090	Tsti|TSTA_104490	0.570265	1.748649	0.326117	1203.594909	491.405091	2.066597	2.735687	2070
Tsti|TSTA_024110	Tsti|TSTA_060530.2	0.115008	0.551388	0.208580	995.040153	363.959847	2.181188	0.695631	2046
Tsti|TSTA_024130	Tsti|TSTA_022490	0.337284	2.373545	0.142101	215.064646	87.935354	3.866054	2.784716	1578
Tsti|TSTA_024160	Tsti|TSTA_115340.2	0.792192	1.749231	0.452880	804.756652	293.243348	1.838246	3.143367	1329
Tsti|TSTA_024180.1	Tsti|TSTA_024180.2	0.000000	0.000000	99.000000	1062.824088	359.175912	4.600000	0.000000	1566
Tsti|TSTA_024190.1	Tsti|TSTA_024190.2	0.000000	0.000000	99.000000	1560.114804	641.885196	4.600000	0.000000	2214
Tsti|TSTA_024200	Tsti|TSTA_071930	0.757451	3.910270	0.193708	572.228399	183.771601	1.644688	4.571553	1251
Tsti|TSTA_024210	Tsti|TSTA_055880	0.654207	4.476793	0.146133	1303.863200	391.136800	1.211724	4.608912	1866
Tsti|TSTA_024220	Tsti|TSTA_117040	0.748664	3.785902	0.197750	522.309602	155.690398	1.366311	4.338331	1092
Tsti|TSTA_024230.1	Tsti|TSTA_024230.2	0.025471	0.024726	1.030118	359.493701	123.506299	1.010436	0.075841	516
Tsti|TSTA_024260.1	Tsti|TSTA_024260.2	0.000000	0.000000	99.000000	536.208485	213.791515	4.600000	0.000000	912
Tsti|TSTA_024270	Tsti|TSTA_087130	0.963190	4.101406	0.234844	2174.197737	690.802263	1.291944	5.159608	4614
Tsti|TSTA_024290.1	Tsti|TSTA_024290.2	0.004196	0.012907	0.325091	2509.586526	742.413474	1.084425	0.018553	3531
Tsti|TSTA_024310	Tsti|TSTA_083790	0.699965	2.717539	0.257573	661.364008	223.635992	1.446292	3.629395	1029
Tsti|TSTA_024330	Tsti|TSTA_010100	0.762380	3.901970	0.195383	1229.820182	396.179818	1.081067	4.582052	1767
Tsti|TSTA_024370.1	Tsti|TSTA_024370.2	0.000000	0.000000	99.000000	293.098550	141.901450	4.600000	0.000000	435
Tsti|TSTA_024390	Tsti|TSTA_093240	0.341568	2.286090	0.149411	573.704784	212.295216	1.315862	2.600324	1005
Tsti|TSTA_024400	Tsti|TSTA_034250	0.743341	1.832048	0.405743	1207.607001	394.392999	1.546260	3.034103	1662
Tsti|TSTA_024430	Tsti|TSTA_066580.2	0.590137	2.167654	0.272247	445.528308	112.471692	1.496001	2.724313	741
Tsti|TSTA_024460	Tsti|TSTA_112110.2	0.631538	1.924018	0.328239	1329.728963	470.271037	1.840716	2.907642	1926
Tsti|TSTA_024510.1	Tsti|TSTA_006830.2	0.635598	3.500420	0.181578	987.203947	344.796053	1.690987	4.131522	1500
Tsti|TSTA_024520	Tsti|TSTA_037690	0.157878	0.802553	0.196719	406.937814	160.062186	3.722412	1.019602	840
Tsti|TSTA_024530	Tsti|TSTA_084110.2	0.108392	0.012611	8.595030	238.036012	79.963988	0.851937	0.252922	318
Tsti|TSTA_024540	Tsti|TSTA_040780	0.252595	0.423770	0.596067	270.919726	113.080274	3.314857	0.909008	2187
Tsti|TSTA_024580	Tsti|TSTA_038130	0.253694	1.507690	0.168267	2644.307901	1081.692099	3.037775	1.853221	4743
Tsti|TSTA_024590	Tsti|TSTA_038090	0.226072	3.974910	0.056875	729.687302	200.312698	1.134753	3.100603	960
Tsti|TSTA_024610.1	Tsti|TSTA_024610.2	0.000000	0.000000	99.000000	540.969691	218.030309	4.600000	0.000000	888
Tsti|TSTA_024620.1	Tsti|TSTA_024620.2	0.000000	0.000000	99.000000	1581.866682	659.133318	4.600000	0.000000	2241
Tsti|TSTA_024630	Tsti|TSTA_055970	0.010822	0.009607	1.126472	1209.958909	419.041091	4.600000	0.031528	1629
Tsti|TSTA_024640	Tsti|TSTA_038070	0.405204	1.997845	0.202821	12222.871382	4511.128618	1.973645	2.503638	17484
Tsti|TSTA_024650	Tsti|TSTA_038110	0.225629	1.831135	0.123218	1483.769684	568.230316	1.911538	2.010654	2097
Tsti|TSTA_024670	Tsti|TSTA_008110	0.218131	1.034458	0.210865	887.218499	243.781501	1.546498	1.182259	1893
Tsti|TSTA_024680	Tsti|TSTA_119910	0.826113	2.700816	0.305875	1041.417642	404.582358	2.044190	4.051931	2136
Tsti|TSTA_024690	Tsti|TSTA_111600	0.527348	4.435768	0.118885	1204.683555	370.316445	1.617726	4.338907	6039
Tsti|TSTA_024700	Tsti|TSTA_075010	0.236581	0.882009	0.268230	293.562925	102.437075	4.490919	1.210620	603
Tsti|TSTA_024770	Tsti|TSTA_118280	0.165442	0.464749	0.355981	682.260973	238.739027	2.554802	0.729083	2223
Tsti|TSTA_024800	Tsti|TSTA_084150	0.346327	1.731659	0.199997	237.854160	74.145840	1.631065	2.026640	2175
Tsti|TSTA_024840	Tsti|TSTA_094540	0.887908	4.486407	0.197911	1211.817262	396.182738	1.219799	5.323543	2751
Tsti|TSTA_024880	Tsti|TSTA_076440	0.789623	4.648788	0.169856	1533.046862	491.953138	1.220488	5.181504	5085
Tsti|TSTA_024890	Tsti|TSTA_001480	0.178056	1.403185	0.126894	883.641162	313.358838	1.843702	1.496336	1476
Tsti|TSTA_024900	Tsti|TSTA_102770.4	0.673018	1.963821	0.342708	328.820138	112.179862	1.694499	3.004102	507
Tsti|TSTA_024930	Tsti|TSTA_031900	0.398652	4.168176	0.095642	904.808168	259.191832	0.998079	3.714076	1302
Tsti|TSTA_024940	Tsti|TSTA_006000	0.369773	2.382383	0.155211	1611.560036	461.439964	1.714949	2.453312	3198
Tsti|TSTA_024950	Tsti|TSTA_070880	0.772662	2.054140	0.376148	817.270607	289.729393	1.436136	3.324169	2739
Tsti|TSTA_024990	Tsti|TSTA_083200	0.376077	3.174958	0.118451	285.057157	68.942843	1.514197	2.763508	378
Tsti|TSTA_025040	Tsti|TSTA_017640	0.673421	4.728599	0.142415	1627.808743	547.191257	1.436418	5.080895	2850
Tsti|TSTA_025050	Tsti|TSTA_068520	0.743525	3.489854	0.213053	1470.986501	491.013499	1.273124	4.292477	2325
Tsti|TSTA_025060	Tsti|TSTA_081430	0.554568	2.317023	0.239345	2016.514755	617.485245	1.213763	2.903213	4485
Tsti|TSTA_025070	Tsti|TSTA_002350	0.550622	1.684474	0.326880	1096.027248	403.972752	1.367456	2.567956	1593
