SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Htak|AQF_AIT00000001001	Htak|AQF_AIT00002155001	0.396050	4.605809	0.085989	1264.542344	367.457656	1.314707	4.031732	1689
Htak|AQF_AIT00000002001	Htak|AQF_AIT00006832001	0.534881	4.627991	0.115575	1513.501007	478.498993	1.237304	4.554264	2757
Htak|AQF_AIT00000006001	Htak|AQF_AIT00001479001	0.667468	4.250524	0.157032	1234.728635	289.271365	1.598358	4.042711	1614
Htak|AQF_AIT00000022001	Htak|AQF_AIT00000026001	0.592217	1.646475	0.359688	388.162656	142.837344	1.204023	2.627427	915
Htak|AQF_AIT00000035001	Htak|AQF_AIT00007961001	0.628667	4.088641	0.153760	660.887522	233.112478	0.932139	4.592590	1695
Htak|AQF_AIT00000037001	Htak|AQF_AIT00006131001	0.508722	4.356811	0.116765	1322.687398	333.312602	1.114003	3.849746	5217
Htak|AQF_AIT00000041001	Htak|AQF_AIT00001118001	0.429500	4.228051	0.101583	1231.267739	280.732261	1.226641	3.404324	1635
Htak|AQF_AIT00000046001	Htak|AQF_AIT00005183001	0.896308	1.717105	0.521988	464.852190	168.147810	1.472344	3.343024	936
Htak|AQF_AIT00000059001	Htak|AQF_AIT00001804001	0.909390	5.232823	0.173786	3575.197312	1071.802688	1.260220	5.719692	5490
Htak|AQF_AIT00000066001	Htak|AQF_AIT00007092001	0.914449	2.032343	0.449948	1049.791913	405.208087	5.017851	3.677326	2940
Htak|AQF_AIT00000072001	Htak|AQF_AIT00003312001	0.589701	2.296712	0.256759	913.595985	298.404015	1.611919	3.029942	1638
Htak|AQF_AIT00000073001	Htak|AQF_AIT00000075001	0.446234	2.173866	0.205272	436.012254	172.987746	0.988350	2.810914	3666
Htak|AQF_AIT00000076001	Htak|AQF_AIT00000077001	0.524922	3.497220	0.150097	338.050839	105.949161	1.520490	3.702552	639
Htak|AQF_AIT00000084001	Htak|AQF_AIT00000088001	0.344965	2.444500	0.141119	255.110813	83.889187	1.509298	2.593553	510
Htak|AQF_AIT00000085001	Htak|AQF_AIT00000089001	0.496097	1.549149	0.320239	632.456510	279.543490	2.377009	2.456626	1374
Htak|AQF_AIT00000100001	Htak|AQF_AIT00000101001	0.444181	3.168407	0.140191	225.656799	68.343201	1.503288	3.232362	360
Htak|AQF_AIT00000116001	Htak|AQF_AIT00001421001	0.729527	2.712347	0.268965	1213.893087	409.106913	1.227822	3.687999	3009
Htak|AQF_AIT00000117001	Htak|AQF_AIT00000752001	0.955991	2.531752	0.377601	1995.340185	662.659815	1.203739	4.046520	3480
Htak|AQF_AIT00000124001	Htak|AQF_AIT00005997001	0.862788	2.595126	0.332465	1229.541497	396.458503	1.476636	3.855522	1812
Htak|AQF_AIT00000130001	Htak|AQF_AIT00007421001	0.448264	3.873163	0.115736	572.099521	174.900479	1.751615	3.750480	1062
Htak|AQF_AIT00000132001	Htak|AQF_AIT00002225001	0.648934	4.919434	0.131912	2705.261415	705.738585	1.174347	4.597512	4101
Htak|AQF_AIT00000137001	Htak|AQF_AIT00004096001	0.762371	4.427234	0.172200	1094.873509	366.126491	1.137783	5.042356	1884
Htak|AQF_AIT00000138001	Htak|AQF_AIT00004235001	0.902905	4.758579	0.189743	1983.492233	569.507767	1.030383	5.289017	3333
Htak|AQF_AIT00000143001	Htak|AQF_AIT00001326001	0.550317	4.355132	0.126361	1185.432780	332.567220	0.945514	4.151657	1818
Htak|AQF_AIT00000146001	Htak|AQF_AIT00004423001	0.400038	3.467766	0.115359	806.901424	225.098576	2.019244	3.207500	1179
Htak|AQF_AIT00000147001	Htak|AQF_AIT00008167001	0.587904	3.168697	0.185535	730.327924	220.672076	1.292889	3.560270	1194
Htak|AQF_AIT00000149001	Htak|AQF_AIT00007416001	0.615339	4.064503	0.151393	899.270618	225.729382	1.363364	3.922224	1368
Htak|AQF_AIT00000152001	Htak|AQF_AIT00006455001	0.585976	2.388497	0.245332	779.250592	267.749408	1.094456	3.140804	1215
Htak|AQF_AIT00000161001	Htak|AQF_AIT00001113001	0.603273	2.617485	0.230478	1185.869507	383.130493	1.115046	3.285357	2469
Htak|AQF_AIT00000164001	Htak|AQF_AIT00004838001	0.716496	4.949295	0.144767	2460.595700	734.404300	1.277382	5.068348	3963
Htak|AQF_AIT00000166001	Htak|AQF_AIT00002180001	1.079222	5.296535	0.203760	3552.168972	1166.831028	1.294102	6.366015	5640
Htak|AQF_AIT00000179001	Htak|AQF_AIT00005204001	0.890636	2.555576	0.348507	1296.102899	479.897101	1.467598	4.021570	2424
Htak|AQF_AIT00000180001	Htak|AQF_AIT00000186001	0.504461	1.794100	0.281178	338.763138	102.236862	1.493704	2.410311	465
Htak|AQF_AIT00000191001	Htak|AQF_AIT00003411001	0.494346	3.987544	0.123973	852.284378	203.715622	1.172850	3.504683	1254
Htak|AQF_AIT00000197001	Htak|AQF_AIT00004258001	0.642559	3.794347	0.169346	562.546623	157.453377	1.379238	3.995426	942
Htak|AQF_AIT00000204001	Htak|AQF_AIT00000273001	0.596769	4.483283	0.133110	1585.464013	394.535987	1.038924	4.113593	2196
Htak|AQF_AIT00000208001	Htak|AQF_AIT00002127001	0.655354	4.432258	0.147860	1353.412935	368.587065	1.058107	4.391356	2058
Htak|AQF_AIT00000210001	Htak|AQF_AIT00002362001	0.815421	6.276957	0.129907	2575.377789	766.622211	1.181098	6.204732	5082
Htak|AQF_AIT00000221001	Htak|AQF_AIT00004063001	0.626951	4.363348	0.143686	1709.769156	336.230844	1.053476	3.722924	2388
Htak|AQF_AIT00000222001	Htak|AQF_AIT00001246001	0.580278	4.203368	0.138051	940.356595	271.643405	1.203653	4.176944	1368
Htak|AQF_AIT00000226001	Htak|AQF_AIT00005649001	0.724627	1.862053	0.389155	1119.178509	323.821491	0.978431	2.939627	1812
