SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Monha1|Monha1_1	Monha1|Monha1_1869	0.609837	2.437440	0.250196	666.672701	266.327299	1.886059	3.394594	2658
Monha1|Monha1_4	Monha1|Monha1_6485	0.785744	3.846082	0.204297	833.811678	294.188322	1.596074	4.751688	1164
Monha1|Monha1_7	Monha1|Monha1_9580	0.562346	1.526590	0.368368	5742.621269	2867.378731	1.740015	2.650402	11295
Monha1|Monha1_8	Monha1|Monha1_25	0.742047	1.539332	0.482058	1172.597978	519.402022	14.168006	2.960380	2265
Monha1|Monha1_11	Monha1|Monha1_7063	0.968489	2.179096	0.444445	950.550192	357.449808	1.481206	3.897970	1503
Monha1|Monha1_12	Monha1|Monha1_2136	0.267380	1.222835	0.218656	469.420754	178.579246	1.422480	1.592068	657
Monha1|Monha1_13	Monha1|Monha1_1756	0.250207	1.452896	0.172213	1022.886734	471.113266	8.357015	1.888378	1512
Monha1|Monha1_14	Monha1|Monha1_1753	0.220427	4.279903	0.051503	998.172423	300.827577	1.305182	3.481610	1347
Monha1|Monha1_17	Monha1|Monha1_5841	0.851038	1.943468	0.437896	517.884902	169.115098	1.774370	3.359867	798
Monha1|Monha1_19	Monha1|Monha1_5877	0.553914	4.253464	0.130227	927.592447	290.407553	1.638397	4.307991	1434
Monha1|Monha1_20	Monha1|Monha1_1460	0.793073	3.926284	0.201991	607.262317	187.737683	1.236536	4.598925	1968
Monha1|Monha1_22	Monha1|Monha1_10342	0.659727	4.015689	0.164287	694.494227	211.505773	0.830303	4.329530	1023
Monha1|Monha1_29	Monha1|Monha1_9539	0.476493	1.838607	0.259160	734.199543	303.800457	1.575939	2.625464	1104
Monha1|Monha1_45	Monha1|Monha1_8230	0.344853	4.483673	0.076913	1273.258909	394.741091	1.360868	3.972981	2706
Monha1|Monha1_47	Monha1|Monha1_4320	0.376932	4.445404	0.084791	1283.895243	375.104757	1.058800	3.890477	1815
Monha1|Monha1_48	Monha1|Monha1_5185	0.835259	3.068213	0.272230	787.608251	229.391749	1.639563	4.016755	1224
Monha1|Monha1_51	Monha1|Monha1_2404	1.278181	1.216547	1.050663	6850.342739	3499.657261	1.389995	3.772022	14337
Monha1|Monha1_52	Monha1|Monha1_2170	0.479232	2.709796	0.176852	1494.511956	512.488044	1.385830	3.146420	2205
Monha1|Monha1_53	Monha1|Monha1_3093	0.341058	1.843144	0.185042	1474.580433	430.419567	1.443860	2.041328	1977
Monha1|Monha1_62	Monha1|Monha1_2964	0.856407	2.346038	0.365044	527.603405	171.396595	1.425241	3.665006	1041
Monha1|Monha1_63	Monha1|Monha1_10409	0.781577	3.455867	0.226159	3095.445459	1002.554541	1.221142	4.307485	4707
Monha1|Monha1_64	Monha1|Monha1_7879	0.721672	4.497691	0.160454	1346.811193	402.188807	1.179116	4.769944	2565
Monha1|Monha1_65	Monha1|Monha1_4846	0.648004	1.686015	0.384340	548.161707	207.838293	1.418680	2.800116	825
Monha1|Monha1_68	Monha1|Monha1_4771	0.706466	2.636627	0.267943	1207.974633	382.025367	1.369112	3.510663	2538
Monha1|Monha1_71	Monha1|Monha1_10368	0.633547	2.656028	0.238532	755.196915	234.803085	1.650579	3.339686	1230
Monha1|Monha1_75	Monha1|Monha1_2433	0.689183	2.101811	0.327900	607.338230	232.661770	2.131863	3.241351	960
Monha1|Monha1_76	Monha1|Monha1_6444	0.687730	2.246102	0.306188	730.211564	217.788436	1.319206	3.137227	1035
Monha1|Monha1_81	Monha1|Monha1_10913	0.807515	2.858360	0.282510	799.711233	289.288767	1.545271	4.056944	1296
Monha1|Monha1_83	Monha1|Monha1_7749	0.721835	4.361030	0.165519	1077.806819	335.193181	1.347854	4.755385	2019
Monha1|Monha1_85	Monha1|Monha1_5196	0.790178	4.342439	0.181966	1071.013375	326.986625	0.975025	4.863113	1782
Monha1|Monha1_86	Monha1|Monha1_5700	0.512855	3.427235	0.149641	344.489983	96.510017	1.038234	3.451945	456
Monha1|Monha1_87	Monha1|Monha1_268	0.905199	2.169442	0.417250	852.271228	275.728772	1.357215	3.642694	1323
Monha1|Monha1_96	Monha1|Monha1_3139	0.615511	4.014234	0.153332	727.904149	211.095851	1.265483	4.138727	1020
Monha1|Monha1_98	Monha1|Monha1_8730	0.809125	4.863993	0.166350	2056.548863	655.451137	1.510061	5.367383	3096
