SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Epal|EPA1_009833-RA	Epal|EPA1_003817-RA	0.792796	2.188425	0.362268	1589.334163	540.665837	1.435730	3.441160	2646
Epal|EPA1_001251-RA	Epal|EPA1_008004-RA	0.523224	4.174625	0.125334	809.570051	261.429949	1.336989	4.243581	1233
Epal|EPA1_001237-RA	Epal|EPA1_005308-RA	0.743805	2.964002	0.250946	1109.101634	387.898366	1.542083	3.957289	1743
Epal|EPA1_001226-RA	Epal|EPA1_005786-RA	0.927564	2.503042	0.370575	774.403246	257.596754	1.216368	3.962453	1245
Epal|EPA1_001260-RA	Epal|EPA1_009254-RA	0.761510	4.054410	0.187823	773.287934	222.712066	1.161418	4.493471	1203
Epal|EPA1_001231-RA	Epal|EPA1_001232-RA	0.701837	2.132690	0.329085	1727.687292	570.312708	1.421368	3.170829	2637
Epal|EPA1_001219-RA	Epal|EPA1_004559-RA	0.750076	2.184605	0.343346	836.458963	261.541037	1.500947	3.275333	1497
Epal|EPA1_001238-RA	Epal|EPA1_000806-RA	0.834028	2.127625	0.392000	870.275357	296.724643	1.477896	3.488826	1791
Epal|EPA1_001244-RA	Epal|EPA1_004447-RA	0.544764	2.582287	0.210962	846.610641	269.389359	1.548949	3.109796	1194
Epal|EPA1_005773-RA	Epal|EPA1_009903-RA	0.402666	1.957749	0.205678	1178.030812	378.969188	1.746740	2.343505	2154
Epal|EPA1_005767-RA	Epal|EPA1_006636-RA	0.888215	4.124798	0.215335	1195.064484	391.935516	1.149267	5.062626	1857
Epal|EPA1_005762-RA	Epal|EPA1_006573-RA	0.716138	4.586464	0.156142	1419.275087	452.724913	1.221662	4.956414	2394
Epal|EPA1_005766-RA	Epal|EPA1_006691-RA	0.559341	3.114629	0.179585	879.517663	320.482337	1.394275	3.725335	1440
Epal|EPA1_009115-RA	Epal|EPA1_010795-RA	1.020340	2.519106	0.405041	1964.997193	687.002807	1.515132	4.225790	4656
Epal|EPA1_009117-RA	Epal|EPA1_000549-RA	1.053466	2.558936	0.411681	1606.896744	532.103256	1.088765	4.283912	2754
Epal|EPA1_009506-RA	Epal|EPA1_010747-RA	0.730575	3.650669	0.200121	418.996903	130.003097	1.070831	4.266159	705
Epal|EPA1_009508-RA	Epal|EPA1_008996-RA	0.610752	2.503415	0.243967	446.301342	141.698658	1.806021	3.200561	846
Epal|EPA1_009504-RA	Epal|EPA1_009339-RA	0.624296	1.945826	0.320839	808.746103	262.253897	1.294189	2.843691	1158
Epal|EPA1_007567-RA	Epal|EPA1_009950-RA	0.712651	1.966518	0.362392	610.390384	202.609616	1.540184	3.075391	1170
Epal|EPA1_007561-RA	Epal|EPA1_001797-RA	0.585295	3.868963	0.151279	537.076201	173.923799	1.317835	4.165623	4740
Epal|EPA1_007573-RA	Epal|EPA1_009734-RA	0.555552	2.108685	0.263459	296.228829	108.771171	2.127443	2.918034	537
Epal|EPA1_008357-RA	Epal|EPA1_004563-RA	0.644769	4.533914	0.142210	1284.910171	422.089829	1.229775	4.819314	2256
Epal|EPA1_008352-RA	Epal|EPA1_001412-RA	1.075714	2.722403	0.395134	1264.082495	394.917505	1.096138	4.403102	2388
Epal|EPA1_003059-RA	Epal|EPA1_005534-RA	0.210730	3.404628	0.061895	413.355617	93.644383	0.794736	2.401958	624
Epal|EPA1_003057-RA	Epal|EPA1_002543-RA	0.879168	5.913591	0.148669	2696.993418	903.006582	1.249135	6.425935	4485
Epal|EPA1_003051-RA	Epal|EPA1_011213-RA	0.705881	3.983627	0.177196	5397.863175	1874.136825	1.398232	4.651862	7845
Epal|EPA1_003064-RA	Epal|EPA1_003034-RA	0.560131	5.785297	0.096820	529.355273	199.644727	2.051434	5.973302	1332
Epal|EPA1_003062-RA	Epal|EPA1_011118-RA	0.831161	3.269739	0.254198	1376.862477	480.137523	1.615962	4.385005	4899
Epal|EPA1_003058-RA	Epal|EPA1_008983-RA	0.621516	4.973893	0.124956	1225.472219	400.527781	1.170304	5.080872	2163
Epal|EPA1_003052-RA	Epal|EPA1_006839-RA	0.498680	1.958751	0.254591	833.248605	291.751395	1.757705	2.631980	1563
Epal|EPA1_003079-RA	Epal|EPA1_008479-RA	0.638825	2.738744	0.233255	596.368860	165.631140	1.059972	3.285814	1005
Epal|EPA1_003063-RA	Epal|EPA1_010063-RA	0.703621	2.245984	0.313280	664.143189	256.856811	1.546913	3.401308	1263
Epal|EPA1_003077-RA	Epal|EPA1_006488-RA	0.869141	1.650624	0.526553	589.593817	208.406183	1.827104	3.219701	1266
Epal|EPA1_006258-RA	Epal|EPA1_010485-RA	0.473998	1.952698	0.242740	766.938377	253.061623	1.591324	2.522590	1038
Epal|EPA1_005172-RA	Epal|EPA1_004352-RA	0.915862	4.921085	0.186110	2421.705364	707.294636	1.238309	5.463668	7416
Epal|EPA1_005156-RA	Epal|EPA1_005993-RA	0.793510	4.505707	0.176112	1153.489547	406.510453	1.719325	5.282543	1770
Epal|EPA1_005155-RA	Epal|EPA1_004555-RA	0.914702	2.063602	0.443255	1858.451768	619.548232	1.673680	3.605848	4332
Epal|EPA1_008100-RA	Epal|EPA1_007736-RA	0.897237	2.002447	0.448070	1552.766903	547.233097	1.571853	3.555723	2475
Epal|EPA1_003905-RA	Epal|EPA1_010658-RA	0.869305	2.409282	0.360815	888.391628	296.608372	0.986248	3.764295	1566
Epal|EPA1_003909-RA	Epal|EPA1_004949-RA	0.524176	3.598637	0.145659	1062.033673	371.966327	1.222818	3.964987	1611
Epal|EPA1_003912-RA	Epal|EPA1_009312-RA	0.948558	4.346852	0.218217	1138.083724	328.916276	1.352228	5.131471	1686
Epal|EPA1_003913-RA	Epal|EPA1_004329-RA	0.547616	4.251172	0.128815	958.478596	289.521404	1.290937	4.220393	1416
Epal|EPA1_003898-RA	Epal|EPA1_011549-RA	0.880843	1.644602	0.535596	535.980596	202.019404	1.362549	3.269740	1044
Epal|EPA1_003911-RA	Epal|EPA1_006411-RA	0.608298	3.616718	0.168191	910.861157	238.138843	1.205641	3.695447	1407
Epal|EPA1_003921-RA	Epal|EPA1_000287-RA	0.324549	1.838763	0.176504	238.620623	97.379377	3.788407	2.290194	576
Epal|EPA1_008396-RA	Epal|EPA1_008073-RA	0.706441	2.439258	0.289613	1634.216451	525.783549	1.543444	3.384721	2364
Epal|EPA1_008394-RA	Epal|EPA1_004558-RA	0.678941	4.009492	0.169333	873.234761	209.765239	1.250844	3.972096	1437
Epal|EPA1_008401-RA	Epal|EPA1_000741-RA	0.659364	4.153273	0.158758	732.907672	254.092328	1.544183	4.676499	1581
Epal|EPA1_005251-RA	Epal|EPA1_008536-RA	0.690938	4.375260	0.157919	1143.386533	341.613467	1.292882	4.615468	1983
Epal|EPA1_005252-RA	Epal|EPA1_000743-RA	0.799282	4.288683	0.186370	738.930492	224.069508	1.432747	4.833572	1656
Epal|EPA1_003306-RA	Epal|EPA1_008974-RA	0.634851	3.073887	0.206530	1577.141690	486.858310	1.239337	3.630520	2304
Epal|EPA1_003283-RA	Epal|EPA1_007548-RA	0.625486	4.380633	0.142784	1110.930406	344.069594	1.413331	4.540441	2268
Epal|EPA1_003291-RA	Epal|EPA1_008460-RA	0.761027	3.997090	0.190395	1258.333253	412.666747	1.164570	4.680595	1800
Epal|EPA1_003304-RA	Epal|EPA1_005080-RA	0.780017	4.696897	0.166071	1764.455901	524.544099	1.064841	5.032811	2760
Epal|EPA1_003296-RA	Epal|EPA1_004161-RA	0.790684	4.078937	0.193846	858.954976	266.045024	1.049828	4.704915	1380
Epal|EPA1_003294-RA	Epal|EPA1_005280-RA	0.578615	3.722186	0.155450	483.990044	143.009956	1.102947	3.886859	651
Epal|EPA1_003290-RA	Epal|EPA1_007529-RA	0.614878	4.291336	0.143284	951.551446	305.448554	1.494487	4.524752	1431
Epal|EPA1_003289-RA	Epal|EPA1_007530-RA	0.432998	4.072212	0.106330	686.938213	228.061787	1.476288	4.020194	1026
Epal|EPA1_004258-RA	Epal|EPA1_004270-RA	0.763622	2.580310	0.295942	1118.273675	327.726325	1.267957	3.526087	1599
Epal|EPA1_004271-RA	Epal|EPA1_004323-RA	0.726597	3.943956	0.184230	668.786129	192.213871	1.180491	4.334568	1077
Epal|EPA1_004272-RA	Epal|EPA1_006528-RA	0.851923	2.616450	0.325602	951.402610	350.597390	1.255586	3.981203	1875
Epal|EPA1_004269-RA	Epal|EPA1_003695-RA	0.556084	4.049915	0.137308	981.618687	221.381313	0.979590	3.597102	1464
Epal|EPA1_004328-RA	Epal|EPA1_008696-RA	0.773018	2.892468	0.267252	1821.195857	668.804143	1.467714	4.026882	3750
Epal|EPA1_004315-RA	Epal|EPA1_010115-RA	0.498077	4.645935	0.107207	1483.914468	490.085532	1.095580	4.583601	4104
Epal|EPA1_004334-RA	Epal|EPA1_005302-RA	0.626454	2.133040	0.293691	1204.100301	385.899699	1.499144	2.976326	3102
Epal|EPA1_004335-RA	Epal|EPA1_002097-RA	0.560588	3.715725	0.150869	732.218868	236.781132	1.328788	3.994695	3444
Epal|EPA1_009132-RA	Epal|EPA1_008840-RA	0.438593	4.685073	0.093615	1679.660904	516.339096	1.129215	4.311166	2709
Epal|EPA1_009134-RA	Epal|EPA1_010274-RA	0.573647	1.559143	0.367925	734.661727	273.338273	1.915300	2.522649	1911
Epal|EPA1_009943-RA	Epal|EPA1_001263-RA	0.596473	1.713904	0.348020	1578.039317	539.960683	1.527762	2.644049	2727
Epal|EPA1_004624-RA	Epal|EPA1_007331-RA	0.390843	3.457518	0.113042	346.513457	100.486543	1.363527	3.240715	1194
Epal|EPA1_004617-RA	Epal|EPA1_010840-RA	0.781372	2.473367	0.315914	1083.723376	407.276624	1.598585	3.730655	2091
Epal|EPA1_004607-RA	Epal|EPA1_002250-RA	0.628427	1.680110	0.374039	609.007254	167.992746	1.336966	2.567423	945
Epal|EPA1_004619-RA	Epal|EPA1_004616-RA	0.515693	1.941076	0.265674	368.607890	129.392110	1.555860	2.658124	720
Epal|EPA1_004623-RA	Epal|EPA1_007756-RA	0.899872	3.022288	0.297745	961.999480	325.000520	1.528767	4.307510	1506
Epal|EPA1_007401-RA	Epal|EPA1_005869-RA	0.833542	2.361111	0.353030	1794.228176	584.771824	1.325281	3.627083	3381
Epal|EPA1_007410-RA	Epal|EPA1_007687-RA	0.612325	1.641968	0.372922	889.263219	361.736781	1.989713	2.730164	1389
