SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ascsa1|Ascsa1_1	Ascsa1|Ascsa1_1834	0.974141	3.708912	0.262649	1675.759098	580.240902	1.303889	5.032564	2700
Ascsa1|Ascsa1_2	Ascsa1|Ascsa1_1119	0.509191	4.039154	0.126064	732.772249	218.227751	0.870588	3.957656	987
Ascsa1|Ascsa1_4	Ascsa1|Ascsa1_5993	0.561776	4.037804	0.139129	646.164937	217.835063	0.955050	4.314496	894
Ascsa1|Ascsa1_5	Ascsa1|Ascsa1_3132	0.534928	2.091078	0.255815	925.488391	331.511609	1.724072	2.836005	1968
Ascsa1|Ascsa1_6	Ascsa1|Ascsa1_6950	0.951759	2.272189	0.418873	2973.970543	1058.029457	1.759588	3.894751	4917
Ascsa1|Ascsa1_11	Ascsa1|Ascsa1_567	0.523557	1.058838	0.494464	376.845945	157.154055	1.687766	2.043264	723
Ascsa1|Ascsa1_12	Ascsa1|Ascsa1_8998	0.615778	2.443045	0.252054	538.840024	157.159976	1.552148	3.085151	1134
Ascsa1|Ascsa1_13	Ascsa1|Ascsa1_848	0.829635	2.359713	0.351583	1209.302946	434.697054	1.748704	3.702629	1953
Ascsa1|Ascsa1_14	Ascsa1|Ascsa1_4015	0.712896	4.932571	0.144528	2158.790153	718.209847	1.169088	5.298868	3126
Ascsa1|Ascsa1_15	Ascsa1|Ascsa1_1777	0.736398	4.557873	0.161566	1418.208343	435.791657	1.069769	4.903963	3024
Ascsa1|Ascsa1_17	Ascsa1|Ascsa1_2843	1.056829	1.965921	0.537575	972.683233	383.316767	1.193693	3.941438	1596
Ascsa1|Ascsa1_19	Ascsa1|Ascsa1_10232	1.052313	4.347425	0.242054	1065.832544	329.167456	1.731265	5.489505	1596
Ascsa1|Ascsa1_21	Ascsa1|Ascsa1_6640	0.736845	4.162337	0.177027	807.818173	257.181827	1.179635	4.692154	2946
Ascsa1|Ascsa1_22	Ascsa1|Ascsa1_8056	0.885378	4.984343	0.177632	2527.462241	769.537759	1.082978	5.526296	5223
Ascsa1|Ascsa1_30	Ascsa1|Ascsa1_6318	0.813151	2.429557	0.334691	1185.670946	371.329054	1.072547	3.595943	2211
Ascsa1|Ascsa1_32	Ascsa1|Ascsa1_8028	0.498224	3.309215	0.150556	295.542185	82.457815	1.290451	3.334260	402
Ascsa1|Ascsa1_34	Ascsa1|Ascsa1_2713	0.728885	4.325375	0.168514	1051.369236	319.630764	1.022075	4.702080	1650
Ascsa1|Ascsa1_37	Ascsa1|Ascsa1_5584	0.572455	2.538250	0.225531	601.976172	217.023828	1.539805	3.280090	849
Ascsa1|Ascsa1_45	Ascsa1|Ascsa1_3398	0.475216	4.333732	0.109655	1110.787907	323.212093	1.061710	4.034684	1779
Ascsa1|Ascsa1_47	Ascsa1|Ascsa1_8613	0.654734	4.485055	0.145981	1137.530711	395.469289	1.424035	4.928535	1653
Ascsa1|Ascsa1_51	Ascsa1|Ascsa1_1568	0.519624	3.764994	0.138015	511.589870	151.410130	1.294829	3.782320	753
Ascsa1|Ascsa1_54	Ascsa1|Ascsa1_7945	0.727514	1.892528	0.384414	1231.937826	397.062174	1.327165	3.034444	2046
Ascsa1|Ascsa1_55	Ascsa1|Ascsa1_9516	0.433786	3.371003	0.128682	414.461373	89.538627	1.239616	2.866802	525
Ascsa1|Ascsa1_56	Ascsa1|Ascsa1_4567	1.054065	2.110289	0.499488	977.555016	333.444984	1.490656	3.968128	1578
Ascsa1|Ascsa1_57	Ascsa1|Ascsa1_6784	0.749979	2.542821	0.294940	698.848096	222.151904	1.325616	3.547278	1023
Ascsa1|Ascsa1_58	Ascsa1|Ascsa1_1978	0.893330	2.713581	0.329207	1059.266629	362.733371	1.057780	4.072955	1686
Ascsa1|Ascsa1_60	Ascsa1|Ascsa1_10556	0.277944	1.828375	0.152017	1178.318467	390.681533	1.520336	1.992007	1626
Ascsa1|Ascsa1_61	Ascsa1|Ascsa1_6052	0.692051	2.090038	0.331119	897.827401	338.172599	1.118052	3.223630	1668
Ascsa1|Ascsa1_64	Ascsa1|Ascsa1_10325	0.870036	4.714137	0.184559	1689.258472	536.741528	1.166933	5.390821	2868
Ascsa1|Ascsa1_65	Ascsa1|Ascsa1_1574	0.794588	4.196027	0.189367	856.002262	268.997738	1.208326	4.823710	1299
Ascsa1|Ascsa1_66	Ascsa1|Ascsa1_2944	0.789701	4.614827	0.171122	1473.825868	470.174132	1.300138	5.144528	2505
Ascsa1|Ascsa1_71	Ascsa1|Ascsa1_9209	0.585080	1.507198	0.388191	651.011151	236.988849	1.751894	2.493523	924
Ascsa1|Ascsa1_72	Ascsa1|Ascsa1_8545	0.846038	1.554389	0.544290	1076.389137	375.610863	2.116746	3.087834	1776
Ascsa1|Ascsa1_73	Ascsa1|Ascsa1_8681	0.788710	2.363956	0.333640	972.925825	329.074175	1.442605	3.560537	1497
Ascsa1|Ascsa1_76	Ascsa1|Ascsa1_5519	0.868499	1.927425	0.450600	863.270074	318.729926	1.213415	3.462124	2019
Ascsa1|Ascsa1_79	Ascsa1|Ascsa1_8400	0.770918	3.049811	0.252776	2416.262135	736.737865	1.299845	3.910228	3345
Ascsa1|Ascsa1_83	Ascsa1|Ascsa1_1459	0.703782	3.135004	0.224492	514.611525	163.388475	1.174918	3.869017	726
Ascsa1|Ascsa1_84	Ascsa1|Ascsa1_8510	0.627882	4.275509	0.146856	951.929692	299.070308	1.500396	4.499707	1395
Ascsa1|Ascsa1_85	Ascsa1|Ascsa1_2846	0.461905	5.280531	0.087473	527.506017	183.493983	1.236116	5.116470	1917
Ascsa1|Ascsa1_88	Ascsa1|Ascsa1_6110	0.526213	3.939776	0.133564	726.854557	191.145443	0.903587	3.710951	1161
Ascsa1|Ascsa1_89	Ascsa1|Ascsa1_2043	0.763624	1.562558	0.488701	1142.585454	417.414546	1.523675	2.932194	2322
Ascsa1|Ascsa1_91	Ascsa1|Ascsa1_7305	0.557102	2.001817	0.278298	1138.639325	412.360675	1.848531	2.823616	1599
Ascsa1|Ascsa1_93	Ascsa1|Ascsa1_4611	0.513485	4.239244	0.121127	969.046635	284.953365	0.980225	4.080330	1425
Ascsa1|Ascsa1_95	Ascsa1|Ascsa1_2832	0.231458	4.385615	0.052777	1078.637107	346.362893	0.969027	3.723523	1506
Ascsa1|Ascsa1_96	Ascsa1|Ascsa1_1126	0.563752	3.456381	0.163105	1232.997807	435.002193	1.357895	3.954385	1854
Ascsa1|Ascsa1_98	Ascsa1|Ascsa1_8439	0.816609	2.376266	0.343652	1768.131946	577.868054	1.438865	3.602355	3090
Ascsa1|Ascsa1_100	Ascsa1|Ascsa1_4442	0.736616	3.095883	0.237934	1070.425029	366.574971	1.355806	4.015376	1491
Ascsa1|Ascsa1_101	Ascsa1|Ascsa1_9021	0.430016	4.038077	0.106490	718.085554	217.914446	1.045121	3.810075	1077
Ascsa1|Ascsa1_103	Ascsa1|Ascsa1_7062	0.301999	4.101651	0.073629	821.808525	237.191475	1.612449	3.459100	1095
Ascsa1|Ascsa1_104	Ascsa1|Ascsa1_8923	0.604425	4.084656	0.147974	665.122816	231.877184	1.301251	4.512225	2295
Ascsa1|Ascsa1_113	Ascsa1|Ascsa1_8203	0.643155	2.352949	0.273340	1062.744610	341.255390	1.368872	3.176209	1494
Ascsa1|Ascsa1_114	Ascsa1|Ascsa1_4071	0.658513	4.651542	0.141569	1483.236995	493.763005	1.313050	4.967359	2412
Ascsa1|Ascsa1_117	Ascsa1|Ascsa1_704	0.883224	1.636679	0.539644	759.434625	299.565375	1.741732	3.289075	1248
Ascsa1|Ascsa1_120	Ascsa1|Ascsa1_4963	0.949688	3.345548	0.283866	835.916842	286.083158	1.340269	4.681725	1632
Ascsa1|Ascsa1_130	Ascsa1|Ascsa1_10095	0.386169	4.036104	0.095679	754.658021	217.341979	1.499909	3.606914	1599
Ascsa1|Ascsa1_135	Ascsa1|Ascsa1_5800	0.595894	4.428160	0.134569	1079.421324	366.578676	1.077232	4.702260	2082
Ascsa1|Ascsa1_139	Ascsa1|Ascsa1_9421	0.629710	4.569330	0.137812	1330.500340	442.499660	1.530479	4.838842	1896
Ascsa1|Ascsa1_144	Ascsa1|Ascsa1_9514	0.757020	1.742225	0.434513	903.058311	350.941689	1.373287	3.098212	1425
Ascsa1|Ascsa1_150	Ascsa1|Ascsa1_4799	0.852342	3.651428	0.233427	721.657060	268.342940	1.471479	4.833132	1656
Ascsa1|Ascsa1_153	Ascsa1|Ascsa1_8879	0.434676	3.926978	0.110690	622.088524	187.911476	1.791167	3.734560	1041
