SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Sacpr1|Sacpr1_31601	Sacpr1|Sacpr1_14147	0.611161	3.976346	0.153699	711.303463	200.696537	1.664196	4.055130	1302
Sacpr1|Sacpr1_33258	Sacpr1|Sacpr1_37395	0.451829	4.141465	0.109099	1261.876944	250.123056	1.364347	3.186565	1731
Sacpr1|Sacpr1_70332	Sacpr1|Sacpr1_72927	0.590090	3.850320	0.153257	691.346237	169.653763	0.844016	3.697483	891
Sacpr1|Sacpr1_31404	Sacpr1|Sacpr1_51674	1.028044	4.325033	0.237696	1129.515098	319.484902	1.437770	5.264957	2067
Sacpr1|Sacpr1_32718	Sacpr1|Sacpr1_61601	0.449302	4.082797	0.110048	1271.696777	231.303223	1.094107	3.025428	1704
Sacpr1|Sacpr1_5662	Sacpr1|Sacpr1_64493	0.635793	4.400722	0.144475	1131.589714	353.410286	1.220964	4.595389	1788
Sacpr1|Sacpr1_52689	Sacpr1|Sacpr1_74933	0.821870	4.342159	0.189277	1188.135409	326.864591	1.354572	4.744141	1920
Sacpr1|Sacpr1_52690	Sacpr1|Sacpr1_70974	0.657526	4.029555	0.163176	1002.547561	215.452439	1.193700	3.762016	1458
Sacpr1|Sacpr1_12698	Sacpr1|Sacpr1_76304	0.441467	2.161601	0.204231	645.572893	152.427107	1.754822	2.310095	816
Sacpr1|Sacpr1_52697	Sacpr1|Sacpr1_60911	0.739411	2.724493	0.271394	466.240395	133.759605	1.930568	3.545852	813
Sacpr1|Sacpr1_70346	Sacpr1|Sacpr1_48313	0.536065	3.770359	0.142179	840.502910	152.497090	1.399672	3.098287	1620
Sacpr1|Sacpr1_32083	Sacpr1|Sacpr1_41579	0.461894	4.575401	0.100952	2124.903928	446.096072	1.239794	3.526894	2967
Sacpr1|Sacpr1_70349	Sacpr1|Sacpr1_32537	0.623235	3.633093	0.171544	638.008012	126.991988	1.239711	3.368637	855
Sacpr1|Sacpr1_70354	Sacpr1|Sacpr1_42064	0.471592	99.000000	0.004764	1702.852355	250.147645	1.082859	39.274451	2361
Sacpr1|Sacpr1_32100	Sacpr1|Sacpr1_53581	0.584211	4.015841	0.145477	1078.451372	211.548628	1.667629	3.440905	2232
Sacpr1|Sacpr1_30933	Sacpr1|Sacpr1_65345	0.786546	4.444833	0.176957	2831.058668	810.941332	1.120551	4.803342	4389
