SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Dbae|DIBA_010982-RA	Dbae|DIBA_008612-RA	0.620450	4.928257	0.125896	2192.909716	714.090284	1.086740	5.035926	4128
Dbae|DIBA_010980-RA	Dbae|DIBA_008393-RA	0.575832	1.385682	0.415558	641.277292	252.722708	1.759174	2.414300	1050
Dbae|DIBA_003585-RA	Dbae|DIBA_002119-RA	0.782282	2.685574	0.291291	1257.565767	434.434233	1.208239	3.812901	1899
Dbae|DIBA_003590-RA	Dbae|DIBA_010045-RA	0.644328	3.727203	0.172872	1044.530995	323.469005	1.353502	4.119858	1674
Dbae|DIBA_003588-RA	Dbae|DIBA_001262-RA	0.385819	1.697843	0.227241	260.980471	69.019529	0.877563	1.980687	378
Dbae|DIBA_003613-RA	Dbae|DIBA_012160-RA	0.559944	2.092633	0.267578	1130.178014	369.821986	1.656849	2.813476	1830
Dbae|DIBA_003591-RA	Dbae|DIBA_000576-RA	0.837463	2.104168	0.398002	472.920227	196.079773	0.951487	3.626178	1056
Dbae|DIBA_003582-RA	Dbae|DIBA_007241-RA	0.587947	1.746070	0.336726	1373.770527	531.229473	1.927986	2.732705	2397
Dbae|DIBA_003622-RA	Dbae|DIBA_010452-RA	0.683103	3.817981	0.178917	497.505961	162.494039	1.481505	4.364759	918
Dbae|DIBA_003581-RA	Dbae|DIBA_003675-RA	0.678787	1.734128	0.391428	1092.410165	398.589835	2.201736	2.882735	1836
Dbae|DIBA_003586-RA	Dbae|DIBA_005969-RA	0.940857	2.349707	0.400414	968.522935	324.477065	1.357876	3.883220	1584
Dbae|DIBA_003592-RA	Dbae|DIBA_008257-RA	0.886126	4.191331	0.211419	887.681218	267.318782	1.001996	4.953296	1647
Dbae|DIBA_008639-RA	Dbae|DIBA_002005-RA	0.428015	2.837770	0.150828	1237.220182	400.779818	1.214919	3.052876	1926
Dbae|DIBA_008646-RA	Dbae|DIBA_004412-RA	0.347153	4.287042	0.080977	836.295214	303.704786	1.812660	4.190310	1254
Dbae|DIBA_008642-RA	Dbae|DIBA_005034-RA	0.766349	3.222450	0.237816	1921.690774	610.309226	1.446381	4.075090	2802
Dbae|DIBA_010253-RA	Dbae|DIBA_005823-RA	0.705123	3.812867	0.184932	465.610081	161.389919	1.324106	4.515171	1038
Dbae|DIBA_010243-RA	Dbae|DIBA_007710-RA	0.800736	2.711273	0.295336	2030.817036	696.182964	1.470652	3.865446	5685
Dbae|DIBA_010250-RA	Dbae|DIBA_010493-RA	0.916460	4.414302	0.207612	1143.132503	359.867497	1.268280	5.261874	1989
Dbae|DIBA_010242-RA	Dbae|DIBA_005947-RA	0.499555	3.224298	0.154934	1028.162355	339.837645	1.575031	3.529301	1620
Dbae|DIBA_012638-RA	Dbae|DIBA_005078-RA	0.827298	2.019349	0.409685	627.540629	218.459371	1.505113	3.405351	1002
Dbae|DIBA_009224-RA	Dbae|DIBA_010304-RA	0.932682	4.260904	0.218893	819.697401	293.302599	1.175996	5.429248	1191
Dbae|DIBA_008842-RA	Dbae|DIBA_004367-RA	0.742780	4.166674	0.178267	839.326998	258.673002	1.534161	4.648199	1875
Dbae|DIBA_008840-RA	Dbae|DIBA_008700-RA	0.725025	2.648735	0.273725	1211.859302	468.140698	1.419957	3.783230	1890
Dbae|DIBA_008829-RA	Dbae|DIBA_004280-RA	0.444012	2.179391	0.203732	532.744738	238.255262	2.930498	2.940842	1164
Dbae|DIBA_008839-RA	Dbae|DIBA_008325-RA	0.904197	2.335536	0.387148	1349.336306	432.663694	1.129324	3.755165	2238
Dbae|DIBA_012523-RA	Dbae|DIBA_001035-RA	0.746606	1.909782	0.390938	501.923608	197.076392	2.158573	3.223658	990
Dbae|DIBA_009107-RA	Dbae|DIBA_004181-RA	0.830205	4.880360	0.170111	2162.087996	669.912004	0.984495	5.364818	5760
Dbae|DIBA_009113-RA	Dbae|DIBA_001294-RA	0.891754	4.171926	0.213751	852.508932	260.491068	1.238723	4.978377	1413
Dbae|DIBA_009111-RA	Dbae|DIBA_003978-RA	0.621254	4.019818	0.154548	756.326783	212.673217	1.088516	4.101482	1221
Dbae|DIBA_009110-RA	Dbae|DIBA_000191-RA	0.770834	5.246740	0.146917	3183.122957	1091.877043	1.449362	5.742072	5289
Dbae|DIBA_011283-RA	Dbae|DIBA_011285-RA	0.411734	3.024598	0.136128	921.832277	329.167723	2.336183	3.297720	1371
Dbae|DIBA_011284-RA	Dbae|DIBA_012681-RA	0.419848	4.240281	0.099014	881.652345	285.347655	1.156750	4.061991	1638
Dbae|DIBA_011277-RA	Dbae|DIBA_012312-RA	0.891272	3.633200	0.245313	760.648310	256.351690	1.501205	4.747262	1110
Dbae|DIBA_011279-RA	Dbae|DIBA_009648-RA	0.691587	4.118074	0.167940	894.557396	242.442604	1.144324	4.266652	1272
Dbae|DIBA_007262-RA	Dbae|DIBA_003417-RA	0.483362	4.219489	0.114555	886.454413	277.545587	1.564267	4.122625	1635
Dbae|DIBA_006086-RA	Dbae|DIBA_000999-RA	0.488714	3.963306	0.123310	552.762592	197.237408	1.689659	4.207419	909
Dbae|DIBA_006066-RA	Dbae|DIBA_006813-RA	0.377118	2.858807	0.131914	442.652064	136.347936	1.138540	2.884583	852
Dbae|DIBA_006084-RA	Dbae|DIBA_000993-RA	0.489468	2.286448	0.214073	273.502142	92.497858	2.567674	2.830837	915
Dbae|DIBA_006075-RA	Dbae|DIBA_004265-RA	1.045166	2.317823	0.450926	1421.246180	549.753820	3.269607	4.200411	2421
Dbae|DIBA_006082-RA	Dbae|DIBA_000992-RA	0.344164	3.920646	0.087783	506.668341	186.331659	1.948467	3.917393	6834
Dbae|DIBA_007802-RA	Dbae|DIBA_007730-RA	0.597993	2.245018	0.266364	4525.345812	1582.654188	1.815109	3.074269	9534
Dbae|DIBA_007807-RA	Dbae|DIBA_004515-RA	0.538868	3.560379	0.151351	532.742064	115.257936	0.474636	3.228886	915
Dbae|DIBA_007812-RA	Dbae|DIBA_005484-RA	0.594934	2.305340	0.258068	939.335798	290.664202	1.596748	2.997373	2325
Dbae|DIBA_007810-RA	Dbae|DIBA_006138-RA	0.600662	4.700693	0.127782	1635.794604	527.205396	1.275301	4.799986	2454
Dbae|DIBA_007814-RA	Dbae|DIBA_006038-RA	0.540093	3.965127	0.136211	684.283240	197.716760	1.677447	3.923634	942
Dbae|DIBA_007809-RA	Dbae|DIBA_012551-RA	0.820274	4.445133	0.184533	1931.771698	627.228302	1.483397	5.126255	3198
Dbae|DIBA_007795-RA	Dbae|DIBA_002221-RA	0.697679	2.130855	0.327418	1239.437222	407.562778	1.626801	3.156989	3420
Dbae|DIBA_007796-RA	Dbae|DIBA_008919-RA	0.377298	1.500463	0.251454	217.772414	91.227586	4.281556	2.126686	945
Dbae|DIBA_007015-RA	Dbae|DIBA_006309-RA	0.954153	2.558186	0.372980	1573.498900	496.501100	1.046541	4.016668	2493
Dbae|DIBA_007018-RA	Dbae|DIBA_004879-RA	0.636701	4.266918	0.149218	958.335846	295.664154	1.519155	4.477866	1515
Dbae|DIBA_007017-RA	Dbae|DIBA_007124-RA	0.500029	2.112537	0.236696	709.826067	274.173933	1.439963	2.847975	2223
