SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Bacci1|Bacci1_331844	Bacci1|Bacci1_338871	0.040645	0.031801	1.278136	556.256029	160.743971	1.462720	0.115988	1038
Bacci1|Bacci1_322382	Bacci1|Bacci1_208974	0.246493	4.343494	0.056750	1223.553219	327.446781	1.484528	3.334354	1854
Bacci1|Bacci1_322381	Bacci1|Bacci1_336409	0.563090	5.047449	0.111559	2978.909580	837.090420	1.474198	4.640381	4038
Bacci1|Bacci1_245488	Bacci1|Bacci1_201904	0.257814	4.112472	0.062691	938.361466	240.638534	2.120520	3.133695	1698
Bacci1|Bacci1_215202	Bacci1|Bacci1_248480	0.238197	2.998822	0.079430	448.888342	115.111658	1.766073	2.404910	576
Bacci1|Bacci1_331837	Bacci1|Bacci1_288133	0.679969	3.362521	0.202220	358.468295	88.531705	1.472951	3.633806	474
Bacci1|Bacci1_331835	Bacci1|Bacci1_238950	0.886079	4.190415	0.211454	1326.288187	308.711813	1.115667	4.529956	1983
Bacci1|Bacci1_245479	Bacci1|Bacci1_83959	0.371750	2.027821	0.183325	1779.809723	542.190277	1.684475	2.275334	2892
Bacci1|Bacci1_179299	Bacci1|Bacci1_134462	0.000000	0.000000	99.000000	1294.196491	484.803509	4.600000	0.000000	2706
Bacci1|Bacci1_249386	Bacci1|Bacci1_296029	0.403460	2.157984	0.186962	2608.727938	808.272062	1.640325	2.455449	4164
Bacci1|Bacci1_323487	Bacci1|Bacci1_335063	0.740510	4.800322	0.154262	2430.896665	602.103335	1.115249	4.639359	3399
Bacci1|Bacci1_249378	Bacci1|Bacci1_223333	0.256065	3.009030	0.085099	1220.533663	363.466337	1.725023	2.663289	1779
Bacci1|Bacci1_219104	Bacci1|Bacci1_321668	0.002784	0.434467	0.006408	359.881828	120.118172	4.600000	0.332433	480
Bacci1|Bacci1_294640	Bacci1|Bacci1_96837	0.004399	0.561771	0.007830	456.061933	116.938067	1.167601	0.354442	573
Bacci1|Bacci1_272593	Bacci1|Bacci1_183989	0.027075	0.133942	0.202141	507.776846	128.223154	1.653301	0.145861	2355
Bacci1|Bacci1_314019	Bacci1|Bacci1_294149	0.428595	4.461922	0.096056	1251.542465	383.457535	1.884415	4.123600	1791
Bacci1|Bacci1_249364	Bacci1|Bacci1_284938	0.239228	3.885551	0.061569	752.186598	177.813402	1.266699	2.809185	981
Bacci1|Bacci1_272589	Bacci1|Bacci1_277681	0.102914	0.292072	0.352359	374.510754	120.489246	1.587044	0.446873	522
Bacci1|Bacci1_144104	Bacci1|Bacci1_239393	0.066775	0.666079	0.100251	1457.595610	399.404390	2.512405	0.587021	1950
Bacci1|Bacci1_219092	Bacci1|Bacci1_285982	0.356810	2.409159	0.148106	728.414479	240.585521	2.126657	2.599117	996
Bacci1|Bacci1_272585	Bacci1|Bacci1_298170	0.413614	1.787848	0.231347	450.071501	119.928499	1.919161	2.108262	2046
Bacci1|Bacci1_184038	Bacci1|Bacci1_194898	0.000000	0.000000	99.000000	780.630004	302.369996	4.600000	0.000000	1083
Bacci1|Bacci1_147675	Bacci1|Bacci1_149580	0.000000	0.000000	99.000000	333.352787	134.647213	4.600000	0.000000	468
Bacci1|Bacci1_285358	Bacci1|Bacci1_248670	0.347529	3.702416	0.093865	562.710445	139.289555	1.459510	3.039599	810
Bacci1|Bacci1_219090	Bacci1|Bacci1_261158	0.278542	4.362140	0.063854	1203.310311	335.689689	1.196971	3.507793	2067
Bacci1|Bacci1_333311	Bacci1|Bacci1_219358	0.957834	2.314974	0.413756	1100.475799	303.524201	1.699269	3.753684	1728
