SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Fishe1|Fishe1_45070	Fishe1|Fishe1_33140	0.549662	3.302329	0.166447	1173.081768	410.918232	1.378705	3.791261	1632
Fishe1|Fishe1_77294	Fishe1|Fishe1_77296	0.022337	0.013811	1.617402	318.846527	146.153473	4.600000	0.058972	465
Fishe1|Fishe1_76860	Fishe1|Fishe1_73879	0.128873	0.255977	0.503456	769.809229	271.190771	2.344632	0.485955	1623
Fishe1|Fishe1_29799	Fishe1|Fishe1_66122	0.842811	4.262809	0.197712	1082.951166	294.048834	1.006860	4.719383	1908
Fishe1|Fishe1_60501	Fishe1|Fishe1_59972	0.143852	0.685057	0.209985	673.640466	196.359534	6.807366	0.798006	879
Fishe1|Fishe1_57581	Fishe1|Fishe1_57585	0.135520	0.249958	0.542171	1166.657753	471.342247	4.342618	0.505349	1986
Fishe1|Fishe1_65753	Fishe1|Fishe1_65914	0.000000	0.000000	99.000000	514.008835	244.991165	4.600000	0.000000	759
Fishe1|Fishe1_14459	Fishe1|Fishe1_46098	0.140160	0.338437	0.414138	448.355291	166.644709	6.871094	0.581659	807
Fishe1|Fishe1_51993	Fishe1|Fishe1_65560	0.782041	4.102617	0.190620	722.502917	237.497083	1.354696	4.810583	1080
Fishe1|Fishe1_75748	Fishe1|Fishe1_74543	0.159062	0.182574	0.871219	1163.384954	543.615046	6.771129	0.499648	1803
Fishe1|Fishe1_18251	Fishe1|Fishe1_52861	0.037383	0.088617	0.421844	439.890565	196.109435	8.320989	0.159542	1005
Fishe1|Fishe1_55266	Fishe1|Fishe1_74810	0.077741	0.121269	0.641068	376.530978	181.469022	1.462834	0.275691	1434
Fishe1|Fishe1_54066	Fishe1|Fishe1_78900	0.054617	0.136546	0.399990	1397.612497	558.387503	6.469884	0.234017	3327
Fishe1|Fishe1_65671	Fishe1|Fishe1_48177	0.464945	1.702279	0.273131	1089.986411	356.013589	1.993520	2.308751	1575
