SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lopmy1|Lopmy1_474567	Lopmy1|Lopmy1_613335	0.464750	4.300096	0.108079	1094.962724	309.037276	1.228812	3.926867	1563
Lopmy1|Lopmy1_568696	Lopmy1|Lopmy1_547911	0.715908	3.930718	0.182131	597.149086	188.850914	1.454690	4.464974	867
Lopmy1|Lopmy1_3997	Lopmy1|Lopmy1_344820	0.837793	4.486970	0.186717	1232.519562	396.480438	1.209180	5.177886	2295
Lopmy1|Lopmy1_425899	Lopmy1|Lopmy1_622521	0.500964	4.154996	0.120569	987.323504	254.676496	0.975480	3.750709	1668
Lopmy1|Lopmy1_554433	Lopmy1|Lopmy1_544333	0.779353	2.932860	0.265731	818.007141	276.992859	1.599460	3.972322	1218
Lopmy1|Lopmy1_554432	Lopmy1|Lopmy1_559706	0.729698	2.026271	0.360119	799.798221	286.201779	1.723804	3.214181	1191
Lopmy1|Lopmy1_545793	Lopmy1|Lopmy1_450168	0.553251	2.000412	0.276568	1385.220826	387.779174	1.199754	2.609294	1851
Lopmy1|Lopmy1_568690	Lopmy1|Lopmy1_522026	0.670245	4.964449	0.135009	2319.605683	749.394317	1.404363	5.156435	3906
Lopmy1|Lopmy1_568688	Lopmy1|Lopmy1_597259	0.648921	4.552805	0.142532	1271.143141	432.856859	1.002438	4.921803	1827
Lopmy1|Lopmy1_532724	Lopmy1|Lopmy1_518198	0.483479	0.868294	0.556815	854.263537	213.736463	1.967089	1.681474	1161
Lopmy1|Lopmy1_554412	Lopmy1|Lopmy1_576380	0.744475	4.891305	0.152204	2182.239574	679.760426	1.481441	5.188195	3366
Lopmy1|Lopmy1_3108	Lopmy1|Lopmy1_465726	0.899279	4.856260	0.185179	2045.272265	648.727735	1.501320	5.556416	3333
Lopmy1|Lopmy1_474508	Lopmy1|Lopmy1_602475	0.718384	2.652251	0.270858	634.425945	229.574055	1.751274	3.696699	987
Lopmy1|Lopmy1_447783	Lopmy1|Lopmy1_538694	0.292281	3.339708	0.087517	463.120631	85.879369	1.177981	2.306958	552
