SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Monpu1|Monpu1_512755	Monpu1|Monpu1_527884	0.576440	2.878282	0.200272	2334.948275	776.051725	1.551587	3.451933	5097
Monpu1|Monpu1_504668	Monpu1|Monpu1_448487	0.825809	4.327286	0.190838	1107.553589	320.446411	1.191576	4.834646	1635
Monpu1|Monpu1_520263	Monpu1|Monpu1_500158	0.237510	2.783125	0.085339	1167.935366	416.064634	1.465472	2.718478	1812
Monpu1|Monpu1_504661	Monpu1|Monpu1_491855	0.602971	4.240898	0.142180	866.417427	285.582573	1.032038	4.514456	2472
Monpu1|Monpu1_486346	Monpu1|Monpu1_489243	0.165502	0.318982	0.518843	212.079859	93.920141	7.872875	0.637828	420
Monpu1|Monpu1_546826	Monpu1|Monpu1_511859	0.540384	2.076845	0.260195	1119.513421	374.486579	1.741473	2.776542	1707
Monpu1|Monpu1_451892	Monpu1|Monpu1_506627	0.607324	4.018435	0.151134	651.718593	212.281407	1.524693	4.336261	987
Monpu1|Monpu1_433681	Monpu1|Monpu1_442319	0.851086	4.517069	0.188416	1216.284681	412.715319	1.415846	5.339644	1752
Monpu1|Monpu1_546834	Monpu1|Monpu1_501671	0.897128	3.884840	0.230931	575.355088	177.644912	1.206008	4.805934	828
Monpu1|Monpu1_526497	Monpu1|Monpu1_429403	0.166576	0.343997	0.484237	661.815278	238.184722	1.627914	0.640591	1260
Monpu1|Monpu1_526503	Monpu1|Monpu1_525743	0.409590	4.479009	0.091447	1251.705811	392.294189	1.378149	4.141926	1824
Monpu1|Monpu1_504684	Monpu1|Monpu1_376430	0.878314	4.069485	0.215829	825.766036	227.233964	0.941422	4.700875	2742
Monpu1|Monpu1_504685	Monpu1|Monpu1_108947	0.871082	4.106883	0.212103	835.148097	238.851903	1.246525	4.772121	1563
Monpu1|Monpu1_494254	Monpu1|Monpu1_556579	0.507965	4.276434	0.118782	1395.560714	299.439286	1.459840	3.521112	1854
Monpu1|Monpu1_433701	Monpu1|Monpu1_109100	0.363824	4.337660	0.083876	1277.090414	324.909586	1.097153	3.509332	1674
Monpu1|Monpu1_433691	Monpu1|Monpu1_502353	0.969040	1.806684	0.536364	2967.113023	1157.886977	1.715408	3.612499	4743
Monpu1|Monpu1_494257	Monpu1|Monpu1_443116	0.877956	4.276411	0.205302	1023.569670	299.430330	1.418101	4.941352	1662
Monpu1|Monpu1_504691	Monpu1|Monpu1_366247	0.517225	4.681153	0.110491	1733.352384	513.647616	1.206711	4.407204	2775
Monpu1|Monpu1_494261	Monpu1|Monpu1_552636	0.630236	2.232942	0.282245	637.710872	193.289128	1.272873	3.009068	873
Monpu1|Monpu1_554061	Monpu1|Monpu1_451094	0.057956	0.095205	0.608752	1107.454009	584.545991	22.833108	0.212475	2343
Monpu1|Monpu1_469180	Monpu1|Monpu1_448173	0.476015	5.177729	0.091935	3312.108621	995.891379	0.964453	4.688767	4560
