SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mfru|MFRU_03009-R0	Mfru|MFRU_03005-R0	0.000000	0.000000	99.000000	1957.966682	724.033318	4.600000	0.000000	2688
Mfru|MFRU_03008-R0	Mfru|MFRU_03006-R0	0.000000	0.000000	99.000000	534.087488	242.912512	4.600000	0.000000	828
Mfru|MFRU_05094-R0	Mfru|MFRU_05114-R0	0.000000	0.000000	99.000000	615.976536	278.023464	4.600000	0.000000	894
Mfru|MFRU_02462-R0	Mfru|MFRU_05586-R0	0.000000	0.000000	99.000000	931.336194	364.663806	4.600000	0.000000	1296
Mfru|MFRU_02463-R0	Mfru|MFRU_02450-R0	0.000000	0.000000	99.000000	460.020640	199.979360	4.600000	0.000000	660
Mfru|MFRU_02464-R0	Mfru|MFRU_02449-R0	0.000000	0.000000	99.000000	1851.954713	740.045287	4.600000	0.000000	2592
Mfru|MFRU_02390-R0	Mfru|MFRU_04069-R0	0.655949	2.272033	0.288706	913.546445	310.453555	1.931126	3.197550	2310
Mfru|MFRU_02391-R0	Mfru|MFRU_06127-R0	0.029046	0.096949	0.299601	1335.156683	554.843317	3.614436	0.146940	2934
Mfru|MFRU_04167-R0	Mfru|MFRU_03719-R0	0.000000	0.000000	99.000000	976.205595	253.794405	4.600000	0.000000	1230
Mfru|MFRU_07393-R0	Mfru|MFRU_07237-R0	0.000000	0.000000	99.000000	431.451328	171.548672	4.600000	0.000000	603
Mfru|MFRU_04644-R0	Mfru|MFRU_05642-R0	0.130605	2.342971	0.055743	839.745479	243.254521	1.387287	1.882585	1092
Mfru|MFRU_07364-R0	Mfru|MFRU_01342-R0	0.001978	0.047591	0.041570	506.137458	216.862542	4.600000	0.046979	1032
Mfru|MFRU_02816-R0	Mfru|MFRU_02845-R0	0.000000	0.000000	99.000000	1811.000486	726.999514	4.600000	0.000000	2538
Mfru|MFRU_02817-R0	Mfru|MFRU_02846-R0	0.000989	0.024395	0.040557	1011.383528	416.616472	4.600000	0.023454	1428
Mfru|MFRU_06488-R0	Mfru|MFRU_02919-R0	0.000000	0.070299	0.000010	263.315891	90.684109	3.500085	0.054025	372
Mfru|MFRU_04283-R0	Mfru|MFRU_00815-R0	0.000000	0.000000	99.000000	913.371026	457.628974	4.600000	0.000000	1434
Mfru|MFRU_04875-R0	Mfru|MFRU_05825-R0	0.000000	0.000000	99.000000	845.569531	294.430469	4.600000	0.000000	1140
Mfru|MFRU_07388-R0	Mfru|MFRU_00287-R0	0.024312	0.045999	0.528529	292.934711	112.065289	2.668462	0.090938	1119
Mfru|MFRU_06648-R0	Mfru|MFRU_04773-R0	0.000000	0.009075	0.000010	576.285148	221.714852	4.600000	0.007564	798
Mfru|MFRU_06772-R0	Mfru|MFRU_06675-R0	0.022473	0.462625	0.048577	722.798218	210.201782	1.490865	0.364913	1230
Mfru|MFRU_06683-R0	Mfru|MFRU_07161-R0	0.000000	0.000000	99.000000	248.868838	90.131162	4.600000	0.000000	339
Mfru|MFRU_06684-R0	Mfru|MFRU_06682-R0	0.004161	0.000000	99.000000	482.063697	207.936303	4.600000	0.008721	690
Mfru|MFRU_04389-R0	Mfru|MFRU_04400-R0	0.000000	0.000000	99.000000	365.776925	159.223075	4.600000	0.000000	525
Mfru|MFRU_04390-R0	Mfru|MFRU_02790-R0	0.000000	0.000000	99.000000	1131.959136	470.040864	4.600000	0.000000	1602
Mfru|MFRU_04446-R0	Mfru|MFRU_06377-R0	0.003626	0.092290	0.039292	553.106602	199.893398	11.327735	0.081490	963
Mfru|MFRU_07706-R0	Mfru|MFRU_06707-R0	0.018430	0.067829	0.271719	329.634359	93.365641	1.237934	0.088002	813
Mfru|MFRU_06374-R0	Mfru|MFRU_06939-R0	0.007166	0.132800	0.053958	560.930082	168.069918	1.338541	0.108391	1251
Mfru|MFRU_02538-R0	Mfru|MFRU_03100-R0	0.892978	4.727093	0.188906	1898.906590	546.093410	1.261406	5.247994	3303
Mfru|MFRU_02539-R0	Mfru|MFRU_05338-R0	0.882632	2.821185	0.312859	952.507771	274.492229	1.267110	3.948917	1407
Mfru|MFRU_02540-R0	Mfru|MFRU_06436-R0	0.085859	0.221307	0.387963	405.507922	173.492078	2.764328	0.379334	1023
Mfru|MFRU_07246-R0	Mfru|MFRU_04311-R0	0.010432	0.058668	0.177814	483.076399	194.923601	4.600000	0.072900	1683
Mfru|MFRU_04527-R0	Mfru|MFRU_01143-R0	0.005526	0.063631	0.086840	1090.129220	463.870780	3.145601	0.068611	1818
Mfru|MFRU_06805-R0	Mfru|MFRU_03928-R0	0.009877	0.050292	0.196390	560.639148	177.360852	0.668452	0.058769	867
Mfru|MFRU_04709-R0	Mfru|MFRU_01390-R0	0.000000	0.000000	99.000000	348.937817	140.062183	4.600000	0.000000	489
Mfru|MFRU_05045-R0	Mfru|MFRU_05077-R0	0.000000	0.003403	0.000010	668.434537	294.565463	4.600000	0.003122	963
Mfru|MFRU_04588-R0	Mfru|MFRU_05885-R0	0.009368	0.118568	0.079009	644.502185	225.497815	1.940561	0.113016	933
Mfru|MFRU_04587-R0	Mfru|MFRU_04277-R0	0.010421	0.000000	99.000000	193.356075	82.643925	4.600000	0.021901	525
Mfru|MFRU_06757-R0	Mfru|MFRU_06364-R0	0.030164	0.029221	1.032261	202.941680	70.058320	4.600000	0.089765	291
Mfru|MFRU_05195-R0	Mfru|MFRU_07158-R0	0.001608	0.000000	99.000000	622.694749	262.305251	4.600000	0.003393	885
Mfru|MFRU_06208-R0	Mfru|MFRU_06221-R0	0.000000	0.000000	99.000000	785.085694	327.914306	4.600000	0.000000	1113
Mfru|MFRU_05555-R0	Mfru|MFRU_05307-R0	0.000000	0.000000	99.000000	655.931892	184.068108	4.600000	0.000000	1314
Mfru|MFRU_02949-R0	Mfru|MFRU_05154-R0	0.234323	1.321599	0.177303	311.676660	99.323340	1.674323	1.491231	1368
Mfru|MFRU_06134-R0	Mfru|MFRU_05064-R0	0.709132	4.259034	0.166501	1024.427827	292.572173	0.998462	4.493234	1629
Mfru|MFRU_04230-R0	Mfru|MFRU_03059-R0	0.000000	0.000000	99.000000	232.756176	100.243824	4.600000	0.000000	333
Mfru|MFRU_06040-R0	Mfru|MFRU_07174-R0	0.000000	0.000000	99.000000	792.326860	323.673140	4.600000	0.000000	1116
Mfru|MFRU_02323-R0	Mfru|MFRU_00038-R0	0.766013	2.272918	0.337017	1484.952745	399.047255	1.439772	3.255564	2247
Mfru|MFRU_02324-R0	Mfru|MFRU_04503-R0	0.000000	0.002096	0.000010	1181.260655	477.739345	4.600000	0.001811	1695
Mfru|MFRU_03290-R0	Mfru|MFRU_05679-R0	0.000000	0.000000	99.000000	740.810923	300.189077	4.600000	0.000000	1041
Mfru|MFRU_06073-R0	Mfru|MFRU_01082-R0	0.131517	0.427821	0.307412	156.217892	38.782108	1.137634	0.571340	345
Mfru|MFRU_06760-R0	Mfru|MFRU_05115-R0	0.011630	0.031348	0.371012	347.141892	162.858108	5.890760	0.053780	510
Mfru|MFRU_05766-R0	Mfru|MFRU_01790-R0	0.819426	1.488742	0.550415	475.356889	148.643111	2.459071	2.936593	765
Mfru|MFRU_05767-R0	Mfru|MFRU_04035-R0	0.000000	0.000000	99.000000	802.126612	319.873388	4.600000	0.000000	1122
Mfru|MFRU_04509-R0	Mfru|MFRU_07197-R0	0.000000	0.000000	99.000000	580.962619	247.037381	4.600000	0.000000	828
Mfru|MFRU_06042-R0	Mfru|MFRU_02067-R0	0.437833	1.897517	0.230740	707.805938	231.194062	1.551483	2.391680	1059
Mfru|MFRU_04984-R0	Mfru|MFRU_04959-R0	0.000000	0.019674	0.000010	1016.011017	411.988983	4.600000	0.017028	1428
Mfru|MFRU_07490-R0	Mfru|MFRU_02726-R0	0.013631	0.067058	0.203269	296.153511	78.846489	0.596530	0.074593	375
Mfru|MFRU_05926-R0	Mfru|MFRU_05930-R0	0.000000	0.000000	99.000000	1107.417099	428.582901	4.600000	0.000000	1536
Mfru|MFRU_07603-R0	Mfru|MFRU_04021-R0	0.580870	2.278961	0.254884	679.358413	196.641587	1.485931	2.886155	963
Mfru|MFRU_05560-R0	Mfru|MFRU_02557-R0	0.000000	0.080672	0.000010	404.878585	93.121415	2.775516	0.045255	672
Mfru|MFRU_05559-R0	Mfru|MFRU_03399-R0	0.000000	0.059684	0.000010	235.979793	88.020207	4.682528	0.048642	597
Mfru|MFRU_05095-R0	Mfru|MFRU_04821-R0	0.000000	0.000000	99.000000	1119.452090	464.547910	4.600000	0.000000	1584
Mfru|MFRU_02922-R0	Mfru|MFRU_00213-R0	0.752748	3.111913	0.241892	1327.745009	361.254991	1.236506	3.772026	2346
Mfru|MFRU_01787-R0	Mfru|MFRU_04575-R0	0.826902	1.593923	0.518784	816.692135	314.307865	1.535616	3.120178	1227
Mfru|MFRU_01785-R0	Mfru|MFRU_01882-R0	0.625399	4.053702	0.154278	845.498004	222.501996	0.928736	4.018906	1281
Mfru|MFRU_02333-R0	Mfru|MFRU_02325-R0	0.000000	0.000000	99.000000	1213.244764	493.755236	4.600000	0.000000	1707
Mfru|MFRU_02330-R0	Mfru|MFRU_02328-R0	0.000000	0.000000	99.000000	584.842172	240.157828	4.600000	0.000000	825
Mfru|MFRU_02331-R0	Mfru|MFRU_02327-R0	0.000000	0.000000	99.000000	445.325173	190.674827	4.600000	0.000000	636
Mfru|MFRU_02332-R0	Mfru|MFRU_02326-R0	0.000000	0.000000	99.000000	176.781212	78.218788	4.600000	0.000000	255
Mfru|MFRU_06886-R0	Mfru|MFRU_07384-R0	0.010768	0.098122	0.109739	655.095047	253.904953	4.171697	0.105503	1599
Mfru|MFRU_03077-R0	Mfru|MFRU_01668-R0	0.394168	2.121114	0.185831	1850.902078	462.097922	1.201125	2.217547	2427
Mfru|MFRU_06008-R0	Mfru|MFRU_03164-R0	0.009536	0.075592	0.126144	316.653104	97.346896	1.827272	0.075204	1227
Mfru|MFRU_05101-R0	Mfru|MFRU_01560-R0	0.000000	0.000000	99.000000	988.553205	370.446795	4.600000	0.000000	1434
Mfru|MFRU_06692-R0	Mfru|MFRU_03359-R0	0.010258	0.079609	0.128850	687.226683	242.773317	3.222155	0.085085	939
Mfru|MFRU_02940-R0	Mfru|MFRU_01926-R0	0.000000	0.000000	99.000000	1302.500450	575.499550	4.600000	0.000000	1878
Mfru|MFRU_06459-R0	Mfru|MFRU_06126-R0	0.000000	0.000000	99.000000	636.046358	212.953642	4.600000	0.000000	849
Mfru|MFRU_06410-R0	Mfru|MFRU_04349-R0	0.000000	0.047417	0.000010	456.188003	131.811997	2.752043	0.031888	636
Mfru|MFRU_06715-R0	Mfru|MFRU_07189-R0	0.015719	0.045483	0.345593	385.878073	160.121927	3.989058	0.073342	546
Mfru|MFRU_07550-R0	Mfru|MFRU_07528-R0	0.009577	0.012960	0.738974	210.170048	77.829952	4.600000	0.031474	414
Mfru|MFRU_04370-R0	Mfru|MFRU_04396-R0	0.000000	0.000000	99.000000	572.327580	249.672420	4.600000	0.000000	822
Mfru|MFRU_04369-R0	Mfru|MFRU_04395-R0	0.000000	0.000000	99.000000	189.157201	80.842799	4.600000	0.000000	270
Mfru|MFRU_01981-R0	Mfru|MFRU_07298-R0	0.000000	0.054746	0.000010	502.516198	190.483802	2.047938	0.045144	1140
Mfru|MFRU_02058-R0	Mfru|MFRU_03034-R0	0.000000	0.000000	99.000000	2968.300675	1153.699325	4.600000	0.000000	4215
Mfru|MFRU_04352-R0	Mfru|MFRU_03280-R0	0.000000	0.000000	99.000000	1094.755812	456.244188	4.600000	0.000000	1551
Mfru|MFRU_04353-R0	Mfru|MFRU_03279-R0	0.006567	0.002050	3.203578	535.733481	244.266519	4.600000	0.015456	780
Mfru|MFRU_07469-R0	Mfru|MFRU_04272-R0	0.010473	0.045714	0.229092	480.825386	158.174614	1.856874	0.057588	639
Mfru|MFRU_03178-R0	Mfru|MFRU_03185-R0	0.000000	0.000000	99.000000	1576.287189	658.712811	4.600000	0.000000	2235
Mfru|MFRU_03180-R0	Mfru|MFRU_03183-R0	0.000000	0.000000	99.000000	241.902042	106.097958	4.600000	0.000000	348
Mfru|MFRU_03179-R0	Mfru|MFRU_03184-R0	0.000000	0.000000	99.000000	254.168760	105.831240	4.600000	0.000000	360
Mfru|MFRU_05959-R0	Mfru|MFRU_05928-R0	0.000000	0.046089	0.000010	533.843756	180.156244	2.192944	0.034887	1644
Mfru|MFRU_05958-R0	Mfru|MFRU_00631-R0	0.082397	0.114522	0.719491	463.769537	160.230463	1.978657	0.271938	972
Mfru|MFRU_07408-R0	Mfru|MFRU_07400-R0	0.000000	0.000000	99.000000	266.510321	93.489679	4.600000	0.000000	360
Mfru|MFRU_05492-R0	Mfru|MFRU_01249-R0	0.037503	0.206813	0.181340	218.919227	108.080773	2.514804	0.280392	876
Mfru|MFRU_05249-R0	Mfru|MFRU_06110-R0	0.633626	1.876204	0.337717	883.877570	301.122430	1.548018	2.848139	1344
Mfru|MFRU_03472-R0	Mfru|MFRU_04188-R0	0.000000	0.000000	99.000000	1480.980704	553.019296	4.600000	0.000000	2037
Mfru|MFRU_02637-R0	Mfru|MFRU_00697-R0	0.398162	4.859596	0.081933	2288.379966	651.620034	1.547610	4.160975	3216
Mfru|MFRU_02636-R0	Mfru|MFRU_06071-R0	0.000000	0.000000	99.000000	592.516339	241.483661	4.600000	0.000000	834
Mfru|MFRU_03328-R0	Mfru|MFRU_01439-R0	0.000000	0.000000	99.000000	449.423819	207.576181	4.600000	0.000000	657
Mfru|MFRU_07027-R0	Mfru|MFRU_05295-R0	0.000000	0.126949	0.000010	178.873155	43.126845	4.600000	0.073985	501
Mfru|MFRU_06965-R0	Mfru|MFRU_03482-R0	0.141203	0.547352	0.257976	640.208373	205.791627	2.883712	0.720000	2022
Mfru|MFRU_00869-R0	Mfru|MFRU_02109-R0	0.000000	0.000000	99.000000	2452.730535	856.269465	4.600000	0.000000	3309
Mfru|MFRU_00868-R0	Mfru|MFRU_02724-R0	0.343448	4.004602	0.085763	895.597908	208.402092	1.732514	3.103693	1188
Mfru|MFRU_02973-R0	Mfru|MFRU_05922-R0	0.008462	0.083414	0.101447	416.104550	159.895450	3.483699	0.087806	921
Mfru|MFRU_02972-R0	Mfru|MFRU_05923-R0	0.000000	0.000000	99.000000	278.707177	120.292823	4.600000	0.000000	399
Mfru|MFRU_05872-R0	Mfru|MFRU_07268-R0	0.072793	0.069438	1.048322	328.153445	109.846555	1.828350	0.215855	453
Mfru|MFRU_04275-R0	Mfru|MFRU_06832-R0	0.103480	1.372446	0.075398	150.622260	56.377740	4.211711	1.347272	309
Mfru|MFRU_02954-R0	Mfru|MFRU_03217-R0	0.000000	0.000000	99.000000	1803.003872	821.996128	4.600000	0.000000	2625
Mfru|MFRU_06322-R0	Mfru|MFRU_02389-R0	0.028533	0.104967	0.271831	500.159825	228.840175	2.840647	0.157579	3138
Mfru|MFRU_06761-R0	Mfru|MFRU_06764-R0	0.000000	0.000000	99.000000	218.976410	93.023590	4.600000	0.000000	312
Mfru|MFRU_06762-R0	Mfru|MFRU_06763-R0	0.000000	0.000000	99.000000	510.423532	227.576468	4.600000	0.000000	738
Mfru|MFRU_00874-R0	Mfru|MFRU_05474-R0	0.000000	0.020553	0.000010	234.299194	98.700806	4.600000	0.018275	426
Mfru|MFRU_00873-R0	Mfru|MFRU_05475-R0	0.027687	0.043889	0.630851	441.793926	164.206074	2.043400	0.096232	645
Mfru|MFRU_05881-R0	Mfru|MFRU_05357-R0	0.000000	0.000000	99.000000	669.011499	278.988501	4.600000	0.000000	1005
Mfru|MFRU_06928-R0	Mfru|MFRU_03598-R0	0.064862	0.193775	0.334730	378.935080	152.064920	4.151609	0.305338	1014
Mfru|MFRU_05194-R0	Mfru|MFRU_01850-R0	0.925669	3.117042	0.296970	1745.926336	501.073664	1.490151	4.243014	3645
Mfru|MFRU_04367-R0	Mfru|MFRU_05376-R0	0.000000	0.000000	99.000000	475.747619	175.252381	4.600000	0.000000	651
Mfru|MFRU_04368-R0	Mfru|MFRU_05377-R0	0.000000	0.000000	99.000000	586.295555	262.704445	4.600000	0.000000	849
Mfru|MFRU_06432-R0	Mfru|MFRU_05253-R0	0.050129	0.088811	0.564446	625.787291	226.212709	2.250910	0.181199	1344
Mfru|MFRU_03101-R0	Mfru|MFRU_03233-R0	0.000000	0.000000	99.000000	795.298548	269.701452	4.600000	0.000000	1065
Mfru|MFRU_03102-R0	Mfru|MFRU_03232-R0	0.000000	0.000000	99.000000	957.869446	416.130554	4.600000	0.000000	1374
Mfru|MFRU_03140-R0	Mfru|MFRU_06469-R0	0.000000	0.000000	99.000000	543.238328	224.761672	4.600000	0.000000	768
Mfru|MFRU_05880-R0	Mfru|MFRU_03530-R0	0.005663	0.038650	0.146514	886.570024	346.429976	2.785341	0.044793	1419
Mfru|MFRU_03465-R0	Mfru|MFRU_02291-R0	0.009064	0.045396	0.199672	444.496159	206.503841	5.855766	0.061767	651
Mfru|MFRU_03582-R0	Mfru|MFRU_03628-R0	0.000000	0.000000	99.000000	2332.384375	838.615625	4.600000	0.000000	3171
Mfru|MFRU_07228-R0	Mfru|MFRU_01313-R0	0.003081	0.021775	0.141500	325.218612	139.781388	4.600000	0.026102	3681
Mfru|MFRU_06829-R0	Mfru|MFRU_03504-R0	0.015445	0.075238	0.205289	228.955976	77.044024	2.045989	0.091499	306
