SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ffuj|FFUJ_06701	Ffuj|FFUJ_12415	0.801583	2.462114	0.325567	621.940658	194.059342	1.578979	3.589460	921
Ffuj|FFUJ_06702	Ffuj|FFUJ_03691	0.572650	3.916067	0.146231	513.522266	197.477734	1.871595	4.503816	837
Ffuj|FFUJ_06703	Ffuj|FFUJ_14803	0.384000	4.398228	0.087308	1141.763136	352.236864	1.074059	3.991274	1590
Ffuj|FFUJ_06704	Ffuj|FFUJ_11679	0.230508	4.466774	0.051605	1123.053501	385.946499	1.349841	3.941965	1563
Ffuj|FFUJ_06706	Ffuj|FFUJ_08117	1.088797	2.119838	0.513623	946.410808	358.589192	1.865754	4.116322	1608
Ffuj|FFUJ_06707	Ffuj|FFUJ_00521	0.664977	1.966488	0.338155	1035.678474	365.321526	1.274418	3.013068	1476
Ffuj|FFUJ_06708	Ffuj|FFUJ_10568	0.553988	4.066223	0.136241	733.752104	226.247896	1.066076	4.145201	1059
Ffuj|FFUJ_06709	Ffuj|FFUJ_09227	0.694562	1.623300	0.427870	955.391833	325.608167	1.337324	2.791893	1416
Ffuj|FFUJ_06710	Ffuj|FFUJ_05398	0.335463	1.632978	0.205430	843.599346	308.400654	1.892567	2.048459	1203
Ffuj|FFUJ_06711	Ffuj|FFUJ_14864	0.434683	1.530771	0.283963	1061.348214	462.651786	6.546776	2.302290	1665
Ffuj|FFUJ_06712	Ffuj|FFUJ_05401	0.377721	4.223173	0.089440	966.087723	278.912277	1.603929	3.717605	1320
Ffuj|FFUJ_06713	Ffuj|FFUJ_01511	0.512196	3.468194	0.147684	309.072762	101.927238	1.587353	3.735835	774
Ffuj|FFUJ_06714	Ffuj|FFUJ_11621	0.725175	4.593893	0.157856	1564.767997	457.232003	1.092141	4.800009	2316
Ffuj|FFUJ_06715	Ffuj|FFUJ_10535	0.718852	4.013726	0.179098	680.047123	210.952877	1.239651	4.496836	948
Ffuj|FFUJ_06717	Ffuj|FFUJ_00972	0.465462	4.374167	0.106412	900.496075	323.503925	1.541523	4.495605	1332
Ffuj|FFUJ_06718	Ffuj|FFUJ_01225	0.683225	2.072954	0.329590	887.378882	330.621118	2.404968	3.181384	5982
Ffuj|FFUJ_06719	Ffuj|FFUJ_09088	0.691086	4.208419	0.164215	773.520786	273.479214	1.380139	4.829469	1251
Ffuj|FFUJ_06720	Ffuj|FFUJ_03506	0.866223	2.541914	0.340776	2115.211917	734.788083	1.524552	3.894752	3984
Ffuj|FFUJ_06724	Ffuj|FFUJ_05200	0.636804	4.558236	0.139704	1324.997653	436.002347	1.208849	4.823109	1932
Ffuj|FFUJ_06725	Ffuj|FFUJ_12750	0.785459	4.447088	0.176623	1235.051832	375.948168	1.152573	4.919845	1749
Ffuj|FFUJ_06726	Ffuj|FFUJ_09387	0.971294	2.492270	0.389723	526.481255	205.518745	1.594814	4.194985	1035
Ffuj|FFUJ_06727	Ffuj|FFUJ_12493	0.982234	5.357537	0.183337	1247.239715	399.760285	1.368610	6.132627	2157
Ffuj|FFUJ_06728	Ffuj|FFUJ_10810	0.527648	2.195614	0.240319	736.481083	304.518917	1.961621	3.046711	1101
Ffuj|FFUJ_06730	Ffuj|FFUJ_14422	0.255472	4.353276	0.058685	982.254684	331.745316	1.278739	3.870132	1395
Ffuj|FFUJ_06732	Ffuj|FFUJ_05249	0.377201	1.403555	0.268747	682.511564	208.488436	1.406571	1.852085	960
Ffuj|FFUJ_06734	Ffuj|FFUJ_05965	0.833653	4.719278	0.176648	1559.567208	540.432792	1.278857	5.500843	2391
Ffuj|FFUJ_06736	Ffuj|FFUJ_06355	0.370016	2.632944	0.140533	660.126909	218.873091	1.559761	2.800470	894
Ffuj|FFUJ_06737	Ffuj|FFUJ_06358	0.629051	2.132852	0.294934	1678.228568	589.771432	1.698423	3.060300	2796
Ffuj|FFUJ_06739	Ffuj|FFUJ_02244	0.747683	4.684069	0.159623	1584.351828	515.648172	1.160590	5.142749	2493
Ffuj|FFUJ_06740	Ffuj|FFUJ_10569	0.536629	1.796915	0.298639	642.131970	227.868030	1.431373	2.600160	894
Ffuj|FFUJ_06741	Ffuj|FFUJ_10428	0.252339	1.843128	0.136908	506.825253	177.174747	1.917246	1.993191	708
Ffuj|FFUJ_06742	Ffuj|FFUJ_03984	0.632971	5.407005	0.117065	4609.000986	1351.999014	1.074582	5.147272	7005
Ffuj|FFUJ_06743	Ffuj|FFUJ_11459	0.932977	2.573982	0.362464	969.315317	323.684683	1.410748	4.031339	1503
Ffuj|FFUJ_06744	Ffuj|FFUJ_03985	0.645200	2.061888	0.312917	884.415446	243.584554	1.211924	2.853374	1392
Ffuj|FFUJ_06745	Ffuj|FFUJ_10970	0.704950	1.639762	0.429910	670.603076	250.396924	1.467672	2.877306	999
Ffuj|FFUJ_06746	Ffuj|FFUJ_13963	0.496003	2.717952	0.182492	1464.519465	509.480535	1.671793	3.208435	2316
Ffuj|FFUJ_06747	Ffuj|FFUJ_13962	0.385742	4.364676	0.088378	1103.173677	336.826323	1.317908	3.949329	1482
Ffuj|FFUJ_06749	Ffuj|FFUJ_10753	0.662187	2.114669	0.313140	894.944411	299.055589	2.046312	3.077949	1287
Ffuj|FFUJ_06750	Ffuj|FFUJ_09549	0.670403	2.253038	0.297555	1300.823604	400.176396	1.391326	3.128199	1857
Ffuj|FFUJ_06751	Ffuj|FFUJ_10199	0.856146	2.787861	0.307098	1897.610023	610.389977	1.303663	3.978843	2982
Ffuj|FFUJ_06752	Ffuj|FFUJ_14123	0.550111	2.737193	0.200976	853.337072	346.662928	1.974472	3.545784	1455
Ffuj|FFUJ_06753	Ffuj|FFUJ_03404	0.412317	2.911468	0.141618	795.331837	242.668163	1.430109	2.989738	1083
Ffuj|FFUJ_06755	Ffuj|FFUJ_01973	0.715894	1.990645	0.359629	1163.661427	465.338573	5.213652	3.240116	1692
