SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
ClaPMI390|ClaPMI390_2092474	ClaPMI390|ClaPMI390_222227	0.330889	0.526444	0.628536	610.801265	265.198735	1.324613	1.170273	4173
ClaPMI390|ClaPMI390_2069685	ClaPMI390|ClaPMI390_2088791	0.008212	0.168621	0.048701	735.161972	284.838028	3.855697	0.159021	1020
ClaPMI390|ClaPMI390_136	ClaPMI390|ClaPMI390_2195845	0.272706	0.909697	0.299776	467.803007	189.196993	2.035380	1.368423	2691
ClaPMI390|ClaPMI390_2103957	ClaPMI390|ClaPMI390_2047805	0.208302	1.048802	0.198609	280.366754	112.633246	4.424459	1.347564	546
ClaPMI390|ClaPMI390_321	ClaPMI390|ClaPMI390_2079092	0.219684	0.971647	0.226094	507.596775	179.403225	2.100903	1.248154	783
ClaPMI390|ClaPMI390_294	ClaPMI390|ClaPMI390_2170292	0.243529	1.888763	0.128936	856.157307	295.842693	1.419111	1.998113	1152
ClaPMI390|ClaPMI390_176	ClaPMI390|ClaPMI390_2161908	0.353486	1.448486	0.244038	973.190837	400.809163	3.160018	2.018725	1605
ClaPMI390|ClaPMI390_2092488	ClaPMI390|ClaPMI390_2156903	0.166100	0.281501	0.590051	1391.681211	495.318789	1.753029	0.589174	2286
ClaPMI390|ClaPMI390_2127774	ClaPMI390|ClaPMI390_1722001	0.965975	2.940165	0.328544	1075.609434	415.390566	1.265873	4.547944	1728
ClaPMI390|ClaPMI390_2127783	ClaPMI390|ClaPMI390_2049123	0.099487	1.255370	0.079249	1270.614682	259.385318	1.041763	0.886341	1569
ClaPMI390|ClaPMI390_2044668	ClaPMI390|ClaPMI390_2070491	0.013552	0.985120	0.013756	223.501676	64.498324	1.676700	0.693411	309
ClaPMI390|ClaPMI390_2049271	ClaPMI390|ClaPMI390_2165396	0.287003	1.782792	0.160985	1116.758115	389.241885	1.821592	2.020817	1521
ClaPMI390|ClaPMI390_2092502	ClaPMI390|ClaPMI390_2226107	0.169355	1.815358	0.093290	722.072640	270.927360	2.908920	1.855337	996
ClaPMI390|ClaPMI390_2161929	ClaPMI390|ClaPMI390_2073942	0.761120	3.584196	0.212354	986.877017	345.122983	1.765790	4.477747	1821
ClaPMI390|ClaPMI390_2049592	ClaPMI390|ClaPMI390_2084766	0.937506	1.690053	0.554720	1170.619307	422.380693	1.552008	3.411127	2094
ClaPMI390|ClaPMI390_2092507	ClaPMI390|ClaPMI390_276365	0.207954	2.050577	0.101413	1320.026049	428.973951	1.953820	1.979672	2568
ClaPMI390|ClaPMI390_2222703	ClaPMI390|ClaPMI390_2126086	0.525622	4.528162	0.116078	1201.134765	418.865235	1.432254	4.681541	2064
ClaPMI390|ClaPMI390_2175051	ClaPMI390|ClaPMI390_2101052	0.821537	3.468789	0.236837	2324.535272	795.464728	1.404511	4.489415	4866
ClaPMI390|ClaPMI390_2161939	ClaPMI390|ClaPMI390_4493	0.116781	1.348136	0.086624	1131.268615	401.731385	2.691832	1.318394	1545
ClaPMI390|ClaPMI390_2045871	ClaPMI390|ClaPMI390_2082975	0.694911	3.868692	0.179624	588.139080	173.860920	1.234030	4.257159	1098
ClaPMI390|ClaPMI390_2069769	ClaPMI390|ClaPMI390_2104876	0.807353	4.195756	0.192421	964.099357	268.900643	0.871077	4.638955	2988
ClaPMI390|ClaPMI390_4299	ClaPMI390|ClaPMI390_2061845	0.609971	4.096972	0.148883	820.283483	235.716517	1.137176	4.164981	3774
ClaPMI390|ClaPMI390_2069778	ClaPMI390|ClaPMI390_2092532	0.545415	1.828946	0.298213	313.684758	127.315242	1.981019	2.747898	2118
ClaPMI390|ClaPMI390_2069781	ClaPMI390|ClaPMI390_2162173	0.714439	2.029293	0.352063	737.254461	288.745539	1.495534	3.253429	1710
ClaPMI390|ClaPMI390_2123611	ClaPMI390|ClaPMI390_2056601	0.720422	1.977995	0.364218	367.122910	103.877090	6.083923	2.993323	579
ClaPMI390|ClaPMI390_2104090	ClaPMI390|ClaPMI390_1944827	0.662606	4.351931	0.152256	1168.849099	331.150901	1.331579	4.431265	1671
ClaPMI390|ClaPMI390_2028451	ClaPMI390|ClaPMI390_714781	0.246693	1.176653	0.209657	183.513371	68.486629	2.955868	1.498292	426
ClaPMI390|ClaPMI390_2161966	ClaPMI390|ClaPMI390_2172266	0.087343	1.969134	0.044356	850.450169	271.549831	2.425529	1.628339	1125
ClaPMI390|ClaPMI390_2049400	ClaPMI390|ClaPMI390_2049135	0.012333	0.058342	0.211395	737.110384	306.889616	7.084388	0.077573	1065
