SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Encro1|EROM_010420m.01	Encro1|EROM_081470m.01	0.928552	2.827378	0.328415	1034.544417	294.455583	1.304387	4.047778	1497
Encro1|EROM_010730m.01	Encro1|EROM_101200m.01	0.703782	3.498479	0.201168	358.872813	106.127187	1.310776	4.024850	498
Encro1|EROM_010810m.01	Encro1|EROM_040560m.01	0.717726	2.261767	0.317330	397.172695	109.827305	1.215889	3.156598	582
Encro1|EROM_010980m.01	Encro1|EROM_091950m.01	1.034244	1.712341	0.603994	2147.580445	627.419555	1.966122	3.562679	3279
Encro1|EROM_011030m.01	Encro1|EROM_101600m.01	0.832702	2.158536	0.385772	1336.699275	412.300725	1.798917	3.435743	1923
Encro1|EROM_011050m.01	Encro1|EROM_051170m.01	0.699279	4.405153	0.158741	1159.495745	355.504255	1.540666	4.706656	2343
Encro1|EROM_011130m.01	Encro1|EROM_030320m.01	0.883822	4.135409	0.213721	816.888246	248.111754	1.686600	4.924022	1341
Encro1|EROM_011250m.01	Encro1|EROM_111080m.01	0.962162	1.973065	0.487648	1196.005369	417.994631	2.319394	3.671898	1938
Encro1|EROM_100020m.01	Encro1|EROM_081890m.01	0.000000	0.000000	99.000000	220.970510	94.029490	4.600000	0.000000	315
Encro1|EROM_100110m.01	Encro1|EROM_060940m.01	0.833039	4.392646	0.189644	1198.374959	349.625041	1.410432	4.910993	1605
Encro1|EROM_100120m.01	Encro1|EROM_110190m.01	0.610336	4.909798	0.124310	2507.270685	696.729315	1.207412	4.635840	3549
Encro1|EROM_100200m.01	Encro1|EROM_110320m.01	0.887610	2.034643	0.436249	1120.386982	295.613018	1.291374	3.381216	1818
Encro1|EROM_100230m.01	Encro1|EROM_020320m.01	0.914646	1.846291	0.495396	466.915542	139.084458	1.388472	3.385410	639
Encro1|EROM_100300m.01	Encro1|EROM_100390m.01	0.761021	1.954252	0.389418	1198.775279	400.224721	1.702122	3.179050	1638
Encro1|EROM_100320m.01	Encro1|EROM_101570m.01	0.751054	1.772819	0.423650	904.937880	277.062120	1.762930	2.971672	1359
Encro1|EROM_100410m.01	Encro1|EROM_081320m.01	0.704702	2.660162	0.264909	1235.106908	408.893092	1.340016	3.573183	1689
Encro1|EROM_100440m.01	Encro1|EROM_070470m.01	0.872379	3.983974	0.218972	760.251824	202.748176	1.378660	4.582466	1017
Encro1|EROM_100530m.01	Encro1|EROM_090690m.01	0.728157	3.898933	0.186758	664.985481	181.014519	1.369178	4.219777	1146
Encro1|EROM_100550m.01	Encro1|EROM_090130m.01	0.817593	4.617201	0.177075	1634.335760	471.664240	1.474393	5.005684	2679
Encro1|EROM_100770m.01	Encro1|EROM_100790m.01	0.000683	0.000000	99.000000	1464.866880	404.133120	4.600000	0.001606	2019
Encro1|EROM_100780m.01	Encro1|EROM_101240m.01	0.633441	4.342209	0.145880	1143.113939	326.886061	1.389811	4.374495	1947
Encro1|EROM_100820m.01	Encro1|EROM_111880m.01	0.647527	3.511462	0.184404	357.019675	107.980325	1.816496	3.937734	513
Encro1|EROM_101120m.01	Encro1|EROM_030140m.01	0.754968	4.464842	0.169092	1259.046276	384.953724	1.544835	4.870980	1791
Encro1|EROM_101170m.01	Encro1|EROM_091390m.01	0.507293	3.968579	0.127827	677.370936	198.629064	1.202399	3.876371	936
Encro1|EROM_101210m.01	Encro1|EROM_010130m.01	0.681436	4.650375	0.146534	1922.004763	492.995237	1.431217	4.474951	3804
Encro1|EROM_101310m.01	Encro1|EROM_071560m.01	0.583025	4.180277	0.139471	915.592474	263.407526	1.486761	4.160128	1296
Encro1|EROM_101350m.01	Encro1|EROM_021120m.01	0.745422	4.461293	0.167087	1470.863953	383.136047	1.297535	4.539962	2163
Encro1|EROM_101420m.01	Encro1|EROM_060210m.01	0.762386	1.973523	0.386307	1414.641048	460.358952	2.504660	3.179250	2220
Encro1|EROM_101660m.01	Encro1|EROM_080390m.01	0.581387	3.613305	0.160902	419.314798	123.685202	1.640022	3.816003	651
Encro1|EROM_110010m.01	Encro1|EROM_051650m.01	0.000000	0.000000	99.000000	437.664143	150.335857	4.600000	0.000000	588
Encro1|EROM_110020m.01	Encro1|EROM_051640m.01	0.000000	0.000000	99.000000	376.792351	139.207649	4.600000	0.000000	516
Encro1|EROM_110040m.01	Encro1|EROM_090010m.01	0.831909	2.335574	0.356191	570.889152	200.110848	2.493042	3.666544	813
Encro1|EROM_110050m.01	Encro1|EROM_111180m.01	0.853813	2.162413	0.394843	699.382051	209.617949	1.530727	3.466740	1266
Encro1|EROM_110330m.01	Encro1|EROM_110750m.01	0.029607	0.092029	0.321719	1189.377962	415.622038	2.523699	0.137315	1650
Encro1|EROM_110400m.01	Encro1|EROM_030410m.01	0.636717	1.909904	0.333377	1342.425945	418.574055	1.529400	2.818028	2064
Encro1|EROM_110530m.01	Encro1|EROM_040630m.01	0.504567	3.445719	0.146433	698.467735	195.532265	1.359755	3.443534	960
Encro1|EROM_110670m.01	Encro1|EROM_060250m.01	0.851504	2.093418	0.406753	1449.808496	434.191504	1.494231	3.413157	2250
Encro1|EROM_110730m.01	Encro1|EROM_040210m.01	0.810551	4.424842	0.183182	1324.039571	364.960429	1.293082	4.774589	2112
Encro1|EROM_110830m.01	Encro1|EROM_081910m.01	0.669881	3.532125	0.189654	651.639339	200.360661	1.971857	4.028943	1023
Encro1|EROM_111070m.01	Encro1|EROM_080700m.01	0.739067	3.724094	0.198456	546.625667	143.374333	0.933353	4.077968	930
