SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Melsp1|Melsp1_9783	Melsp1|Melsp1_18719	0.254894	0.308432	0.826419	232.403028	70.596972	1.290578	0.802104	399
Melsp1|Melsp1_593699	Melsp1|Melsp1_201574	0.571312	2.650448	0.215553	348.831260	116.168740	1.412898	3.272197	3051
Melsp1|Melsp1_9788	Melsp1|Melsp1_101874	0.726880	1.512552	0.480565	606.291534	215.708466	1.989525	2.799166	930
Melsp1|Melsp1_25931	Melsp1|Melsp1_215302	0.421541	5.535991	0.076145	5774.290703	1605.709297	1.422937	4.602963	8919
Melsp1|Melsp1_127643	Melsp1|Melsp1_34517	0.573756	4.016557	0.142848	829.249419	211.750581	1.142318	3.822175	1092
Melsp1|Melsp1_127645	Melsp1|Melsp1_198896	0.604212	2.573488	0.234783	1320.974305	413.025695	1.170500	3.219837	1881
Melsp1|Melsp1_9798	Melsp1|Melsp1_194522	0.459330	4.281397	0.107285	1198.572561	301.427439	1.184713	3.682141	1560
Melsp1|Melsp1_74241	Melsp1|Melsp1_619633	0.754720	4.193521	0.179973	1267.899501	268.100499	1.509403	4.064834	1698
Melsp1|Melsp1_215165	Melsp1|Melsp1_100749	0.426067	4.148197	0.102711	1385.621620	252.378380	0.918822	2.998686	2007
Melsp1|Melsp1_74905	Melsp1|Melsp1_85509	0.399194	4.187253	0.095336	958.130917	265.869083	1.205951	3.666032	1290
Melsp1|Melsp1_194073	Melsp1|Melsp1_28425	0.468374	4.263958	0.109845	1739.500299	294.499701	1.293219	3.053792	2244
Melsp1|Melsp1_194075	Melsp1|Melsp1_190480	0.496348	3.955958	0.125468	848.685473	195.314527	1.070515	3.430745	1083
Melsp1|Melsp1_180755	Melsp1|Melsp1_97486	0.440803	3.696864	0.119237	662.737788	138.262212	1.185765	3.008515	1098
Melsp1|Melsp1_9816	Melsp1|Melsp1_475228	0.598227	3.098466	0.193072	1139.076941	354.923059	1.955109	3.576593	1707
Melsp1|Melsp1_74640	Melsp1|Melsp1_122947	0.230841	2.433632	0.094854	250.796131	82.203869	1.872090	2.323856	378
Melsp1|Melsp1_127694	Melsp1|Melsp1_29048	0.708511	4.067851	0.174173	763.260608	226.739392	1.445922	4.433698	2175
Melsp1|Melsp1_102057	Melsp1|Melsp1_85133	0.495828	3.685695	0.134528	604.714194	190.285806	1.459769	3.777997	1026
Melsp1|Melsp1_74076	Melsp1|Melsp1_222721	0.508434	3.970852	0.128041	497.669128	132.330872	1.009701	3.707133	807
Melsp1|Melsp1_166492	Melsp1|Melsp1_24882	0.644033	4.227801	0.152333	1177.361318	280.638682	1.570189	4.001530	1797
Melsp1|Melsp1_166498	Melsp1|Melsp1_177155	0.756820	4.193302	0.180483	865.977908	268.022092	1.028793	4.707108	2820
Melsp1|Melsp1_9844	Melsp1|Melsp1_223566	1.011622	4.180185	0.242004	729.624804	263.375196	1.613691	5.556077	1242
