SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Frad|FIBRA_00272	Frad|FIBRA_02195	0.230656	1.604224	0.143781	741.114491	287.885509	2.019616	1.844827	1071
Frad|FIBRA_00273	Frad|FIBRA_02194	0.171887	1.872308	0.091805	1240.916015	493.083985	3.632702	1.966267	1932
Frad|FIBRA_00274	Frad|FIBRA_06840	0.441570	2.217414	0.199138	5126.582376	1950.417624	1.749494	2.792976	7284
Frad|FIBRA_08684	Frad|FIBRA_09112	0.603522	3.799289	0.158851	597.505740	158.494260	1.599582	3.820528	1371
Frad|FIBRA_09095	Frad|FIBRA_08796	0.425065	1.843354	0.230594	256.050579	88.949421	2.465753	2.372204	507
Frad|FIBRA_00954	Frad|FIBRA_03064	0.753322	2.079383	0.362282	1916.952006	678.047994	1.310241	3.299427	3576
Frad|FIBRA_07510	Frad|FIBRA_03354	0.463224	2.501010	0.185215	638.048677	216.951323	0.953965	2.940901	2769
Frad|FIBRA_07512	Frad|FIBRA_07520	0.653084	1.387742	0.470609	912.267816	392.732184	2.966333	2.622526	1941
Frad|FIBRA_07513	Frad|FIBRA_02145	1.053684	3.444048	0.305943	1843.368687	610.631313	1.124252	4.945441	3117
Frad|FIBRA_07514	Frad|FIBRA_05706	0.552228	2.028103	0.272288	998.029991	402.970009	1.573859	2.930202	1704
Frad|FIBRA_07515	Frad|FIBRA_00776	0.637040	5.138569	0.123972	3062.773341	945.226659	1.259819	5.095974	4959
Frad|FIBRA_07516	Frad|FIBRA_04368	0.268483	2.349561	0.114270	905.308278	321.691722	1.677497	2.442285	1284
Frad|FIBRA_07521	Frad|FIBRA_00194	0.925198	3.020014	0.306356	1063.973242	313.026758	1.158686	4.204207	1995
Frad|FIBRA_07522	Frad|FIBRA_06394	0.466292	3.993365	0.116767	733.697069	205.302931	1.087485	3.712353	1464
Frad|FIBRA_07523	Frad|FIBRA_00629	0.317661	1.988843	0.159722	701.578586	234.421414	1.733757	2.208628	1197
Frad|FIBRA_08461	Frad|FIBRA_08466	0.028156	0.120639	0.233390	380.649474	162.350526	9.605822	0.167422	543
Frad|FIBRA_08462	Frad|FIBRA_08893	0.292705	1.436050	0.203826	484.478611	193.521389	1.752703	1.857149	780
Frad|FIBRA_08465	Frad|FIBRA_03288	0.631135	2.156000	0.292734	1295.328329	468.671671	1.287453	3.108815	1929
Frad|FIBRA_01718	Frad|FIBRA_01068	0.112875	0.187473	0.602088	1007.474704	426.525296	4.322755	0.405191	3303
Frad|FIBRA_01719	Frad|FIBRA_01721	0.342021	0.944838	0.361989	1912.555793	784.444207	3.599991	1.552066	3558
