SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spofi1|Spofi1_463291	Spofi1|Spofi1_413099	0.828397	2.920519	0.283647	1546.784350	496.215650	1.407381	4.009632	3492
Spofi1|Spofi1_463283	Spofi1|Spofi1_400473	0.498080	3.190109	0.156133	1251.762871	428.237129	1.559672	3.552860	1848
Spofi1|Spofi1_463277	Spofi1|Spofi1_409445	0.509081	4.437397	0.114725	1242.878536	371.121464	1.445092	4.237062	1677
Spofi1|Spofi1_516294	Spofi1|Spofi1_441931	0.694971	1.513368	0.459222	626.376485	174.623515	1.453675	2.620162	888
Spofi1|Spofi1_498208	Spofi1|Spofi1_466666	0.866650	4.185445	0.207063	952.771081	265.228919	1.154448	4.768029	1362
Spofi1|Spofi1_371892	Spofi1|Spofi1_455953	0.589779	4.015668	0.146869	970.500280	211.499720	1.078713	3.608358	1338
Spofi1|Spofi1_463318	Spofi1|Spofi1_465768	0.777776	1.947047	0.399464	561.845550	215.154450	1.867999	3.304655	921
Spofi1|Spofi1_434753	Spofi1|Spofi1_411925	0.559412	4.131982	0.135386	899.019450	246.980550	1.374490	3.988067	1317
Spofi1|Spofi1_393831	Spofi1|Spofi1_491446	0.364902	3.710865	0.098334	525.132399	140.867601	1.076881	3.217850	711
Spofi1|Spofi1_463336	Spofi1|Spofi1_497543	0.323484	4.184318	0.077309	1124.169405	264.830595	1.069773	3.178804	1470
Spofi1|Spofi1_463339	Spofi1|Spofi1_481693	0.451629	3.847915	0.117370	679.889417	169.110583	1.284940	3.384386	1746
Spofi1|Spofi1_463341	Spofi1|Spofi1_79980	0.635852	4.310854	0.147500	856.498211	313.501789	1.549077	4.861709	1353
Spofi1|Spofi1_482661	Spofi1|Spofi1_424280	0.650229	3.986163	0.163122	816.659007	203.340993	1.203435	3.945782	1653
Spofi1|Spofi1_473168	Spofi1|Spofi1_313531	0.460302	1.412982	0.325766	372.487577	131.512423	2.316878	2.126675	1125
Spofi1|Spofi1_2829	Spofi1|Spofi1_471315	0.614952	1.595792	0.385359	543.943041	173.056959	1.067066	2.555071	870
Spofi1|Spofi1_482674	Spofi1|Spofi1_472093	0.589661	4.757964	0.123931	1977.959468	569.040532	1.279432	4.562779	2709
Spofi1|Spofi1_463365	Spofi1|Spofi1_412756	0.420369	3.543485	0.118632	466.309299	112.690701	1.346901	3.084663	621
Spofi1|Spofi1_375908	Spofi1|Spofi1_46801	0.724339	4.252452	0.170334	903.984038	290.015962	1.310588	4.743894	1314
