SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Fibsp1|Fibsp1_194	Fibsp1|Fibsp1_588490	0.000000	0.000000	99.000000	230.001177	108.998823	4.600000	0.000000	339
Fibsp1|Fibsp1_846414	Fibsp1|Fibsp1_863741	0.000000	0.000000	99.000000	150.407677	50.592323	4.600000	0.000000	201
Fibsp1|Fibsp1_771697	Fibsp1|Fibsp1_1046243	0.000000	0.000000	99.000000	1324.735884	334.264116	4.600000	0.000000	1659
Fibsp1|Fibsp1_880898	Fibsp1|Fibsp1_893531	0.000000	0.000000	99.000000	584.480300	195.519700	4.600000	0.000000	780
Fibsp1|Fibsp1_771698	Fibsp1|Fibsp1_791866	0.000000	0.000000	99.000000	1241.983140	480.016860	4.600000	0.000000	1722
Fibsp1|Fibsp1_846418	Fibsp1|Fibsp1_745176	0.152314	0.406777	0.374441	539.162588	225.837412	3.276131	0.682304	792
Fibsp1|Fibsp1_880902	Fibsp1|Fibsp1_956323	0.000757	0.006736	0.112381	1321.753855	298.246145	4.600000	0.005573	1620
Fibsp1|Fibsp1_846425	Fibsp1|Fibsp1_863752	0.001845	0.026016	0.070929	542.592712	117.407288	2.761577	0.018435	660
Fibsp1|Fibsp1_809336	Fibsp1|Fibsp1_846440	0.172870	2.648962	0.065260	665.286715	147.713285	1.864786	1.868247	819
Fibsp1|Fibsp1_906532	Fibsp1|Fibsp1_853600	0.808648	3.873497	0.208764	731.021555	174.978445	1.213379	4.201713	1131
Fibsp1|Fibsp1_719722	Fibsp1|Fibsp1_744644	0.539106	1.632297	0.330274	1111.579421	397.420579	1.947478	2.481048	1524
Fibsp1|Fibsp1_846433	Fibsp1|Fibsp1_906535	0.140150	0.289772	0.483657	235.060204	73.939796	2.648635	0.527858	1260
Fibsp1|Fibsp1_942490	Fibsp1|Fibsp1_925215	0.130010	0.327481	0.397001	1246.655954	499.344046	3.007947	0.559457	1866
Fibsp1|Fibsp1_906534	Fibsp1|Fibsp1_746011	0.089476	1.088965	0.082166	1991.801741	801.198259	2.849213	1.128566	2865
Fibsp1|Fibsp1_719445	Fibsp1|Fibsp1_814720	0.293707	1.335131	0.219984	2371.689509	937.310491	2.729476	1.766105	4323
Fibsp1|Fibsp1_1035434	Fibsp1|Fibsp1_946632	1.037687	2.164142	0.479491	2122.586741	622.413259	1.493914	3.879314	3648
Fibsp1|Fibsp1_809364	Fibsp1|Fibsp1_929178	0.730691	4.023461	0.181608	842.291273	213.708727	1.025979	4.191202	1437
Fibsp1|Fibsp1_846445	Fibsp1|Fibsp1_854470	0.259886	0.130068	1.998072	126.327130	44.672870	1.572314	0.677915	180
