SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lcor|LCOR_12041.1	Lcor|LCOR_10228.1	0.000000	0.007595	0.000010	344.674257	132.325743	4.600000	0.006321	555
Lcor|LCOR_04252.1	Lcor|LCOR_04253.1	0.061120	0.213336	0.286498	562.718723	253.281277	4.021729	0.325101	1059
Lcor|LCOR_04258.1.1	Lcor|LCOR_04258.1.2	0.000000	0.000000	99.000000	1252.221221	547.778779	4.600000	0.000000	1836
Lcor|LCOR_04260.1	Lcor|LCOR_01898.1	0.686496	3.454871	0.198704	956.451668	288.548332	1.345098	3.984331	1674
Lcor|LCOR_04261.1	Lcor|LCOR_07160.1	0.435813	1.195011	0.364693	312.187879	107.812121	1.654067	1.892086	3537
Lcor|LCOR_04262.1	Lcor|LCOR_09711.1	0.253527	0.291845	0.868705	248.031089	69.968911	1.059784	0.785874	333
Lcor|LCOR_04265.1	Lcor|LCOR_11179.1	0.503143	3.407266	0.147668	362.025763	93.974237	0.946178	3.304907	546
Lcor|LCOR_04266.1	Lcor|LCOR_10650.1	0.620778	2.860705	0.217002	1011.890382	287.109618	1.073959	3.347564	1467
Lcor|LCOR_04268.1	Lcor|LCOR_08735.1	0.468859	2.244352	0.208906	1205.402029	348.597971	1.293349	2.601429	1692
Lcor|LCOR_04270.1	Lcor|LCOR_04279.1	0.279365	0.587604	0.475430	990.448754	308.551246	1.783774	1.057742	1446
Lcor|LCOR_04272.1	Lcor|LCOR_09226.1	0.212632	2.030444	0.104722	804.057341	248.942659	1.541113	1.927158	1098
Lcor|LCOR_04274.1	Lcor|LCOR_05516.1.2	0.535339	1.776113	0.301410	1571.120957	489.879043	1.370942	2.490775	2235
Lcor|LCOR_04281.1	Lcor|LCOR_04278.1	0.079901	0.266192	0.300165	624.755959	224.244041	1.907430	0.387317	1314
Lcor|LCOR_04282.1	Lcor|LCOR_04361.1	0.282318	0.504072	0.560076	689.587225	219.412775	1.669301	1.007534	1317
Lcor|LCOR_04286.1	Lcor|LCOR_09678.1.2	0.168407	0.430307	0.391365	351.755330	140.244670	1.735969	0.729184	543
Lcor|LCOR_04287.1	Lcor|LCOR_09678.1.1	0.342053	0.656569	0.520971	506.508183	198.491817	2.302260	1.291814	1350
Lcor|LCOR_04293.1.1	Lcor|LCOR_04293.1.2	0.000000	0.000000	99.000000	1879.209319	799.790681	4.600000	0.000000	2688
Lcor|LCOR_04294.1	Lcor|LCOR_01653.1	0.901626	2.310000	0.390314	597.333050	200.666950	1.356711	3.767337	1056
Lcor|LCOR_04295.1.1	Lcor|LCOR_04295.1.2	0.029900	0.068490	0.436559	375.715291	107.284709	0.434014	0.115414	765
Lcor|LCOR_04303.1	Lcor|LCOR_12179.1	0.526375	2.797842	0.188136	397.571526	124.428474	1.821908	3.203465	627
Lcor|LCOR_04305.1	Lcor|LCOR_04393.1	0.100977	0.201576	0.500939	1203.206702	473.793298	3.289599	0.388197	1692
Lcor|LCOR_04306.1	Lcor|LCOR_00207.1	0.435826	1.460573	0.298394	630.955008	188.044992	1.724846	2.013334	843
Lcor|LCOR_04307.1	Lcor|LCOR_08258.1	0.809403	4.603112	0.175838	1450.945924	385.054076	0.911635	4.815110	2415
Lcor|LCOR_04308.1	Lcor|LCOR_06914.1	0.017999	0.471783	0.038151	225.004744	74.995256	3.027136	0.394314	309
Lcor|LCOR_04311.1	Lcor|LCOR_03492.1	0.335344	1.645930	0.203742	156.231157	56.768843	1.998722	2.053926	2556
