SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Aapi|AAPI10005-RA	Aapi|AAPI16025-RA	0.000000	0.000000	99.000000	245.702462	87.297538	4.600000	0.000000	1113
Aapi|AAPI10008-RA	Aapi|AAPI16301-RA	0.243576	3.718454	0.065505	667.699796	142.300204	0.896723	2.562121	1212
Aapi|AAPI10011-RA	Aapi|AAPI13471-RA	0.405995	0.318238	1.275760	685.201719	379.798281	2.165181	1.124096	2892
Aapi|AAPI10013-RA	Aapi|AAPI10930-RA	0.000000	0.000000	99.000000	246.411589	89.588411	4.600000	0.000000	336
Aapi|AAPI10014-RA	Aapi|AAPI11440-RA	0.851264	4.942955	0.172218	2412.777114	728.222886	1.338661	5.399697	4350
Aapi|AAPI10025-RA	Aapi|AAPI13567-RA	0.637607	4.722332	0.135020	1944.361932	542.638068	1.400878	4.586557	4467
Aapi|AAPI10029-RA	Aapi|AAPI14405-RA	0.575623	0.295962	1.944921	1127.809712	456.190288	1.502440	1.485242	2664
Aapi|AAPI10031-RA	Aapi|AAPI15083-RA	0.322691	4.355901	0.074081	1191.091423	332.908577	0.965306	3.611164	1620
Aapi|AAPI10033-RA	Aapi|AAPI10030-RA	0.015372	0.068121	0.225660	383.397400	141.602600	2.754477	0.088798	2862
Aapi|AAPI10051-RA	Aapi|AAPI11366-RA	0.626641	3.742263	0.167450	651.110059	146.889941	0.670260	3.600424	981
Aapi|AAPI10052-RA	Aapi|AAPI10895-RA	0.032476	0.029347	1.106629	291.379832	95.620168	0.376529	0.095109	1068
Aapi|AAPI10053-RA	Aapi|AAPI10808-RA	0.787056	4.108209	0.191581	744.725232	239.274768	1.337862	4.783938	1773
Aapi|AAPI10062-RA	Aapi|AAPI14443-RA	0.000000	0.000000	99.000000	365.518893	156.481107	4.600000	0.000000	1512
Aapi|AAPI10064-RA	Aapi|AAPI11094-RA	0.676866	4.419269	0.153162	1329.741415	362.258585	1.373172	4.434351	3534
Aapi|AAPI10065-RA	Aapi|AAPI14945-RA	0.008581	0.003613	2.375178	410.232484	138.767516	0.929981	0.021977	1281
Aapi|AAPI10079-RA	Aapi|AAPI10079-RB	0.000000	0.000000	99.000000	1559.891770	693.108230	4.600000	0.000000	3660
Aapi|AAPI10098-RA	Aapi|AAPI10093-RA	0.001763	0.004419	0.398858	568.033974	226.966026	4.600000	0.007563	2514
Aapi|AAPI10101-RA	Aapi|AAPI10553-RA	0.000000	0.000000	99.000000	422.242291	162.757709	4.600000	0.000000	3318
Aapi|AAPI10115-RA	Aapi|AAPI14964-RA	0.666326	4.249870	0.156788	1387.980913	289.019087	0.989721	3.851774	2448
Aapi|AAPI10117-RA	Aapi|AAPI12799-RA	0.000000	0.000000	99.000000	289.307386	142.692614	4.600000	0.000000	4089
Aapi|AAPI10118-RA	Aapi|AAPI16386-RA	0.000000	0.000000	99.000000	131.333013	36.666987	4.600000	0.000000	423
Aapi|AAPI10131-RA	Aapi|AAPI13594-RA	0.809471	4.602151	0.175890	1388.705884	462.294116	1.173591	5.270120	3018
Aapi|AAPI10137-RA	Aapi|AAPI10446-RA	0.057391	0.126697	0.452980	190.342390	64.657610	2.933838	0.224893	1599
Aapi|AAPI10149-RA	Aapi|AAPI10501-RA	0.493107	3.808858	0.129463	748.470554	160.529446	0.899500	3.236007	1419
Aapi|AAPI10156-RA	Aapi|AAPI15993-RA	0.756205	3.075651	0.245868	775.798278	220.201722	1.328027	3.807007	1362
Aapi|AAPI10157-RA	Aapi|AAPI15211-RA	0.000000	0.000000	99.000000	209.105025	75.894975	4.600000	0.000000	1443
Aapi|AAPI10159-RA	Aapi|AAPI10427-RA	0.159883	0.223129	0.716546	323.577500	102.422500	1.942183	0.525267	3162
Aapi|AAPI10161-RA	Aapi|AAPI16389-RA	0.387718	0.630163	0.615266	1722.731111	506.268889	1.050112	1.328351	5082
Aapi|AAPI10166-RA	Aapi|AAPI11534-RA	0.000000	0.000000	99.000000	208.571157	88.428843	4.600000	0.000000	1536
Aapi|AAPI10168-RA	Aapi|AAPI13489-RA	0.440107	3.430115	0.128307	947.105493	258.894507	1.351463	3.245935	2409
Aapi|AAPI10189-RA	Aapi|AAPI14460-RA	0.490445	4.313359	0.113704	1128.449402	314.550598	1.192151	3.971334	2691
Aapi|AAPI10194-RA	Aapi|AAPI15743-RA	0.772308	4.148697	0.186157	767.453405	252.546595	1.260125	4.824852	3006
Aapi|AAPI10212-RA	Aapi|AAPI10948-RA	0.779963	4.126027	0.189035	918.972890	245.027110	0.997352	4.452973	2868
Aapi|AAPI10215-RA	Aapi|AAPI10214-RA	0.080284	0.067163	1.195368	405.137257	173.862743	1.527967	0.229032	1866
Aapi|AAPI10223-RA	Aapi|AAPI10343-RA	0.463894	3.815202	0.121591	582.107002	161.892998	1.090025	3.579397	2349
Aapi|AAPI10226-RA	Aapi|AAPI12120-RA	0.792402	3.894890	0.203447	665.958565	180.041435	1.019493	4.357973	1176
Aapi|AAPI10230-RA	Aapi|AAPI30013-RA	0.639536	1.484574	0.430787	995.720504	300.279496	1.175226	2.505986	4455
Aapi|AAPI10231-RA	Aapi|AAPI10229-RA	0.037683	0.087275	0.431770	244.931405	85.068595	2.083068	0.151401	633
Aapi|AAPI10236-RA	Aapi|AAPI13402-RA	0.613513	3.767538	0.162842	463.075355	151.924645	1.590329	4.177974	1890
Aapi|AAPI10238-RA	Aapi|AAPI10235-RA	0.000000	0.000000	99.000000	320.639530	141.360470	4.600000	0.000000	1368
Aapi|AAPI10242-RA	Aapi|AAPI16297-RA	0.499846	1.573582	0.317649	509.104902	183.895098	2.470543	2.354321	3345
Aapi|AAPI10243-RA	Aapi|AAPI10776-RA	0.160062	1.187150	0.134829	1310.111135	453.888865	2.119913	1.273016	1950
Aapi|AAPI10252-RA	Aapi|AAPI10252-RB	0.200427	0.243619	0.822707	1158.456502	344.543498	1.184294	0.630984	1770
Aapi|AAPI10254-RA	Aapi|AAPI30101-RA	0.000000	0.000000	99.000000	133.557660	52.442340	4.600000	0.000000	411
Aapi|AAPI10266-RA	Aapi|AAPI13951-RA	1.088657	1.897084	0.573858	1354.537593	550.462407	4.497634	3.966773	2625
Aapi|AAPI10267-RA	Aapi|AAPI15391-RA	0.000000	0.000000	99.000000	771.025420	335.974580	4.600000	0.000000	2289
Aapi|AAPI10290-RA	Aapi|AAPI14255-RA	0.000000	0.000000	99.000000	220.390603	73.609397	4.600000	0.000000	507
Aapi|AAPI10295-RA	Aapi|AAPI16392-RA	0.542402	4.497021	0.120614	1380.170522	401.829478	1.132413	4.302429	3504
Aapi|AAPI10303-RA	Aapi|AAPI10301-RA	0.050491	0.056605	0.891984	471.515761	128.484239	0.407044	0.155401	1614
Aapi|AAPI10306-RA	Aapi|AAPI11741-RA	0.669934	2.729859	0.245410	1714.461432	532.538568	1.230138	3.474407	3804
Aapi|AAPI10349-RA	Aapi|AAPI16445-RA	0.000000	0.000000	99.000000	512.962475	186.037525	4.600000	0.000000	1926
