SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Boled1|Boled1_654349	Boled1|Boled1_522960	0.018498	0.051781	0.357236	383.107141	159.892859	4.600000	0.084895	723
Boled1|Boled1_848050	Boled1|Boled1_939751	0.089175	0.386761	0.230569	569.287794	189.712206	1.899484	0.490671	771
Boled1|Boled1_819042	Boled1|Boled1_998856	0.190750	0.994940	0.191720	129.978338	50.021662	2.794916	1.242699	858
Boled1|Boled1_939747	Boled1|Boled1_975907	0.741876	2.042520	0.363216	1530.866530	557.133470	1.319371	3.266766	2694
Boled1|Boled1_964861	Boled1|Boled1_964558	0.944617	2.897661	0.325993	1427.338895	486.661105	1.274020	4.323618	2241
Boled1|Boled1_911545	Boled1|Boled1_957871	0.159964	0.520295	0.307448	1026.224584	434.775416	3.389870	0.801581	1479
Boled1|Boled1_957866	Boled1|Boled1_521179	0.488837	3.306583	0.147837	241.831111	82.168889	1.380025	3.610316	420
Boled1|Boled1_957857	Boled1|Boled1_915297	0.032025	0.123008	0.260351	479.143493	186.856507	2.960617	0.172656	681
Boled1|Boled1_911465	Boled1|Boled1_465671	0.522360	1.497897	0.348729	422.956088	153.043912	2.325555	2.344684	624
Boled1|Boled1_887767	Boled1|Boled1_865606	0.589305	3.571860	0.164986	759.793751	245.206249	1.521758	3.951024	1788
Boled1|Boled1_649928	Boled1|Boled1_933979	0.925675	4.059108	0.228049	726.888284	224.111716	1.456204	4.992290	1080
Boled1|Boled1_939709	Boled1|Boled1_942321	0.001603	0.000000	99.000000	624.382644	272.617356	4.600000	0.003348	897
Boled1|Boled1_939693	Boled1|Boled1_948650	0.008358	0.017880	0.467439	120.402707	56.597293	4.600000	0.034208	177
Boled1|Boled1_1035110	Boled1|Boled1_861000	0.244634	0.268712	0.910394	396.674009	116.325991	2.364720	0.750280	720
Boled1|Boled1_911451	Boled1|Boled1_1054051	0.408472	0.992574	0.411528	1368.309843	539.690157	3.220995	1.721067	2025
Boled1|Boled1_939685	Boled1|Boled1_977648	0.442193	0.778859	0.567744	273.071428	122.928572	4.044348	1.640108	1215
Boled1|Boled1_911434	Boled1|Boled1_966843	0.695764	2.357369	0.295144	1643.167963	585.832037	1.516849	3.397415	2610
Boled1|Boled1_847605	Boled1|Boled1_852571	0.514515	2.190334	0.234903	911.442725	321.557275	1.353760	2.854669	1446
Boled1|Boled1_930162	Boled1|Boled1_973853	0.339679	1.661304	0.204465	820.195213	280.804787	1.822380	2.030260	1230
Boled1|Boled1_887735	Boled1|Boled1_905129	0.811684	4.202610	0.193138	901.630770	271.369230	1.046588	4.788486	1479
Boled1|Boled1_847595	Boled1|Boled1_853997	0.098171	0.463136	0.211971	239.514265	75.485735	1.718297	0.556891	330
Boled1|Boled1_978254	Boled1|Boled1_897830	0.645502	1.572914	0.410386	956.592471	366.407529	2.336204	2.707052	1647
Boled1|Boled1_623328	Boled1|Boled1_975846	0.545675	4.254478	0.128259	858.199507	290.800493	1.217380	4.453009	1224
Boled1|Boled1_964811	Boled1|Boled1_490913	0.856230	1.905183	0.449422	1040.251079	414.748921	1.634963	3.465705	1761
Boled1|Boled1_930144	Boled1|Boled1_1058496	0.541657	3.945002	0.137302	578.517948	192.482052	1.004125	4.173931	855
Boled1|Boled1_622451	Boled1|Boled1_988301	0.577934	1.598454	0.361558	551.824956	237.175044	3.776683	2.654113	819
Boled1|Boled1_847513	Boled1|Boled1_847171	0.336071	2.147209	0.156515	1335.529488	467.470512	1.689683	2.416954	1833
Boled1|Boled1_812598	Boled1|Boled1_900088	0.076997	0.886073	0.086897	184.654841	67.345159	3.405409	0.879650	972
Boled1|Boled1_847039	Boled1|Boled1_947521	0.353087	3.428242	0.102994	720.931446	275.068554	1.307843	3.607087	1050
Boled1|Boled1_957796	Boled1|Boled1_961402	0.698983	1.805536	0.387133	657.237053	215.762947	1.519567	2.917407	1074
Boled1|Boled1_964777	Boled1|Boled1_22149	0.367703	4.337077	0.084781	1115.612279	378.387721	1.514430	4.119098	1578
Boled1|Boled1_1034781	Boled1|Boled1_847142	0.214228	1.248034	0.171652	721.294816	247.705184	1.889142	1.435498	1011
Boled1|Boled1_617813	Boled1|Boled1_1057770	0.791430	3.470566	0.228041	994.904253	271.095747	1.363398	4.095384	1482
Boled1|Boled1_970827	Boled1|Boled1_364317	0.545106	1.927953	0.282738	280.537949	100.462051	1.228737	2.729205	642
Boled1|Boled1_887528	Boled1|Boled1_273539	0.248741	4.299750	0.057850	1110.105514	308.894486	1.128683	3.391750	1566
Boled1|Boled1_957759	Boled1|Boled1_1057364	0.697425	2.836214	0.245900	1531.236657	535.763343	1.155957	3.755389	2550
Boled1|Boled1_939559	Boled1|Boled1_840392	0.742556	3.920977	0.189380	761.869692	252.130308	1.379678	4.598603	1071
Boled1|Boled1_957751	Boled1|Boled1_911926	0.748939	3.168524	0.236368	757.760167	244.239833	0.962513	4.016155	1212
Boled1|Boled1_616131	Boled1|Boled1_592885	0.765295	2.285960	0.334781	1286.477516	453.522484	1.537978	3.484947	3165
Boled1|Boled1_911164	Boled1|Boled1_851555	0.697317	2.308125	0.302114	1631.804655	537.195345	1.412059	3.288795	2409
Boled1|Boled1_847449	Boled1|Boled1_907598	0.690527	1.752334	0.394061	765.202949	281.797051	1.497762	2.928928	1239
Boled1|Boled1_964730	Boled1|Boled1_975091	0.739888	2.376767	0.311300	2192.283314	714.716686	1.362248	3.426996	3288
Boled1|Boled1_911146	Boled1|Boled1_938934	0.466170	3.366821	0.138460	889.516613	280.483387	0.899218	3.484625	1281
Boled1|Boled1_939543	Boled1|Boled1_1012844	1.075034	2.250729	0.477638	4345.291333	1441.708667	1.288493	4.103802	7356
Boled1|Boled1_939539	Boled1|Boled1_951789	0.534061	3.772177	0.141579	573.132863	152.867137	1.373788	3.647643	750
Boled1|Boled1_964717	Boled1|Boled1_912161	0.658133	4.548047	0.144707	1318.880398	430.119602	1.707037	4.844259	1908
Boled1|Boled1_957722	Boled1|Boled1_933695	0.708734	4.689573	0.151130	1607.553589	519.446411	1.220656	5.042751	2619
Boled1|Boled1_939526	Boled1|Boled1_471715	0.361010	2.064206	0.174890	138.290284	47.709716	1.264955	2.393659	444
Boled1|Boled1_613609	Boled1|Boled1_945554	0.888015	1.954575	0.454327	1037.024842	384.975158	1.499575	3.530288	1755
Boled1|Boled1_978137	Boled1|Boled1_862444	0.568779	1.762004	0.322802	445.423992	184.576008	1.744727	2.755102	927
Boled1|Boled1_847682	Boled1|Boled1_1032600	0.757478	4.568423	0.165807	1331.034922	441.965078	1.492066	5.122358	2019
Boled1|Boled1_847324	Boled1|Boled1_862934	0.694145	1.806420	0.384265	472.827394	169.172606	1.569803	2.961717	759
Boled1|Boled1_1054861	Boled1|Boled1_950083	0.355697	0.562786	0.632030	214.626142	73.373858	1.379834	1.225372	651
Boled1|Boled1_887390	Boled1|Boled1_967988	0.021342	0.095769	0.222852	1381.667840	568.332160	6.662900	0.129103	1953
Boled1|Boled1_1034361	Boled1|Boled1_864002	0.634189	4.293178	0.147720	887.800436	306.199564	1.414213	4.717595	1440
Boled1|Boled1_939508	Boled1|Boled1_1001171	0.757012	2.092788	0.361724	837.930139	287.069861	1.276852	3.293598	1323
Boled1|Boled1_847735	Boled1|Boled1_899957	0.123128	0.563378	0.218552	1000.555216	427.444784	3.718839	0.764725	1794
Boled1|Boled1_939506	Boled1|Boled1_941775	0.610731	2.018564	0.302557	1208.872169	456.127831	1.963690	2.989223	1863
Boled1|Boled1_964690	Boled1|Boled1_940981	0.099098	3.419673	0.028979	306.458247	95.541753	0.892781	2.664857	414
Boled1|Boled1_939502	Boled1|Boled1_862890	0.645289	2.439768	0.264488	571.269257	205.730743	0.791387	3.361271	885
Boled1|Boled1_939495	Boled1|Boled1_942233	0.192774	0.472597	0.407904	513.921156	203.078844	3.464727	0.816088	813
Boled1|Boled1_939494	Boled1|Boled1_937555	0.943761	4.030701	0.234143	681.218023	215.781977	1.467813	5.059063	1119
Boled1|Boled1_939492	Boled1|Boled1_966020	0.397029	4.270430	0.092972	830.948020	297.051980	1.827615	4.251198	1245
Boled1|Boled1_964676	Boled1|Boled1_855473	0.584862	1.495855	0.390988	921.477414	374.522586	4.145997	2.544371	1830
Boled1|Boled1_887315	Boled1|Boled1_841113	0.565648	3.029971	0.186684	605.340607	204.659393	1.142097	3.564895	1050
Boled1|Boled1_939481	Boled1|Boled1_884818	0.836085	3.251141	0.257167	985.459005	346.540995	1.271946	4.393202	1443
Boled1|Boled1_910999	Boled1|Boled1_371434	0.911174	2.040602	0.446522	611.354174	234.645826	1.320553	3.673294	930
Boled1|Boled1_957671	Boled1|Boled1_855065	0.551697	3.837940	0.143748	556.123610	166.876390	1.300072	3.930594	1194
Boled1|Boled1_610106	Boled1|Boled1_863796	0.774134	4.705901	0.164503	742.690470	223.309530	1.190032	5.049115	1227
Boled1|Boled1_1054811	Boled1|Boled1_855260	0.340081	0.647809	0.524971	1049.523858	438.476142	2.470149	1.292282	2001
Boled1|Boled1_957646	Boled1|Boled1_859744	0.555932	3.681558	0.151005	413.530832	135.469168	1.670763	3.981600	663
Boled1|Boled1_939422	Boled1|Boled1_846807	0.441535	3.079283	0.143389	709.063676	184.936324	1.305120	2.961570	933
Boled1|Boled1_939418	Boled1|Boled1_958973	0.593732	3.956213	0.150076	662.619082	195.380918	1.345112	4.078275	1113
Boled1|Boled1_910821	Boled1|Boled1_907987	0.768490	4.814308	0.159626	1789.562823	613.437177	1.034156	5.403916	2658
Boled1|Boled1_978034	Boled1|Boled1_961376	0.452745	3.715767	0.121844	437.208739	141.791261	1.255777	3.755478	618
Boled1|Boled1_847732	Boled1|Boled1_917927	0.378834	4.265869	0.088806	961.749029	295.250971	1.586480	3.875527	1314
Boled1|Boled1_605213	Boled1|Boled1_978018	0.379405	2.359953	0.160768	748.374321	262.625679	2.193020	2.681667	1188
Boled1|Boled1_910767	Boled1|Boled1_944469	0.787115	4.171170	0.188704	810.771402	260.228598	1.447484	4.828091	1221
Boled1|Boled1_964593	Boled1|Boled1_1027545	0.990005	3.553833	0.278574	1060.449773	367.550227	1.731048	4.949710	1629
Boled1|Boled1_847273	Boled1|Boled1_852978	0.235785	1.538258	0.153281	980.424438	378.575562	2.756188	1.795842	1380
Boled1|Boled1_837535	Boled1|Boled1_802674	0.343556	1.349495	0.254581	172.877964	67.122036	3.202558	1.874676	1608
Boled1|Boled1_977994	Boled1|Boled1_986888	0.203142	0.286094	0.710053	202.674729	100.325271	3.241521	0.691823	462
Boled1|Boled1_977983	Boled1|Boled1_173217	0.414683	0.665970	0.622676	477.887749	170.112251	1.950164	1.441953	771
Boled1|Boled1_575968	Boled1|Boled1_466110	0.000000	0.000000	99.000000	209.863802	96.136198	4.600000	0.000000	306
Boled1|Boled1_977981	Boled1|Boled1_983856	0.078504	0.125779	0.624137	1189.329335	487.670665	7.155448	0.276754	2790
Boled1|Boled1_977980	Boled1|Boled1_982515	0.031651	0.065886	0.480387	422.985837	225.014163	18.523021	0.130617	2085
Boled1|Boled1_977979	Boled1|Boled1_982152	0.407991	4.274592	0.095446	1749.455482	494.544518	1.461887	3.780399	5943
Boled1|Boled1_939325	Boled1|Boled1_939313	0.076878	0.088346	0.870186	336.008833	89.991167	2.341508	0.237902	429
Boled1|Boled1_910704	Boled1|Boled1_75807	0.395514	1.387480	0.285060	1255.808519	478.191481	1.945484	2.007217	1842
Boled1|Boled1_846431	Boled1|Boled1_937727	0.663981	3.955554	0.167860	710.790669	195.209331	1.015883	4.119577	1230
Boled1|Boled1_887001	Boled1|Boled1_1055237	0.761333	2.745292	0.277323	621.642648	182.357352	0.926080	3.633961	942
Boled1|Boled1_939296	Boled1|Boled1_851547	0.709092	5.208650	0.136137	3186.191922	1037.808078	1.325436	5.443808	4680
Boled1|Boled1_846432	Boled1|Boled1_870837	0.675231	4.262836	0.158399	935.940791	294.059209	1.401497	4.598786	1521
Boled1|Boled1_575060	Boled1|Boled1_944833	0.167737	0.243121	0.689931	550.543696	226.456304	3.656626	0.569123	1146
Boled1|Boled1_575026	Boled1|Boled1_873311	0.166115	0.287966	0.576857	249.430999	89.569001	3.778775	0.594931	1164
Boled1|Boled1_939287	Boled1|Boled1_679375	0.071806	0.181695	0.395200	175.521324	70.478676	3.425650	0.309867	2184
Boled1|Boled1_846499	Boled1|Boled1_960060	0.763330	2.861685	0.266741	1152.775811	353.224189	1.595975	3.766463	1677
Boled1|Boled1_939276	Boled1|Boled1_1054712	0.115137	0.318588	0.361398	1344.441511	509.558489	2.550242	0.513162	1938
Boled1|Boled1_574608	Boled1|Boled1_900050	0.391369	0.506194	0.773161	477.698022	197.301978	2.406966	1.274798	1653
Boled1|Boled1_910659	Boled1|Boled1_910655	0.184087	0.431492	0.426629	1292.708738	534.291262	3.871764	0.769315	1875
Boled1|Boled1_977948	Boled1|Boled1_846430	0.167654	0.751153	0.223195	559.059186	214.940814	3.043670	0.989076	807
Boled1|Boled1_939263	Boled1|Boled1_954520	0.005102	0.022220	0.229636	196.650654	91.349346	4.600000	0.031596	291
Boled1|Boled1_929939	Boled1|Boled1_910653	0.557474	0.740380	0.752957	581.323221	228.676779	1.400703	1.827335	1767
Boled1|Boled1_573942	Boled1|Boled1_942990	0.485963	1.102910	0.440619	275.589165	111.410835	2.766764	1.990715	654
Boled1|Boled1_573505	Boled1|Boled1_929943	0.464166	1.092362	0.424919	314.054099	108.945901	2.156820	1.877883	1050
Boled1|Boled1_886934	Boled1|Boled1_947156	0.128659	0.125133	1.028179	807.337591	335.662409	3.106605	0.382870	1176
Boled1|Boled1_939244	Boled1|Boled1_939182	0.313071	0.603179	0.519034	705.888158	275.111842	2.930231	1.183286	1290
Boled1|Boled1_939241	Boled1|Boled1_942927	0.212473	0.145904	1.456250	342.257471	143.742529	2.966244	0.578353	624
Boled1|Boled1_910620	Boled1|Boled1_973753	0.870869	2.217372	0.392748	2774.280941	996.719059	1.453355	3.680297	4515
Boled1|Boled1_939239	Boled1|Boled1_571869	0.354109	0.794499	0.445701	323.694043	138.305957	4.730219	1.457838	1071
Boled1|Boled1_846476	Boled1|Boled1_846675	0.009810	0.022745	0.431299	1334.045507	537.954493	3.334979	0.040581	1872
Boled1|Boled1_819513	Boled1|Boled1_977000	0.268681	0.712889	0.376891	391.661005	175.338995	2.990399	1.218143	1098
Boled1|Boled1_964554	Boled1|Boled1_875612	0.025144	0.011458	2.194479	203.056350	87.943650	4.600000	0.063024	393
Boled1|Boled1_846704	Boled1|Boled1_861677	0.300335	0.453006	0.662983	594.168074	218.831926	2.306726	1.024287	981
Boled1|Boled1_939211	Boled1|Boled1_977921	0.294916	0.611530	0.482259	501.724238	185.275762	3.113357	1.140908	801
Boled1|Boled1_910602	Boled1|Boled1_939205	0.418565	0.587812	0.712073	463.684470	196.315530	3.645382	1.406721	978
Boled1|Boled1_846437	Boled1|Boled1_805195	0.396045	0.821975	0.481821	325.548733	130.451267	2.887442	1.553681	534
Boled1|Boled1_977913	Boled1|Boled1_236949	0.538200	2.899103	0.185644	841.536175	283.463825	1.638185	3.399214	2430
Boled1|Boled1_886904	Boled1|Boled1_241542	0.650639	4.332183	0.150187	964.454445	322.545555	1.118682	4.719902	1380
Boled1|Boled1_1031264	Boled1|Boled1_938456	0.425388	3.278581	0.129747	752.215711	279.784289	3.144565	3.596741	1200
Boled1|Boled1_846335	Boled1|Boled1_915911	0.937478	2.902021	0.323043	750.764263	224.235737	1.564734	4.167881	1413
Boled1|Boled1_970645	Boled1|Boled1_888934	0.366405	2.152596	0.170215	1182.282537	449.717463	2.255780	2.575834	1722
Boled1|Boled1_977899	Boled1|Boled1_926836	0.576734	1.546064	0.373033	1197.268265	452.731735	2.076537	2.528105	2040
Boled1|Boled1_939179	Boled1|Boled1_569660	0.215658	0.296726	0.726794	505.172386	196.827614	3.089788	0.715164	1026
Boled1|Boled1_1054663	Boled1|Boled1_927961	0.854556	5.064065	0.168749	3449.038749	1107.961251	1.281938	5.634091	5361
Boled1|Boled1_810012	Boled1|Boled1_569166	0.372063	1.754427	0.212071	675.069809	224.930191	2.841634	2.152639	987
Boled1|Boled1_816146	Boled1|Boled1_1056545	0.000000	0.088527	0.000010	123.096708	47.903292	4.600000	0.074398	216
Boled1|Boled1_569074	Boled1|Boled1_496106	0.489395	1.284381	0.381036	692.515556	258.484444	1.952939	2.116423	1020
Boled1|Boled1_939157	Boled1|Boled1_952799	0.131272	0.072888	1.801017	118.436245	58.563755	11.375489	0.335865	468
Boled1|Boled1_939146	Boled1|Boled1_881020	0.117294	0.404877	0.289702	350.850336	75.149664	1.399761	0.504078	900
Boled1|Boled1_939141	Boled1|Boled1_939116	0.158408	0.104238	1.519677	114.865071	50.134929	6.352632	0.425845	201
Boled1|Boled1_820389	Boled1|Boled1_962545	0.268039	1.817300	0.147493	149.454156	57.545844	2.157001	2.096197	510
Boled1|Boled1_977877	Boled1|Boled1_886789	0.367216	0.577739	0.635609	299.621985	87.378015	1.367947	1.244246	2670
Boled1|Boled1_568606	Boled1|Boled1_323990	0.631130	1.661325	0.379896	939.558060	308.441940	1.801212	2.657225	1821
Boled1|Boled1_846252	Boled1|Boled1_900773	0.111359	0.421698	0.264073	1748.001707	633.998293	4.502610	0.581878	2472
Boled1|Boled1_977870	Boled1|Boled1_904656	0.183327	0.200914	0.912464	292.660440	124.339560	1.791238	0.565714	549
Boled1|Boled1_939132	Boled1|Boled1_976183	0.648127	4.491977	0.144286	1088.863668	399.136332	1.438691	5.037568	1665
Boled1|Boled1_977868	Boled1|Boled1_948378	0.509845	2.460626	0.207201	507.712806	161.287194	1.405541	2.940458	681
Boled1|Boled1_846523	Boled1|Boled1_978269	0.771205	4.281170	0.180139	868.663838	301.336162	1.095685	5.025613	2226
Boled1|Boled1_846601	Boled1|Boled1_856471	0.078773	0.682912	0.115348	281.873246	87.126754	3.602774	0.664258	483
Boled1|Boled1_846613	Boled1|Boled1_846774	0.190660	1.548230	0.123147	1536.172191	503.827809	2.217532	1.577836	2121
Boled1|Boled1_964520	Boled1|Boled1_889189	0.183478	1.468350	0.124955	529.689430	205.310570	2.993658	1.627159	744
Boled1|Boled1_939079	Boled1|Boled1_846896	0.202139	0.867251	0.233081	849.522812	347.477188	4.132158	1.185644	1419
Boled1|Boled1_886758	Boled1|Boled1_953083	0.065554	0.328081	0.199810	1109.142260	426.857740	3.183785	0.415533	1557
Boled1|Boled1_565370	Boled1|Boled1_962367	0.685760	4.302660	0.159381	1003.904424	310.095576	1.400076	4.617977	1596
Boled1|Boled1_957505	Boled1|Boled1_1033352	0.112324	0.189071	0.594083	696.943287	257.056713	2.518826	0.399010	1050
Boled1|Boled1_957504	Boled1|Boled1_947664	0.698882	4.228076	0.165296	988.258419	280.741581	1.055414	4.438943	1707
Boled1|Boled1_846802	Boled1|Boled1_943442	0.870857	2.781444	0.313095	1094.357050	423.642950	1.451850	4.212189	1605
Boled1|Boled1_939052	Boled1|Boled1_939044	0.116451	0.497806	0.233929	1066.762684	370.237316	2.189740	0.644117	1449
Boled1|Boled1_977828	Boled1|Boled1_942259	0.411215	0.790181	0.520406	332.818876	129.181124	1.509580	1.551535	1233
Boled1|Boled1_939045	Boled1|Boled1_954584	0.042990	0.012896	3.333593	215.788673	78.211327	2.570033	0.104954	1062
Boled1|Boled1_939042	Boled1|Boled1_562002	0.012154	0.039817	0.305245	829.514862	286.485138	2.385058	0.057766	1416
