SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mutel1|Mutel1_1060880	Mutel1|Mutel1_1004911	0.679358	2.056018	0.330424	828.014198	290.985802	1.947263	3.112038	1497
Mutel1|Mutel1_908316	Mutel1|Mutel1_1107608	0.873997	2.039612	0.428511	685.422664	274.577336	1.409541	3.622152	1143
Mutel1|Mutel1_998684	Mutel1|Mutel1_1108746	0.213308	0.956285	0.223059	743.738247	258.261753	2.149991	1.214423	1785
Mutel1|Mutel1_907900	Mutel1|Mutel1_1059952	0.714070	4.199049	0.170055	890.916298	270.083702	1.306872	4.574344	1362
Mutel1|Mutel1_1027845	Mutel1|Mutel1_1058689	0.885230	1.659918	0.533297	599.754534	258.245466	4.394592	3.355198	1011
Mutel1|Mutel1_1086213	Mutel1|Mutel1_1104198	0.833709	3.136473	0.265811	1270.318153	421.681847	1.307970	4.222818	3513
Mutel1|Mutel1_1081228	Mutel1|Mutel1_1149208	0.747102	4.246783	0.175922	879.168037	287.831963	1.554644	4.830817	1521
Mutel1|Mutel1_998740	Mutel1|Mutel1_998586	0.613890	4.616442	0.132979	1508.812276	471.187724	1.130714	4.699176	3336
Mutel1|Mutel1_1060849	Mutel1|Mutel1_1047321	0.999309	3.015191	0.331425	2613.498105	857.501895	1.087561	4.491983	4491
Mutel1|Mutel1_905750	Mutel1|Mutel1_433726	0.507662	1.222263	0.415346	534.854738	185.145262	1.667640	2.074257	765
Mutel1|Mutel1_998714	Mutel1|Mutel1_1047798	0.934092	2.121240	0.440352	1009.658656	376.341344	1.350055	3.769316	1650
Mutel1|Mutel1_1045181	Mutel1|Mutel1_1091322	0.062311	0.098787	0.630761	1565.428661	513.571339	1.183683	0.213964	2727
Mutel1|Mutel1_1027778	Mutel1|Mutel1_996162	0.142929	1.218453	0.117303	645.566766	224.433234	2.315903	1.261143	942
Mutel1|Mutel1_904387	Mutel1|Mutel1_842121	0.490976	0.323968	1.515508	248.620084	93.379916	2.238043	1.336127	363
Mutel1|Mutel1_1027775	Mutel1|Mutel1_1051262	0.624434	4.846168	0.128851	2101.942991	640.057009	1.268762	4.829702	3186
Mutel1|Mutel1_1060833	Mutel1|Mutel1_1100081	0.101041	0.458831	0.220214	349.089824	151.910176	3.410396	0.628584	1104
Mutel1|Mutel1_1100082	Mutel1|Mutel1_1103595	0.407407	1.537455	0.264988	326.777949	114.222051	1.813969	2.100291	924
Mutel1|Mutel1_1045142	Mutel1|Mutel1_1035037	0.940587	1.675493	0.561379	1113.510669	362.489331	1.462802	3.363215	1695
Mutel1|Mutel1_900747	Mutel1|Mutel1_1061411	0.093655	0.169053	0.553999	899.646664	309.353336	1.950176	0.338842	1554
Mutel1|Mutel1_1045139	Mutel1|Mutel1_1086507	0.011921	0.087610	0.136072	592.673965	271.326035	11.737992	0.107070	909
Mutel1|Mutel1_900691	Mutel1|Mutel1_1100636	0.354013	0.783256	0.451976	273.069898	110.930102	1.839492	1.434038	573
Mutel1|Mutel1_1100051	Mutel1|Mutel1_1082056	0.698564	4.993618	0.139891	2568.886140	779.113860	1.220022	5.094202	3747
Mutel1|Mutel1_1081197	Mutel1|Mutel1_1001553	0.019331	1.871321	0.010330	262.167239	82.832761	1.513569	1.391953	417
Mutel1|Mutel1_900442	Mutel1|Mutel1_898334	0.428652	1.374957	0.311757	666.718813	275.281187	3.390845	2.115575	996
Mutel1|Mutel1_896138	Mutel1|Mutel1_314300	0.737589	3.309203	0.222890	627.988285	230.011715	1.564432	4.280953	1122
Mutel1|Mutel1_1060769	Mutel1|Mutel1_1099249	0.972550	2.412986	0.403049	1379.188821	441.811179	1.341281	3.966086	3198
Mutel1|Mutel1_1100034	Mutel1|Mutel1_1094180	0.446510	3.206297	0.139260	542.559236	183.440764	1.466880	3.431503	750
Mutel1|Mutel1_992109	Mutel1|Mutel1_1109744	0.019033	0.041463	0.459038	106.418798	49.581202	4.600000	0.078486	486
Mutel1|Mutel1_1100026	Mutel1|Mutel1_1105644	0.059533	0.050729	1.173552	371.519377	183.480623	15.767662	0.169868	1260
Mutel1|Mutel1_1045099	Mutel1|Mutel1_1012496	0.068654	0.151190	0.454091	640.575674	223.424326	2.069110	0.269991	1164
Mutel1|Mutel1_1045096	Mutel1|Mutel1_1172369	0.038686	0.136313	0.283805	1717.168220	706.831780	5.517699	0.201462	2436
Mutel1|Mutel1_895937	Mutel1|Mutel1_1173078	0.156432	0.218372	0.716353	386.855579	150.144421	3.737910	0.521251	1116
Mutel1|Mutel1_1071011	Mutel1|Mutel1_1140749	0.517112	1.805310	0.286439	634.168275	244.831725	1.579074	2.627757	1065
Mutel1|Mutel1_1071009	Mutel1|Mutel1_1111530	0.467613	1.690987	0.276533	433.065248	124.934752	1.820866	2.224570	750
Mutel1|Mutel1_895742	Mutel1|Mutel1_1011582	0.237824	2.168883	0.109653	236.537547	81.462453	2.275887	2.197518	609
Mutel1|Mutel1_1100327	Mutel1|Mutel1_1172146	0.254269	0.864415	0.294152	600.689128	254.310872	4.418606	1.307253	1320
Mutel1|Mutel1_1117600	Mutel1|Mutel1_1042694	0.189958	1.810479	0.104921	1191.522778	437.477222	2.400302	1.875474	1677
Mutel1|Mutel1_84933	Mutel1|Mutel1_1091058	0.307206	1.079588	0.284558	1095.403240	434.596760	2.654542	1.579804	1662
Mutel1|Mutel1_999105	Mutel1|Mutel1_1029513	0.476561	3.507517	0.135868	324.586186	107.413814	1.243340	3.690561	696
Mutel1|Mutel1_1061079	Mutel1|Mutel1_1171799	0.940982	2.387412	0.394143	1918.679587	640.320413	1.498131	3.908736	2817
Mutel1|Mutel1_1071247	Mutel1|Mutel1_1064616	0.498301	1.662625	0.299708	498.340203	191.659797	1.845022	2.465139	801
Mutel1|Mutel1_1081336	Mutel1|Mutel1_1061022	0.088789	1.350075	0.065766	259.166698	97.833302	1.934228	1.303307	426
Mutel1|Mutel1_1061063	Mutel1|Mutel1_1061023	0.056889	1.537694	0.036996	310.419128	118.580872	1.236010	1.398605	444
Mutel1|Mutel1_1045547	Mutel1|Mutel1_1100207	0.189724	0.443449	0.427836	922.802547	307.197453	1.449319	0.759277	1662
Mutel1|Mutel1_1061057	Mutel1|Mutel1_1003102	0.066100	0.487344	0.135633	1054.636819	379.363181	2.459955	0.532619	1584
Mutel1|Mutel1_80973	Mutel1|Mutel1_1172220	0.098331	0.072223	1.361493	914.829490	366.170510	3.351336	0.272604	2157
Mutel1|Mutel1_1028132	Mutel1|Mutel1_1059003	0.055064	3.391807	0.016234	315.942819	92.057181	0.586990	2.423804	411
Mutel1|Mutel1_1028130	Mutel1|Mutel1_1005435	0.684833	2.586729	0.264749	1564.457371	541.542629	1.291681	3.521675	2598
Mutel1|Mutel1_1061050	Mutel1|Mutel1_75110	0.352183	0.934991	0.376669	185.014088	66.985912	1.531177	1.521309	1425
Mutel1|Mutel1_1100270	Mutel1|Mutel1_1062972	0.622137	1.758344	0.353820	589.024943	205.975057	1.277686	2.749543	1068
Mutel1|Mutel1_998861	Mutel1|Mutel1_1072911	0.118137	0.358887	0.329176	1287.222614	284.777386	2.575369	0.485251	1890
Mutel1|Mutel1_1028098	Mutel1|Mutel1_1084597	0.856702	4.763495	0.179847	1781.747160	573.252840	1.217469	5.423076	2961
Mutel1|Mutel1_1061030	Mutel1|Mutel1_1168279	0.244101	1.129303	0.216152	1053.852891	380.147109	2.002395	1.436293	3348
Mutel1|Mutel1_1086282	Mutel1|Mutel1_1171159	0.880843	4.347702	0.202600	1050.710917	329.289083	1.080502	5.124265	1764
Mutel1|Mutel1_1081303	Mutel1|Mutel1_1067114	0.973791	1.198815	0.812295	507.348284	206.651716	4.364823	3.116759	849
Mutel1|Mutel1_1117300	Mutel1|Mutel1_1168317	1.040337	3.432320	0.303100	2069.929125	633.070875	1.359653	4.801692	3642
Mutel1|Mutel1_998921	Mutel1|Mutel1_1092565	0.797112	4.751548	0.167758	1793.806694	564.193306	1.254250	5.229843	3222
Mutel1|Mutel1_1061020	Mutel1|Mutel1_1034139	0.298055	4.642906	0.064196	1437.889624	488.110376	1.607988	4.197540	2097
Mutel1|Mutel1_1166150	Mutel1|Mutel1_1066396	0.802436	2.778271	0.288826	2137.688689	721.311311	1.393021	3.902787	3372
Mutel1|Mutel1_969544	Mutel1|Mutel1_1022178	0.348112	3.488325	0.099793	381.299945	104.700055	1.541225	3.073844	555
Mutel1|Mutel1_999005	Mutel1|Mutel1_1022997	0.285996	3.915006	0.073051	550.064260	184.935740	1.572517	3.597309	855
Mutel1|Mutel1_998939	Mutel1|Mutel1_987586	0.237253	2.918095	0.081304	299.937886	90.062114	1.731662	2.569007	432
Mutel1|Mutel1_1071194	Mutel1|Mutel1_1110204	0.041472	0.067066	0.618378	499.861493	253.138507	29.973455	0.150228	987
Mutel1|Mutel1_1061014	Mutel1|Mutel1_1103057	0.539447	3.971516	0.135829	679.591606	199.408394	1.720088	3.954120	2685
Mutel1|Mutel1_1061012	Mutel1|Mutel1_1087392	0.604495	4.412951	0.136982	1200.779956	359.220044	1.141593	4.444397	1821
Mutel1|Mutel1_1081292	Mutel1|Mutel1_999853	0.122051	0.957434	0.127477	772.740813	295.259187	2.580390	1.059003	1095
Mutel1|Mutel1_1100227	Mutel1|Mutel1_1066837	0.520525	2.101320	0.247714	1162.194509	406.805491	1.956304	2.791167	1641
Mutel1|Mutel1_1061003	Mutel1|Mutel1_1112583	0.802702	4.170889	0.192453	756.868944	260.131056	1.489576	4.992679	1101
Mutel1|Mutel1_1045424	Mutel1|Mutel1_1052574	0.940945	3.993990	0.235590	619.525779	205.474221	1.459942	5.104007	918
Mutel1|Mutel1_1100224	Mutel1|Mutel1_1094857	0.790153	3.611461	0.218790	416.618503	123.381497	1.486954	4.304332	708
Mutel1|Mutel1_1028016	Mutel1|Mutel1_830683	0.461265	4.044642	0.114044	689.169819	219.830181	1.338034	3.983579	951
Mutel1|Mutel1_1060996	Mutel1|Mutel1_1150696	0.091681	0.240422	0.381333	369.319327	131.680673	3.395034	0.392326	2010
Mutel1|Mutel1_75015	Mutel1|Mutel1_140212	0.766186	1.908407	0.401479	644.370566	240.629434	2.136777	3.230259	1404
Mutel1|Mutel1_74802	Mutel1|Mutel1_1099207	0.904795	2.047752	0.441848	843.223984	323.776016	1.611190	3.665701	1362
Mutel1|Mutel1_1060970	Mutel1|Mutel1_1060938	0.183621	0.238912	0.768572	130.950360	49.049640	2.980817	0.596064	1674
Mutel1|Mutel1_1100204	Mutel1|Mutel1_1067449	0.182022	0.247126	0.736557	896.899899	294.100101	2.829164	0.594296	1554
Mutel1|Mutel1_74362	Mutel1|Mutel1_1100345	0.161900	0.808540	0.200238	848.614460	327.385540	3.107484	1.025753	1191
Mutel1|Mutel1_1081279	Mutel1|Mutel1_1066775	0.868958	4.318354	0.201224	949.347245	316.652755	1.457723	5.195170	1605
Mutel1|Mutel1_74092	Mutel1|Mutel1_1061451	0.609932	4.048075	0.150672	739.161049	220.838951	0.940125	4.202533	2514
Mutel1|Mutel1_74079	Mutel1|Mutel1_1005698	0.789802	1.793681	0.440325	511.744422	175.255578	1.205944	3.137682	2022
Mutel1|Mutel1_1060945	Mutel1|Mutel1_1060942	0.044749	0.168989	0.264802	588.069454	167.930546	4.612272	0.217039	1038
Mutel1|Mutel1_73228	Mutel1|Mutel1_1168065	0.180656	0.592492	0.304909	334.963396	127.036604	3.489490	0.881697	2400
Mutel1|Mutel1_73451	Mutel1|Mutel1_1017703	0.322274	0.901969	0.357301	620.003025	237.996975	3.307281	1.449220	903
Mutel1|Mutel1_1027966	Mutel1|Mutel1_884838	0.266262	4.218882	0.063112	859.678897	277.321103	1.567217	3.690989	1158
Mutel1|Mutel1_1117034	Mutel1|Mutel1_1089238	0.167193	0.480275	0.348119	980.280736	393.719264	3.267500	0.770720	2082
Mutel1|Mutel1_998903	Mutel1|Mutel1_1154027	0.097600	0.219412	0.444825	569.009737	228.990263	3.987813	0.397664	810
Mutel1|Mutel1_1086249	Mutel1|Mutel1_1060924	0.089816	0.352378	0.254886	3291.077348	1304.922652	2.974245	0.493093	4623
Mutel1|Mutel1_1117014	Mutel1|Mutel1_1062532	0.645192	2.916938	0.221188	387.806754	107.193246	0.864007	3.411431	558
Mutel1|Mutel1_1060928	Mutel1|Mutel1_1170880	0.669417	3.827224	0.174909	462.490938	164.509062	1.391861	4.493839	765
Mutel1|Mutel1_973617	Mutel1|Mutel1_1017701	0.045955	0.116956	0.392923	304.091724	136.908276	6.389750	0.203992	834
Mutel1|Mutel1_999013	Mutel1|Mutel1_968217	0.141707	1.396453	0.101476	699.922485	287.077515	5.483019	1.519981	1071
Mutel1|Mutel1_1071138	Mutel1|Mutel1_1078041	0.255291	2.279717	0.111984	571.738084	184.261916	2.259339	2.246129	780
Mutel1|Mutel1_1100015	Mutel1|Mutel1_1112478	0.061099	0.102951	0.593473	375.899198	128.100802	3.886431	0.215209	825
Mutel1|Mutel1_998409	Mutel1|Mutel1_1031750	0.938515	3.616040	0.259542	1006.659463	304.340537	1.439126	4.680257	1935
Mutel1|Mutel1_1153706	Mutel1|Mutel1_1026397	0.697731	2.613289	0.266993	742.966193	280.033807	1.973300	3.666276	1188
Mutel1|Mutel1_1165937	Mutel1|Mutel1_1164067	1.065424	2.887863	0.368932	943.963466	289.036534	1.009805	4.477906	1374
Mutel1|Mutel1_1081172	Mutel1|Mutel1_1110596	0.776744	4.191699	0.185305	842.550006	267.449994	1.072389	4.798692	1320
Mutel1|Mutel1_1086157	Mutel1|Mutel1_1042532	0.978570	4.593216	0.213047	1514.180918	456.819082	1.050134	5.449012	2802
Mutel1|Mutel1_1060728	Mutel1|Mutel1_1041038	0.941581	1.544300	0.609714	596.292254	186.707746	1.477282	3.255901	873
Mutel1|Mutel1_1081160	Mutel1|Mutel1_1062529	0.708171	3.709597	0.190902	495.370497	140.629503	1.081228	4.115499	1134
Mutel1|Mutel1_1045024	Mutel1|Mutel1_1165346	0.442244	3.645682	0.121306	407.858338	129.141662	1.321358	3.637891	570
Mutel1|Mutel1_1165914	Mutel1|Mutel1_1170292	0.881203	1.950145	0.451865	927.290461	347.709539	1.726981	3.518153	1602
Mutel1|Mutel1_1060710	Mutel1|Mutel1_1106660	0.906206	3.430015	0.264199	854.348064	267.651936	1.332798	4.524773	1455
Mutel1|Mutel1_1081140	Mutel1|Mutel1_1058940	0.842141	2.293876	0.367126	618.441286	203.558714	1.251231	3.604939	858
Mutel1|Mutel1_1165886	Mutel1|Mutel1_1165598	0.657351	4.317243	0.152262	1051.816173	316.183827	0.931894	4.509769	1686
