SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Trisp1|Trisp1_124	Trisp1|Trisp1_189236	0.723453	4.467902	0.161922	1428.472884	386.527116	1.298386	4.562642	1935
Trisp1|Trisp1_279	Trisp1|Trisp1_220327	0.885386	2.694601	0.328578	1107.862275	344.137725	1.424328	3.942561	1689
Trisp1|Trisp1_407	Trisp1|Trisp1_193037	0.647369	4.742364	0.136508	2112.673227	557.326773	1.277128	4.506434	3114
Trisp1|Trisp1_701	Trisp1|Trisp1_121952	0.550051	4.606646	0.119404	1523.926780	465.073220	1.185153	4.495725	2319
Trisp1|Trisp1_237818	Trisp1|Trisp1_123975	0.764994	4.025856	0.190020	715.607584	214.392416	1.035375	4.550156	1122
Trisp1|Trisp1_1052	Trisp1|Trisp1_215172	0.244471	2.621622	0.093252	342.800483	107.199517	1.192637	2.432276	453
Trisp1|Trisp1_237829	Trisp1|Trisp1_74750	0.546463	5.054846	0.108107	2937.613081	845.386919	1.355303	4.661853	4056
Trisp1|Trisp1_182745	Trisp1|Trisp1_230670	0.736789	4.239805	0.173779	1067.833549	285.166451	1.323609	4.425318	1662
Trisp1|Trisp1_1598	Trisp1|Trisp1_196036	0.703277	4.254000	0.165321	891.384964	290.615036	1.251366	4.728851	2796
Trisp1|Trisp1_183439	Trisp1|Trisp1_232066	0.427188	4.670571	0.091464	1698.548777	506.451223	1.355169	4.205464	2715
Trisp1|Trisp1_215261	Trisp1|Trisp1_215296	0.657627	4.259730	0.154382	1006.155833	292.844167	1.347690	4.409035	1575
Trisp1|Trisp1_183184	Trisp1|Trisp1_192833	0.438080	3.766782	0.116301	457.228577	151.771423	1.436320	3.802918	621
Trisp1|Trisp1_182773	Trisp1|Trisp1_106146	0.517649	4.099418	0.126274	900.513465	236.486535	1.201463	3.787882	1212
Trisp1|Trisp1_183796	Trisp1|Trisp1_255175	0.789386	4.885233	0.161586	2292.720643	674.279357	1.469565	5.160621	3885
Trisp1|Trisp1_2278	Trisp1|Trisp1_229366	0.392256	3.719536	0.105458	439.129603	139.870397	1.251868	3.588104	669
Trisp1|Trisp1_192868	Trisp1|Trisp1_230348	0.371968	3.557953	0.104546	461.114320	114.885680	0.615930	3.022281	618
Trisp1|Trisp1_252760	Trisp1|Trisp1_106596	0.665773	4.033895	0.165045	686.297157	216.702843	1.584686	4.422175	942
Trisp1|Trisp1_192874	Trisp1|Trisp1_225310	0.903448	2.844674	0.317593	940.556589	325.443411	1.364420	4.207404	1728
Trisp1|Trisp1_237888	Trisp1|Trisp1_216300	0.785613	4.057100	0.193639	856.487751	223.512249	1.267689	4.387997	1275
Trisp1|Trisp1_237892	Trisp1|Trisp1_253855	0.696213	4.677203	0.148853	1790.050539	510.949461	1.277029	4.740641	3642
Trisp1|Trisp1_192893	Trisp1|Trisp1_200427	0.734667	3.787111	0.193991	576.058523	155.941477	0.877636	4.154832	777
Trisp1|Trisp1_208997	Trisp1|Trisp1_212720	0.000000	0.000000	99.000000	283.404707	82.595293	4.600000	0.000000	366
Trisp1|Trisp1_237904	Trisp1|Trisp1_90948	0.803234	4.586984	0.175112	1523.960520	453.039480	1.087427	5.010899	3549
Trisp1|Trisp1_237915	Trisp1|Trisp1_76323	0.877773	1.962392	0.447297	780.063334	275.936666	2.136246	3.483563	1287
Trisp1|Trisp1_215369	Trisp1|Trisp1_77467	0.790936	4.020395	0.196731	657.162909	212.837091	1.387400	4.742976	1038
Trisp1|Trisp1_244719	Trisp1|Trisp1_150087	0.097670	0.059426	1.643551	232.577107	88.422893	6.080562	0.261407	321
Trisp1|Trisp1_252800	Trisp1|Trisp1_241991	0.185987	0.285797	0.650766	479.767705	183.232295	3.378006	0.640713	945
Trisp1|Trisp1_3832	Trisp1|Trisp1_254898	0.498386	4.239908	0.117546	980.794160	285.205840	1.729314	4.023839	1356
Trisp1|Trisp1_252803	Trisp1|Trisp1_190296	0.364265	4.336903	0.083992	1181.418429	324.581571	1.240961	3.661411	1581
Trisp1|Trisp1_201077	Trisp1|Trisp1_194909	0.700731	1.911604	0.366567	757.088986	268.911014	1.400945	3.054289	1224
Trisp1|Trisp1_183669	Trisp1|Trisp1_177228	0.522779	4.007689	0.130444	699.738376	209.261624	1.154891	3.975128	1065
Trisp1|Trisp1_237946	Trisp1|Trisp1_111596	0.677974	4.067997	0.166660	889.216576	226.783424	0.908954	4.100591	1203
Trisp1|Trisp1_4277	Trisp1|Trisp1_89998	0.665909	2.415868	0.275640	790.542874	256.457126	1.206400	3.283658	1212
Trisp1|Trisp1_4806	Trisp1|Trisp1_229008	0.694013	4.421691	0.156956	1394.569545	363.430455	1.210605	4.393901	2085
Trisp1|Trisp1_183147	Trisp1|Trisp1_220873	1.006971	2.038412	0.493998	1194.380857	374.619143	1.656699	3.759722	1809
Trisp1|Trisp1_237951	Trisp1|Trisp1_211491	0.745761	2.605289	0.286249	628.654558	190.345442	1.315881	3.533814	972
Trisp1|Trisp1_5300	Trisp1|Trisp1_239753	0.549118	2.857478	0.192169	544.286819	187.713181	2.066914	3.423213	744
Trisp1|Trisp1_5478	Trisp1|Trisp1_222998	0.268153	3.293390	0.081421	985.112915	295.887085	1.564104	2.900778	1299
Trisp1|Trisp1_237964	Trisp1|Trisp1_149711	0.318696	1.716029	0.185717	1138.606597	355.393403	1.714715	1.953284	1533
Trisp1|Trisp1_5687	Trisp1|Trisp1_241503	0.411055	3.473338	0.118346	496.435480	160.564520	1.463658	3.478343	876
