SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Corma2|Corma2_766423	Corma2|Corma2_643091	0.096626	0.180783	0.534486	406.983930	109.016070	2.754887	0.343218	972
Corma2|Corma2_725707	Corma2|Corma2_629587	0.781252	4.185445	0.186659	1054.771149	265.228851	1.635823	4.395779	1662
Corma2|Corma2_643684	Corma2|Corma2_694649	0.474595	3.788376	0.125277	527.795256	156.204744	1.303839	3.694084	891
Corma2|Corma2_712103	Corma2|Corma2_722753	0.588014	4.170043	0.141009	811.162244	259.837756	1.254223	4.371174	1416
Corma2|Corma2_686910	Corma2|Corma2_691899	0.631345	3.716664	0.169869	722.039098	141.960902	0.956632	3.414850	1311
Corma2|Corma2_686902	Corma2|Corma2_725854	0.665287	3.774709	0.176249	355.718659	94.281341	1.328554	3.950264	474
Corma2|Corma2_702299	Corma2|Corma2_683309	0.409198	4.297579	0.095216	1383.998398	308.001602	1.326327	3.351047	1866
Corma2|Corma2_152	Corma2|Corma2_698382	0.323033	4.294958	0.075212	1061.072647	306.927353	1.242268	3.642549	1410
Corma2|Corma2_719123	Corma2|Corma2_639500	0.582917	3.527378	0.165255	654.703629	110.296371	1.418105	3.022333	885
Corma2|Corma2_2178	Corma2|Corma2_640976	0.520645	4.134501	0.125927	874.188494	247.811506	1.469021	3.956467	1509
Corma2|Corma2_712114	Corma2|Corma2_646265	0.751715	4.137646	0.181677	1269.147166	248.852834	1.223890	3.920358	1653
Corma2|Corma2_620163	Corma2|Corma2_627689	0.823445	4.245680	0.193949	1056.590992	287.409008	1.164647	4.665829	1659
Corma2|Corma2_3967	Corma2|Corma2_695925	0.425751	3.673243	0.115906	694.024502	133.975498	1.235275	2.853645	906
Corma2|Corma2_665486	Corma2|Corma2_627251	0.780101	3.927556	0.198623	756.943646	188.056354	1.620477	4.219348	1146
Corma2|Corma2_766452	Corma2|Corma2_697262	0.539264	2.350070	0.229467	984.185897	278.814103	1.680739	2.817029	1395
Corma2|Corma2_4366	Corma2|Corma2_651134	0.473645	4.593537	0.103111	2116.985131	457.014869	1.244116	3.615402	3078
Corma2|Corma2_686992	Corma2|Corma2_640955	0.805507	3.693785	0.218071	825.304245	137.695755	1.448758	3.655474	1119
Corma2|Corma2_620323	Corma2|Corma2_494044	0.420610	3.842319	0.109468	1029.146324	167.853676	0.960719	2.701296	1233
Corma2|Corma2_719146	Corma2|Corma2_712198	0.456755	3.962068	0.115282	856.088013	196.911987	1.036224	3.336756	1404
Corma2|Corma2_686997	Corma2|Corma2_724277	0.990836	4.293676	0.230766	1157.597090	306.402910	1.288035	5.046277	1734
Corma2|Corma2_665531	Corma2|Corma2_252334	0.550029	3.960195	0.138889	913.579040	196.420960	1.309740	3.460432	1218
Corma2|Corma2_5534	Corma2|Corma2_30764	0.749021	1.480134	0.506050	3945.089420	1751.910580	1.285896	2.921547	19623
Corma2|Corma2_745574	Corma2|Corma2_740211	0.439425	2.359434	0.186242	866.482802	231.517198	1.306905	2.532798	1143
Corma2|Corma2_766485	Corma2|Corma2_716744	0.612887	4.118186	0.148825	1014.521164	242.478836	1.203382	3.867207	1455
Corma2|Corma2_734577	Corma2|Corma2_685599	0.859727	4.621688	0.186020	1655.505134	474.494866	1.015340	5.093310	2550
Corma2|Corma2_687037	Corma2|Corma2_688823	0.835019	4.580798	0.182287	1680.682196	449.317804	1.395918	4.875543	4104
Corma2|Corma2_745583	Corma2|Corma2_698099	0.848524	2.818777	0.301026	1130.767499	348.232501	1.509203	3.937268	1689
Corma2|Corma2_620121	Corma2|Corma2_465475	0.518980	3.837822	0.135228	1039.149889	166.850111	1.217432	2.934426	1287
Corma2|Corma2_6779	Corma2|Corma2_775451	0.560268	3.768902	0.148656	762.798984	152.201016	1.152992	3.281977	1125
Corma2|Corma2_702403	Corma2|Corma2_367166	0.624849	99.000000	0.006312	867.131461	131.868539	1.039916	40.831266	1125
Corma2|Corma2_7263	Corma2|Corma2_715868	0.522725	5.202755	0.100471	3332.316242	1029.683758	1.547485	4.882447	4620
Corma2|Corma2_7764	Corma2|Corma2_630037	0.510109	3.956556	0.128927	1328.529853	195.470147	1.317104	2.856463	1653
Corma2|Corma2_766511	Corma2|Corma2_670035	0.879957	2.262662	0.388904	2155.663831	751.336169	1.796048	3.711984	4056
Corma2|Corma2_8164	Corma2|Corma2_691594	0.841245	4.051704	0.207627	873.089847	221.910153	1.302159	4.475607	1404
Corma2|Corma2_745663	Corma2|Corma2_711945	0.332329	0.827529	0.401592	627.443008	137.556992	1.406784	1.264117	840
Corma2|Corma2_9063	Corma2|Corma2_701897	0.302021	1.379414	0.218949	931.412553	310.587447	1.995302	1.714336	1272
Corma2|Corma2_9271	Corma2|Corma2_758484	0.372665	1.830071	0.203634	2425.512099	793.487901	1.702260	2.195753	3681
Corma2|Corma2_687099	Corma2|Corma2_394284	0.839159	4.198455	0.199873	1128.130036	269.869964	1.569853	4.462914	1905
Corma2|Corma2_9582	Corma2|Corma2_635053	0.599016	3.551788	0.168652	768.054854	113.945146	1.525261	2.941449	1059
Corma2|Corma2_598480	Corma2|Corma2_464983	0.521286	3.719726	0.140141	535.458322	142.541678	1.089778	3.581164	939
Corma2|Corma2_643863	Corma2|Corma2_732595	0.650114	3.887116	0.167248	979.815179	178.184821	0.958172	3.444603	1377
Corma2|Corma2_10637	Corma2|Corma2_694808	0.536603	3.928777	0.136583	1080.637237	188.362763	1.536226	3.120351	1509
Corma2|Corma2_687121	Corma2|Corma2_700333	0.673153	3.782381	0.177971	574.038814	154.961186	1.493399	4.002214	933
Corma2|Corma2_687124	Corma2|Corma2_655413	0.633431	4.129462	0.153393	950.848044	246.151956	1.285194	4.057072	1401
Corma2|Corma2_11243	Corma2|Corma2_747222	0.446981	3.684197	0.121324	671.053413	135.946587	1.347752	2.976959	840
Corma2|Corma2_12024	Corma2|Corma2_688546	0.526806	3.370141	0.156316	4001.783500	1152.216500	1.434194	3.487367	6804
Corma2|Corma2_620316	Corma2|Corma2_638811	0.489279	4.225446	0.115794	1319.241008	279.758992	1.424737	3.428863	1794
Corma2|Corma2_734655	Corma2|Corma2_695659	0.775292	5.013393	0.154644	1391.504337	396.495663	1.538754	5.145321	2571
Corma2|Corma2_752250	Corma2|Corma2_738917	0.673038	4.460921	0.150874	1429.053904	382.946096	1.822525	4.420696	3918
Corma2|Corma2_702463	Corma2|Corma2_697369	0.615424	4.452909	0.138207	1523.122662	378.877338	1.490835	4.139546	2214
Corma2|Corma2_202770	Corma2|Corma2_209189	0.646708	3.788359	0.170709	668.798711	156.201289	1.080414	3.724597	1095
Corma2|Corma2_687202	Corma2|Corma2_651621	0.523189	4.260162	0.122810	888.987159	293.012841	1.052461	4.348706	1308
Corma2|Corma2_620555	Corma2|Corma2_741359	0.442564	99.000000	0.004470	365.337788	60.662212	0.932561	43.431297	468
Corma2|Corma2_687233	Corma2|Corma2_692933	0.710234	4.542150	0.156365	1775.249362	426.750638	1.170721	4.358593	2649
Corma2|Corma2_644012	Corma2|Corma2_733342	0.415375	3.902913	0.106427	1060.022415	181.977585	1.222493	2.779105	1287
Corma2|Corma2_687257	Corma2|Corma2_641635	0.291990	1.731356	0.168648	205.922262	70.077738	1.398032	1.972356	411
Corma2|Corma2_620572	Corma2|Corma2_621364	0.692766	4.435383	0.156191	1735.873700	370.126300	1.524689	4.051576	2514
Corma2|Corma2_206062	Corma2|Corma2_310928	0.492799	3.967149	0.124220	818.749263	198.250737	1.605151	3.510232	1185
Corma2|Corma2_206297	Corma2|Corma2_621460	0.469302	3.926804	0.119512	868.132224	187.867776	1.184777	3.253228	1071
Corma2|Corma2_206759	Corma2|Corma2_135375	0.715884	4.380290	0.163433	1510.087597	343.912403	1.156757	4.186866	3048
Corma2|Corma2_206900	Corma2|Corma2_740906	0.523030	4.512082	0.115918	1945.019785	409.980215	1.363481	3.652444	2811
Corma2|Corma2_687301	Corma2|Corma2_699824	0.621594	3.968342	0.156638	899.433907	198.566093	1.203647	3.680494	1167
Corma2|Corma2_207214	Corma2|Corma2_171907	0.696945	3.836513	0.181661	577.440913	166.559087	1.004210	4.199398	900
Corma2|Corma2_304944	Corma2|Corma2_693561	0.769950	4.422636	0.174093	1490.111534	363.888466	1.258813	4.460611	3231
Corma2|Corma2_305065	Corma2|Corma2_697675	0.651919	4.106692	0.158746	799.208867	238.791133	1.263369	4.340061	1449
Corma2|Corma2_719281	Corma2|Corma2_36422	0.577200	3.864858	0.149346	952.025532	172.974468	1.072013	3.248082	1431
Corma2|Corma2_305103	Corma2|Corma2_691522	0.540228	4.194143	0.128805	1270.677065	268.322935	0.957876	3.531851	2640
Corma2|Corma2_305746	Corma2|Corma2_775407	0.453080	4.521141	0.100214	1487.037835	414.962165	1.456675	4.021843	2238
Corma2|Corma2_305211	Corma2|Corma2_678703	0.536928	3.830432	0.140174	881.785929	165.214071	1.206226	3.169905	1446
Corma2|Corma2_756442	Corma2|Corma2_451291	0.510158	3.895878	0.130948	971.721186	180.278814	1.457880	3.119989	1755
Corma2|Corma2_756448	Corma2|Corma2_712319	0.279308	3.689917	0.075695	601.012611	136.987389	0.912154	2.737154	792
Corma2|Corma2_712285	Corma2|Corma2_670410	0.630343	4.591702	0.137279	1671.101738	455.898262	1.303052	4.438246	2778
Corma2|Corma2_725957	Corma2|Corma2_648809	0.523691	1.981760	0.264255	948.026428	239.973572	1.925212	2.454653	1278
Corma2|Corma2_620629	Corma2|Corma2_716996	0.355882	4.292184	0.082914	1143.205865	305.794135	1.039433	3.559773	1611
Corma2|Corma2_687380	Corma2|Corma2_482529	0.801797	3.372463	0.237748	2414.593393	684.406607	1.420022	4.108566	4293
Corma2|Corma2_756491	Corma2|Corma2_693778	0.613669	99.000000	0.006199	857.608887	138.391113	1.422366	42.852433	1098
Corma2|Corma2_719310	Corma2|Corma2_701283	0.507496	4.069275	0.124714	693.829720	227.170280	1.526720	4.158091	1059
Corma2|Corma2_619522	Corma2|Corma2_660617	0.481531	3.801244	0.126677	579.092102	158.907898	1.468965	3.589018	780
Corma2|Corma2_687388	Corma2|Corma2_690846	0.604719	3.526178	0.171494	696.880014	110.119986	1.245354	3.010109	918
Corma2|Corma2_687390	Corma2|Corma2_490153	0.801257	4.281387	0.187149	1381.576552	301.423448	1.206894	4.273634	2079
Corma2|Corma2_687394	Corma2|Corma2_340992	0.248250	1.567248	0.158399	266.800188	102.199812	4.108333	1.840696	3906
Corma2|Corma2_308225	Corma2|Corma2_96810	0.628260	4.405203	0.142618	1429.472098	355.527902	1.230449	4.141602	2205
Corma2|Corma2_307300	Corma2|Corma2_747381	0.432801	4.543306	0.095261	1642.591265	427.408735	1.279720	3.844584	2160
Corma2|Corma2_725989	Corma2|Corma2_688948	0.472566	4.143915	0.114039	1150.058468	250.941532	1.275264	3.390491	1998
Corma2|Corma2_308440	Corma2|Corma2_707862	0.571897	3.744007	0.152750	1654.975480	478.024520	1.681090	3.848387	4596
Corma2|Corma2_725994	Corma2|Corma2_702159	0.357469	99.000000	0.003611	427.270580	79.729420	0.827410	47.609163	831
Corma2|Corma2_687405	Corma2|Corma2_662843	0.549595	5.288900	0.103915	3995.986817	1155.013183	1.308594	4.836880	7359
Corma2|Corma2_687407	Corma2|Corma2_688026	0.510547	1.715768	0.297562	644.007166	231.992834	2.088070	2.489183	7743
Corma2|Corma2_308875	Corma2|Corma2_700658	0.950640	2.339801	0.406291	680.139219	240.860781	1.639455	3.941803	1323
Corma2|Corma2_620659	Corma2|Corma2_694976	1.013475	2.284797	0.443573	708.171329	227.828671	1.508749	3.968771	1038
Corma2|Corma2_687422	Corma2|Corma2_694064	0.697874	4.427628	0.157618	1220.681058	366.318942	1.357796	4.676380	1776
Corma2|Corma2_687435	Corma2|Corma2_714438	0.370525	3.096166	0.119672	333.932570	62.067430	0.785813	2.393193	957
Corma2|Corma2_644275	Corma2|Corma2_708494	0.283065	4.200940	0.067381	1211.234405	270.765595	1.277046	2.996617	1500
Corma2|Corma2_702643	Corma2|Corma2_715431	0.358302	4.400531	0.081422	1725.679874	353.320126	1.076326	3.135801	2190
Corma2|Corma2_687441	Corma2|Corma2_706056	0.538099	99.000000	0.005435	330.689424	59.310576	0.995817	46.536081	453
Corma2|Corma2_309924	Corma2|Corma2_773436	0.980175	4.423459	0.221586	1162.711661	364.288339	1.418141	5.404862	2187
Corma2|Corma2_702651	Corma2|Corma2_673062	0.439308	3.241340	0.135533	416.676929	75.323071	0.672618	2.604862	540
Corma2|Corma2_310308	Corma2|Corma2_662699	0.416545	3.341565	0.124656	384.907717	86.092283	1.615530	2.853594	747
Corma2|Corma2_620801	Corma2|Corma2_722269	0.714028	4.734902	0.150801	1794.190750	551.809250	1.174964	4.979367	4053
Corma2|Corma2_734894	Corma2|Corma2_743850	0.694157	3.824486	0.181503	622.090433	163.909567	1.471014	4.040833	864
Corma2|Corma2_687484	Corma2|Corma2_700161	0.586395	3.572337	0.164149	617.889676	117.110324	1.386101	3.186470	975
Corma2|Corma2_687486	Corma2|Corma2_674243	0.639624	3.840542	0.166545	708.543767	167.456233	1.601231	3.754536	2100
Corma2|Corma2_687498	Corma2|Corma2_692227	0.581148	4.090777	0.142063	1059.222662	233.777338	1.156784	3.647090	2274
Corma2|Corma2_734913	Corma2|Corma2_734898	0.725977	3.743820	0.193913	662.804817	147.195183	1.124671	3.823161	1473
Corma2|Corma2_759241	Corma2|Corma2_725582	0.567209	4.206456	0.134843	1278.235768	272.764232	1.565810	3.621659	1608
Corma2|Corma2_620881	Corma2|Corma2_716703	0.125244	0.320053	0.391323	558.068575	191.931425	3.306180	0.525292	807
Corma2|Corma2_687516	Corma2|Corma2_703589	0.607910	4.177540	0.145519	1279.552022	262.447978	1.214330	3.646379	2247
Corma2|Corma2_620776	Corma2|Corma2_553812	0.726173	4.211929	0.172409	1084.238077	274.761923	1.722596	4.292764	1548
Corma2|Corma2_687522	Corma2|Corma2_744942	0.052667	0.030483	1.727734	108.637570	50.362430	4.600000	0.136921	309
Corma2|Corma2_759262	Corma2|Corma2_604423	0.493328	3.631306	0.135854	814.033625	220.966375	2.002940	3.489802	1179
Corma2|Corma2_726074	Corma2|Corma2_697507	0.523063	3.671128	0.142480	538.401770	133.598230	1.767696	3.446760	912
Corma2|Corma2_666161	Corma2|Corma2_709135	0.900176	4.498153	0.200121	1346.563267	402.436733	1.023823	5.184161	2280
Corma2|Corma2_719384	Corma2|Corma2_105721	0.599130	2.703748	0.221593	903.799300	281.200700	2.270380	3.295670	1398
Corma2|Corma2_712377	Corma2|Corma2_765591	0.634459	3.797260	0.167083	585.933984	158.066016	1.356263	3.919230	816
Corma2|Corma2_687538	Corma2|Corma2_702353	0.745967	3.952856	0.188716	840.491822	194.508178	1.101145	4.045919	3780
Corma2|Corma2_687539	Corma2|Corma2_700871	0.458004	2.940303	0.155768	360.579198	50.420802	1.466475	2.287586	555
Corma2|Corma2_666167	Corma2|Corma2_595274	0.543612	4.094743	0.132759	931.982988	235.017012	1.780213	3.776277	1287
Corma2|Corma2_734944	Corma2|Corma2_633634	0.459637	2.258975	0.203472	1801.552723	562.447277	1.906343	2.663217	2529
Corma2|Corma2_380193	Corma2|Corma2_736239	0.454625	1.473560	0.308521	823.067538	253.932462	1.646818	2.084600	1695
Corma2|Corma2_380513	Corma2|Corma2_105842	0.698010	4.724851	0.147732	1837.536332	544.463668	1.157528	4.855325	2973
Corma2|Corma2_702722	Corma2|Corma2_667797	0.710576	4.245454	0.167374	1029.677512	287.322488	1.005428	4.445282	1551
Corma2|Corma2_687587	Corma2|Corma2_693429	0.801024	2.527192	0.316962	941.330406	303.669594	1.215699	3.666167	1872
Corma2|Corma2_383290	Corma2|Corma2_640755	0.604425	3.804371	0.158877	920.428132	159.571868	1.427330	3.231668	1329
Corma2|Corma2_687602	Corma2|Corma2_775296	0.329089	4.239805	0.077619	1316.833623	285.166377	1.398234	3.075665	1683
Corma2|Corma2_759335	Corma2|Corma2_641253	0.351676	4.481607	0.078471	1478.344756	393.655244	1.403545	3.660427	1932
Corma2|Corma2_687604	Corma2|Corma2_693570	0.293639	3.838501	0.076498	606.998704	167.001296	1.386181	3.175478	783
Corma2|Corma2_766860	Corma2|Corma2_406578	0.976361	2.239064	0.436058	1058.505288	381.494712	1.529733	3.932654	1680
Corma2|Corma2_620884	Corma2|Corma2_606194	0.506182	2.686857	0.188392	1182.732684	341.267316	1.701177	2.983492	1803
Corma2|Corma2_687614	Corma2|Corma2_85278	0.857972	4.401465	0.194929	1323.239672	353.760328	1.539966	4.816397	2106
Corma2|Corma2_687623	Corma2|Corma2_737094	0.114295	3.089361	0.036996	881.813018	189.186982	1.342488	1.919478	1113
Corma2|Corma2_687757	Corma2|Corma2_302537	0.717844	3.241898	0.221427	512.608506	138.391494	1.685139	3.763246	1056
Corma2|Corma2_615718	Corma2|Corma2_618147	0.595267	4.236595	0.140506	1318.051459	283.948541	1.042814	3.722036	1989
Corma2|Corma2_687773	Corma2|Corma2_688022	0.371179	4.144706	0.089555	1107.793782	251.206218	1.144293	3.206106	1392
