SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Fgra|FG11239.1	Fgra|FG09232.1	0.476004	3.923621	0.121318	616.927768	187.072232	0.994036	3.834556	2220
Fgra|FG11240.1	Fgra|FG03882.1	0.524153	3.384789	0.154856	3195.130785	1112.869215	1.591820	3.789392	4485
Fgra|FG11241.1	Fgra|FG09212.1	0.378626	4.572107	0.082812	1355.858461	444.141539	1.578193	4.240044	1893
Fgra|FG11243.1	Fgra|FG02929.1	0.623961	2.284004	0.273187	630.234413	212.765587	1.492354	3.128822	1431
Fgra|FG11244.1	Fgra|FG11245.1	0.751966	4.467313	0.168326	1308.775829	386.224171	1.188067	4.795645	2484
Fgra|FG11246.1	Fgra|FG11248.1	0.572698	2.019035	0.283650	623.978804	225.021196	1.805237	2.868118	921
Fgra|FG11247.1	Fgra|FG04857.1	0.726319	2.423942	0.299644	1030.535968	349.464032	1.447012	3.468648	4101
Fgra|FG11249.1	Fgra|FG02147.1	0.522858	4.181512	0.125040	957.158134	263.841866	1.586831	3.940334	1323
Fgra|FG11250.1	Fgra|FG04055.1	0.677639	2.213917	0.306082	1172.385774	411.614226	1.382225	3.230556	1623
Fgra|FG11252.1	Fgra|FG01664.1	0.647295	4.347758	0.148880	1098.686165	329.313835	1.202894	4.501999	1641
Fgra|FG11256.1	Fgra|FG07663.1	0.915615	1.744143	0.524965	765.935230	278.064770	1.845916	3.408869	1293
Fgra|FG11258.1	Fgra|FG03455.1	0.774506	2.788933	0.277707	516.074114	170.925886	0.910476	3.827089	861
Fgra|FG11259.1	Fgra|FG04802.1	0.938619	4.545442	0.206497	1404.371953	428.628047	1.307848	5.346112	2367
Fgra|FG11260.1	Fgra|FG07501.1	0.647831	3.971226	0.163131	592.668706	199.331294	1.073760	4.452799	813
Fgra|FG11261.1	Fgra|FG11554.1	0.468069	3.601096	0.129980	1176.402913	356.597087	1.455895	3.590564	1713
Fgra|FG11263.1	Fgra|FG01905.1	0.557605	2.465903	0.226126	502.901216	196.098784	1.339090	3.278888	771
Fgra|FG11264.1	Fgra|FG03577.1	0.384521	4.463684	0.086144	1280.640268	384.359732	1.637674	3.978548	1908
Fgra|FG11267.1	Fgra|FG05753.1	0.600390	4.362774	0.137617	1155.026560	335.973440	1.405382	4.344552	1812
Fgra|FG11268.1	Fgra|FG07935.1	0.731127	4.654563	0.157077	6986.306610	2271.693390	1.376475	5.081535	10284
Fgra|FG11269.1	Fgra|FG01830.1	0.558302	2.156740	0.258864	494.269838	162.730162	1.378209	2.862641	738
Fgra|FG11270.1	Fgra|FG09121.1	0.674462	4.411224	0.152897	1393.606498	358.393502	1.000950	4.316590	1911
Fgra|FG11271.1	Fgra|FG11216.1	0.967486	2.118576	0.456668	1403.047865	459.952135	1.401320	3.755028	2190
Fgra|FG11272.1	Fgra|FG09329.1	0.290880	5.162667	0.056343	3367.908835	976.091165	1.270962	4.156693	4473
Fgra|FG11274.1	Fgra|FG03516.1	0.329900	1.714395	0.192430	1029.068423	371.931577	1.534840	2.092350	1446
Fgra|FG11275.1	Fgra|FG09701.1	0.699102	2.875820	0.243096	1297.557733	421.442267	1.576938	3.698285	1776
