Hwer|HWER_00043-R0	GH18.hmm  	3.3e-87	3	288	7	361	0.962837837837838
Hwer|HWER_00071-R0	GH47.hmm  	1.1e-170	3	446	86	710	0.993273542600897
Hwer|HWER_00105-R0	AA3.hmm  	3.3e-79	86	401	26	641	0.509708737864078
Hwer|HWER_00112-R0	GH32.hmm  	1.1e-59	9	287	1	352	0.948805460750853
Hwer|HWER_00118-R0	CE10.hmm  	1.5e-26	75	179	125	260	0.304985337243402
Hwer|HWER_00133-R0	GH3.hmm  	1.5e-57	4	216	111	331	0.981481481481482
Hwer|HWER_00139-R0	GH95.hmm  	3.1e-202	7	705	21	770	0.966759002770083
Hwer|HWER_00164-R0	GH47.hmm  	1.3e-150	16	446	2	469	0.964125560538117
Hwer|HWER_00191-R0	GH5.hmm  	2.4e-25	4	238	15	550	0.850909090909091
Hwer|HWER_00203-R0	GH16.hmm  	5.2e-16	21	176	69	320	0.82010582010582
Hwer|HWER_00223-R0	GH16.hmm  	4e-24	12	176	43	226	0.867724867724868
Hwer|HWER_00236-R0	CE10.hmm  	1.6e-29	67	186	137	277	0.348973607038123
Hwer|HWER_00268-R0	PL9.hmm  	3e-90	65	370	48	367	0.815508021390374
Hwer|HWER_00270-R0	GH43.hmm  	5.3e-36	7	245	26	319	0.959677419354839
Hwer|HWER_00274-R0	GH28.hmm  	1.3e-71	9	318	84	432	0.950769230769231
Hwer|HWER_00282-R0	GT32.hmm  	1.6e-20	5	87	91	168	0.911111111111111
Hwer|HWER_00284-R0	GH28.hmm  	1.6e-50	86	323	223	495	0.729230769230769
Hwer|HWER_00291-R0	GT33.hmm  	9.5e-155	2	423	77	482	0.990588235294118
Hwer|HWER_00297-R0	GH128.hmm  	3.5e-68	4	224	47	272	0.982142857142857
Hwer|HWER_00320-R0	GT24.hmm  	9.6e-134	1	248	1242	1489	0.995967741935484
Hwer|HWER_00371-R0	GH109.hmm  	4.3e-07	48	120	39	113	0.571428571428571
Hwer|HWER_00380-R0	CE1.hmm  	7.6e-11	5	153	170	309	0.651982378854626
Hwer|HWER_00419-R0	GT31.hmm  	8.5e-07	35	115	130	212	0.416666666666667
Hwer|HWER_00426-R0	AA3.hmm  	1e-86	88	413	5	651	0.52588996763754
Hwer|HWER_00433-R0	GT1.hmm  	1.4e-56	5	379	927	1340	0.979057591623037
