SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Conco1|Conco1_2920	Conco1|Conco1_55030	0.462794	5.933570	0.077996	521.841548	129.158452	1.427438	4.644590	1467
Conco1|Conco1_2918	Conco1|Conco1_35048	0.149390	1.831409	0.081571	1142.696134	288.303866	1.637581	1.464799	1470
Conco1|Conco1_22490	Conco1|Conco1_2911	0.053078	0.216375	0.245305	1006.151153	310.848847	3.678364	0.274862	1467
Conco1|Conco1_2910	Conco1|Conco1_15310	0.115272	1.366908	0.084331	1687.591340	394.408660	2.348476	1.057137	2082
Conco1|Conco1_24002	Conco1|Conco1_166840	0.726199	3.797695	0.191221	636.842285	158.157715	1.344391	4.011733	1254
Conco1|Conco1_2892	Conco1|Conco1_2883	0.531321	3.918409	0.135596	924.223223	185.776777	1.443540	3.294617	1341
Conco1|Conco1_35047	Conco1|Conco1_80864	0.548459	3.702124	0.148147	754.764632	139.235368	1.301416	3.118872	1116
Conco1|Conco1_15286	Conco1|Conco1_15021	0.902275	4.222259	0.213695	1239.427475	278.572525	1.197139	4.534604	1707
Conco1|Conco1_29205	Conco1|Conco1_33044	0.455314	99.000000	0.004599	268.427037	52.572963	0.832276	49.784504	327
Conco1|Conco1_2870	Conco1|Conco1_77390	0.604354	1.300493	0.464711	479.044938	141.955062	1.853076	2.290455	747
Conco1|Conco1_77389	Conco1|Conco1_79941	0.788521	3.504753	0.224986	528.981318	107.018682	1.646883	3.736730	807
Conco1|Conco1_15274	Conco1|Conco1_11121	0.457286	2.269893	0.201457	474.908841	137.091159	1.320034	2.589957	1011
Conco1|Conco1_77380	Conco1|Conco1_44638	0.221515	3.545716	0.062474	755.828779	195.171221	1.259104	2.711195	1095
Conco1|Conco1_137600	Conco1|Conco1_137577	0.218999	1.546775	0.141584	1287.325121	293.674879	2.221777	1.396911	2979
Conco1|Conco1_83423	Conco1|Conco1_116478	0.824186	1.497223	0.550476	1203.714202	356.285798	2.538014	2.933699	1692
Conco1|Conco1_34833	Conco1|Conco1_77757	0.556364	4.973226	0.111872	3162.784346	758.215654	1.548691	4.231397	4578
Conco1|Conco1_77369	Conco1|Conco1_72400	0.571947	4.568722	0.125187	1612.858582	442.141418	1.410198	4.295607	2259
Conco1|Conco1_67931	Conco1|Conco1_62454	0.510898	2.198605	0.232374	807.167381	194.832619	1.932867	2.517186	1389
Conco1|Conco1_2814	Conco1|Conco1_69303	0.692776	2.899772	0.238907	941.471942	237.528058	2.180545	3.412229	1320
Conco1|Conco1_2800	Conco1|Conco1_2783	0.559559	3.617252	0.154692	559.662153	124.337847	1.190819	3.346164	780
Conco1|Conco1_34832	Conco1|Conco1_46846	0.431562	3.956632	0.109073	854.510034	195.489966	1.140321	3.263589	1062
Conco1|Conco1_127826	Conco1|Conco1_83477	0.674716	1.988400	0.339326	803.301346	195.698654	1.359501	2.796178	1011
Conco1|Conco1_2787	Conco1|Conco1_10169	0.182522	0.581322	0.313977	1175.541643	363.458357	5.564977	0.830114	1650
Conco1|Conco1_77339	Conco1|Conco1_15188	0.720351	4.340763	0.165950	1335.743539	326.256461	0.924681	4.293151	1734
Conco1|Conco1_77336	Conco1|Conco1_77332	0.654072	4.348048	0.150429	1326.558899	329.441101	1.680483	4.166832	1758
Conco1|Conco1_2764	Conco1|Conco1_80795	0.538934	3.971395	0.135704	880.623865	199.376135	1.455514	3.517776	1116
Conco1|Conco1_34890	Conco1|Conco1_82293	0.535450	3.412356	0.156915	364.385773	94.614227	1.317501	3.385411	684
Conco1|Conco1_67889	Conco1|Conco1_67886	0.170242	2.173695	0.078319	277.350930	76.649070	4.335280	1.812104	354
