SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ilysp1|Ilysp1_1612577	Ilysp1|Ilysp1_1465494	0.812334	4.333144	0.187470	1420.041123	322.958877	1.203232	4.394104	2121
Ilysp1|Ilysp1_846786	Ilysp1|Ilysp1_1725581	0.472460	4.417232	0.106958	1339.723600	361.276400	1.130548	3.930877	1794
Ilysp1|Ilysp1_1741813	Ilysp1|Ilysp1_1729186	0.350374	1.697869	0.206361	633.405515	236.594485	1.860745	2.150467	1131
Ilysp1|Ilysp1_1781342	Ilysp1|Ilysp1_1826255	0.465446	4.278820	0.108779	1118.606574	300.393426	1.779166	3.818141	1437
Ilysp1|Ilysp1_1476456	Ilysp1|Ilysp1_1464735	1.019457	3.012178	0.338445	2678.037374	891.962626	1.472619	4.552012	4554
Ilysp1|Ilysp1_1723807	Ilysp1|Ilysp1_1579721	0.424184	3.817908	0.111104	857.521717	162.478283	1.415707	2.894335	1047
Ilysp1|Ilysp1_1612388	Ilysp1|Ilysp1_1720598	0.926917	2.008336	0.461535	865.179934	286.820066	1.592801	3.588493	1434
Ilysp1|Ilysp1_1612371	Ilysp1|Ilysp1_1495804	0.608577	1.912068	0.318282	627.965713	218.034287	1.198203	2.833553	930
Ilysp1|Ilysp1_846319	Ilysp1|Ilysp1_1869428	0.914595	3.966883	0.230558	650.819798	198.180202	1.135020	4.881250	1941
Ilysp1|Ilysp1_1809224	Ilysp1|Ilysp1_1533478	0.506182	5.078841	0.099665	948.188019	320.811981	1.501603	4.986546	1362
Ilysp1|Ilysp1_1838424	Ilysp1|Ilysp1_1743068	0.568830	4.459619	0.127551	1315.717845	382.282155	1.334850	4.334369	1755
Ilysp1|Ilysp1_1475593	Ilysp1|Ilysp1_1737834	0.375323	4.299305	0.087299	1212.288487	308.711513	1.826588	3.515277	1611
Ilysp1|Ilysp1_1723792	Ilysp1|Ilysp1_1531037	0.696931	6.178539	0.112799	552.065123	173.934877	1.131971	6.030639	798
Ilysp1|Ilysp1_1887034	Ilysp1|Ilysp1_1739997	0.340990	3.214784	0.106069	1559.347531	483.652469	2.112616	3.063966	2076
Ilysp1|Ilysp1_1612337	Ilysp1|Ilysp1_1480653	0.409373	4.609100	0.088819	1567.402629	466.597371	1.266626	4.118358	2247
Ilysp1|Ilysp1_1741798	Ilysp1|Ilysp1_1778869	0.275314	2.111509	0.130387	1156.994102	412.005898	1.812646	2.272450	1602
Ilysp1|Ilysp1_1522921	Ilysp1|Ilysp1_1758130	0.239156	4.198837	0.056958	1055.992500	270.007500	0.842223	3.136344	1347
Ilysp1|Ilysp1_1809208	Ilysp1|Ilysp1_1890282	0.281300	4.250027	0.066188	985.920325	289.079675	1.312516	3.543377	1287
