SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Ascim1|Ascim1_199821	Ascim1|Ascim1_3586	0.339352	3.975898	0.085352	603.423183	200.576817	1.612263	3.739723	3300
Ascim1|Ascim1_3605	Ascim1|Ascim1_80507	0.683340	4.987440	0.137012	2377.277704	772.722296	1.367359	5.217519	3702
Ascim1|Ascim1_3606	Ascim1|Ascim1_384782	0.451345	4.146558	0.108848	792.172723	251.827277	1.345484	4.028044	2883
Ascim1|Ascim1_413426	Ascim1|Ascim1_413427	0.692182	5.023817	0.137780	2560.874805	811.125195	1.503121	5.202435	4938
Ascim1|Ascim1_320034	Ascim1|Ascim1_329284	0.080082	1.177579	0.068006	139.018816	28.981184	1.682105	0.808224	189
Ascim1|Ascim1_303843	Ascim1|Ascim1_333813	0.488134	1.274919	0.382874	640.625812	220.374188	2.260415	2.068538	1119
Ascim1|Ascim1_360282	Ascim1|Ascim1_376979	0.661516	3.851653	0.171749	872.743173	270.256827	1.368429	4.247427	1395
Ascim1|Ascim1_323592	Ascim1|Ascim1_340139	0.077281	0.158858	0.486477	812.716529	294.283471	2.712716	0.296902	1269
Ascim1|Ascim1_323593	Ascim1|Ascim1_340140	0.033227	0.134883	0.246343	908.215725	351.784275	3.177554	0.184827	1260
Ascim1|Ascim1_205901	Ascim1|Ascim1_222115	0.000000	0.010843	0.000010	453.172659	185.827341	4.600000	0.009460	639
Ascim1|Ascim1_360284	Ascim1|Ascim1_323597	0.712857	1.362491	0.523202	440.252232	159.747768	2.710485	2.657459	750
Ascim1|Ascim1_303853	Ascim1|Ascim1_414873	0.372417	3.022019	0.123235	354.406515	89.593485	1.347703	2.721219	453
Ascim1|Ascim1_303866	Ascim1|Ascim1_340771	0.546804	1.869557	0.292478	1030.066497	349.933503	2.021503	2.646662	1473
Ascim1|Ascim1_413440	Ascim1|Ascim1_415777	0.870244	2.766988	0.314510	1048.276820	295.723180	1.599046	3.862766	1692
Ascim1|Ascim1_375003	Ascim1|Ascim1_210123	0.877757	1.855474	0.473063	781.158377	265.841623	1.321384	3.378021	1659
Ascim1|Ascim1_203943	Ascim1|Ascim1_421503	0.301994	3.755796	0.080407	552.435500	149.564500	1.638299	3.113528	1227
Ascim1|Ascim1_413441	Ascim1|Ascim1_219937	0.606213	4.220827	0.143624	1116.958790	278.041210	1.066587	3.979955	1599
Ascim1|Ascim1_413450	Ascim1|Ascim1_417435	0.710142	4.354069	0.163099	1221.903491	332.096509	1.208039	4.466596	1701
Ascim1|Ascim1_4207	Ascim1|Ascim1_142799	0.807255	1.919497	0.420555	672.165946	257.834054	1.774486	3.346842	1572
Ascim1|Ascim1_323632	Ascim1|Ascim1_318404	0.411154	4.275238	0.096171	1189.037669	298.962331	1.119541	3.562527	2502
Ascim1|Ascim1_222825	Ascim1|Ascim1_322930	0.959130	4.149378	0.231150	803.223776	252.776224	1.443154	5.168352	1242
Ascim1|Ascim1_206113	Ascim1|Ascim1_351594	0.618713	4.644155	0.133224	1611.076203	488.923797	1.081264	4.667759	4194
Ascim1|Ascim1_413467	Ascim1|Ascim1_415439	0.798631	4.125481	0.193585	820.150929	244.849071	1.343991	4.690474	1206
Ascim1|Ascim1_375033	Ascim1|Ascim1_303988	0.960104	1.920464	0.499933	876.943561	284.056439	1.462298	3.585212	1434
Ascim1|Ascim1_4627	Ascim1|Ascim1_228392	0.611314	4.331538	0.141131	1327.731850	322.268150	1.220299	4.013778	2136
Ascim1|Ascim1_4668	Ascim1|Ascim1_361957	0.465571	1.506808	0.308978	647.235644	222.764356	1.338313	2.196542	1086
Ascim1|Ascim1_205225	Ascim1|Ascim1_211953	0.053665	0.709678	0.075618	957.293862	311.706138	4.220274	0.644406	1497
Ascim1|Ascim1_206100	Ascim1|Ascim1_413929	0.311900	2.105517	0.148135	1260.732295	422.267705	1.185172	2.285766	2394
Ascim1|Ascim1_323667	Ascim1|Ascim1_211933	0.879167	3.692877	0.238071	1589.688204	501.311796	1.078951	4.661239	2901
Ascim1|Ascim1_323683	Ascim1|Ascim1_248328	0.346564	2.116435	0.163749	1033.945039	415.054961	1.607357	2.560590	1497
Ascim1|Ascim1_413492	Ascim1|Ascim1_324606	0.825829	5.056958	0.163305	2830.228886	847.771114	1.388057	5.403286	4941
Ascim1|Ascim1_320063	Ascim1|Ascim1_99342	0.977915	2.436561	0.401350	1097.038664	393.961336	1.255803	4.089982	1947
Ascim1|Ascim1_205877	Ascim1|Ascim1_207284	0.448308	3.943167	0.113692	752.988267	192.011733	0.888285	3.475254	1005
Ascim1|Ascim1_413511	Ascim1|Ascim1_417539	0.783004	2.061199	0.379878	1258.171581	373.828419	1.657637	3.227368	3363
Ascim1|Ascim1_236225	Ascim1|Ascim1_217823	0.149725	3.741275	0.040020	549.303308	146.696692	1.076694	2.720161	780
Ascim1|Ascim1_5424	Ascim1|Ascim1_418095	0.771856	2.792417	0.276411	742.534312	235.465688	1.048363	3.774994	1089
Ascim1|Ascim1_413523	Ascim1|Ascim1_309523	0.602652	2.312945	0.260556	774.702061	203.297939	1.496921	2.874519	1089
Ascim1|Ascim1_340923	Ascim1|Ascim1_374813	0.352137	4.141688	0.085023	961.802346	250.197654	1.192483	3.403285	1461
Ascim1|Ascim1_340928	Ascim1|Ascim1_376595	0.564253	3.971010	0.142093	907.726052	199.273948	1.246104	3.532538	1275
Ascim1|Ascim1_323731	Ascim1|Ascim1_325885	0.741332	4.518079	0.164081	1242.728368	413.271632	1.041602	5.051574	1890
Ascim1|Ascim1_413532	Ascim1|Ascim1_171959	0.332767	3.736572	0.089057	745.220347	145.779653	1.164849	2.669027	1008
Ascim1|Ascim1_413536	Ascim1|Ascim1_127485	0.566566	4.522077	0.125289	1246.519209	415.480791	1.359717	4.666195	2454
Ascim1|Ascim1_413541	Ascim1|Ascim1_326194	0.648988	3.642585	0.178167	654.390601	128.609399	1.209287	3.422079	1011
