SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Gloz|GLAREA_01177	Gloz|GLAREA_12094	0.578258	1.323217	0.437010	586.182388	226.817612	3.159045	2.358280	846
Gloz|GLAREA_01178	Gloz|GLAREA_08431	0.874141	4.401484	0.198602	1188.230685	353.769315	0.980062	5.050178	1749
Gloz|GLAREA_01179	Gloz|GLAREA_07548	0.751269	4.459547	0.168463	1315.754460	382.245540	1.059124	4.758176	1920
Gloz|GLAREA_01184	Gloz|GLAREA_02560	0.860962	4.702086	0.183102	1547.814284	528.185716	1.251554	5.514717	2583
Gloz|GLAREA_01187	Gloz|GLAREA_06645	1.051374	2.138670	0.491602	1762.939755	607.060245	1.416219	3.989634	3012
Gloz|GLAREA_01192	Gloz|GLAREA_09801	1.000707	1.815485	0.551206	1297.963802	463.036198	1.915996	3.644832	2034
Gloz|GLAREA_01193	Gloz|GLAREA_09805	0.520869	1.943584	0.267994	1219.749054	454.250946	1.393939	2.720795	1707
Gloz|GLAREA_01194	Gloz|GLAREA_11593	0.650432	4.228082	0.153836	874.256009	280.743991	1.583128	4.560137	1821
Gloz|GLAREA_01204	Gloz|GLAREA_06513	0.662419	4.328770	0.153027	1148.918973	321.081027	1.117178	4.389698	1782
Gloz|GLAREA_01205	Gloz|GLAREA_12863	0.561059	3.678144	0.152538	5532.589259	1883.410741	1.453559	4.058076	7710
Gloz|GLAREA_01206	Gloz|GLAREA_09556	0.878042	4.018786	0.218484	723.619035	212.380965	1.065015	4.772056	1221
Gloz|GLAREA_01207	Gloz|GLAREA_04259	0.622966	3.598681	0.173109	388.703089	121.296911	1.148083	3.992103	1320
Gloz|GLAREA_01208	Gloz|GLAREA_06327	0.677182	4.393651	0.154127	1137.906012	350.093988	1.204364	4.654759	1599
Gloz|GLAREA_01210	Gloz|GLAREA_09800	0.609512	4.435402	0.137420	1120.864580	370.135420	1.292939	4.677825	1614
Gloz|GLAREA_01212	Gloz|GLAREA_04827	0.712212	1.664717	0.427828	477.447282	161.552718	1.181477	2.859076	750
Gloz|GLAREA_01213	Gloz|GLAREA_02515	0.595268	1.762093	0.337819	1182.483290	473.516710	1.586300	2.786731	1821
Gloz|GLAREA_01214	Gloz|GLAREA_05692	0.648278	3.155539	0.205441	1131.806982	386.193018	1.586350	3.858445	1632
Gloz|GLAREA_01216	Gloz|GLAREA_00234	0.576360	4.057751	0.142039	631.079506	205.920494	1.071612	4.298578	909
