SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Pino|PINO_02487-R0	Pino|PINO_00907-R0	1.012797	3.082170	0.328599	1487.145879	525.854121	1.261458	4.660131	2481
Pino|PINO_02491-R0	Pino|PINO_01698-R0	0.630179	2.108537	0.298870	885.584603	341.415397	1.829053	3.124607	1458
Pino|PINO_02493-R0	Pino|PINO_02093-R0	0.852276	2.898541	0.294036	1841.746758	600.253242	1.356136	4.065768	3027
Pino|PINO_02499-R0	Pino|PINO_04131-R0	0.640161	2.151161	0.297589	516.751836	209.248164	1.803043	3.226988	834
Pino|PINO_02503-R0	Pino|PINO_00669-R0	0.538645	2.963134	0.181782	1564.682491	484.317509	1.077496	3.335147	2367
Pino|PINO_02501-R0	Pino|PINO_02175-R0	0.465914	3.781376	0.123213	294.400407	92.599593	1.195264	3.777668	417
Pino|PINO_02498-R0	Pino|PINO_02004-R0	0.317147	3.411034	0.092977	346.552428	94.447572	1.104799	2.939265	477
Pino|PINO_04101-R0	Pino|PINO_04100-R0	0.521490	1.725841	0.302166	918.111201	302.888799	1.716812	2.460746	1317
Pino|PINO_04097-R0	Pino|PINO_00787-R0	0.570191	1.375845	0.414430	565.752023	244.247977	1.511711	2.439386	1125
Pino|PINO_04102-R0	Pino|PINO_04282-R0	0.220214	1.721544	0.127917	278.815353	87.184647	1.851005	1.733536	1044
Pino|PINO_04099-R0	Pino|PINO_04281-R0	0.568828	2.203513	0.258146	745.877477	256.122523	1.838175	2.960015	1161
Pino|PINO_02117-R0	Pino|PINO_04120-R0	0.666313	3.807010	0.175023	574.865632	160.134368	0.985120	4.051729	774
Pino|PINO_02122-R0	Pino|PINO_00772-R0	0.703830	3.716633	0.189373	485.044939	141.955061	1.278910	4.157818	1011
Pino|PINO_01642-R0	Pino|PINO_01961-R0	0.895729	2.170091	0.412761	1824.929829	587.070171	1.158852	3.617709	3072
Pino|PINO_01634-R0	Pino|PINO_01208-R0	0.844007	4.051188	0.208336	600.189155	179.810845	0.750359	4.750044	864
Pino|PINO_01641-R0	Pino|PINO_00745-R0	0.589193	1.948226	0.302426	964.921582	292.078418	1.429088	2.714941	3900
Pino|PINO_01643-R0	Pino|PINO_02657-R0	0.684196	2.524316	0.271042	810.845619	281.154381	1.445182	3.473900	2070
Pino|PINO_02053-R0	Pino|PINO_00079-R0	0.961775	2.171076	0.442995	647.975219	258.024781	2.083972	3.918536	1008
Pino|PINO_02042-R0	Pino|PINO_02931-R0	0.716740	4.076634	0.175817	709.589830	229.410170	0.968670	4.612821	1293
Pino|PINO_02040-R0	Pino|PINO_03818-R0	0.672917	1.854930	0.362772	803.738783	273.261217	2.041624	2.918468	1311
Pino|PINO_02054-R0	Pino|PINO_02448-R0	0.710857	1.174324	0.605333	654.178817	311.821183	1.685479	2.581388	2028
Pino|PINO_02055-R0	Pino|PINO_03114-R0	0.706513	4.485043	0.157526	1287.537068	395.462932	1.236165	4.783119	10701
Pino|PINO_03312-R0	Pino|PINO_00419-R0	0.790716	2.309587	0.342362	671.964546	249.035454	1.352880	3.604241	1008
Pino|PINO_01612-R0	Pino|PINO_04343-R0	0.877920	1.907357	0.460281	1149.778073	428.221927	1.790952	3.471834	1752
Pino|PINO_01608-R0	Pino|PINO_00980-R0	0.842277	2.299017	0.366364	789.173177	248.826823	1.382210	3.574450	1503
Pino|PINO_01617-R0	Pino|PINO_03203-R0	0.626226	4.299126	0.145663	1020.362311	308.637689	1.208077	4.437583	1494
Pino|PINO_01607-R0	Pino|PINO_01701-R0	0.806830	2.053489	0.392907	1211.809299	384.190701	1.210118	3.320781	4221
Pino|PINO_01611-R0	Pino|PINO_01775-R0	0.598952	2.848931	0.210237	1268.317583	372.682417	1.000849	3.329813	1746
Pino|PINO_01610-R0	Pino|PINO_00259-R0	1.005077	3.498044	0.287326	1425.042244	530.957756	1.803866	5.045385	2499
Pino|PINO_03809-R0	Pino|PINO_01512-R0	0.475025	3.535189	0.134370	1404.322053	434.677947	1.266398	3.595035	1932
Pino|PINO_03476-R0	Pino|PINO_00888-R0	1.013811	4.537768	0.223416	1387.735658	424.264342	1.061956	5.516747	2190
Pino|PINO_03480-R0	Pino|PINO_00776-R0	0.931924	1.965688	0.474096	1103.989568	408.010432	1.717098	3.632651	2484
Pino|PINO_03473-R0	Pino|PINO_00246-R0	0.919755	4.209224	0.218509	995.227263	273.772737	1.349921	4.888264	1581
Pino|PINO_03982-R0	Pino|PINO_00986-R0	0.495973	1.876732	0.264275	1043.225728	375.774272	1.255080	2.584861	1491
Pino|PINO_01072-R0	Pino|PINO_03179-R0	0.600275	1.981733	0.302904	522.529769	170.470231	1.146375	2.820295	897
Pino|PINO_01073-R0	Pino|PINO_01801-R0	0.689183	4.302525	0.160181	976.960553	310.039447	1.028117	4.678920	2439
Pino|PINO_01065-R0	Pino|PINO_02221-R0	0.554124	2.048571	0.270493	1266.757469	401.242531	1.237525	2.740853	2346
Pino|PINO_01066-R0	Pino|PINO_02259-R0	0.712042	2.771542	0.256912	1032.474067	383.525933	1.165163	3.809582	2043
Pino|PINO_01071-R0	Pino|PINO_03933-R0	1.013384	2.665738	0.380152	1176.605558	398.394442	1.486877	4.294036	1719
Pino|PINO_03545-R0	Pino|PINO_01564-R0	0.900656	2.574919	0.349780	1601.064197	534.935803	1.134617	3.959867	2715
Pino|PINO_03547-R0	Pino|PINO_00256-R0	0.934000	1.803070	0.518005	2198.863572	786.136428	1.538308	3.488642	4791
Pino|PINO_00101-R0	Pino|PINO_01719-R0	0.774669	4.627525	0.167405	1507.797849	478.202151	1.339857	5.107156	4014
Pino|PINO_00100-R0	Pino|PINO_01411-R0	0.711986	2.497292	0.285103	887.919160	297.080840	1.227524	3.478694	1401
Pino|PINO_00081-R0	Pino|PINO_02316-R0	0.837735	1.904063	0.439973	589.208812	202.791188	1.286086	3.332304	2268
Pino|PINO_00094-R0	Pino|PINO_03639-R0	0.390679	1.869819	0.208940	694.100878	217.899122	1.599451	2.232246	951
