SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Sclci1|Sclci1_100595	Sclci1|Sclci1_138140	0.081684	0.104136	0.784397	277.726308	154.273692	30.678058	0.269106	603
Sclci1|Sclci1_18762	Sclci1|Sclci1_32130	0.139085	0.385991	0.360332	314.191901	123.808099	13.481061	0.626631	459
Sclci1|Sclci1_18763	Sclci1|Sclci1_34691	0.090112	0.277303	0.324959	174.497905	86.502095	17.363970	0.456456	894
Sclci1|Sclci1_101379	Sclci1|Sclci1_141349	0.255587	0.998964	0.255852	746.507098	294.492902	3.687951	1.397653	2007
Sclci1|Sclci1_100536	Sclci1|Sclci1_132738	0.459439	1.892132	0.242816	672.668270	224.331730	2.058212	2.453229	1182
Sclci1|Sclci1_100964	Sclci1|Sclci1_140558	0.010555	0.020805	0.507327	477.057770	194.942230	4.600000	0.040585	672
Sclci1|Sclci1_101421	Sclci1|Sclci1_140550	0.000000	0.009064	0.000010	246.001348	110.998652	4.600000	0.008454	357
Sclci1|Sclci1_101332	Sclci1|Sclci1_110626	0.012637	0.014138	0.893845	319.199998	142.800002	4.600000	0.039303	462
Sclci1|Sclci1_101150	Sclci1|Sclci1_65081	0.385925	0.753510	0.512170	219.563981	104.436019	7.911676	1.513230	336
Sclci1|Sclci1_58663	Sclci1|Sclci1_90212	0.332529	3.637381	0.091420	400.279903	127.720097	1.831315	3.395860	549
Sclci1|Sclci1_18773	Sclci1|Sclci1_29979	0.347581	0.745361	0.466326	1086.603923	377.396077	2.678887	1.350368	2088
Sclci1|Sclci1_18774	Sclci1|Sclci1_33152	0.253558	0.464087	0.546359	429.767684	200.232316	5.397020	0.961411	1890
Sclci1|Sclci1_18775	Sclci1|Sclci1_29819	0.731617	1.380788	0.529854	744.368685	272.631315	1.843614	2.716928	1275
Sclci1|Sclci1_18776	Sclci1|Sclci1_33150	0.373716	0.434352	0.860398	421.021228	166.978772	5.003843	1.172805	666
Sclci1|Sclci1_101198	Sclci1|Sclci1_31692	0.222485	0.750250	0.296548	497.454374	204.545626	3.956246	1.128789	1101
Sclci1|Sclci1_1206752	Sclci1|Sclci1_1214162	0.000000	0.000000	99.000000	109.419984	46.580016	4.600000	0.000000	156
Sclci1|Sclci1_1206753	Sclci1|Sclci1_1214470	0.000000	0.000000	99.000000	164.932882	66.067118	4.600000	0.000000	231
Sclci1|Sclci1_1206754	Sclci1|Sclci1_1214164	0.000000	0.017735	0.000010	137.944679	57.055321	4.600000	0.015567	195
Sclci1|Sclci1_12625	Sclci1|Sclci1_1206777	0.196406	1.997928	0.098305	498.703213	173.296787	1.524259	1.982960	789
Sclci1|Sclci1_1206765	Sclci1|Sclci1_1079200	0.500044	4.016175	0.124508	718.357096	211.642904	1.130178	3.900663	1131
Sclci1|Sclci1_149216	Sclci1|Sclci1_1215872	0.967122	1.638021	0.590421	728.000185	279.999815	1.595270	3.460449	1158
Sclci1|Sclci1_1206772	Sclci1|Sclci1_1210921	0.824426	1.964097	0.419748	889.109701	304.890299	1.199640	3.346330	1434
Sclci1|Sclci1_1206773	Sclci1|Sclci1_18780	0.144777	0.367625	0.393817	156.487887	56.512113	1.921047	0.611706	4923
Sclci1|Sclci1_100836	Sclci1|Sclci1_1207422	0.057564	0.838329	0.068665	135.371794	41.628206	1.699067	0.723571	192
Sclci1|Sclci1_1206786	Sclci1|Sclci1_122973	0.708682	2.388814	0.296667	769.301076	274.698924	1.671647	3.452283	1215
Sclci1|Sclci1_149849	Sclci1|Sclci1_26274	0.434225	4.986554	0.087079	2195.189486	771.810514	1.394823	4.855288	3444
Sclci1|Sclci1_1206793	Sclci1|Sclci1_1224794	0.302970	0.660542	0.458668	239.198020	60.801980	1.488199	1.126320	468
Sclci1|Sclci1_100970	Sclci1|Sclci1_136890	0.111644	0.185554	0.601682	113.598688	54.401312	4.600000	0.406732	357
Sclci1|Sclci1_1206801	Sclci1|Sclci1_34248	0.222105	0.866680	0.256271	1098.540094	419.459906	2.654261	1.200648	1530
Sclci1|Sclci1_1206803	Sclci1|Sclci1_1215548	0.060208	0.086948	0.692458	104.277506	48.722494	3.112129	0.206170	153
Sclci1|Sclci1_12646	Sclci1|Sclci1_1210906	0.221637	4.161264	0.053262	868.185969	256.814031	0.942875	3.362915	1146
Sclci1|Sclci1_94558	Sclci1|Sclci1_119483	0.513781	3.965915	0.129549	771.075363	197.924637	0.811737	3.656706	2256
Sclci1|Sclci1_100812	Sclci1|Sclci1_1217976	0.185466	0.233053	0.795810	339.958669	152.041331	4.863598	0.600515	897
Sclci1|Sclci1_12652	Sclci1|Sclci1_16975	0.377674	3.269968	0.115498	484.058347	151.941653	1.409555	3.205947	645
