SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Nieex1|Nieex1_819940	Nieex1|Nieex1_720330	0.779911	4.641273	0.168038	1744.951037	487.048963	1.457280	4.867519	3702
Nieex1|Nieex1_5260	Nieex1|Nieex1_817033	0.728289	3.959837	0.183919	724.672843	196.327157	1.329474	4.251449	1134
Nieex1|Nieex1_819937	Nieex1|Nieex1_785708	0.520713	3.763803	0.138348	742.830134	151.169866	1.504922	3.207298	1344
Nieex1|Nieex1_804534	Nieex1|Nieex1_733546	0.785655	4.193566	0.187348	868.883400	268.116600	1.161852	4.767829	1269
Nieex1|Nieex1_819930	Nieex1|Nieex1_852287	0.550346	4.099309	0.134253	744.547853	236.452147	0.835334	4.217276	1026
Nieex1|Nieex1_810236	Nieex1|Nieex1_254476	0.737139	2.474089	0.297943	1495.908097	547.091903	1.755369	3.606822	2145
Nieex1|Nieex1_810235	Nieex1|Nieex1_807254	0.190720	2.239884	0.085147	1171.667400	418.332600	1.828734	2.189580	1803
Nieex1|Nieex1_5014	Nieex1|Nieex1_803242	0.522588	4.155418	0.125761	1143.180161	254.819839	1.279803	3.554282	1686
Nieex1|Nieex1_721131	Nieex1|Nieex1_729916	0.827007	4.804731	0.172123	2472.346230	605.653770	1.150729	4.829094	3852
Nieex1|Nieex1_720983	Nieex1|Nieex1_812759	0.455402	4.310844	0.105641	1399.502480	313.497520	1.201137	3.482968	1839
Nieex1|Nieex1_721307	Nieex1|Nieex1_143950	0.546773	4.024233	0.135870	1289.070921	213.929079	1.524563	3.125210	1623
Nieex1|Nieex1_720508	Nieex1|Nieex1_806260	0.373973	4.139287	0.090347	1358.602123	249.397877	1.194867	2.873900	1764
Nieex1|Nieex1_774670	Nieex1|Nieex1_114992	0.377715	3.519863	0.107309	828.163214	224.836786	2.087868	3.145880	1071
Nieex1|Nieex1_798032	Nieex1|Nieex1_432412	0.399398	3.848152	0.103790	1126.835835	169.164165	1.388090	2.548670	1392
Nieex1|Nieex1_774660	Nieex1|Nieex1_844456	0.484185	99.000000	0.004891	578.599263	69.400737	1.398642	33.105657	966
Nieex1|Nieex1_774645	Nieex1|Nieex1_777318	0.412793	99.000000	0.004170	813.450179	116.549821	0.680752	38.303931	1197
Nieex1|Nieex1_759242	Nieex1|Nieex1_861103	0.976692	2.969943	0.328859	2056.966348	637.033652	1.550994	4.344072	3372
Nieex1|Nieex1_5855	Nieex1|Nieex1_799863	0.303522	99.000000	0.003066	549.277078	56.722922	1.075306	28.625184	612
Nieex1|Nieex1_854691	Nieex1|Nieex1_618367	0.810295	3.434909	0.235900	1868.445759	606.554241	1.465125	4.360547	3261
Nieex1|Nieex1_6407	Nieex1|Nieex1_772169	0.370017	4.283104	0.086390	1371.885725	302.114275	1.465065	3.228688	1728
Nieex1|Nieex1_798047	Nieex1|Nieex1_168919	0.535153	3.948232	0.135543	922.687366	193.312634	1.289052	3.379092	1341
