SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Macfu1|Macfu1_800121	Macfu1|Macfu1_797627	0.627761	1.793234	0.350072	924.670730	314.329270	1.501651	2.770311	1656
Macfu1|Macfu1_800125	Macfu1|Macfu1_756596	0.843332	2.773167	0.304104	367.089683	121.910317	1.543401	3.973351	711
Macfu1|Macfu1_800128	Macfu1|Macfu1_780496	0.408086	2.188448	0.186473	560.684429	207.315571	1.768368	2.666042	780
Macfu1|Macfu1_716074	Macfu1|Macfu1_780502	0.615166	2.755126	0.223280	977.707023	357.292977	1.818359	3.563683	1989
Macfu1|Macfu1_800145	Macfu1|Macfu1_711590	0.210296	2.232910	0.094180	810.656101	266.343899	2.249722	2.131475	1098
Macfu1|Macfu1_691262	Macfu1|Macfu1_722538	1.008542	4.942487	0.204056	2188.231491	727.768509	1.213831	5.971101	3525
Macfu1|Macfu1_800146	Macfu1|Macfu1_663165	0.419937	4.671255	0.089898	1776.086838	506.913162	1.090225	4.091676	2382
Macfu1|Macfu1_1888	Macfu1|Macfu1_822663	0.452068	2.055940	0.219884	1087.052963	379.947037	1.385999	2.602393	2664
Macfu1|Macfu1_800147	Macfu1|Macfu1_846386	0.866942	4.680788	0.185213	1691.602325	513.397675	1.217440	5.264799	3894
Macfu1|Macfu1_792265	Macfu1|Macfu1_721042	0.467378	4.008954	0.116584	600.385213	209.614787	1.421369	4.151640	936
Macfu1|Macfu1_800152	Macfu1|Macfu1_2260	0.113434	3.681578	0.030811	470.527289	135.472711	1.405797	2.733303	612
Macfu1|Macfu1_2436	Macfu1|Macfu1_672756	0.383908	1.777719	0.215955	349.294839	121.705161	1.565464	2.232195	477
Macfu1|Macfu1_780520	Macfu1|Macfu1_5845	0.352868	2.587088	0.136396	730.585433	268.414567	1.808518	2.859496	1269
Macfu1|Macfu1_800171	Macfu1|Macfu1_809327	0.696279	4.528115	0.153768	1405.160999	418.839001	1.199344	4.728512	2253
Macfu1|Macfu1_4800	Macfu1|Macfu1_786342	0.892004	4.829424	0.184702	1990.074093	625.925907	1.133627	5.502311	7845
Macfu1|Macfu1_770291	Macfu1|Macfu1_805103	0.593723	4.486661	0.132331	1241.682778	396.317222	1.248067	4.606880	1836
Macfu1|Macfu1_716224	Macfu1|Macfu1_802657	0.606645	1.660112	0.365424	469.710219	166.289781	1.129152	2.646260	714
Macfu1|Macfu1_754335	Macfu1|Macfu1_396050	0.451801	3.938159	0.114724	673.266105	190.733895	1.394584	3.664315	1200
Macfu1|Macfu1_770311	Macfu1|Macfu1_792943	0.683926	3.130593	0.218465	910.328728	274.671272	1.299828	3.753117	1317
Macfu1|Macfu1_6917	Macfu1|Macfu1_727435	0.540159	3.239735	0.166729	616.213551	217.786449	1.084837	3.735336	984
Macfu1|Macfu1_754339	Macfu1|Macfu1_820228	0.734645	2.985458	0.246074	883.652687	286.347313	1.222025	3.856536	1401
Macfu1|Macfu1_800227	Macfu1|Macfu1_772553	0.889300	2.072258	0.429145	1223.643624	405.356376	1.593572	3.550992	2199
Macfu1|Macfu1_800232	Macfu1|Macfu1_446738	0.680739	2.282256	0.298274	800.196152	270.803848	1.275235	3.257054	1308
Macfu1|Macfu1_792327	Macfu1|Macfu1_726900	0.804721	2.168528	0.371091	1066.374169	361.625831	1.605292	3.450272	1650
Macfu1|Macfu1_792332	Macfu1|Macfu1_793608	0.500150	4.452009	0.112342	1010.587169	324.412831	1.328625	4.381424	1548
Macfu1|Macfu1_792338	Macfu1|Macfu1_777452	0.661561	2.120261	0.312019	789.116132	290.883868	1.276838	3.163329	1512
Macfu1|Macfu1_814155	Macfu1|Macfu1_668385	0.403882	2.879508	0.140261	3043.565168	1084.434832	1.509613	3.162703	4941
