SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rtor|RHTO_04007	Rtor|RHTO_02206	0.655125	4.012625	0.163266	1160.356637	210.643363	1.749524	3.512935	1692
Rtor|RHTO_04009	Rtor|RHTO_05313	0.311216	4.235215	0.073483	1426.573536	283.426464	1.214846	2.884815	1830
Rtor|RHTO_04010	Rtor|RHTO_02952	0.356489	4.444583	0.080207	1866.305612	374.694388	1.014946	3.120049	2367
Rtor|RHTO_04024	Rtor|RHTO_01221	0.804269	4.179387	0.192437	1206.904882	263.095118	1.489342	4.225006	1617
Rtor|RHTO_04025	Rtor|RHTO_00869	0.640602	3.836390	0.166980	892.468060	166.531940	1.043531	3.429458	1221
Rtor|RHTO_04026	Rtor|RHTO_01657	0.711155	4.016018	0.177080	1279.401547	211.598453	1.409591	3.540516	1836
Rtor|RHTO_04030	Rtor|RHTO_05983	0.453171	3.081581	0.147058	359.127951	60.872049	0.868127	2.502346	450
Rtor|RHTO_04032	Rtor|RHTO_07236	0.613544	2.424422	0.253068	679.920987	187.079013	0.717105	3.012871	960
Rtor|RHTO_04033	Rtor|RHTO_04034	0.226543	2.371461	0.095529	1108.302033	337.697967	1.660923	2.182398	1653
Rtor|RHTO_04039	Rtor|RHTO_04052	0.650019	2.158048	0.301207	1084.240428	316.759572	1.574229	2.972931	1716
Rtor|RHTO_04043	Rtor|RHTO_04185	0.038165	1.391649	0.027424	336.088559	71.911441	2.400461	0.830164	408
Rtor|RHTO_04044	Rtor|RHTO_06874	0.772615	4.185370	0.184599	1315.797630	265.202370	1.311793	4.035247	1785
Rtor|RHTO_04054	Rtor|RHTO_02321	0.497152	3.229989	0.153918	366.808276	74.191724	1.557009	2.870734	456
Rtor|RHTO_04057	Rtor|RHTO_06016	0.299821	4.129191	0.072610	1322.936792	246.063208	1.032138	2.701122	1725
Rtor|RHTO_04063	Rtor|RHTO_08090	0.581960	4.304426	0.135200	1489.173735	310.826265	1.077489	3.674280	2088
Rtor|RHTO_04066	Rtor|RHTO_04076	0.496278	3.986892	0.124477	909.461354	203.538646	1.559658	3.403860	1323
Rtor|RHTO_04067	Rtor|RHTO_06992	0.689588	4.540902	0.151861	1679.958574	426.041426	1.238583	4.406114	2610
Rtor|RHTO_04070	Rtor|RHTO_04071	0.133255	1.868091	0.071332	747.596406	152.403594	1.872976	1.281083	1038
Rtor|RHTO_04072	Rtor|RHTO_06689	0.516803	4.605438	0.112216	2841.675496	464.324504	1.123827	3.273144	3738
Rtor|RHTO_04074	Rtor|RHTO_04075	0.741603	2.718768	0.272772	942.388436	260.611564	1.762669	3.509777	1299
Rtor|RHTO_04083	Rtor|RHTO_06265	0.633727	4.113947	0.154044	997.887653	241.112347	1.235949	3.932959	2139
Rtor|RHTO_04090	Rtor|RHTO_02740	0.666603	1.931220	0.345172	421.733481	136.266519	6.600984	2.926287	1140
Rtor|RHTO_04099	Rtor|RHTO_06658	0.571524	3.616277	0.158042	559.823728	124.176272	1.048973	3.372844	882
Rtor|RHTO_04102	Rtor|RHTO_01842	0.555641	3.993483	0.139137	859.664622	205.335378	1.027228	3.655403	1140
Rtor|RHTO_04105	Rtor|RHTO_06195	0.512205	4.415084	0.116013	1838.756996	360.243004	1.378383	3.454739	2469
Rtor|RHTO_04116	Rtor|RHTO_04114	0.041164	0.199222	0.206622	237.274255	26.725745	1.462701	0.171494	573
Rtor|RHTO_04120	Rtor|RHTO_00266	0.634686	4.725838	0.134301	2322.819355	545.180645	1.241105	4.237129	3486
Rtor|RHTO_04126	Rtor|RHTO_08125	0.760953	3.451141	0.220493	660.838392	182.161608	1.250326	4.026807	2082
Rtor|RHTO_07681	Rtor|RHTO_05047	0.671866	4.023259	0.166996	737.348742	213.651258	1.403831	4.274366	1440
Rtor|RHTO_04494	Rtor|RHTO_05631	0.816853	4.655992	0.175441	2059.298651	496.701349	1.127926	4.688710	3375
Rtor|RHTO_04506	Rtor|RHTO_05593	0.757398	4.235676	0.178814	1048.398953	283.601047	1.265092	4.493912	1587
Rtor|RHTO_04512	Rtor|RHTO_00782	0.646427	4.208668	0.153594	1298.429987	273.570013	1.156591	3.799056	1686
Rtor|RHTO_04517	Rtor|RHTO_00436	0.433974	2.193016	0.197889	695.175494	180.824506	1.021436	2.391229	1404
Rtor|RHTO_04519	Rtor|RHTO_07304	0.498895	99.000000	0.005039	1075.877923	139.122077	0.982191	35.332926	1419
Rtor|RHTO_04526	Rtor|RHTO_05769	0.595179	4.357684	0.136582	2039.299149	333.700851	1.320502	3.372834	6366
Rtor|RHTO_04532	Rtor|RHTO_07593	0.383706	1.968832	0.194890	605.996510	201.003490	1.653289	2.335564	1026
Rtor|RHTO_04536	Rtor|RHTO_06569	0.550048	1.108504	0.496207	992.198840	387.801160	0.878870	2.120948	1593
Rtor|RHTO_04540	Rtor|RHTO_03324	0.672301	4.498949	0.149435	1916.136048	402.863952	1.422225	4.011234	3003
Rtor|RHTO_04543	Rtor|RHTO_02062	0.671806	4.058837	0.165517	1155.969332	224.030668	1.029867	3.664981	1650
Rtor|RHTO_07075	Rtor|RHTO_00388	0.642242	4.149542	0.154774	1421.168651	252.831349	1.122867	3.515893	2049
Rtor|RHTO_07077	Rtor|RHTO_04242	0.544823	2.294963	0.237399	1359.459144	338.540856	1.429132	2.681278	1803
Rtor|RHTO_07084	Rtor|RHTO_00542	0.588800	3.917499	0.150300	861.448499	185.551501	1.605485	3.536157	1221
Rtor|RHTO_07085	Rtor|RHTO_07083	0.655608	4.293955	0.152681	1184.482772	306.517228	1.361269	4.210719	1965
Rtor|RHTO_07093	Rtor|RHTO_05831	0.671310	3.960204	0.169514	820.576784	196.423216	1.313457	3.919580	1101
Rtor|RHTO_07094	Rtor|RHTO_06151	0.740447	4.431569	0.167085	1786.008164	487.991836	1.431431	4.597644	2820
Rtor|RHTO_07100	Rtor|RHTO_06858	0.560840	4.350407	0.128917	1340.521211	330.478789	1.093462	3.930943	1749
Rtor|RHTO_07103	Rtor|RHTO_00664	0.435773	4.023173	0.108316	884.373266	213.626734	1.412532	3.401212	1119
Rtor|RHTO_07105	Rtor|RHTO_02505	0.352730	4.204532	0.083893	1296.934582	272.065418	1.440253	3.061904	1656
Rtor|RHTO_07113	Rtor|RHTO_03051	0.712966	3.962418	0.179932	885.995920	197.004080	1.537002	3.912182	1455
Rtor|RHTO_07118	Rtor|RHTO_02848	0.407983	4.016090	0.101587	1006.381215	211.618785	1.398022	3.104596	1299
Rtor|RHTO_07125	Rtor|RHTO_06043	0.444463	3.814583	0.116517	1140.966570	257.033430	1.169301	3.192259	1620
Rtor|RHTO_07127	Rtor|RHTO_03266	0.662940	3.699880	0.179179	565.485717	148.514283	1.418650	3.883899	915
Rtor|RHTO_07129	Rtor|RHTO_00587	0.670833	4.105645	0.163393	1204.541943	238.458057	1.050584	3.715323	1629
Rtor|RHTO_07134	Rtor|RHTO_07141	0.160801	3.655673	0.043987	736.126558	130.873442	1.720691	2.065054	1038
Rtor|RHTO_07135	Rtor|RHTO_01510	0.637415	4.681071	0.136169	2141.408775	513.591225	1.154197	4.258896	4200
Rtor|RHTO_07144	Rtor|RHTO_02130	0.562795	4.391793	0.128147	1954.772306	349.227694	1.219898	3.429522	3228
Rtor|RHTO_07147	Rtor|RHTO_01102	0.524524	3.435503	0.152677	523.420210	97.579790	1.180651	2.945806	705
Rtor|RHTO_07155	Rtor|RHTO_06300	0.656783	3.326147	0.197460	1318.977259	358.022741	1.787532	3.679996	2253
Rtor|RHTO_07159	Rtor|RHTO_07152	0.431588	1.370614	0.314886	622.676927	220.323073	2.153292	2.031023	2520
Rtor|RHTO_07161	Rtor|RHTO_01378	0.638044	4.163448	0.153249	1296.437158	257.562842	1.081039	3.667052	2223
Rtor|RHTO_07171	Rtor|RHTO_00208	0.591183	3.698650	0.159837	800.408164	138.591836	1.602667	3.149490	1059
Rtor|RHTO_07176	Rtor|RHTO_08075	0.771420	3.698756	0.208562	731.388632	138.611368	1.799718	3.713439	1137
Rtor|RHTO_07179	Rtor|RHTO_07854	0.596737	4.234876	0.140910	1279.701259	283.298741	1.496516	3.768485	1776
Rtor|RHTO_07181	Rtor|RHTO_07194	0.665522	3.189839	0.208638	659.323597	171.676403	1.177683	3.561062	1041
Rtor|RHTO_07182	Rtor|RHTO_07184	0.496824	1.982641	0.250587	616.592493	196.407507	2.110418	2.567318	999
Rtor|RHTO_07183	Rtor|RHTO_07193	0.648019	3.933025	0.164764	692.567317	189.432683	1.455620	4.060682	927
Rtor|RHTO_07190	Rtor|RHTO_07191	0.347368	1.530436	0.226973	785.621624	159.378376	2.303351	1.640694	975
Rtor|RHTO_07195	Rtor|RHTO_07514	0.596147	4.245569	0.140416	1464.633605	287.366395	1.506397	3.584197	3255
Rtor|RHTO_07196	Rtor|RHTO_06717	0.584159	3.858259	0.151405	830.540885	171.459115	1.043274	3.433237	1221
Rtor|RHTO_07211	Rtor|RHTO_00896	0.650262	3.124572	0.208112	2302.199057	631.800943	1.360973	3.549223	3912
Rtor|RHTO_07214	Rtor|RHTO_07215	0.340028	3.296218	0.103157	491.958814	81.041186	1.217642	2.274393	723
Rtor|RHTO_07218	Rtor|RHTO_03795	0.593126	4.224640	0.140397	1319.541704	279.458296	1.345218	3.683425	1938
Rtor|RHTO_07226	Rtor|RHTO_01603	0.457776	3.087324	0.148276	304.660017	61.339983	1.904951	2.695429	2433
Rtor|RHTO_07233	Rtor|RHTO_03509	0.595601	99.000000	0.006016	883.241000	148.759000	0.894982	44.340698	1116
Rtor|RHTO_07234	Rtor|RHTO_07235	0.348034	3.811015	0.091323	874.008225	160.991775	1.106881	2.660076	1053
Rtor|RHTO_07240	Rtor|RHTO_01149	0.413411	4.267663	0.096871	1339.041890	295.958110	1.308756	3.333255	1884
Rtor|RHTO_07249	Rtor|RHTO_01922	0.450324	3.684341	0.122226	911.027175	135.972825	1.382965	2.610967	1134
Rtor|RHTO_07250	Rtor|RHTO_03059	0.577644	4.021126	0.143652	962.955582	213.044418	0.953782	3.604398	1341
Rtor|RHTO_07253	Rtor|RHTO_06884	0.474662	4.275002	0.111032	1240.131783	298.868217	1.597087	3.638022	1617
Rtor|RHTO_07259	Rtor|RHTO_07262	0.333907	3.191317	0.104630	933.811079	248.188921	1.287744	2.801664	1251
Rtor|RHTO_07267	Rtor|RHTO_00984	0.546960	4.055826	0.134858	1339.866953	223.133047	1.108764	3.143652	1710
Rtor|RHTO_07272	Rtor|RHTO_04301	0.571209	3.338348	0.171105	2426.138573	654.861427	1.256449	3.478080	4962
Rtor|RHTO_07275	Rtor|RHTO_05971	0.577755	3.857947	0.149757	677.612161	171.387839	1.497572	3.719784	1029
Rtor|RHTO_07284	Rtor|RHTO_05996	0.672294	4.619012	0.145549	2842.195383	472.804617	1.246510	3.705595	5109
Rtor|RHTO_07290	Rtor|RHTO_04813	0.287449	4.850137	0.059266	3016.546604	643.453396	1.156426	3.268804	3717
Rtor|RHTO_07291	Rtor|RHTO_04814	0.031018	0.087087	0.356177	840.144120	203.855880	3.010144	0.125900	1074
Rtor|RHTO_07298	Rtor|RHTO_07042	0.738089	4.931610	0.149665	3308.710171	717.289829	1.286493	4.455675	6345
Rtor|RHTO_07299	Rtor|RHTO_03301	0.482645	4.527066	0.106613	1519.746489	418.253511	1.168737	4.066501	2217
Rtor|RHTO_07300	Rtor|RHTO_07302	0.038150	0.091754	0.415788	470.555398	123.444602	0.870891	0.147871	885
Rtor|RHTO_07301	Rtor|RHTO_07307	0.429530	1.147359	0.374364	1042.215592	346.784408	2.326254	1.826240	2010
Rtor|RHTO_07312	Rtor|RHTO_00360	0.560742	4.566963	0.122782	1514.894640	441.105360	1.110731	4.392602	2958
Rtor|RHTO_07313	Rtor|RHTO_02429	0.613355	4.272140	0.143571	1184.270123	297.729877	1.181852	4.045185	1773
Rtor|RHTO_07316	Rtor|RHTO_00456	0.535796	5.026925	0.106585	4834.506578	814.493422	1.282654	3.550030	6459
Rtor|RHTO_07321	Rtor|RHTO_05471	0.612728	4.399550	0.139271	1420.141620	352.858380	1.179107	4.099118	1920
Rtor|RHTO_07323	Rtor|RHTO_00515	0.409726	4.397658	0.093169	1481.030670	351.969330	0.941597	3.526444	2076
Rtor|RHTO_07324	Rtor|RHTO_07370	0.702635	6.110693	0.114984	1067.924436	261.075564	1.180083	5.295064	1542
Rtor|RHTO_07333	Rtor|RHTO_05581	0.367465	4.337123	0.084726	2015.323031	324.676969	1.097214	2.754775	2391
Rtor|RHTO_07337	Rtor|RHTO_07362	0.294022	1.320227	0.222706	684.855291	185.144709	2.218072	1.537226	885
