SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Jamsp1|Jamsp1_228981	Jamsp1|Jamsp1_141141	0.864999	4.800783	0.180179	1977.526320	602.473680	1.492548	5.352214	5169
Jamsp1|Jamsp1_228982	Jamsp1|Jamsp1_222968	0.768355	5.084716	0.151111	3734.264340	879.735660	1.288702	4.774022	5412
Jamsp1|Jamsp1_228985	Jamsp1|Jamsp1_235082	0.798237	4.970750	0.160587	870.997225	254.002775	1.258855	5.220925	2406
Jamsp1|Jamsp1_207453	Jamsp1|Jamsp1_102491	0.644421	4.093950	0.157408	944.231426	234.768574	1.258041	3.993928	1275
Jamsp1|Jamsp1_971	Jamsp1|Jamsp1_267206	0.574631	4.562248	0.125953	1706.658960	438.341040	1.366407	4.168559	2487
Jamsp1|Jamsp1_1076	Jamsp1|Jamsp1_276485	0.560985	3.951179	0.141979	711.926169	194.073831	1.084573	3.861591	1920
Jamsp1|Jamsp1_276500	Jamsp1|Jamsp1_234405	0.670829	3.348456	0.200340	414.113018	86.886982	1.324383	3.405606	555
Jamsp1|Jamsp1_263426	Jamsp1|Jamsp1_233427	0.418615	4.010020	0.104392	885.086850	209.913150	0.852187	3.321279	1320
Jamsp1|Jamsp1_229040	Jamsp1|Jamsp1_222166	0.922983	2.291112	0.402854	1724.654557	627.345443	1.150008	3.863706	3582
Jamsp1|Jamsp1_235222	Jamsp1|Jamsp1_222359	0.670038	4.379713	0.152987	1138.352057	343.647943	1.342563	4.590726	1647
Jamsp1|Jamsp1_1706	Jamsp1|Jamsp1_247674	0.650806	5.093935	0.127761	3690.384170	890.615830	1.200580	4.543852	5544
Jamsp1|Jamsp1_229052	Jamsp1|Jamsp1_230015	0.726548	4.861469	0.149450	2286.751172	653.248828	1.128056	4.935901	3810
Jamsp1|Jamsp1_229055	Jamsp1|Jamsp1_122171	0.559789	5.176043	0.108150	4676.344228	993.655772	1.073924	4.106335	6495
Jamsp1|Jamsp1_229059	Jamsp1|Jamsp1_234184	0.491425	4.191572	0.117241	986.595345	267.404655	1.101526	3.841349	1362
Jamsp1|Jamsp1_216213	Jamsp1|Jamsp1_230392	0.536573	3.913550	0.137106	859.423092	184.576908	0.923590	3.400844	1689
Jamsp1|Jamsp1_229063	Jamsp1|Jamsp1_242334	0.820705	4.276396	0.191915	1056.575732	299.424268	1.492002	4.751313	1605
Jamsp1|Jamsp1_215504	Jamsp1|Jamsp1_279993	0.751584	4.803302	0.156472	2302.499775	604.500225	1.098027	4.782372	3642
Jamsp1|Jamsp1_2538	Jamsp1|Jamsp1_231363	0.585538	3.942683	0.148512	1038.112201	191.887799	1.081794	3.327821	1488
Jamsp1|Jamsp1_216271	Jamsp1|Jamsp1_234032	0.409911	3.754522	0.109178	660.689236	149.310764	0.951968	3.079313	1011
Jamsp1|Jamsp1_247630	Jamsp1|Jamsp1_85431	0.783779	4.576666	0.171255	1500.150664	446.849336	1.294068	4.962814	2907
Jamsp1|Jamsp1_229100	Jamsp1|Jamsp1_154762	0.749229	2.963682	0.252804	830.470129	264.529871	1.073630	3.852588	1293
Jamsp1|Jamsp1_229110	Jamsp1|Jamsp1_46864	0.912645	5.099899	0.178954	2963.273317	897.726683	1.013857	5.658688	4986
Jamsp1|Jamsp1_229113	Jamsp1|Jamsp1_231876	0.641651	4.123744	0.155599	985.717545	244.282455	1.092565	3.999622	1491
Jamsp1|Jamsp1_3237	Jamsp1|Jamsp1_282178	0.577218	4.950228	0.116604	2639.681616	735.318384	1.155014	4.589924	4773
Jamsp1|Jamsp1_215248	Jamsp1|Jamsp1_232249	0.704869	4.829500	0.145951	835.304527	226.695473	1.691379	4.755949	1350
Jamsp1|Jamsp1_229143	Jamsp1|Jamsp1_234976	0.515284	99.000000	0.005205	834.593946	131.406054	0.904619	41.736807	1263
Jamsp1|Jamsp1_229145	Jamsp1|Jamsp1_231525	0.809896	4.707683	0.172037	1243.895523	292.104477	1.514774	4.653439	1743
Jamsp1|Jamsp1_4175	Jamsp1|Jamsp1_229156	0.513630	3.691016	0.139157	546.811702	137.188298	0.849389	3.452734	1002
Jamsp1|Jamsp1_209198	Jamsp1|Jamsp1_276704	0.370139	3.104675	0.119220	213.224413	62.775587	1.558404	2.976309	1263
Jamsp1|Jamsp1_235391	Jamsp1|Jamsp1_243761	0.588553	3.984871	0.147697	682.009023	202.990977	1.014316	4.102682	996
Jamsp1|Jamsp1_229168	Jamsp1|Jamsp1_257578	0.560506	4.130114	0.135712	1013.633806	246.366194	1.216940	3.775401	1332
Jamsp1|Jamsp1_4791	Jamsp1|Jamsp1_275206	0.821770	4.194191	0.195930	1138.660209	268.339791	1.145159	4.394850	1599
Jamsp1|Jamsp1_229176	Jamsp1|Jamsp1_229179	0.518861	3.233843	0.160447	327.426141	74.573859	0.934115	3.067529	498
Jamsp1|Jamsp1_229200	Jamsp1|Jamsp1_225139	0.592161	99.000000	0.005981	305.386951	57.613049	0.878299	48.632480	375
Jamsp1|Jamsp1_229213	Jamsp1|Jamsp1_232171	0.790258	4.401894	0.179527	1221.037018	353.962982	1.406739	4.805793	1860
Jamsp1|Jamsp1_229227	Jamsp1|Jamsp1_216435	0.292045	3.939120	0.074140	880.021653	190.978347	1.087361	2.827150	1266
Jamsp1|Jamsp1_229232	Jamsp1|Jamsp1_230094	0.838806	4.151023	0.202072	960.465128	332.534872	1.261629	5.071933	1728
Jamsp1|Jamsp1_229237	Jamsp1|Jamsp1_231622	0.678725	4.907678	0.138299	2590.237130	694.762870	1.136468	4.719389	3996
Jamsp1|Jamsp1_229245	Jamsp1|Jamsp1_243267	0.828795	2.467473	0.335888	1659.574179	521.425821	1.104239	3.661693	3525
Jamsp1|Jamsp1_215524	Jamsp1|Jamsp1_229971	0.837829	3.934933	0.212921	893.084820	189.915180	0.783224	4.142815	1407
Jamsp1|Jamsp1_225155	Jamsp1|Jamsp1_253035	0.650138	3.700190	0.175704	680.123295	138.876705	0.810163	3.501994	1071
Jamsp1|Jamsp1_215576	Jamsp1|Jamsp1_238367	0.622703	4.042102	0.154054	1181.912948	219.087052	1.042814	3.472277	1626
Jamsp1|Jamsp1_229268	Jamsp1|Jamsp1_231472	0.845560	4.684611	0.180497	1991.978477	516.021523	1.205856	4.906336	2889
Jamsp1|Jamsp1_244958	Jamsp1|Jamsp1_249847	0.616853	4.385750	0.140649	1267.574893	346.425107	1.457463	4.277400	1725
Jamsp1|Jamsp1_229280	Jamsp1|Jamsp1_259938	0.472581	3.216372	0.146930	368.143172	72.856828	1.240983	2.777633	444
Jamsp1|Jamsp1_216251	Jamsp1|Jamsp1_229923	0.600966	4.063380	0.147898	797.608174	225.391826	1.492086	4.091462	2445
Jamsp1|Jamsp1_229302	Jamsp1|Jamsp1_92607	0.573545	4.330780	0.132434	1355.057469	321.942531	1.192452	3.884523	1734
Jamsp1|Jamsp1_215045	Jamsp1|Jamsp1_245001	0.802158	4.380440	0.183123	982.018920	343.981080	1.190971	5.191229	1875
Jamsp1|Jamsp1_8123	Jamsp1|Jamsp1_244898	0.862469	4.819716	0.178946	2835.124169	617.875831	1.163189	4.711723	4782
Jamsp1|Jamsp1_229315	Jamsp1|Jamsp1_154869	0.538333	6.208293	0.086712	1433.567452	390.432548	1.301694	5.256013	3237
Jamsp1|Jamsp1_209586	Jamsp1|Jamsp1_226822	0.431797	2.653903	0.162702	241.583448	34.416552	0.449304	2.126664	396
Jamsp1|Jamsp1_225204	Jamsp1|Jamsp1_127708	0.504570	2.380051	0.212000	1519.178998	520.821002	1.283004	2.950166	2361
Jamsp1|Jamsp1_257397	Jamsp1|Jamsp1_229323	0.263244	1.522932	0.172854	742.344269	304.655731	2.094057	1.889364	1128
Jamsp1|Jamsp1_215568	Jamsp1|Jamsp1_230706	0.607932	3.796626	0.160124	661.067503	157.932497	1.274592	3.668480	879
Jamsp1|Jamsp1_235580	Jamsp1|Jamsp1_245408	0.423464	2.709074	0.156313	313.563743	61.436257	1.130704	2.393747	450
Jamsp1|Jamsp1_229334	Jamsp1|Jamsp1_8688	0.798724	3.128275	0.255324	589.936519	184.063481	1.755488	4.058131	1848
Jamsp1|Jamsp1_216448	Jamsp1|Jamsp1_188858	0.543364	4.264290	0.127422	1196.370214	294.629786	1.456146	3.835919	1689
Jamsp1|Jamsp1_247927	Jamsp1|Jamsp1_220177	0.684724	4.407324	0.155360	1227.465061	356.534939	1.221332	4.567879	1773
Jamsp1|Jamsp1_216391	Jamsp1|Jamsp1_224364	0.436816	4.277936	0.102109	1127.960477	300.039523	1.066919	3.731640	2085
Jamsp1|Jamsp1_215225	Jamsp1|Jamsp1_218492	0.833115	3.024397	0.275465	1415.196597	408.803403	1.401066	3.972706	2310
Jamsp1|Jamsp1_11427	Jamsp1|Jamsp1_220728	0.352315	4.172051	0.084446	1299.465635	260.534365	1.174125	2.970738	1767
Jamsp1|Jamsp1_257488	Jamsp1|Jamsp1_218635	0.761105	3.815907	0.199456	770.954617	162.045383	1.203157	3.875009	1131
Jamsp1|Jamsp1_229433	Jamsp1|Jamsp1_232512	0.872129	4.787118	0.182182	2228.403724	591.596276	1.266856	5.080316	3807
Jamsp1|Jamsp1_229441	Jamsp1|Jamsp1_231291	0.659824	4.265315	0.154695	1621.967054	295.032946	1.046333	3.644164	2370
Jamsp1|Jamsp1_13264	Jamsp1|Jamsp1_233764	0.718758	2.818215	0.255040	848.084991	243.915009	1.255325	3.563112	1707
Jamsp1|Jamsp1_13266	Jamsp1|Jamsp1_227198	0.824088	4.279011	0.192588	1394.529922	300.470078	1.028948	4.309610	2088
Jamsp1|Jamsp1_229479	Jamsp1|Jamsp1_240983	0.616981	3.257309	0.189414	379.055928	76.944072	0.763218	3.187505	564
Jamsp1|Jamsp1_245032	Jamsp1|Jamsp1_221491	0.618817	3.798947	0.162892	588.578008	158.421992	1.708537	3.879754	891
Jamsp1|Jamsp1_229509	Jamsp1|Jamsp1_217496	0.546816	3.794096	0.144123	769.599268	157.400732	1.161670	3.294573	1818
Jamsp1|Jamsp1_229523	Jamsp1|Jamsp1_280290	0.717832	4.579754	0.156740	2122.307152	448.692848	1.208784	4.175452	3420
Jamsp1|Jamsp1_263612	Jamsp1|Jamsp1_253774	0.663600	3.690921	0.179793	525.829034	137.170966	1.822871	3.869807	843
Jamsp1|Jamsp1_235833	Jamsp1|Jamsp1_232791	0.592357	4.526658	0.130860	2047.973946	418.026054	1.338781	3.777851	3021
Jamsp1|Jamsp1_245065	Jamsp1|Jamsp1_233079	0.695942	4.105885	0.169499	1210.465578	238.534422	1.411964	3.771861	1719
Jamsp1|Jamsp1_235848	Jamsp1|Jamsp1_230090	0.765764	2.033450	0.376584	672.164551	233.835449	1.364932	3.278849	1569
Jamsp1|Jamsp1_16597	Jamsp1|Jamsp1_89709	0.824313	4.214798	0.195576	1101.185092	275.814908	1.472470	4.510295	1659
Jamsp1|Jamsp1_215471	Jamsp1|Jamsp1_224942	0.366317	4.091849	0.089524	1016.888336	234.111664	1.114097	3.190534	1644
Jamsp1|Jamsp1_248239	Jamsp1|Jamsp1_264508	0.743622	3.845983	0.193350	599.324319	168.675681	1.532305	4.274980	936
Jamsp1|Jamsp1_225382	Jamsp1|Jamsp1_258498	0.647618	3.406768	0.190098	1251.324062	326.675938	1.461026	3.656444	2034
Jamsp1|Jamsp1_216030	Jamsp1|Jamsp1_217430	0.624226	2.479071	0.251798	1346.761867	294.238133	1.419994	2.870422	1764
Jamsp1|Jamsp1_229644	Jamsp1|Jamsp1_233547	0.836869	2.008186	0.416729	900.426608	302.573392	1.591685	3.394421	1515
Jamsp1|Jamsp1_213298	Jamsp1|Jamsp1_205177	0.331123	2.468008	0.134166	123.138964	26.861036	1.092957	2.141347	150
Jamsp1|Jamsp1_229662	Jamsp1|Jamsp1_233078	0.835771	2.712600	0.308107	1271.028915	366.971085	1.423907	3.768745	1836
