SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Verda1|VDAG_00004T0	Verda1|VDAG_02592T0	0.390052	4.416581	0.088315	1637.037243	360.962757	1.893549	3.352478	2535
Verda1|VDAG_00006T0	Verda1|VDAG_03146T0	0.260729	3.011419	0.086580	298.564230	55.435770	1.912576	2.074446	378
Verda1|VDAG_00025T0	Verda1|VDAG_05318T0	0.637625	3.965724	0.160784	1011.125813	197.874187	0.901505	3.546980	3201
Verda1|VDAG_00034T0	Verda1|VDAG_03556T0	0.643956	4.393222	0.146579	1228.106488	349.893512	1.211066	4.425867	1770
Verda1|VDAG_00036T0	Verda1|VDAG_10413T0	0.561102	4.328620	0.129626	1211.983156	321.016844	1.136624	4.050109	1839
Verda1|VDAG_00039T0	Verda1|VDAG_08729T0	0.440381	4.267167	0.103202	1270.237922	295.762078	1.163595	3.489377	1905
Verda1|VDAG_00043T0	Verda1|VDAG_03250T0	0.804306	4.440190	0.181142	1364.493925	372.506075	1.785386	4.752104	2250
Verda1|VDAG_00050T0	Verda1|VDAG_04368T0	0.529686	4.361722	0.121440	1797.497635	335.502365	1.380074	3.397296	2760
Verda1|VDAG_00064T0	Verda1|VDAG_02149T0	0.563749	4.006958	0.140693	1359.942142	209.057858	1.041792	3.067596	2010
Verda1|VDAG_00068T0	Verda1|VDAG_10038T0	0.851331	4.685784	0.181684	1523.170931	516.829069	1.419958	5.468342	4950
Verda1|VDAG_00071T0	Verda1|VDAG_08508T0	0.735934	4.404822	0.167075	1255.652386	355.347614	1.515181	4.635606	1842
Verda1|VDAG_00078T0	Verda1|VDAG_03356T0	0.626566	4.032955	0.155362	854.568783	216.431217	0.821151	3.944821	1221
Verda1|VDAG_00080T0	Verda1|VDAG_04089T0	0.547849	99.000000	0.005534	310.950739	67.049261	1.099427	54.033579	2367
Verda1|VDAG_00083T0	Verda1|VDAG_07638T0	0.570880	4.061403	0.140562	1233.201720	224.798280	1.195886	3.327174	1857
Verda1|VDAG_00088T0	Verda1|VDAG_09251T0	0.585247	4.063644	0.144020	986.528964	225.471036	1.647771	3.697022	1419
Verda1|VDAG_00089T0	Verda1|VDAG_05884T0	0.092969	3.591071	0.025889	950.927668	120.072332	0.699685	1.455449	1077
Verda1|VDAG_00111T0	Verda1|VDAG_05309T0	0.668293	3.735357	0.178910	580.456283	145.543717	1.487593	3.849473	789
Verda1|VDAG_00116T0	Verda1|VDAG_00500T0	0.681175	3.913085	0.174076	886.537440	184.462560	1.008073	3.713459	1500
Verda1|VDAG_00129T0	Verda1|VDAG_08030T0	0.410613	3.844559	0.106804	884.644307	168.355693	1.117164	2.878917	1065
Verda1|VDAG_00132T0	Verda1|VDAG_05732T0	0.416448	3.764059	0.110638	904.778544	151.221456	0.962836	2.687500	1065
Verda1|VDAG_00134T0	Verda1|VDAG_09750T0	0.557205	4.656842	0.119653	1728.735295	497.264705	1.379241	4.419060	2841
Verda1|VDAG_00144T0	Verda1|VDAG_02243T0	0.261138	3.882674	0.067257	1151.867363	177.132637	1.652532	2.231477	1398
Verda1|VDAG_00146T0	Verda1|VDAG_04288T0	0.574570	4.003038	0.143533	971.032125	207.967875	1.594409	3.537987	1467
Verda1|VDAG_00150T0	Verda1|VDAG_06098T0	0.779821	4.726237	0.164998	2655.529080	545.470920	1.120467	4.356948	5187
Verda1|VDAG_00153T0	Verda1|VDAG_08092T0	0.576979	3.876919	0.148824	832.221400	175.778600	0.989301	3.457303	1068
Verda1|VDAG_00154T0	Verda1|VDAG_00323T0	0.848451	4.789855	0.177135	2295.241344	593.758656	1.316615	4.975510	3843
Verda1|VDAG_00156T0	Verda1|VDAG_10309T0	0.776378	4.788071	0.162148	2149.652131	592.347869	1.446902	4.929044	3789
Verda1|VDAG_00165T0	Verda1|VDAG_07985T0	0.558842	4.732407	0.118088	2318.023160	549.976840	1.260408	4.077534	3621
Verda1|VDAG_00166T0	Verda1|VDAG_04292T0	0.633786	3.676649	0.172382	981.414686	134.585314	1.172184	3.002232	1392
Verda1|VDAG_00167T0	Verda1|VDAG_08720T0	1.030810	1.500489	0.686983	7092.686736	3041.313264	1.412375	3.515296	21186
Verda1|VDAG_00176T0	Verda1|VDAG_08076T0	0.624279	4.243218	0.147124	1369.532623	286.467377	1.218735	3.750932	1770
Verda1|VDAG_00179T0	Verda1|VDAG_00868T0	0.614182	3.771171	0.162862	720.337802	152.662198	1.394211	3.498741	984
Verda1|VDAG_00183T0	Verda1|VDAG_03665T0	0.516065	2.350951	0.219513	662.265514	177.734486	1.639962	2.712917	858
Verda1|VDAG_00189T0	Verda1|VDAG_07226T0	0.567072	4.341356	0.130621	1344.485545	326.514455	1.485915	3.913708	1821
Verda1|VDAG_00190T0	Verda1|VDAG_09534T0	0.842496	3.054192	0.275849	4120.681767	1303.318233	1.133880	4.121816	6711
Verda1|VDAG_00191T0	Verda1|VDAG_07115T0	0.382525	3.537106	0.108146	536.263690	111.736310	1.817296	2.779434	1011
Verda1|VDAG_00197T0	Verda1|VDAG_09650T0	0.408123	3.853042	0.105922	798.729258	170.270742	1.196245	3.040373	996
Verda1|VDAG_00199T0	Verda1|VDAG_05982T0	0.560076	4.325185	0.129492	1117.450202	319.549798	1.329122	4.192002	1554
Verda1|VDAG_00200T0	Verda1|VDAG_09867T0	0.500009	3.912018	0.127813	1330.799562	184.200438	1.324908	2.744568	1815
Verda1|VDAG_00207T0	Verda1|VDAG_04825T0	0.792517	3.848783	0.205914	856.693543	169.306457	1.127669	3.890549	1380
Verda1|VDAG_00210T0	Verda1|VDAG_07401T0	0.560373	3.393485	0.165132	615.279702	158.720298	0.983805	3.424035	873
Verda1|VDAG_00218T0	Verda1|VDAG_03017T0	0.410121	3.787199	0.108291	663.040042	155.959958	1.300158	3.159627	933
Verda1|VDAG_00221T0	Verda1|VDAG_09624T0	0.712267	4.266201	0.166956	1243.618538	295.381462	1.014061	4.183129	5034
Verda1|VDAG_00225T0	Verda1|VDAG_10426T0	0.544328	4.467444	0.121843	764.058469	234.941531	1.780900	4.400860	1302
Verda1|VDAG_00241T0	Verda1|VDAG_06886T0	0.819236	4.217469	0.194248	929.201040	276.798960	1.760940	4.797577	1599
Verda1|VDAG_00245T0	Verda1|VDAG_06020T0	0.265927	4.253681	0.062517	1287.508382	290.491618	1.656050	3.000081	1920
Verda1|VDAG_00246T0	Verda1|VDAG_05849T0	0.300243	3.307606	0.090774	382.332092	100.667908	1.625970	2.781133	612
Verda1|VDAG_00248T0	Verda1|VDAG_06314T0	0.584563	2.983038	0.195962	714.693076	194.306924	1.642181	3.291776	1056
Verda1|VDAG_00251T0	Verda1|VDAG_00766T0	0.514553	4.361485	0.117977	1668.603610	335.396390	1.231762	3.475168	2196
Verda1|VDAG_00256T0	Verda1|VDAG_03763T0	0.806256	4.319864	0.186639	1188.709034	317.290966	1.458043	4.639558	1677
Verda1|VDAG_00258T0	Verda1|VDAG_07040T0	0.724508	4.017423	0.180341	765.050003	224.949997	1.519951	4.418193	1098
Verda1|VDAG_00260T0	Verda1|VDAG_09103T0	0.306911	4.088978	0.075058	1125.782808	233.217192	1.554307	2.867848	1410
Verda1|VDAG_00270T0	Verda1|VDAG_09023T0	0.663305	3.475299	0.190863	347.102642	102.897358	2.027720	3.918894	474
Verda1|VDAG_00273T0	Verda1|VDAG_09569T0	0.401445	4.349853	0.092289	1337.765064	330.234936	1.180852	3.549483	1809
Verda1|VDAG_00276T0	Verda1|VDAG_01785T0	0.822011	4.801040	0.171215	2352.319990	602.680010	1.322568	4.900632	6246
Verda1|VDAG_00278T0	Verda1|VDAG_06050T0	0.570635	3.670423	0.155468	823.527192	133.472808	1.243410	3.008886	1263
Verda1|VDAG_00286T0	Verda1|VDAG_02332T0	0.401301	4.474986	0.089676	1961.804696	390.195304	1.311253	3.231367	2529
Verda1|VDAG_00288T0	Verda1|VDAG_05565T0	0.374043	0.894843	0.417998	408.035744	140.964256	2.393122	1.523298	858
Verda1|VDAG_00296T0	Verda1|VDAG_08806T0	0.863486	2.050279	0.421155	1791.635327	614.364673	1.559863	3.499589	3576
Verda1|VDAG_00300T0	Verda1|VDAG_08445T0	0.319287	3.385091	0.094321	634.763531	91.236469	2.322001	2.113700	1140
Verda1|VDAG_00306T0	Verda1|VDAG_04517T0	0.976604	4.405515	0.221678	1369.323859	355.676141	1.069882	5.050825	2193
Verda1|VDAG_00307T0	Verda1|VDAG_08023T0	0.840448	4.291845	0.195824	1179.344225	305.655775	1.407179	4.652534	1791
Verda1|VDAG_00314T0	Verda1|VDAG_06910T0	0.695063	4.018224	0.172978	1407.778058	212.221942	1.830165	3.391203	2031
Verda1|VDAG_00322T0	Verda1|VDAG_09560T0	0.317523	1.454930	0.218240	1061.350797	351.649203	2.817697	1.801760	1782
Verda1|VDAG_00327T0	Verda1|VDAG_08519T0	0.636152	4.186206	0.151964	1291.501693	265.498307	1.260561	3.724512	2082
Verda1|VDAG_00328T0	Verda1|VDAG_03565T0	0.365950	3.341526	0.109516	462.912180	86.087820	1.252411	2.497636	567
Verda1|VDAG_00330T0	Verda1|VDAG_09921T0	0.566302	4.024687	0.140707	910.941568	214.058432	1.454114	3.673031	1500
Verda1|VDAG_00337T0	Verda1|VDAG_03846T0	0.539262	99.000000	0.005447	756.242388	101.757612	1.049701	36.649708	1068
Verda1|VDAG_00344T0	Verda1|VDAG_05495T0	0.850174	4.410747	0.192751	1357.834010	358.165990	1.352014	4.780027	3450
Verda1|VDAG_00348T0	Verda1|VDAG_00477T0	0.446664	3.831141	0.116588	1052.629547	165.370453	1.127357	2.718545	6774
Verda1|VDAG_00364T0	Verda1|VDAG_05595T0	0.253303	2.879110	0.087980	337.529683	46.470317	0.789794	1.713208	714
Verda1|VDAG_00367T0	Verda1|VDAG_08476T0	0.345853	4.228397	0.081793	1306.138354	280.861646	1.094582	3.098914	1611
Verda1|VDAG_00373T0	Verda1|VDAG_09259T0	0.485042	4.058282	0.119519	1033.135234	223.864766	0.938653	3.364248	1851
Verda1|VDAG_00375T0	Verda1|VDAG_05516T0	0.631649	4.031867	0.156664	1571.882500	216.117500	1.149899	3.127911	2322
Verda1|VDAG_00378T0	Verda1|VDAG_05123T0	0.604651	4.533594	0.133371	2131.089873	421.910127	1.003668	3.761851	3339
Verda1|VDAG_00382T0	Verda1|VDAG_01475T0	0.667936	4.029310	0.165769	933.617905	215.382095	1.044803	3.894095	1590
Verda1|VDAG_00390T0	Verda1|VDAG_03660T0	0.332949	4.579858	0.072699	1792.244723	448.755277	1.450821	3.550151	2658
Verda1|VDAG_00393T0	Verda1|VDAG_01703T0	0.167574	3.807791	0.044008	649.698749	160.301251	1.313789	2.663949	819
Verda1|VDAG_00395T0	Verda1|VDAG_04959T0	0.441421	4.731752	0.093289	2048.503416	549.496584	1.644122	4.046575	2730
Verda1|VDAG_00401T0	Verda1|VDAG_05523T0	0.383967	4.252270	0.090297	1780.054347	289.945653	1.392818	2.777405	2106
Verda1|VDAG_00403T0	Verda1|VDAG_06152T0	0.621128	3.658363	0.169783	594.656373	131.343627	1.322086	3.511820	948
Verda1|VDAG_00405T0	Verda1|VDAG_10070T0	0.597012	3.693386	0.161644	837.377469	137.622531	1.044343	3.102208	1176
Verda1|VDAG_00407T0	Verda1|VDAG_10192T0	0.500203	5.148695	0.097151	1087.886013	322.113987	1.156950	4.686448	1545
Verda1|VDAG_00408T0	Verda1|VDAG_03528T0	0.448216	4.040923	0.110919	1563.256950	218.743050	1.125491	2.667677	1989
Verda1|VDAG_00409T0	Verda1|VDAG_05080T0	0.771286	4.246386	0.181634	1281.320256	287.679744	1.259237	4.225361	1836
Verda1|VDAG_00410T0	Verda1|VDAG_01529T0	0.513074	4.370895	0.117384	1385.368871	339.631129	1.367455	3.817893	1872
Verda1|VDAG_00411T0	Verda1|VDAG_05087T0	0.331895	3.645041	0.091054	827.968747	129.031253	1.074762	2.335810	1020
Verda1|VDAG_00413T0	Verda1|VDAG_07126T0	0.421992	3.823811	0.110359	763.237979	163.762021	1.433274	3.068851	1374
Verda1|VDAG_00416T0	Verda1|VDAG_04596T0	0.013481	0.777890	0.017330	149.698894	54.301106	5.608580	0.650858	204
Verda1|VDAG_00418T0	Verda1|VDAG_02350T0	0.086464	1.390268	0.062192	944.053556	315.946444	3.059526	1.240182	1911
Verda1|VDAG_00419T0	Verda1|VDAG_00420T0	0.658469	5.125931	0.128458	3993.567023	929.432977	1.133646	4.505696	6063
Verda1|VDAG_00423T0	Verda1|VDAG_06027T0	0.547459	3.508013	0.156060	330.838741	53.161259	1.100717	2.871961	642
Verda1|VDAG_00430T0	Verda1|VDAG_05711T0	0.502334	1.688927	0.297428	760.252894	244.747106	2.650849	2.373914	1335
Verda1|VDAG_00431T0	Verda1|VDAG_02828T0	0.608817	4.169057	0.146032	892.503599	259.496401	1.302674	4.232360	1404
Verda1|VDAG_00450T0	Verda1|VDAG_03447T0	0.643309	3.745869	0.171738	653.402115	147.597885	0.899848	3.645026	1065
Verda1|VDAG_00455T0	Verda1|VDAG_02872T0	0.404652	99.000000	0.004087	1020.989630	98.010370	1.021172	27.121105	1173
Verda1|VDAG_00458T0	Verda1|VDAG_02986T0	0.528583	4.475313	0.118111	1340.634354	390.365646	1.411579	4.255883	2811
Verda1|VDAG_00461T0	Verda1|VDAG_00969T0	0.605158	4.618328	0.131034	2014.625903	472.374097	1.732376	4.102226	2994
Verda1|VDAG_00463T0	Verda1|VDAG_08410T0	0.499683	4.092436	0.122099	1478.704831	234.295169	1.217383	2.973244	2124
Verda1|VDAG_00465T0	Verda1|VDAG_04891T0	0.512923	4.703251	0.109057	1981.993013	529.006987	1.217509	4.187171	3567
Verda1|VDAG_00484T0	Verda1|VDAG_00542T0	0.260642	3.631624	0.071770	782.256488	126.743512	1.049023	2.191993	1329
Verda1|VDAG_00487T0	Verda1|VDAG_03456T0	0.588950	3.445539	0.170931	519.105649	98.894351	1.027044	3.138212	804
Verda1|VDAG_00491T0	Verda1|VDAG_03117T0	0.549283	3.569842	0.153868	594.278635	116.721365	1.312898	3.135460	786
Verda1|VDAG_00493T0	Verda1|VDAG_02072T0	0.420316	3.618918	0.116144	982.385551	124.614449	0.991753	2.341143	1224
Verda1|VDAG_00496T0	Verda1|VDAG_08415T0	0.505074	3.790815	0.133236	950.286350	156.713650	0.766925	2.910671	1146
Verda1|VDAG_00499T0	Verda1|VDAG_08265T0	0.563985	4.148014	0.135965	947.683111	252.316889	1.513583	3.952733	1359
Verda1|VDAG_00501T0	Verda1|VDAG_09367T0	0.748329	2.078995	0.359948	971.112298	342.887702	1.175829	3.286697	1677
Verda1|VDAG_00503T0	Verda1|VDAG_08074T0	0.467066	4.452907	0.104890	1955.124024	378.875976	1.174055	3.342252	2862
Verda1|VDAG_00511T0	Verda1|VDAG_07185T0	0.520722	4.084831	0.127477	821.068561	231.931439	1.316828	3.917234	1470
Verda1|VDAG_00514T0	Verda1|VDAG_03847T0	0.901673	5.164008	0.174607	3159.161637	977.838363	1.279872	5.727408	4809
Verda1|VDAG_00528T0	Verda1|VDAG_05708T0	0.713879	3.829193	0.186431	759.058441	164.941559	0.972270	3.809964	1278
Verda1|VDAG_00531T0	Verda1|VDAG_07844T0	0.626149	4.264863	0.146816	1148.145005	294.854995	1.196683	4.108993	1497
Verda1|VDAG_00532T0	Verda1|VDAG_05668T0	0.379482	3.966103	0.095681	459.715655	122.284345	1.797041	3.399206	1299
Verda1|VDAG_00543T0	Verda1|VDAG_06358T0	0.564338	4.643504	0.121533	1752.500242	488.499758	1.533016	4.360579	2994
Verda1|VDAG_00549T0	Verda1|VDAG_04952T0	0.448666	2.063636	0.217415	851.933964	276.066036	2.100007	2.531739	1269
Verda1|VDAG_00556T0	Verda1|VDAG_09352T0	0.530126	4.168168	0.127184	1201.811078	259.188922	1.833118	3.526600	1749
Verda1|VDAG_00566T0	Verda1|VDAG_06410T0	0.555039	4.483524	0.123795	1597.337160	394.662840	1.485270	4.000098	2571
Verda1|VDAG_00570T0	Verda1|VDAG_00666T0	0.563097	4.248916	0.132527	1145.348236	288.651764	1.619943	3.915060	1806
Verda1|VDAG_00571T0	Verda1|VDAG_08172T0	0.377681	3.362089	0.112335	778.519174	88.480826	1.310366	2.046755	1035
Verda1|VDAG_00572T0	Verda1|VDAG_07397T0	0.424144	4.479173	0.094692	2091.620225	392.379775	1.634299	3.194063	2769
Verda1|VDAG_00575T0	Verda1|VDAG_05491T0	0.879746	2.369855	0.371224	2502.917597	845.082403	1.621233	3.767611	4095
Verda1|VDAG_00580T0	Verda1|VDAG_02710T0	0.405183	4.241519	0.095528	1265.181147	285.818853	1.693292	3.336433	1731
Verda1|VDAG_00587T0	Verda1|VDAG_05543T0	0.715208	4.032564	0.177358	839.681450	216.318550	1.719894	4.184276	1200
Verda1|VDAG_00590T0	Verda1|VDAG_01268T0	0.317476	3.729307	0.085130	773.625591	144.374409	1.160289	2.562170	1053
Verda1|VDAG_00611T0	Verda1|VDAG_01284T0	0.905436	4.546839	0.199135	1670.573056	429.426944	1.091584	4.950188	2616
Verda1|VDAG_00612T0	Verda1|VDAG_02675T0	0.639197	3.903608	0.163745	1077.853601	182.146399	1.833911	3.333308	1794
Verda1|VDAG_00617T0	Verda1|VDAG_02831T0	0.764924	4.814979	0.158863	1022.322266	279.677734	1.321418	4.904703	1413
Verda1|VDAG_00618T0	Verda1|VDAG_03639T0	0.433681	4.516501	0.096021	1477.597127	412.402873	1.398984	3.973688	1983
Verda1|VDAG_00624T0	Verda1|VDAG_04774T0	0.527497	4.628553	0.113966	2110.142079	478.857921	1.150976	3.858067	2988
Verda1|VDAG_00625T0	Verda1|VDAG_09781T0	0.488726	3.751893	0.130261	766.211692	148.788308	1.317024	3.058052	1020
Verda1|VDAG_00627T0	Verda1|VDAG_07612T0	0.301368	4.412093	0.068305	1318.190669	358.809331	1.882612	3.542684	1818
Verda1|VDAG_00630T0	Verda1|VDAG_06182T0	0.512138	4.010076	0.127713	1137.071253	209.928747	1.633008	3.171867	1509
Verda1|VDAG_00635T0	Verda1|VDAG_01212T0	0.652784	3.998124	0.163273	837.390111	206.609889	1.476821	3.944503	1308
Verda1|VDAG_00636T0	Verda1|VDAG_09853T0	0.675109	2.513649	0.268577	668.344195	183.655805	1.982624	3.214265	972
Verda1|VDAG_00643T0	Verda1|VDAG_08547T0	0.414439	3.004939	0.137919	371.041121	54.958879	0.818185	2.245930	501
Verda1|VDAG_00648T0	Verda1|VDAG_06558T0	0.848937	4.722828	0.179752	2862.002903	542.997097	1.229368	4.400126	3726
